# Monthly average temperature data for Falkland Islands (Islas Malvinas).
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1860,1,1860.042,6.094,2.005
1860,2,1860.125,5.761,1.715
1860,3,1860.208,4.067,1.786
1860,4,1860.292,5.408,2.257
1860,5,1860.375,5.411,1.625
1860,6,1860.458,5.533,1.689
1860,7,1860.542,5.821,1.744
1860,8,1860.625,5.523,1.840
1860,9,1860.708,5.989,1.875
1860,10,1860.792,5.062,1.680
1860,11,1860.875,4.871,1.725
1860,12,1860.958,4.401,1.791
1861,1,1861.042,4.906,2.539
1861,2,1861.125,5.394,1.849
1861,3,1861.208,5.494,1.804
1861,4,1861.292,5.516,2.082
1861,5,1861.375,4.825,1.638
1861,6,1861.458,6.112,1.712
1861,7,1861.542,5.961,1.850
1861,9,1861.708,5.505,1.662
1861,10,1861.792,4.827,1.666
1861,11,1861.875,5.507,1.790
1861,12,1861.958,5.620,2.414
1862,1,1862.042,5.054,2.638
1862,2,1862.125,4.814,1.696
1862,3,1862.208,5.682,1.914
1862,4,1862.292,5.613,2.299
1862,5,1862.375,5.811,1.674
1862,6,1862.458,5.778,1.685
1862,7,1862.542,5.572,1.723
1862,8,1862.625,4.974,1.750
1862,9,1862.708,4.757,1.632
1862,10,1862.792,4.687,1.951
1862,11,1862.875,4.522,1.718
1862,12,1862.958,3.694,1.898
1863,1,1863.042,5.722,1.758
1863,2,1863.125,5.949,2.000
1863,3,1863.208,4.781,1.644
1863,4,1863.292,5.422,1.942
1863,5,1863.375,5.258,1.719
1863,6,1863.458,5.248,1.706
1863,7,1863.542,4.863,1.775
1863,8,1863.625,5.358,1.663
1863,9,1863.708,5.111,1.742
1863,10,1863.792,4.737,1.620
1863,11,1863.875,5.223,1.710
1863,12,1863.958,5.271,1.954
1864,1,1864.042,4.971,1.814
1864,2,1864.125,5.341,1.692
1864,3,1864.208,5.693,1.760
1864,4,1864.292,4.773,1.679
1864,5,1864.375,6.231,1.726
1864,6,1864.458,6.525,1.763
1864,7,1864.542,5.729,1.765
1864,8,1864.625,5.868,2.138
1864,9,1864.708,5.325,1.686
1864,10,1864.792,5.557,1.596
1864,11,1864.875,5.593,1.729
1864,12,1864.958,5.251,1.667
1865,1,1865.042,6.164,1.618
1865,2,1865.125,5.680,1.715
1865,3,1865.208,5.101,1.643
1865,4,1865.292,5.468,1.873
1865,5,1865.375,5.858,1.698
1865,6,1865.458,6.472,1.700
1865,7,1865.542,6.183,1.806
1865,8,1865.625,5.982,2.040
1865,9,1865.708,5.961,1.791
1865,10,1865.792,6.382,1.715
1865,11,1865.875,6.336,1.778
1865,12,1865.958,5.583,1.820
1866,1,1866.042,6.716,1.861
1866,2,1866.125,5.093,1.761
1866,3,1866.208,5.938,1.897
1866,4,1866.292,5.154,1.829
1866,5,1866.375,5.984,1.635
1866,6,1866.458,5.485,1.596
1866,7,1866.542,6.075,1.684
1866,8,1866.625,5.601,1.638
1866,9,1866.708,5.561,1.645
1866,10,1866.792,5.546,1.886
1866,11,1866.875,5.671,1.678
1866,12,1866.958,7.020,2.161
1867,1,1867.042,6.852,2.385
1867,2,1867.125,5.889,2.053
1867,3,1867.208,5.627,1.827
1867,4,1867.292,5.815,1.878
1867,5,1867.375,5.411,1.603
1867,6,1867.458,5.675,1.645
1867,7,1867.542,5.686,1.723
1867,8,1867.625,5.520,1.591
1867,9,1867.708,5.694,1.617
1867,10,1867.792,5.920,1.638
1867,11,1867.875,7.210,2.374
1867,12,1867.958,6.276,2.210
1868,1,1868.042,5.721,1.690
1868,2,1868.125,4.958,1.690
1868,3,1868.208,4.790,1.859
1868,4,1868.292,5.992,1.897
1868,5,1868.375,6.703,1.938
1868,6,1868.458,6.046,1.589
1868,7,1868.542,5.869,1.611
1868,8,1868.625,6.144,1.734
1868,9,1868.708,5.213,1.676
1868,10,1868.792,5.977,1.709
1868,11,1868.875,5.014,1.666
1868,12,1868.958,5.607,1.650
1869,1,1869.042,5.956,1.801
1869,2,1869.125,6.107,2.396
1869,3,1869.208,5.208,1.707
1869,4,1869.292,6.150,1.981
1869,5,1869.375,6.177,1.744
1869,6,1869.458,6.318,2.141
1869,7,1869.542,5.489,1.655
1869,8,1869.625,6.349,1.806
1869,9,1869.708,6.410,1.673
1869,10,1869.792,5.186,1.709
1869,11,1869.875,5.420,1.586
1869,12,1869.958,5.014,1.596
1870,1,1870.042,5.727,1.759
1870,2,1870.125,5.773,2.138
1870,3,1870.208,5.769,1.718
1870,4,1870.292,5.440,1.712
1870,5,1870.375,6.291,1.760
1870,6,1870.458,6.117,1.671
1870,7,1870.542,5.945,1.722
1870,8,1870.625,5.057,1.722
1870,9,1870.708,5.956,1.642
1870,10,1870.792,5.649,1.672
1870,11,1870.875,5.135,1.678
1870,12,1870.958,5.408,1.775
1871,1,1871.042,5.208,1.696
1871,2,1871.125,5.374,1.697
1871,3,1871.208,5.378,1.697
1871,4,1871.292,5.137,1.660
1871,5,1871.375,5.664,1.214
1871,6,1871.458,5.891,1.291
1871,7,1871.542,4.985,1.699
1871,8,1871.625,4.693,2.193
1871,9,1871.708,5.329,1.374
1871,10,1871.792,5.582,1.278
1871,11,1871.875,6.404,3.272
1871,12,1871.958,6.273,1.641
1872,1,1872.042,5.350,1.832
1872,2,1872.125,5.276,1.278
1872,3,1872.208,5.124,1.641
1872,4,1872.292,5.618,1.162
1872,5,1872.375,5.205,1.565
1872,6,1872.458,5.637,1.390
1872,7,1872.542,5.152,1.813
1872,8,1872.625,4.669,2.176
1872,9,1872.708,5.521,1.128
1872,10,1872.792,5.828,1.388
1872,11,1872.875,4.848,1.668
1872,12,1872.958,5.777,2.524
1873,1,1873.042,5.300,1.705
1873,2,1873.125,6.240,1.784
1873,3,1873.208,5.579,1.688
1873,4,1873.292,5.712,1.794
1873,5,1873.375,5.638,1.677
1873,6,1873.458,5.923,1.611
1873,7,1873.542,5.533,1.619
1873,8,1873.625,5.880,1.593
1873,9,1873.708,6.019,2.159
1873,10,1873.792,5.996,1.954
1873,11,1873.875,6.598,2.256
1873,12,1873.958,6.350,2.600
1874,1,1874.042,6.713,2.226
1874,2,1874.125,6.888,2.607
1874,3,1874.208,4.484,1.678
1874,4,1874.292,5.865,1.576
1874,5,1874.375,5.974,1.739
1874,6,1874.458,5.989,1.646
1874,7,1874.542,5.972,1.915
1874,8,1874.625,6.504,1.818
1874,9,1874.708,5.668,1.590
1874,10,1874.792,5.620,1.588
1874,11,1874.875,5.449,1.594
1874,12,1874.958,6.329,1.084
1875,1,1875.042,5.515,0.934
1875,2,1875.125,5.147,1.426
1875,3,1875.208,6.014,2.309
1875,4,1875.292,5.302,0.868
1875,5,1875.375,6.129,1.443
1875,6,1875.458,6.140,1.999
1875,7,1875.542,5.934,0.890
1875,8,1875.625,6.164,1.287
1875,9,1875.708,6.494,1.584
1875,10,1875.792,5.197,0.886
1875,11,1875.875,5.674,2.137
1875,12,1875.958,4.622,0.923
1876,1,1876.042,4.725,1.280
1876,2,1876.125,4.793,1.619
1876,3,1876.208,4.467,1.005
1876,4,1876.292,5.743,1.447
1876,5,1876.375,5.839,2.072
1876,6,1876.458,5.843,1.213
1876,7,1876.542,5.939,0.768
1876,8,1876.625,5.382,0.890
1876,9,1876.708,5.982,0.957
1876,10,1876.792,4.096,1.001
1876,11,1876.875,4.410,0.962
1876,12,1876.958,5.176,2.831
1877,1,1877.042,7.172,2.128
1877,2,1877.125,5.350,0.893
1877,3,1877.208,6.752,2.018
1877,4,1877.292,5.072,1.035
1877,5,1877.375,5.852,1.175
1877,6,1877.458,6.025,0.968
1877,7,1877.542,5.328,1.742
1877,8,1877.625,5.725,0.822
1877,9,1877.708,4.781,1.939
1877,10,1877.792,4.858,1.945
1877,11,1877.875,5.472,2.053
1877,12,1877.958,5.125,1.143
1878,1,1878.042,7.152,3.518
1878,2,1878.125,6.205,1.229
1878,3,1878.208,4.432,4.107
1878,4,1878.292,5.292,1.381
1878,5,1878.375,5.213,1.677
1878,6,1878.458,5.850,1.705
1878,7,1878.542,6.454,1.212
1878,8,1878.625,5.324,1.918
1878,9,1878.708,5.115,2.005
1878,10,1878.792,5.196,1.304
1878,11,1878.875,6.130,1.280
1878,12,1878.958,5.266,1.399
1879,1,1879.042,5.643,1.703
1879,2,1879.125,5.492,1.629
1879,3,1879.208,5.499,1.687
1879,4,1879.292,5.506,1.633
1879,5,1879.375,5.748,1.681
1879,6,1879.458,5.809,1.652
1879,7,1879.542,5.874,1.624
1879,8,1879.625,5.759,1.877
1879,9,1879.708,5.423,1.603
1879,10,1879.792,5.987,1.752
1879,11,1879.875,5.518,1.606
1879,12,1879.958,4.636,1.858
1880,1,1880.042,4.895,1.775
1880,2,1880.125,5.837,2.237
1880,3,1880.208,4.931,0.886
1880,4,1880.292,5.180,0.932
1880,5,1880.375,5.393,1.317
1880,6,1880.458,5.774,1.314
1880,7,1880.542,5.857,0.836
1880,8,1880.625,4.781,2.310
1880,9,1880.708,6.160,1.590
1880,10,1880.792,5.655,1.328
1880,11,1880.875,5.978,0.875
1880,12,1880.958,5.254,1.116
1881,1,1881.042,6.015,1.672
1881,2,1881.125,5.667,1.543
1881,3,1881.208,6.766,2.368
1881,4,1881.292,6.119,1.588
1881,5,1881.375,5.257,1.637
1881,6,1881.458,4.497,1.715
1881,7,1881.542,6.234,1.674
1881,8,1881.625,5.789,1.502
1881,9,1881.708,4.682,1.713
1881,10,1881.792,5.444,1.504
1881,11,1881.875,5.197,1.683
1881,12,1881.958,5.145,2.122
1882,1,1882.042,6.427,1.233
1882,2,1882.125,6.336,1.413
1882,3,1882.208,4.701,2.360
1882,4,1882.292,4.755,1.168
1882,5,1882.375,6.076,1.867
1882,6,1882.458,5.331,1.499
1882,7,1882.542,5.713,1.784
1882,8,1882.625,5.367,1.089
1882,9,1882.708,5.488,1.293
1882,10,1882.792,5.181,1.179
1882,11,1882.875,5.393,1.428
1882,12,1882.958,6.152,1.989
1883,1,1883.042,6.117,1.737
1883,2,1883.125,5.494,2.772
1883,3,1883.208,5.167,1.194
1883,4,1883.292,5.889,1.339
1883,5,1883.375,5.289,2.597
1883,6,1883.458,6.150,3.038
1883,7,1883.542,5.334,1.870
1883,8,1883.625,6.082,2.391
1883,9,1883.708,5.431,1.259
1883,10,1883.792,5.964,1.758
1883,11,1883.875,4.974,1.183
1883,12,1883.958,5.766,1.250
1884,1,1884.042,6.481,1.705
1884,2,1884.125,5.597,1.130
