# Monthly average temperature data for Faroe Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,7.220,1.940
1744,4,1744.292,7.435,2.204
1744,5,1744.375,6.192,1.745
1744,6,1744.458,6.673,1.720
1744,7,1744.542,6.587,1.631
1744,9,1744.708,5.982,1.830
1744,10,1744.792,5.066,1.850
1744,11,1744.875,6.858,1.713
1744,12,1744.958,6.058,1.721
1745,1,1745.042,6.386,1.954
1745,2,1745.125,5.310,1.797
1745,3,1745.208,4.873,1.829
1745,4,1745.292,5.646,1.842
1750,1,1750.042,7.740,2.365
1750,2,1750.125,8.774,3.278
1750,3,1750.208,8.091,2.010
1750,4,1750.292,7.208,2.070
1750,5,1750.375,6.683,2.334
1750,6,1750.458,6.699,2.661
1750,7,1750.542,8.621,3.128
1750,8,1750.625,7.715,3.686
1750,9,1750.708,6.542,2.567
1750,10,1750.792,3.137,2.054
1750,12,1750.958,4.861,2.841
1751,1,1751.042,6.654,2.415
1751,2,1751.125,3.693,2.995
1751,3,1751.208,7.528,2.863
1751,4,1751.292,6.299,2.383
1751,6,1751.458,6.687,2.757
1751,8,1751.625,7.093,3.660
1751,9,1751.708,5.403,2.441
1752,1,1752.042,5.042,2.323
1752,3,1752.208,7.357,2.477
1752,4,1752.292,5.859,2.254
1752,10,1752.792,5.662,1.785
1752,11,1752.875,7.696,1.577
1752,12,1752.958,7.422,1.494
1753,1,1753.042,5.958,2.938
1753,2,1753.125,5.835,7.680
1753,3,1753.208,7.899,6.542
1753,4,1753.292,6.547,2.994
1753,5,1753.375,6.753,2.315
1753,6,1753.458,7.304,3.866
1753,7,1753.542,7.350,3.381
1753,8,1753.625,6.836,5.885
1753,9,1753.708,7.431,3.368
1753,10,1753.792,6.557,3.843
1753,11,1753.875,5.430,3.065
1753,12,1753.958,2.371,6.983
1754,1,1754.042,6.247,6.790
1754,2,1754.125,4.532,4.544
1754,3,1754.208,4.665,5.525
1754,4,1754.292,8.181,2.439
1754,5,1754.375,7.562,5.913
1754,6,1754.458,7.333,4.084
1754,7,1754.542,6.718,2.995
1754,8,1754.625,6.380,3.465
1754,9,1754.708,5.600,2.836
1754,10,1754.792,6.473,3.389
1754,11,1754.875,6.235,2.703
1754,12,1754.958,6.743,2.625
1755,1,1755.042,4.862,5.639
1755,2,1755.125,3.757,6.925
1755,3,1755.208,4.547,4.254
1755,4,1755.292,7.339,3.167
1755,5,1755.375,7.060,2.636
1755,6,1755.458,8.557,6.676
1755,7,1755.542,7.649,2.675
1755,8,1755.625,5.848,2.345
1755,9,1755.708,5.693,2.867
1755,10,1755.792,6.606,6.055
1755,11,1755.875,5.860,5.747
1755,12,1755.958,5.655,4.723
1756,1,1756.042,8.269,5.927
1756,2,1756.125,9.568,5.418
1756,3,1756.208,6.083,5.020
1756,4,1756.292,6.305,3.925
1756,5,1756.375,7.182,6.189
1756,6,1756.458,8.032,3.319
1756,7,1756.542,7.514,1.918
1756,8,1756.625,5.913,5.545
1756,9,1756.708,6.830,3.625
1756,10,1756.792,4.990,4.654
1756,11,1756.875,3.959,4.553
1756,12,1756.958,4.262,8.453
1757,1,1757.042,3.799,5.858
1757,2,1757.125,7.345,4.773
