# Monthly average temperature data for Fiji.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1867,1,1867.042,24.871,1.070
1867,2,1867.125,24.637,1.281
1867,3,1867.208,24.802,1.069
1867,4,1867.292,25.214,0.730
1867,5,1867.375,25.504,2.114
1867,6,1867.458,24.190,1.340
1867,7,1867.542,24.898,1.276
1867,8,1867.625,24.811,0.660
1867,9,1867.708,24.612,0.908
1867,10,1867.792,25.584,1.082
1867,11,1867.875,24.895,2.668
1867,12,1867.958,24.017,2.714
1868,7,1868.542,25.198,1.065
1868,8,1868.625,24.393,1.483
1868,9,1868.708,23.305,2.523
1868,10,1868.792,24.230,2.241
1868,11,1868.875,23.845,0.954
1868,12,1868.958,23.865,2.120
1869,1,1869.042,23.663,2.865
1869,2,1869.125,24.360,2.529
1869,3,1869.208,23.849,1.410
1869,4,1869.292,24.468,0.957
1869,5,1869.375,25.578,1.071
1869,6,1869.458,24.617,1.353
1869,9,1869.708,24.696,1.249
1869,10,1869.792,24.575,0.749
1869,11,1869.875,24.393,1.254
1869,12,1869.958,23.816,1.300
1870,1,1870.042,24.211,1.097
1870,2,1870.125,24.097,0.886
1870,9,1870.708,25.786,1.736
1870,10,1870.792,24.797,1.061
1870,11,1870.875,24.720,1.017
1870,12,1870.958,23.399,0.808
1871,1,1871.042,24.520,2.044
1871,2,1871.125,24.333,2.065
1871,3,1871.208,24.547,1.427
1871,4,1871.292,24.196,1.988
1871,5,1871.375,25.478,1.422
1871,6,1871.458,24.956,0.814
1871,7,1871.542,26.297,2.326
1871,8,1871.625,25.246,0.853
1871,9,1871.708,25.554,2.223
1871,10,1871.792,25.969,2.461
1871,11,1871.875,25.011,2.462
1871,12,1871.958,24.426,0.775
1872,1,1872.042,24.154,1.306
1872,2,1872.125,24.465,0.723
1872,3,1872.208,25.474,2.247
1872,4,1872.292,24.822,0.992
1872,5,1872.375,25.608,1.305
1872,6,1872.458,24.541,0.910
1872,9,1872.708,24.801,0.795
1872,10,1872.792,24.484,0.834
1872,11,1872.875,24.733,1.331
1872,12,1872.958,24.491,1.510
1873,1,1873.042,24.241,0.841
1873,2,1873.125,24.100,1.745
1873,3,1873.208,24.761,0.871
1873,4,1873.292,24.814,1.263
1873,5,1873.375,24.512,1.176
1873,6,1873.458,24.141,1.592
1873,7,1873.542,25.381,1.071
1873,8,1873.625,24.603,0.970
1873,9,1873.708,24.585,0.856
1874,5,1874.375,25.014,1.243
1874,6,1874.458,24.681,0.657
1874,7,1874.542,24.733,0.711
1874,8,1874.625,25.362,0.847
1874,9,1874.708,25.882,1.580
1874,10,1874.792,24.270,1.393
1874,11,1874.875,24.087,1.281
1875,5,1875.375,25.146,0.951
1875,6,1875.458,24.545,0.806
1875,7,1875.542,25.364,0.730
1875,8,1875.625,25.046,0.970
1875,9,1875.708,24.584,1.096
1875,10,1875.792,24.513,0.636
1875,11,1875.875,24.598,2.180
1875,12,1875.958,24.994,1.808
1876,1,1876.042,24.793,1.240
1876,2,1876.125,24.345,0.771
1876,3,1876.208,24.242,1.149
1876,4,1876.292,24.944,0.821
1876,5,1876.375,24.961,0.900
1876,7,1876.542,25.987,1.762
1876,9,1876.708,24.459,0.741
1883,1,1883.042,24.146,0.684
1883,2,1883.125,23.631,1.009
1883,3,1883.208,24.861,0.601
1883,4,1883.292,24.838,1.065
1883,5,1883.375,24.882,0.608
1883,6,1883.458,24.737,0.601
1883,7,1883.542,25.234,1.021
1883,8,1883.625,24.573,0.555
1883,9,1883.708,24.345,0.588
1883,10,1883.792,24.242,1.157
1883,11,1883.875,24.171,0.756
1883,12,1883.958,24.061,1.253
1884,1,1884.042,23.972,1.215
1884,2,1884.125,24.069,0.978
1884,3,1884.208,24.458,1.652
1884,4,1884.292,24.300,0.973
1884,5,1884.375,24.312,0.944
1884,6,1884.458,24.591,1.186
1884,7,1884.542,24.079,1.079
1884,8,1884.625,24.368,0.873
1884,9,1884.708,23.221,2.031
1884,10,1884.792,23.535,1.540
1884,11,1884.875,24.229,0.658
1884,12,1884.958,24.597,0.634
1885,1,1885.042,24.010,1.009
1885,2,1885.125,24.530,1.018
1885,3,1885.208,24.672,0.764
1885,4,1885.292,24.586,1.066
1885,5,1885.375,24.679,0.698
1885,6,1885.458,24.244,0.556
1885,7,1885.542,24.806,0.620
1885,8,1885.625,23.576,2.149
1885,9,1885.708,22.620,3.313
1885,10,1885.792,22.965,3.181
1885,12,1885.958,24.491,1.193
1886,1,1886.042,23.844,0.808
1886,2,1886.125,24.877,2.361
1886,3,1886.208,24.400,0.782
1886,4,1886.292,24.197,1.045
1886,5,1886.375,24.793,0.681
1886,6,1886.458,24.294,0.614
1886,7,1886.542,24.776,0.804
1886,8,1886.625,24.988,1.134
1886,9,1886.708,24.813,0.895
1886,10,1886.792,24.845,1.344
1886,11,1886.875,23.375,1.561
1886,12,1886.958,24.205,1.370
1887,1,1887.042,23.452,0.684
1887,2,1887.125,23.641,1.028
1887,3,1887.208,23.416,1.946
1887,4,1887.292,24.186,0.986
1887,5,1887.375,25.481,1.653
1887,6,1887.458,26.028,3.430
1887,7,1887.542,25.196,0.814
1887,8,1887.625,24.362,0.710
1887,9,1887.708,25.158,1.141
1887,10,1887.792,24.993,1.246
1887,11,1887.875,24.522,0.665
1887,12,1887.958,24.285,0.518
1891,1,1891.042,24.288,0.912
1891,2,1891.125,24.003,0.799
1891,3,1891.208,24.499,0.811
1891,4,1891.292,24.312,0.824
1891,5,1891.375,24.639,0.713
1891,6,1891.458,24.402,0.705
1891,7,1891.542,24.458,0.915
1891,8,1891.625,24.775,0.833
1891,9,1891.708,24.634,0.699
1891,10,1891.792,24.534,0.888
1891,11,1891.875,24.451,0.903
1891,12,1891.958,24.844,0.761
1893,1,1893.042,24.925,1.714
1893,2,1893.125,24.435,0.758
1893,3,1893.208,24.247,0.760
1893,4,1893.292,24.619,0.586
1893,5,1893.375,25.342,1.779
1893,6,1893.458,25.694,1.036
1893,7,1893.542,25.494,0.531
1893,8,1893.625,25.225,0.547
1893,9,1893.708,25.635,2.021
1893,10,1893.792,24.710,0.676
1893,11,1893.875,25.304,1.388
1893,12,1893.958,24.666,1.533
1894,1,1894.042,23.990,0.701
1894,2,1894.125,24.967,2.072
1894,3,1894.208,25.306,1.432
1894,4,1894.292,24.739,1.347
1894,5,1894.375,24.840,1.065
1894,6,1894.458,24.873,0.740
1894,7,1894.542,25.513,1.573
1894,8,1894.625,25.419,1.985
1894,9,1894.708,25.714,2.889
1894,10,1894.792,25.084,1.821
1894,11,1894.875,24.700,1.504
1894,12,1894.958,24.352,0.433
1895,1,1895.042,24.185,0.581
1895,2,1895.125,24.711,1.480
1895,3,1895.208,24.778,1.181
1895,4,1895.292,24.869,0.597
1895,5,1895.375,25.479,1.246
1895,6,1895.458,24.831,0.808
1895,7,1895.542,24.977,0.357
1895,8,1895.625,24.923,0.527
1895,9,1895.708,24.388,0.408
1895,10,1895.792,24.814,0.625
1895,11,1895.875,24.723,1.103
1895,12,1895.958,24.938,0.725
1896,1,1896.042,24.438,1.399
1896,2,1896.125,24.559,0.893
1896,3,1896.208,24.844,0.734
1896,4,1896.292,25.323,1.741
1896,5,1896.375,25.497,1.191
1896,6,1896.458,25.150,0.871
1896,7,1896.542,25.179,0.674
1896,8,1896.625,24.806,0.887
1896,9,1896.708,25.033,0.801
1896,10,1896.792,23.856,0.998
1896,11,1896.875,24.875,0.609
1896,12,1896.958,24.915,0.594
1897,1,1897.042,24.557,0.591
1897,2,1897.125,24.776,0.754
1897,3,1897.208,26.058,2.424
1897,4,1897.292,24.943,0.416
1897,5,1897.375,25.782,1.225
1897,6,1897.458,25.184,0.505
1897,7,1897.542,24.962,0.608
1897,8,1897.625,25.287,0.994
1897,9,1897.708,24.812,0.648
1897,10,1897.792,25.246,0.565
1897,11,1897.875,24.864,0.609
1897,12,1897.958,24.632,0.709
1898,1,1898.042,24.958,0.753
1898,2,1898.125,24.593,0.512
1898,3,1898.208,25.028,1.105
1898,4,1898.292,25.145,0.567
1898,5,1898.375,25.721,1.200
1898,6,1898.458,25.351,0.918
1898,7,1898.542,26.208,1.666
1898,8,1898.625,24.974,0.467
1898,9,1898.708,26.272,2.973
1898,10,1898.792,24.799,0.452
1898,11,1898.875,24.752,1.343
1898,12,1898.958,24.854,0.506
1899,1,1899.042,25.077,1.188
1899,2,1899.125,24.756,0.787
1899,3,1899.208,25.126,1.125
1899,4,1899.292,25.155,0.856
1899,5,1899.375,24.446,1.064
1899,6,1899.458,24.715,0.736
1899,7,1899.542,24.646,0.627
1899,8,1899.625,25.103,0.605
1899,9,1899.708,24.008,1.992
1899,10,1899.792,25.082,0.551
1899,11,1899.875,25.479,0.684
1899,12,1899.958,24.671,0.614
1900,1,1900.042,23.755,1.329
1900,2,1900.125,24.830,0.616
1900,3,1900.208,24.601,1.001
1900,4,1900.292,24.421,1.672
1900,5,1900.375,24.368,1.514
1900,6,1900.458,24.486,0.828
1900,7,1900.542,25.348,0.703
1900,8,1900.625,25.060,0.466
1900,9,1900.708,24.755,0.784
1900,10,1900.792,25.234,0.529
1900,11,1900.875,25.190,0.498
1900,12,1900.958,24.299,0.836
1901,1,1901.042,24.769,0.552
1901,2,1901.125,24.277,1.539
1901,3,1901.208,24.892,0.832
1901,4,1901.292,24.893,2.246
1901,5,1901.375,25.005,1.604
1901,6,1901.458,25.015,1.880
1901,7,1901.542,25.008,2.539
1901,8,1901.625,25.638,0.667
1901,9,1901.708,24.433,1.741
1901,10,1901.792,24.777,1.286
1901,11,1901.875,24.067,1.700
1901,12,1901.958,24.192,1.450
1902,1,1902.042,24.804,0.752
1902,2,1902.125,24.572,1.650
1902,3,1902.208,24.442,1.032
1902,4,1902.292,24.277,0.877
1902,5,1902.375,24.851,0.472
1902,6,1902.458,23.479,2.170
1902,7,1902.542,24.125,1.782
1902,8,1902.625,23.835,1.527
1902,9,1902.708,23.658,1.508
1902,10,1902.792,23.801,1.750
1902,11,1902.875,24.287,0.769
1902,12,1902.958,24.355,0.731
1903,1,1903.042,24.305,0.967
1903,2,1903.125,24.469,1.637
1903,3,1903.208,23.955,2.038
1903,4,1903.292,24.433,0.848
1903,5,1903.375,24.709,0.914
1903,6,1903.458,24.900,0.615
1903,7,1903.542,24.656,1.047
1903,8,1903.625,24.862,0.612
1903,9,1903.708,24.035,1.218
1903,10,1903.792,25.450,0.444
1903,11,1903.875,24.778,0.643
1903,12,1903.958,25.067,1.137
1904,1,1904.042,24.351,1.301
1904,2,1904.125,24.050,0.458
1904,3,1904.208,24.313,0.486
1904,4,1904.292,24.506,0.427
1904,5,1904.375,24.209,1.063
1904,6,1904.458,24.306,0.609
1904,7,1904.542,24.191,1.140
1904,8,1904.625,24.413,0.836
1904,9,1904.708,23.934,0.930
1904,10,1904.792,23.708,1.587
1904,11,1904.875,24.328,1.218
1904,12,1904.958,24.211,0.810
1905,1,1905.042,24.520,1.229
1905,2,1905.125,24.416,0.895
1905,3,1905.208,24.377,1.109
1905,4,1905.292,24.157,1.124
1905,5,1905.375,24.602,0.595
1905,6,1905.458,24.427,0.617
1905,7,1905.542,24.603,0.696
1905,8,1905.625,24.624,0.683
1905,9,1905.708,24.547,0.675
1905,10,1905.792,24.732,0.643
1905,11,1905.875,24.680,0.793
1905,12,1905.958,25.220,1.175
1906,1,1906.042,25.110,0.961
1906,2,1906.125,24.313,1.143
1906,3,1906.208,24.524,1.322
1906,4,1906.292,25.115,0.817
1906,5,1906.375,24.919,0.685
1906,6,1906.458,24.375,0.928
1906,7,1906.542,24.815,0.783
1906,8,1906.625,24.937,0.661
1906,9,1906.708,24.869,0.710
1906,10,1906.792,24.072,1.948
1906,11,1906.875,23.948,1.283
1906,12,1906.958,24.225,1.563
1907,1,1907.042,24.158,0.758
1907,2,1907.125,24.328,0.930
1907,3,1907.208,24.421,0.880
1907,4,1907.292,24.924,1.282
1907,5,1907.375,25.032,1.419
1907,6,1907.458,24.705,1.861
1907,7,1907.542,25.401,1.381
