# Monthly average temperature data for Finland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,4.235,3.097
1750,2,1750.125,4.107,3.905
1750,3,1750.208,2.727,4.184
1750,4,1750.292,2.584,3.155
1750,5,1750.375,0.320,2.951
1750,6,1750.458,0.869,2.958
1750,7,1750.542,2.170,3.050
1750,8,1750.625,2.688,2.985
1750,9,1750.708,0.383,3.395
1750,10,1750.792,-2.768,2.966
1750,11,1750.875,-5.514,3.026
1750,12,1750.958,-2.727,3.152
1751,1,1751.042,0.655,3.110
1751,2,1751.125,-2.436,3.270
1751,3,1751.208,2.595,3.144
1751,4,1751.292,1.710,2.948
1751,5,1751.375,0.428,3.024
1751,6,1751.458,-0.663,2.984
1751,7,1751.542,1.918,3.184
1751,8,1751.625,1.286,2.943
1751,9,1751.708,0.160,2.930
1751,10,1751.792,-0.630,2.896
1751,11,1751.875,-0.822,2.682
1751,12,1751.958,1.048,2.797
1752,1,1752.042,-1.399,2.934
1752,2,1752.125,3.356,2.825
1752,3,1752.208,2.869,2.635
1752,4,1752.292,1.657,2.877
1752,5,1752.375,1.374,2.760
1752,6,1752.458,0.512,2.455
1752,7,1752.542,3.786,2.608
1752,8,1752.625,2.495,2.718
1752,10,1752.792,0.670,2.770
1752,11,1752.875,2.591,2.599
1752,12,1752.958,1.935,2.699
1753,1,1753.042,1.630,2.869
1753,2,1753.125,1.609,3.038
1753,3,1753.208,3.088,3.270
1753,4,1753.292,1.828,2.632
1753,5,1753.375,1.192,2.541
1753,6,1753.458,-0.158,2.664
1753,7,1753.542,0.672,2.762
1753,8,1753.625,0.842,2.587
1753,9,1753.708,1.090,2.548
1753,10,1753.792,2.030,2.691
1753,11,1753.875,1.015,2.594
