# Monthly average temperature data for France.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.720,1.837
1750,2,1750.125,10.770,2.099
1750,3,1750.208,12.408,2.539
1750,4,1750.292,10.816,1.609
1750,5,1750.375,9.765,1.603
1750,6,1750.458,10.642,1.691
1750,7,1750.542,11.236,1.733
1750,8,1750.625,10.862,1.596
1750,9,1750.708,10.434,2.205
1750,10,1750.792,9.106,1.577
1750,11,1750.875,7.696,1.609
1750,12,1750.958,8.418,1.752
1751,1,1751.042,9.304,1.836
1751,2,1751.125,7.794,1.822
1751,3,1751.208,11.311,1.646
1751,4,1751.292,9.284,1.575
1751,5,1751.375,9.542,1.665
1751,6,1751.458,10.239,1.709
1751,7,1751.542,11.036,1.696
1751,8,1751.625,11.141,1.550
1751,9,1751.708,9.592,1.525
1751,10,1751.792,8.891,1.688
1751,11,1751.875,7.696,1.742
1751,12,1751.958,8.569,2.055
1752,1,1752.042,9.599,1.777
1752,2,1752.125,11.490,1.841
1752,3,1752.208,10.596,1.613
1752,4,1752.292,9.490,1.604
1752,5,1752.375,9.825,1.641
1752,6,1752.458,12.183,1.563
1752,7,1752.542,10.680,1.679
1752,8,1752.625,9.750,1.807
1752,10,1752.792,9.693,1.636
1752,11,1752.875,10.510,1.711
1752,12,1752.958,9.723,1.900
1753,1,1753.042,7.501,2.160
1753,2,1753.125,9.894,2.992
1753,3,1753.208,11.635,2.091
1753,4,1753.292,10.340,1.778
1753,5,1753.375,10.742,1.360
1753,6,1753.458,12.625,1.687
1753,7,1753.542,11.292,1.552
1753,8,1753.625,9.480,1.931
1753,9,1753.708,10.329,1.291
1753,10,1753.792,10.284,1.527
1753,11,1753.875,8.992,1.691
1753,12,1753.958,10.378,5.067
1754,1,1754.042,9.303,2.687
1754,2,1754.125,7.975,2.894
1754,3,1754.208,7.198,1.250
1754,4,1754.292,10.368,1.670
1754,5,1754.375,11.420,1.504
1754,6,1754.458,11.050,1.556
1754,7,1754.542,9.779,1.556
1754,8,1754.625,11.084,1.644
1754,9,1754.708,10.059,1.990
1754,10,1754.792,11.425,1.763
1754,11,1754.875,11.610,2.526
1754,12,1754.958,10.139,1.765
1755,1,1755.042,5.908,1.457
1755,2,1755.125,7.150,1.783
1755,3,1755.208,9.565,1.512
1755,4,1755.292,13.994,1.993
1755,5,1755.375,10.181,1.520
1755,6,1755.458,12.959,2.167
1755,7,1755.542,10.290,2.751
1755,8,1755.625,9.183,1.606
1755,9,1755.708,9.370,1.471
1755,10,1755.792,9.853,1.292
1755,11,1755.875,9.901,2.683
1755,12,1755.958,10.035,1.487
1756,1,1756.042,11.641,2.236
1756,2,1756.125,11.856,4.590
1756,3,1756.208,10.356,3.016
1756,4,1756.292,9.677,2.589
1756,5,1756.375,10.448,4.694
1756,6,1756.458,12.053,2.138
1756,7,1756.542,10.413,7.614
1756,8,1756.625,9.964,3.387
1756,9,1756.708,10.987,1.451
1756,10,1756.792,9.042,10.366
1756,11,1756.875,7.951,1.519
1756,12,1756.958,7.668,2.466
1757,1,1757.042,7.226,1.890
1757,2,1757.125,9.655,3.631
1757,3,1757.208,9.557,3.575
1757,4,1757.292,10.695,1.627
1757,5,1757.375,11.372,1.555
1757,6,1757.458,12.203,1.929
1757,7,1757.542,13.076,3.248
1757,8,1757.625,11.515,4.810
1757,9,1757.708,9.429,6.237
1757,10,1757.792,7.103,6.888
1757,11,1757.875,9.748,8.625
1757,12,1757.958,8.611,1.744
1758,1,1758.042,6.892,7.032
1758,2,1758.125,9.604,4.849
1758,3,1758.208,10.502,1.696
1758,4,1758.292,9.601,2.838
1758,5,1758.375,11.184,6.802
1758,6,1758.458,11.348,4.310
