# Monthly average temperature data for French Polynesia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1876,8,1876.625,26.010,0.746
1876,9,1876.708,25.374,0.909
1876,10,1876.792,25.699,0.674
1876,11,1876.875,24.947,0.749
1876,12,1876.958,25.241,1.554
1877,7,1877.542,26.467,0.697
1877,8,1877.625,26.760,0.845
1877,9,1877.708,26.650,1.155
1877,10,1877.792,26.197,0.632
1877,11,1877.875,26.470,0.747
1877,12,1877.958,26.299,2.077
1878,1,1878.042,27.046,3.394
1878,2,1878.125,27.423,2.200
1878,3,1878.208,27.503,0.889
1878,4,1878.292,26.849,0.986
1878,5,1878.375,26.564,1.677
1878,6,1878.458,26.502,0.822
1878,7,1878.542,26.504,0.858
1878,8,1878.625,26.523,0.756
1878,9,1878.708,26.277,0.693
1878,10,1878.792,26.051,0.695
1878,11,1878.875,26.185,0.701
1878,12,1878.958,25.509,0.718
1879,1,1879.042,25.574,0.668
1879,2,1879.125,25.233,0.896
1879,3,1879.208,24.969,1.406
1879,4,1879.292,25.263,0.743
1879,5,1879.375,25.543,0.739
1879,6,1879.458,25.931,0.727
1879,7,1879.542,25.825,0.673
1879,8,1879.625,25.794,0.801
1879,9,1879.708,25.510,0.620
1879,10,1879.792,25.929,0.737
1879,11,1879.875,25.480,0.567
1879,12,1879.958,24.583,0.916
1880,1,1880.042,24.974,0.672
1880,2,1880.125,25.059,0.834
1880,3,1880.208,25.520,0.888
1880,4,1880.292,25.459,0.778
1880,5,1880.375,25.902,0.562
1880,6,1880.458,26.500,1.116
1880,7,1880.542,26.273,0.805
1880,8,1880.625,26.447,0.749
1880,9,1880.708,25.958,1.054
1880,10,1880.792,25.845,0.869
1880,11,1880.875,26.217,0.905
1880,12,1880.958,26.036,1.383
1881,1,1881.042,26.183,1.070
1881,2,1881.125,25.953,1.274
1881,3,1881.208,26.165,0.998
1881,4,1881.292,26.608,1.278
1881,5,1881.375,26.124,0.776
1881,6,1881.458,26.057,1.212
1881,7,1881.542,26.348,0.818
1881,8,1881.625,25.938,0.692
1881,9,1881.708,25.511,0.875
1881,10,1881.792,26.137,1.126
1881,11,1881.875,25.821,1.434
1881,12,1881.958,25.545,0.737
1882,1,1882.042,25.922,0.953
1882,2,1882.125,25.918,0.720
1882,3,1882.208,25.854,0.804
1882,4,1882.292,25.984,1.516
1882,5,1882.375,25.830,0.663
1882,6,1882.458,25.784,0.723
1882,7,1882.542,26.541,1.937
1882,8,1882.625,26.285,0.732
1882,9,1882.708,26.671,1.785
1882,10,1882.792,26.358,2.167
1882,11,1882.875,25.889,1.826
