# Monthly average temperature data for French Southern And Antarctic Lands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1948,2,1948.125,3.810,1.597
1948,3,1948.208,3.737,1.097
1948,4,1948.292,3.532,2.304
1948,5,1948.375,3.942,1.542
1948,6,1948.458,4.452,0.915
1948,7,1948.542,4.256,0.993
1948,8,1948.625,3.302,2.341
1948,9,1948.708,3.758,1.754
1948,10,1948.792,3.660,1.851
1948,11,1948.875,4.216,1.128
1948,12,1948.958,4.315,0.817
1949,1,1949.042,4.371,1.461
1949,2,1949.125,4.509,1.264
1949,3,1949.208,4.357,0.765
1949,4,1949.292,4.511,0.778
1949,5,1949.375,4.630,0.841
1949,6,1949.458,3.660,1.564
1949,7,1949.542,3.235,2.328
1949,8,1949.625,4.013,1.235
1949,9,1949.708,3.758,1.627
1949,10,1949.792,4.271,0.974
1949,11,1949.875,3.943,1.440
1949,12,1949.958,4.128,0.867
1950,1,1950.042,4.047,0.972
1950,2,1950.125,3.681,0.887
1950,3,1950.208,3.155,1.263
1950,4,1950.292,3.816,0.799
1950,5,1950.375,4.531,0.606
1950,6,1950.458,3.873,1.073
1950,7,1950.542,4.439,0.706
1950,8,1950.625,4.029,0.623
1950,9,1950.708,4.369,0.935
1950,10,1950.792,4.293,0.622
1950,11,1950.875,4.169,0.634
1950,12,1950.958,4.764,0.669
1951,1,1951.042,4.816,0.671
1951,2,1951.125,4.492,0.447
1951,3,1951.208,5.566,0.430
1951,4,1951.292,4.462,0.438
1951,5,1951.375,5.971,0.458
1951,6,1951.458,5.911,0.569
1951,7,1951.542,5.919,0.630
1951,8,1951.625,5.995,0.552
1951,9,1951.708,5.832,0.554
1951,10,1951.792,4.121,0.573
1951,11,1951.875,4.027,0.565
1951,12,1951.958,4.633,0.800
1952,1,1952.042,4.375,1.049
1952,2,1952.125,4.418,0.470
1952,3,1952.208,3.995,0.431
1952,4,1952.292,4.488,0.392
1952,5,1952.375,4.902,0.391
1952,6,1952.458,3.898,0.712
1952,7,1952.542,5.434,0.597
1952,8,1952.625,5.416,0.534
1952,9,1952.708,4.881,0.496
1952,10,1952.792,5.048,0.559
1952,11,1952.875,4.163,0.485
1952,12,1952.958,5.124,0.609
1953,1,1953.042,4.940,0.662
1953,2,1953.125,4.259,0.509
1953,3,1953.208,3.527,0.476
1953,4,1953.292,4.296,0.382
1953,5,1953.375,4.411,0.453
1953,6,1953.458,4.236,0.479
1953,7,1953.542,4.922,0.473
1953,8,1953.625,4.989,0.500
1953,9,1953.708,3.554,1.395
1953,10,1953.792,4.328,0.485
1953,11,1953.875,4.591,0.440
1953,12,1953.958,4.152,0.934
1954,1,1954.042,4.442,0.718
1954,2,1954.125,4.742,0.411
1954,3,1954.208,4.378,0.447
1954,4,1954.292,4.951,0.451
1954,5,1954.375,5.217,0.487
1954,6,1954.458,4.759,0.887
1954,7,1954.542,4.614,0.815
1954,8,1954.625,4.788,0.680
1954,9,1954.708,4.244,0.672
1954,10,1954.792,5.111,0.543
1954,11,1954.875,4.998,0.541
1954,12,1954.958,4.515,0.822
1955,1,1955.042,5.013,1.012
1955,2,1955.125,4.750,0.612
1955,3,1955.208,4.527,0.508
1955,4,1955.292,5.587,0.480
1955,5,1955.375,5.085,0.540
1955,6,1955.458,4.752,0.470
1955,7,1955.542,5.028,0.616
1955,8,1955.625,4.535,0.588
1955,9,1955.708,4.756,0.602
1955,10,1955.792,5.736,0.535
1955,11,1955.875,5.052,0.457
1955,12,1955.958,5.112,0.673
1956,1,1956.042,4.275,0.987
1956,2,1956.125,3.939,0.444
1956,3,1956.208,3.973,0.457
1956,4,1956.292,5.495,0.559
1956,5,1956.375,5.174,0.560
1956,6,1956.458,5.399,0.450
1956,7,1956.542,4.939,0.554
1956,8,1956.625,5.183,0.823
1956,9,1956.708,4.430,0.507
1956,10,1956.792,5.093,0.534
1956,11,1956.875,3.886,0.409
1956,12,1956.958,4.386,1.130
1957,1,1957.042,4.073,1.124
1957,2,1957.125,4.622,0.478
1957,3,1957.208,4.222,0.498
1957,4,1957.292,3.876,0.763
1957,5,1957.375,3.713,0.544
1957,6,1957.458,4.214,1.043
1957,7,1957.542,5.395,0.759
1957,8,1957.625,4.525,0.534
1957,9,1957.708,4.220,1.219
1957,10,1957.792,4.934,0.744
1957,11,1957.875,3.661,0.494
1957,12,1957.958,4.195,1.750
1958,1,1958.042,4.333,1.894
1958,2,1958.125,4.477,0.520
1958,3,1958.208,4.445,0.625
1958,4,1958.292,4.190,0.486
1958,5,1958.375,4.119,0.678
1958,6,1958.458,4.737,0.802
1958,7,1958.542,5.460,0.647
1958,8,1958.625,4.801,0.743
1958,9,1958.708,5.650,0.928
1958,10,1958.792,4.601,0.636
1958,11,1958.875,5.220,0.712
1958,12,1958.958,4.403,0.601
1959,1,1959.042,4.692,0.818
1959,2,1959.125,4.897,0.814
