# Monthly average temperature data for Gabon.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,3,1873.208,24.193,0.690
1873,5,1873.375,24.498,0.875
1873,6,1873.458,25.427,1.499
1873,7,1873.542,25.309,1.473
1873,8,1873.625,24.973,0.965
1873,9,1873.708,24.677,1.429
1873,10,1873.792,24.017,0.917
1873,12,1873.958,24.255,0.702
1874,1,1874.042,24.751,0.832
1874,2,1874.125,24.236,0.744
1874,3,1874.208,23.840,1.169
1874,4,1874.292,24.214,0.540
1874,5,1874.375,24.058,1.244
1874,7,1874.542,24.596,0.584
1874,8,1874.625,24.325,0.624
1874,9,1874.708,24.504,0.570
1874,10,1874.792,24.264,0.680
1874,11,1874.875,23.753,0.704
1874,12,1874.958,23.987,0.757
1875,1,1875.042,23.562,0.704
1875,2,1875.125,23.834,0.926
1875,3,1875.208,23.645,0.826
1875,4,1875.292,23.966,0.806
1875,5,1875.375,24.340,1.194
1875,6,1875.458,24.845,1.161
1875,7,1875.542,25.015,1.020
1875,8,1875.625,24.722,1.107
1875,9,1875.708,24.055,0.875
1875,10,1875.792,23.577,0.778
1875,11,1875.875,23.032,1.043
1875,12,1875.958,23.302,0.770
1876,1,1876.042,23.254,1.345
1876,2,1876.125,23.263,1.535
1876,3,1876.208,23.147,2.010
1876,5,1876.375,23.803,0.687
1876,6,1876.458,24.409,0.621
1876,10,1876.792,24.661,0.996
1876,11,1876.875,24.096,1.331
1876,12,1876.958,23.854,1.622
1877,1,1877.042,24.251,1.034
1877,2,1877.125,24.089,0.766
1877,3,1877.208,24.303,0.787
1877,4,1877.292,24.099,0.625
1877,5,1877.375,24.136,0.671
1877,6,1877.458,24.875,1.024
1877,7,1877.542,24.913,0.747
1877,8,1877.625,25.221,0.736
1877,9,1877.708,24.563,0.715
1877,10,1877.792,24.600,0.680
1877,11,1877.875,24.580,0.767
1877,12,1877.958,24.241,1.275
1878,1,1878.042,24.138,0.878
1878,2,1878.125,24.809,0.774
1878,3,1878.208,25.411,1.129
1878,4,1878.292,24.898,0.782
1878,5,1878.375,24.096,0.740
1878,6,1878.458,24.742,0.860
1878,7,1878.542,24.420,1.772
1878,8,1878.625,24.050,1.763
1878,9,1878.708,24.163,1.046
1878,10,1878.792,24.203,0.887
1878,11,1878.875,24.117,1.380
1878,12,1878.958,23.785,1.155
1879,1,1879.042,23.460,1.498
1879,2,1879.125,23.793,0.611
1879,3,1879.208,23.333,0.888
1879,4,1879.292,23.471,0.693
1879,5,1879.375,23.578,0.527
1879,6,1879.458,23.544,0.717
1879,7,1879.542,23.391,1.129
1879,8,1879.625,23.803,0.651
1879,9,1879.708,23.678,0.597
1879,10,1879.792,23.934,1.165
1879,11,1879.875,23.580,0.612
1879,12,1879.958,23.138,1.024
1880,1,1880.042,23.082,1.115
1880,2,1880.125,23.070,0.944
1880,3,1880.208,22.742,1.026
1880,4,1880.292,23.097,1.125
1880,5,1880.375,23.065,1.324
1880,6,1880.458,23.355,0.821
1880,7,1880.542,24.455,0.716
1880,8,1880.625,24.275,0.923
1880,9,1880.708,23.826,0.842
1880,10,1880.792,23.756,0.741
1880,11,1880.875,23.987,0.670
1880,12,1880.958,24.019,0.667
1881,1,1881.042,23.726,1.231
1881,2,1881.125,24.165,1.255
1881,3,1881.208,23.990,1.695
1881,4,1881.292,24.057,1.148
1881,5,1881.375,23.877,1.201
1881,6,1881.458,23.192,1.359
1881,7,1881.542,23.939,1.271
1881,8,1881.625,24.069,1.217
1881,9,1881.708,24.121,0.576
1881,10,1881.792,23.985,1.278
1881,11,1881.875,24.089,0.625
1881,12,1881.958,24.366,1.072
1882,1,1882.042,24.715,0.737
1882,2,1882.125,24.655,0.890
1882,3,1882.208,24.232,0.761
1882,4,1882.292,23.935,0.882
1882,5,1882.375,23.970,0.769
1882,7,1882.542,23.857,0.626
1882,8,1882.625,23.836,0.999
1882,9,1882.708,24.173,0.783
1882,10,1882.792,23.922,0.458
1882,11,1882.875,24.060,0.751
1883,3,1883.208,24.464,1.250
1883,4,1883.292,24.683,0.989
1883,5,1883.375,24.438,0.653
1883,6,1883.458,24.532,0.635
1883,7,1883.542,24.880,0.624
1883,8,1883.625,24.804,1.036
1883,9,1883.708,24.294,1.227
1883,10,1883.792,24.191,0.820
1883,11,1883.875,23.841,0.838
1883,12,1883.958,24.125,0.588
