# Monthly average temperature data for Gambia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,27.049,1.216
1849,2,1849.125,27.074,1.571
1849,3,1849.208,27.382,1.705
1849,4,1849.292,26.406,1.033
1849,5,1849.375,26.376,0.945
1849,6,1849.458,26.614,0.977
1849,7,1849.542,26.846,1.544
1849,8,1849.625,26.487,0.915
1849,9,1849.708,26.575,0.867
1849,10,1849.792,26.893,0.973
1849,11,1849.875,26.957,1.671
1849,12,1849.958,27.126,2.295
1850,1,1850.042,26.574,1.553
1850,2,1850.125,27.362,1.737
1850,3,1850.208,27.293,1.344
1850,4,1850.292,26.751,1.207
1850,5,1850.375,26.429,1.351
1850,6,1850.458,26.923,0.908
1850,7,1850.542,26.796,1.412
1850,8,1850.625,26.715,1.112
1850,9,1850.708,26.892,0.951
1850,10,1850.792,26.363,0.994
1850,11,1850.875,26.508,1.257
1850,12,1850.958,27.435,1.053
1851,1,1851.042,27.303,0.902
1851,2,1851.125,26.927,1.263
1851,3,1851.208,26.830,1.114
1851,4,1851.292,26.915,1.325
1851,5,1851.375,26.931,1.136
1851,6,1851.458,26.774,1.120
1851,7,1851.542,27.155,1.082
1851,8,1851.625,26.768,0.859
1851,9,1851.708,26.904,1.026
1851,10,1851.792,26.859,1.684
1851,11,1851.875,26.476,1.256
1851,12,1851.958,27.588,1.337
1857,9,1857.708,29.679,5.542
1858,3,1858.208,26.286,1.764
1858,4,1858.292,26.719,2.226
1858,5,1858.375,26.617,1.189
1858,6,1858.458,28.442,2.334
1858,7,1858.542,28.063,2.060
1858,8,1858.625,28.344,3.223
1858,9,1858.708,28.350,3.045
1858,11,1858.875,27.128,1.195
1858,12,1858.958,25.838,2.094
1859,1,1859.042,26.641,1.514
1859,3,1859.208,26.462,2.094
1859,4,1859.292,30.252,4.067
1859,5,1859.375,30.084,4.723
1859,6,1859.458,29.270,3.530
1859,9,1859.708,27.130,0.972
1860,1,1860.042,26.064,2.086
1860,2,1860.125,25.941,2.058
1860,3,1860.208,27.755,2.717
1860,5,1860.375,26.286,2.173
1860,6,1860.458,26.517,1.826
1860,7,1860.542,26.139,2.814
1860,8,1860.625,26.540,1.738
1860,9,1860.708,25.652,3.240
1860,10,1860.792,24.984,4.233
1860,11,1860.875,24.786,3.559
1862,1,1862.042,26.321,1.616
1862,2,1862.125,24.949,1.008
1862,3,1862.208,24.692,1.493
1862,4,1862.292,24.887,1.878
1862,6,1862.458,26.201,1.338
1862,7,1862.542,27.850,1.006
1862,8,1862.625,27.685,1.194
1862,9,1862.708,27.803,0.889
1862,10,1862.792,27.052,0.731
1862,12,1862.958,25.822,1.642
1865,1,1865.042,28.146,1.330
1865,2,1865.125,27.555,1.803
1865,3,1865.208,27.376,1.738
1865,4,1865.292,26.981,1.397
1865,5,1865.375,27.324,1.245
1865,6,1865.458,26.960,0.883
1865,7,1865.542,27.336,1.315
1865,8,1865.625,26.786,1.166
1865,9,1865.708,27.191,0.986
1865,10,1865.792,27.476,0.907
1865,11,1865.875,27.670,1.041
1865,12,1865.958,26.593,1.384
1866,1,1866.042,26.958,1.734
1866,2,1866.125,26.592,1.515
1866,3,1866.208,26.583,1.532
1866,5,1866.375,26.651,1.246
1866,6,1866.458,26.849,1.223
1868,1,1868.042,27.381,0.936
1868,2,1868.125,27.284,1.243
1868,3,1868.208,25.611,1.416
1868,4,1868.292,25.440,0.986
1868,6,1868.458,25.238,1.069
1868,7,1868.542,27.614,0.717
1868,8,1868.625,28.294,0.768
1868,9,1868.708,28.665,0.985
1868,10,1868.792,26.676,1.123
1868,11,1868.875,25.894,0.841
1868,12,1868.958,27.782,1.353
1869,1,1869.042,26.735,1.333
1869,2,1869.125,26.674,1.631
1869,5,1869.375,25.677,0.960
1869,6,1869.458,27.929,0.727
1869,7,1869.542,28.499,0.834
1869,8,1869.625,27.910,0.787
1869,9,1869.708,28.853,1.005
1869,10,1869.792,28.506,0.753
1869,11,1869.875,25.680,0.872
1869,12,1869.958,27.010,1.001
1870,1,1870.042,27.610,1.144
1870,2,1870.125,25.481,1.212
1870,4,1870.292,25.379,0.959
1870,5,1870.375,25.395,0.942
1870,6,1870.458,27.444,1.413
1870,7,1870.542,28.521,1.013
1870,8,1870.625,28.397,1.101
1870,9,1870.708,28.613,0.819
1870,10,1870.792,28.807,1.288
1870,11,1870.875,27.496,0.926
1870,12,1870.958,28.008,1.159
1873,7,1873.542,27.166,1.352
1873,8,1873.625,26.853,0.840
1873,9,1873.708,27.819,0.745
1873,10,1873.792,26.760,0.768
1873,11,1873.875,25.942,1.336
1873,12,1873.958,27.570,0.645
1874,1,1874.042,25.995,0.837
1874,2,1874.125,26.811,0.843
1874,3,1874.208,25.716,0.612
1874,4,1874.292,27.693,0.850
1874,5,1874.375,26.406,1.131
1874,6,1874.458,27.533,0.877
1874,7,1874.542,26.638,0.786
1874,8,1874.625,26.021,0.958
1874,9,1874.708,27.311,0.767
1874,10,1874.792,27.412,1.217
1874,11,1874.875,26.684,1.122
1874,12,1874.958,27.170,1.113
1875,1,1875.042,27.206,1.107
1875,2,1875.125,26.225,0.906
1875,3,1875.208,26.774,0.787
1875,4,1875.292,27.060,0.931
1875,5,1875.375,26.281,0.874
1875,6,1875.458,26.396,0.697
1875,7,1875.542,27.000,1.286
1875,8,1875.625,26.482,1.124
1875,9,1875.708,27.442,1.137
1875,10,1875.792,26.707,0.583
1875,11,1875.875,25.736,1.321
1875,12,1875.958,27.147,0.764
1876,1,1876.042,26.761,0.831
1876,2,1876.125,27.260,1.092
1876,3,1876.208,28.257,0.620
1876,4,1876.292,28.140,1.395
1876,5,1876.375,27.017,1.031
1876,6,1876.458,27.844,0.924
1876,7,1876.542,27.049,1.170
1876,8,1876.625,26.550,0.963
1876,9,1876.708,26.791,1.054
1876,10,1876.792,27.060,1.267
1876,11,1876.875,27.304,1.752
1876,12,1876.958,27.845,1.966
1877,1,1877.042,27.622,1.670
1877,2,1877.125,27.110,1.156
1877,3,1877.208,27.145,0.965
