# Monthly average temperature data for Gaza Strip.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1808,10,1808.792,17.840,2.474
1808,11,1808.875,17.174,2.596
1808,12,1808.958,16.333,2.933
1809,1,1809.042,16.875,2.455
1809,2,1809.125,16.553,2.261
1809,3,1809.208,17.141,2.836
1809,4,1809.292,19.065,3.043
1809,5,1809.375,16.858,2.892
1809,6,1809.458,18.850,2.487
1809,7,1809.542,17.456,2.892
1809,8,1809.625,18.099,2.459
1809,9,1809.708,18.372,2.150
1809,10,1809.792,18.412,3.077
1809,11,1809.875,15.894,2.862
1809,12,1809.958,16.987,3.699
1810,1,1810.042,17.433,2.733
1810,2,1810.125,18.697,2.645
1810,3,1810.208,19.464,2.057
1810,4,1810.292,17.820,3.436
1810,5,1810.375,17.138,3.902
1810,6,1810.458,17.694,3.195
1810,7,1810.542,17.622,2.307
1810,8,1810.625,17.349,2.651
1810,9,1810.708,16.869,3.312
1810,10,1810.792,16.122,2.207
1810,11,1810.875,16.753,2.443
1810,12,1810.958,18.004,2.381
1811,1,1811.042,17.568,2.562
1811,2,1811.125,15.965,3.202
1811,3,1811.208,16.557,5.150
1811,4,1811.292,16.806,2.355
1811,5,1811.375,17.081,2.670
1811,6,1811.458,17.445,2.750
1811,7,1811.542,16.834,3.404
1811,8,1811.625,19.023,2.501
1811,9,1811.708,17.694,2.964
1811,10,1811.792,17.004,3.641
1811,11,1811.875,16.133,2.318
1811,12,1811.958,18.625,2.393
1812,1,1812.042,17.552,4.955
1812,2,1812.125,15.781,3.458
1812,3,1812.208,16.124,2.643
1812,4,1812.292,17.876,3.645
1812,5,1812.375,17.179,2.228
1812,6,1812.458,17.815,2.136
1812,7,1812.542,19.441,2.215
1812,8,1812.625,20.187,2.282
1812,9,1812.708,17.378,2.944
1812,10,1812.792,17.555,2.238
1812,11,1812.875,18.047,3.426
1812,12,1812.958,17.061,2.546
1813,1,1813.042,14.398,3.194
1813,2,1813.125,16.682,2.344
1813,3,1813.208,14.942,2.553
1813,4,1813.292,18.331,2.516
1813,5,1813.375,19.557,4.200
1813,6,1813.458,18.851,2.289
1813,7,1813.542,18.849,2.086
1813,8,1813.625,18.060,2.151
1813,9,1813.708,19.255,2.683
1813,10,1813.792,18.806,2.314
1813,11,1813.875,20.067,2.601
1813,12,1813.958,17.973,3.177
1814,1,1814.042,19.208,2.765
