# Monthly average temperature data for Georgia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1812,5,1812.375,5.769,2.126
1812,6,1812.458,7.529,2.285
1812,7,1812.542,9.726,2.530
1812,8,1812.625,10.294,2.194
1812,9,1812.708,5.915,4.028
1812,10,1812.792,7.515,2.456
1812,11,1812.875,7.136,3.408
1812,12,1812.958,2.829,4.412
1813,1,1813.042,1.412,3.483
1813,2,1813.125,5.318,3.459
1813,3,1813.208,4.422,3.259
1813,4,1813.292,7.083,2.817
1813,6,1813.458,7.730,2.447
1813,7,1813.542,6.923,2.760
1813,8,1813.625,6.930,2.352
1813,9,1813.708,8.070,3.055
1819,1,1819.042,6.875,3.011
1819,2,1819.125,7.665,1.840
1819,3,1819.208,7.846,7.451
1819,5,1819.375,6.636,2.857
1819,6,1819.458,6.156,2.527
1819,7,1819.542,5.730,1.874
1819,8,1819.625,6.226,1.848
1820,3,1820.208,8.972,2.371
1820,5,1820.375,7.306,2.299
1820,7,1820.542,7.064,1.893
1820,8,1820.625,6.640,2.446
1820,10,1820.792,5.102,3.370
1820,11,1820.875,7.449,2.402
1821,2,1821.125,9.032,4.254
1821,3,1821.208,9.588,3.363
1821,6,1821.458,6.114,3.550
1821,7,1821.542,5.904,2.872
1821,8,1821.625,6.152,1.930
1821,9,1821.708,6.285,2.297
1821,10,1821.792,6.776,2.224
1821,11,1821.875,7.182,2.611
1821,12,1821.958,7.998,2.344
1822,1,1822.042,9.252,3.091
1822,2,1822.125,7.336,2.866
1822,3,1822.208,8.604,3.642
1822,4,1822.292,7.221,2.650
1822,5,1822.375,6.171,2.441
1822,7,1822.542,7.380,2.225
1822,8,1822.625,6.861,2.245
1822,9,1822.708,6.429,2.653
1822,10,1822.792,6.724,2.425
1822,11,1822.875,6.477,2.338
1822,12,1822.958,4.142,3.144
1823,1,1823.042,6.725,2.739
1823,2,1823.125,8.593,3.119
1823,3,1823.208,9.294,2.818
1823,4,1823.292,7.000,2.893
1823,7,1823.542,8.588,2.193
1823,9,1823.708,7.102,2.230
1823,10,1823.792,6.310,2.572
1823,11,1823.875,6.717,2.849
1823,12,1823.958,8.287,2.192
1824,1,1824.042,9.220,2.284
1824,2,1824.125,7.957,3.341
1824,3,1824.208,10.042,2.065
1824,4,1824.292,7.870,2.292
1824,5,1824.375,7.998,2.375
1824,6,1824.458,8.683,3.069
1824,7,1824.542,7.957,2.649
1824,8,1824.625,8.385,2.216
1824,9,1824.708,8.286,2.745
1824,10,1824.792,8.415,2.106
1824,11,1824.875,8.114,2.305
1824,12,1824.958,9.873,2.593
1825,1,1825.042,6.981,2.932
1825,2,1825.125,6.209,2.215
1825,3,1825.208,5.722,2.331
1825,4,1825.292,6.641,2.565
1825,5,1825.375,6.812,2.507
1825,6,1825.458,8.429,2.356
1825,7,1825.542,7.473,2.984
1825,8,1825.625,7.451,2.869
1825,9,1825.708,7.411,2.577
1825,10,1825.792,7.269,2.410
1825,11,1825.875,9.657,3.539
1825,12,1825.958,8.032,2.194
1826,1,1826.042,7.712,2.221
1826,2,1826.125,4.333,2.340
1826,3,1826.208,6.772,2.429
1826,4,1826.292,6.338,2.584
1826,5,1826.375,7.121,2.123
1826,6,1826.458,7.474,2.673
1826,7,1826.542,8.894,2.228
1826,8,1826.625,8.012,2.437
1826,9,1826.708,7.913,2.175
1826,10,1826.792,6.338,2.516
1826,11,1826.875,9.022,2.036
1826,12,1826.958,9.525,2.639
1827,1,1827.042,10.076,3.191
1827,2,1827.125,8.237,2.760
1827,3,1827.208,9.686,2.560
1827,4,1827.292,7.972,2.899
1827,5,1827.375,7.703,2.671
1827,6,1827.458,9.530,2.562
1827,7,1827.542,9.460,2.176
1827,8,1827.625,8.522,2.373
1827,9,1827.708,7.323,2.360
1827,10,1827.792,8.182,2.407
1827,11,1827.875,8.973,2.269
1827,12,1827.958,7.056,2.177
1828,1,1828.042,4.580,2.362
1828,2,1828.125,4.558,2.285
1828,3,1828.208,9.351,2.291
1828,4,1828.292,8.471,2.886
1828,5,1828.375,7.482,2.552
1828,6,1828.458,9.335,2.481
1828,7,1828.542,9.090,2.332
1828,8,1828.625,8.521,2.170
1828,9,1828.708,6.136,1.980
1828,10,1828.792,6.943,2.267
1828,11,1828.875,7.608,2.204
1828,12,1828.958,4.228,2.942
1829,1,1829.042,6.229,2.111
1829,2,1829.125,7.330,2.171
1829,3,1829.208,8.198,2.025
1829,4,1829.292,8.764,2.036
1829,5,1829.375,7.549,2.678
1829,6,1829.458,7.168,2.335
1829,7,1829.542,7.858,2.290
1829,8,1829.625,8.120,2.177
1829,9,1829.708,7.844,2.002
1829,10,1829.792,7.688,2.008
1829,11,1829.875,6.191,2.172
1829,12,1829.958,4.798,2.655
1830,1,1830.042,7.183,2.424
1830,2,1830.125,7.498,2.510
1830,3,1830.208,6.238,2.075
1830,4,1830.292,7.011,2.108
1830,5,1830.375,7.800,2.042
1830,6,1830.458,8.830,2.552
1830,7,1830.542,8.100,2.382
1830,8,1830.625,8.698,2.252
1830,9,1830.708,7.726,2.188
1830,10,1830.792,7.004,1.978
1830,11,1830.875,7.620,2.786
1830,12,1830.958,10.714,2.826
1831,1,1831.042,7.894,3.093
1831,2,1831.125,7.888,4.980
1831,3,1831.208,8.190,2.718
1831,4,1831.292,6.984,2.089
1831,5,1831.375,8.124,2.633
1831,6,1831.458,8.184,2.598
1831,7,1831.542,7.107,2.003
1831,8,1831.625,6.464,2.196
1831,9,1831.708,6.285,2.229
1831,10,1831.792,5.824,2.116
1831,11,1831.875,6.691,2.805
1831,12,1831.958,6.577,2.387
1832,1,1832.042,6.607,2.510
1832,2,1832.125,5.708,3.041
1832,3,1832.208,5.338,2.299
1832,4,1832.292,5.622,2.082
1832,5,1832.375,7.548,2.062
1832,6,1832.458,7.210,2.093
1832,7,1832.542,6.479,2.451
1832,8,1832.625,5.870,2.083
1832,9,1832.708,6.445,1.957
1832,10,1832.792,6.277,2.160
1832,11,1832.875,3.775,2.493
1832,12,1832.958,4.449,2.779
1833,1,1833.042,5.483,3.454
1833,2,1833.125,8.318,1.980
1833,3,1833.208,6.950,2.754
1833,4,1833.292,7.600,1.854
1833,5,1833.375,7.161,1.956
1833,6,1833.458,9.255,2.029
1833,7,1833.542,8.619,2.193
1833,8,1833.625,6.703,2.088
1833,9,1833.708,7.765,2.338
1833,10,1833.792,5.949,2.024
1833,11,1833.875,7.181,2.949
1833,12,1833.958,7.360,2.400
1834,1,1834.042,6.734,2.395
1834,2,1834.125,4.391,2.137
1834,3,1834.208,8.939,1.859
1834,4,1834.292,6.332,2.258
1834,5,1834.375,8.442,1.783
1834,6,1834.458,8.064,1.936
1834,7,1834.542,6.791,1.992
1834,8,1834.625,7.346,1.992
1834,9,1834.708,7.992,2.038
1834,10,1834.792,7.014,2.128
1834,11,1834.875,7.883,2.008
1834,12,1834.958,6.779,2.220
1835,1,1835.042,8.095,2.586
1835,2,1835.125,8.830,2.802
1835,3,1835.208,8.503,2.758
1835,4,1835.292,7.286,2.157
1835,5,1835.375,6.671,2.041
1835,6,1835.458,6.754,2.407
1835,7,1835.542,7.109,2.192
1835,8,1835.625,5.418,1.936
1835,9,1835.708,5.090,2.048
1835,10,1835.792,8.630,2.197
1835,11,1835.875,5.872,2.762
1835,12,1835.958,4.844,2.657
1836,1,1836.042,5.823,2.331
1836,2,1836.125,6.894,2.115
1836,3,1836.208,10.087,2.012
1836,4,1836.292,7.343,2.495
1836,5,1836.375,6.684,2.194
1836,6,1836.458,7.825,2.100
1836,7,1836.542,5.807,2.044
1836,8,1836.625,5.649,3.484
1836,9,1836.708,7.179,2.617
1836,10,1836.792,9.302,3.348
1836,11,1836.875,7.071,3.098
1836,12,1836.958,9.217,2.009
1837,1,1837.042,8.770,2.347
1837,2,1837.125,5.770,3.166
1837,3,1837.208,8.557,2.072
1837,4,1837.292,8.203,2.161
1837,5,1837.375,7.499,3.338
1837,6,1837.458,7.297,1.934
1837,7,1837.542,5.955,2.304
1837,8,1837.625,6.980,2.145
1837,9,1837.708,8.601,1.665
1837,10,1837.792,5.016,2.175
1837,11,1837.875,6.277,2.546
1837,12,1837.958,4.935,2.582
1838,1,1838.042,1.982,3.125
1838,2,1838.125,8.259,1.898
1838,3,1838.208,7.037,2.756
1838,4,1838.292,6.466,2.552
1838,5,1838.375,7.451,1.782
1838,6,1838.458,6.291,1.744
1838,7,1838.542,6.299,1.897
1838,8,1838.625,7.131,1.926
1838,9,1838.708,8.155,2.313
1838,10,1838.792,6.176,2.436
1838,11,1838.875,8.571,2.717
1838,12,1838.958,7.116,1.778
1839,1,1839.042,9.088,2.451
1839,2,1839.125,9.474,2.480
1839,3,1839.208,4.427,2.227
1839,4,1839.292,5.281,2.199
1839,5,1839.375,6.488,1.873
1839,6,1839.458,7.094,1.677
1839,7,1839.542,8.270,1.999
1839,8,1839.625,10.015,2.279
1839,9,1839.708,7.609,2.179
1839,10,1839.792,6.795,2.532
1839,11,1839.875,7.106,1.802
1839,12,1839.958,3.254,2.231
1840,1,1840.042,6.580,2.143
1840,2,1840.125,4.890,1.957
1840,3,1840.208,5.189,2.438
1840,4,1840.292,4.786,1.764
1840,5,1840.375,5.913,1.979
1840,6,1840.458,7.247,1.706
1840,7,1840.542,10.115,1.583
1840,8,1840.625,7.509,1.690
1840,9,1840.708,7.743,1.534
1840,10,1840.792,8.004,1.523
1840,11,1840.875,8.324,1.946
1840,12,1840.958,4.285,2.184
1841,1,1841.042,6.648,2.490
1841,2,1841.125,4.769,2.418
1841,3,1841.208,3.976,1.834
1841,4,1841.292,6.548,2.910
1841,5,1841.375,7.033,1.695
1841,6,1841.458,8.837,1.667
1841,7,1841.542,9.779,1.810
1841,8,1841.625,7.781,1.728
1841,9,1841.708,8.667,1.684
1841,10,1841.792,9.770,1.622
1841,11,1841.875,7.091,1.954
1841,12,1841.958,7.327,2.653
1842,1,1842.042,6.050,2.705
1842,2,1842.125,8.242,1.838
1842,3,1842.208,8.680,1.778
1842,4,1842.292,6.876,1.739
1842,5,1842.375,6.825,1.761
1842,6,1842.458,7.911,2.162
1842,7,1842.542,6.379,1.947
1842,8,1842.625,7.034,1.737
1842,9,1842.708,7.291,1.856
1842,10,1842.792,7.268,1.997
1842,11,1842.875,9.066,1.936
1842,12,1842.958,8.440,2.076
1843,1,1843.042,9.068,1.528
1843,2,1843.125,11.939,2.064
1843,3,1843.208,8.489,1.668
1843,4,1843.292,7.136,1.819
1843,5,1843.375,6.033,1.700
1843,6,1843.458,8.025,1.479
1843,7,1843.542,7.204,1.364
1843,8,1843.625,6.480,1.461
1843,9,1843.708,6.968,1.654
1843,10,1843.792,8.851,1.826
1843,11,1843.875,6.931,1.431
1843,12,1843.958,7.023,2.212
1844,1,1844.042,9.185,1.832
1844,2,1844.125,11.530,1.740
1844,3,1844.208,8.792,2.055
1844,4,1844.292,4.516,1.893
1844,5,1844.375,6.929,1.163
1844,6,1844.458,6.753,1.556
1844,7,1844.542,8.741,1.119
1844,8,1844.625,8.067,1.116
1844,9,1844.708,7.975,1.182
1844,10,1844.792,6.975,1.012
1844,11,1844.875,5.659,1.187
1844,12,1844.958,2.963,1.501
1845,1,1845.042,5.112,3.321
1845,2,1845.125,6.596,2.679
1845,3,1845.208,9.023,1.214
1845,4,1845.292,7.990,1.404
1845,5,1845.375,8.331,1.572
1845,6,1845.458,7.641,1.188
1845,7,1845.542,8.296,1.183
1845,8,1845.625,8.066,1.234
1845,9,1845.708,6.486,1.917
1845,10,1845.792,8.073,1.781
1845,11,1845.875,6.610,2.048
1845,12,1845.958,7.809,2.859
1846,1,1846.042,8.935,4.534
1846,2,1846.125,9.481,2.112
1846,3,1846.208,7.931,0.910
1846,4,1846.292,7.517,2.244
1846,5,1846.375,6.817,1.073
1846,6,1846.458,6.169,2.322
1846,7,1846.542,8.059,1.791
1846,8,1846.625,8.195,0.980
1846,9,1846.708,8.553,1.028
1846,10,1846.792,8.267,2.557
1846,11,1846.875,4.419,1.875
1846,12,1846.958,10.877,1.648
1847,1,1847.042,5.845,2.155
1847,2,1847.125,10.484,2.308
1847,3,1847.208,6.339,2.689
1847,4,1847.292,8.361,1.331
1847,5,1847.375,6.809,1.157
1847,6,1847.458,8.428,1.755
1847,7,1847.542,9.285,2.104
1847,8,1847.625,8.414,1.567
1847,9,1847.708,10.355,1.722
1847,10,1847.792,7.795,1.549
1847,11,1847.875,6.928,1.809
1847,12,1847.958,2.478,2.444
1848,1,1848.042,3.774,1.953
1848,2,1848.125,7.105,3.124
1848,3,1848.208,8.934,0.920
1848,4,1848.292,8.949,2.750
1848,5,1848.375,7.930,2.070
1848,6,1848.458,9.749,0.942
1848,7,1848.542,9.812,1.181
1848,8,1848.625,9.199,0.893
1848,9,1848.708,7.984,0.910
1848,10,1848.792,8.853,1.251
1848,11,1848.875,9.207,1.950
1848,12,1848.958,4.296,1.859
1849,1,1849.042,7.461,1.713
1849,2,1849.125,8.393,1.970
1849,3,1849.208,7.086,1.792
1849,4,1849.292,7.335,2.721
1849,5,1849.375,8.034,1.088
1849,6,1849.458,8.336,1.291
1849,7,1849.542,8.558,1.788
1849,8,1849.625,8.413,0.966
1849,9,1849.708,7.827,2.185
1849,10,1849.792,9.198,1.040
1849,11,1849.875,8.193,2.304
1849,12,1849.958,7.541,2.575
1850,1,1850.042,6.001,1.574
1850,2,1850.125,7.704,2.715
1850,3,1850.208,6.912,1.670
1850,4,1850.292,5.591,1.333
1850,5,1850.375,6.398,0.945
1850,6,1850.458,7.939,2.595
1850,7,1850.542,8.759,1.125
1850,8,1850.625,8.297,1.875
1850,9,1850.708,7.962,1.334
1850,10,1850.792,8.359,1.202
1850,11,1850.875,8.071,3.194
1850,12,1850.958,7.070,1.813
1851,1,1851.042,6.853,1.828
1851,2,1851.125,7.436,1.997
1851,3,1851.208,7.470,0.894
1851,4,1851.292,7.895,1.201
1851,5,1851.375,11.705,1.705
1851,6,1851.458,9.015,0.877
1851,7,1851.542,8.743,1.472
1851,8,1851.625,9.694,1.714
1851,9,1851.708,10.162,1.240
1851,10,1851.792,8.297,1.576
1851,11,1851.875,9.184,2.842
1851,12,1851.958,6.930,2.882
1852,1,1852.042,7.150,1.723
