# Monthly average temperature data for Germany.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,7.427,1.485
1750,2,1750.125,10.107,2.350
1750,3,1750.208,10.829,2.767
1750,4,1750.292,8.653,1.133
1750,5,1750.375,7.635,1.069
1750,6,1750.458,8.215,1.208
1750,7,1750.542,9.215,1.546
1750,8,1750.625,8.406,1.148
1750,9,1750.708,8.080,1.718
1750,10,1750.792,6.041,0.842
1750,11,1750.875,4.212,1.057
1750,12,1750.958,6.204,1.412
1751,1,1751.042,6.934,1.556
1751,2,1751.125,5.095,1.615
1751,3,1751.208,9.419,1.241
1751,4,1751.292,6.735,0.943
1751,5,1751.375,7.477,1.112
1751,6,1751.458,7.803,1.175
1751,7,1751.542,8.685,1.449
1751,8,1751.625,8.833,0.802
1751,9,1751.708,7.420,0.772
1751,10,1751.792,6.708,1.181
1751,11,1751.875,5.384,1.295
1751,12,1751.958,6.717,1.958
1752,1,1752.042,7.671,1.443
1752,2,1752.125,8.617,1.455
1752,3,1752.208,8.413,1.033
1752,4,1752.292,7.427,1.193
1752,5,1752.375,7.220,1.017
1752,6,1752.458,9.520,0.841
1752,7,1752.542,8.764,1.107
1752,8,1752.625,7.810,1.423
1752,10,1752.792,7.651,1.100
1752,11,1752.875,8.178,1.221
1752,12,1752.958,7.768,1.678
1753,1,1753.042,5.760,1.663
1753,2,1753.125,7.671,2.016
1753,3,1753.208,9.436,1.281
1753,4,1753.292,8.705,1.763
1753,5,1753.375,8.272,0.679
1753,6,1753.458,8.842,1.678
1753,7,1753.542,8.318,1.545
1753,8,1753.625,7.057,1.077
1753,9,1753.708,7.851,0.853
1753,10,1753.792,7.978,0.962
1753,11,1753.875,6.298,0.967
1753,12,1753.958,6.340,3.758
1754,1,1754.042,7.308,1.671
1754,2,1754.125,6.469,1.820
1754,3,1754.208,4.695,0.769
1754,4,1754.292,7.666,1.183
1754,5,1754.375,9.274,0.887
1754,6,1754.458,8.192,1.320
1754,7,1754.542,6.957,1.831
1754,8,1754.625,8.006,1.439
1754,9,1754.708,7.217,1.402
1754,10,1754.792,8.644,1.032
1754,11,1754.875,8.338,2.217
1754,12,1754.958,7.716,1.261
1755,1,1755.042,3.687,1.895
1755,2,1755.125,3.668,2.671
1755,3,1755.208,6.848,1.418
1755,4,1755.292,11.100,1.518
1755,5,1755.375,7.964,1.021
1755,6,1755.458,10.359,1.901
1755,7,1755.542,8.564,2.634
1755,8,1755.625,6.854,1.267
1755,9,1755.708,6.588,0.889
1755,10,1755.792,7.273,0.713
1755,11,1755.875,7.054,2.579
1755,12,1755.958,8.535,1.739
1756,1,1756.042,10.253,2.263
1756,2,1756.125,10.007,5.199
1756,3,1756.208,8.589,3.020
1756,4,1756.292,7.016,2.512
1756,5,1756.375,7.352,5.883
1756,6,1756.458,10.074,2.152
1756,7,1756.542,9.168,8.210
1756,8,1756.625,7.645,2.957
1756,9,1756.708,8.639,1.331
1756,10,1756.792,7.469,10.416
1756,11,1756.875,5.559,0.907
1756,12,1756.958,5.382,1.539
1757,1,1757.042,5.746,1.703
1757,2,1757.125,8.425,4.075
1757,3,1757.208,7.965,4.621
1757,4,1757.292,9.360,1.195
