# Monthly average temperature data for Ghana.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,7,1873.542,27.186,1.279
1873,8,1873.625,26.850,0.859
1873,9,1873.708,26.962,0.928
1873,10,1873.792,26.396,0.799
1873,12,1873.958,26.739,0.712
1874,1,1874.042,26.470,0.825
1874,2,1874.125,26.265,0.782
1874,3,1874.208,25.856,0.882
1874,4,1874.292,26.810,0.641
1874,5,1874.375,26.233,1.022
1874,7,1874.542,26.532,0.682
1874,8,1874.625,26.247,0.650
1874,9,1874.708,26.754,0.685
1874,10,1874.792,26.473,1.087
1874,11,1874.875,25.888,0.857
1874,12,1874.958,26.212,0.898
1875,1,1875.042,25.773,0.887
1875,2,1875.125,25.924,1.138
1875,3,1875.208,26.099,0.799
1875,4,1875.292,26.322,0.827
1875,5,1875.375,26.215,0.954
1875,6,1875.458,26.626,0.883
1875,7,1875.542,26.589,1.170
1875,8,1875.625,26.291,0.982
1875,9,1875.708,26.214,1.021
1875,10,1875.792,25.985,0.591
1875,11,1875.875,25.243,1.164
1875,12,1875.958,25.791,0.568
1876,1,1876.042,25.790,0.915
1876,2,1876.125,25.497,1.186
1876,3,1876.208,26.077,1.210
1876,5,1876.375,26.004,0.822
1876,6,1876.458,26.778,0.703
1876,10,1876.792,26.405,1.205
1876,11,1876.875,25.722,1.511
1876,12,1876.958,25.835,1.760
1877,1,1877.042,26.126,1.392
1877,2,1877.125,26.038,0.831
1877,3,1877.208,26.566,0.802
1877,4,1877.292,26.520,0.578
1877,5,1877.375,26.543,0.621
1877,6,1877.458,26.990,0.859
1877,7,1877.542,27.285,0.665
1877,8,1877.625,27.148,0.714
1877,9,1877.708,26.898,0.749
1877,10,1877.792,26.730,0.702
1877,11,1877.875,26.640,0.777
1877,12,1877.958,26.614,1.124
1878,1,1878.042,26.408,1.027
1878,2,1878.125,26.904,0.827
1878,3,1878.208,27.691,0.943
1878,4,1878.292,27.132,1.043
1878,5,1878.375,26.479,0.817
1878,6,1878.458,27.181,1.087
1878,7,1878.542,26.674,1.152
1878,8,1878.625,26.458,0.964
1878,9,1878.708,26.662,0.856
1878,10,1878.792,26.639,0.927
1878,11,1878.875,26.541,0.938
1878,12,1878.958,26.418,1.098
1879,1,1879.042,26.017,1.324
1879,2,1879.125,26.419,0.851
1879,3,1879.208,26.150,0.766
1879,4,1879.292,26.166,0.666
1879,5,1879.375,25.982,0.682
1879,6,1879.458,26.900,1.073
1879,7,1879.542,25.954,0.885
1879,8,1879.625,25.691,0.608
1879,9,1879.708,26.176,0.566
1879,10,1879.792,26.581,0.775
1879,11,1879.875,26.164,0.588
1879,12,1879.958,26.098,0.805
1880,1,1880.042,26.164,0.917
1880,2,1880.125,25.754,0.803
1880,3,1880.208,26.185,1.072
1880,4,1880.292,26.149,0.755
1880,5,1880.375,26.738,0.913
1880,6,1880.458,26.736,1.093
1880,7,1880.542,27.177,1.066
1880,8,1880.625,27.228,1.167
1880,9,1880.708,26.469,0.765
1880,10,1880.792,27.112,1.278
1880,11,1880.875,26.676,0.849
1880,12,1880.958,26.932,0.913
1881,1,1881.042,27.151,0.867
1881,2,1881.125,26.678,1.137
1881,3,1881.208,27.346,1.147
1881,4,1881.292,27.088,0.945
1881,5,1881.375,27.175,0.748
1881,7,1881.542,27.482,1.112
1881,9,1881.708,26.789,0.787
1881,10,1881.792,26.593,0.984
1881,11,1881.875,26.267,0.827
1881,12,1881.958,26.718,0.956
1882,1,1882.042,26.870,0.927
1882,2,1882.125,26.519,0.912
1882,3,1882.208,26.768,0.909
1882,4,1882.292,26.160,0.857
1882,5,1882.375,26.432,0.793
1882,7,1882.542,26.684,0.857
1882,8,1882.625,26.453,0.913
1882,9,1882.708,26.606,0.699
1882,10,1882.792,26.653,0.662
1882,11,1882.875,25.996,0.915
1883,3,1883.208,26.713,1.323
1883,4,1883.292,27.246,1.032
1883,5,1883.375,26.446,0.802
1883,6,1883.458,27.336,0.716
1883,10,1883.792,27.005,0.752
1883,11,1883.875,26.631,1.728
1884,2,1884.125,26.900,1.099
1884,3,1884.208,26.926,1.797
1884,4,1884.292,26.756,1.482
1884,5,1884.375,26.434,1.321
1886,1,1886.042,26.366,0.845
1886,2,1886.125,26.231,0.608
1886,3,1886.208,27.420,1.898
1886,4,1886.292,26.379,1.283
1886,5,1886.375,26.514,0.424
1886,6,1886.458,27.169,2.204
1886,7,1886.542,26.856,0.700
1886,8,1886.625,26.872,0.838
1886,9,1886.708,26.396,0.713
1886,10,1886.792,26.206,0.735
1886,11,1886.875,26.125,0.683
1886,12,1886.958,25.449,1.155
1887,1,1887.042,25.821,1.350
1887,2,1887.125,25.518,0.642
1887,3,1887.208,25.810,1.516
1887,4,1887.292,26.115,0.714
1887,5,1887.375,26.032,1.168
1887,6,1887.458,25.455,0.574
1887,7,1887.542,25.712,0.637
1887,8,1887.625,25.389,0.623
1887,9,1887.708,26.535,1.362
1887,10,1887.792,26.233,0.728
1887,11,1887.875,25.927,0.794
1887,12,1887.958,26.656,0.611
1888,1,1888.042,26.060,0.767
1888,2,1888.125,26.184,0.603
1888,3,1888.208,27.060,0.572
1888,4,1888.292,27.171,0.597
1888,5,1888.375,26.405,0.605
1888,6,1888.458,25.516,1.842
1888,7,1888.542,25.804,0.651
