# Monthly average temperature data for Greece.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1791,5,1791.375,14.276,1.731
1791,6,1791.458,14.261,2.845
1791,7,1791.542,14.317,2.196
1791,8,1791.625,15.550,2.077
1791,9,1791.708,13.702,1.947
1791,10,1791.792,14.126,1.693
1791,11,1791.875,15.358,2.269
1791,12,1791.958,15.206,1.719
1792,1,1792.042,14.524,3.662
1792,2,1792.125,14.410,3.225
1792,3,1792.208,14.772,2.299
1792,4,1792.292,14.820,1.928
1792,5,1792.375,14.853,2.077
1792,6,1792.458,15.984,1.633
1792,7,1792.542,15.086,2.244
1792,8,1792.625,13.412,1.830
1792,9,1792.708,15.059,2.276
1792,10,1792.792,14.304,1.994
1792,11,1792.875,13.308,2.638
1792,12,1792.958,13.845,2.143
1793,1,1793.042,12.825,2.778
1793,2,1793.125,15.145,2.113
1793,3,1793.208,14.399,2.100
1793,4,1793.292,13.743,3.172
1793,5,1793.375,13.622,1.623
1793,6,1793.458,13.721,2.619
1793,7,1793.542,14.941,1.769
1793,8,1793.625,14.396,2.031
1793,9,1793.708,15.385,3.125
1793,10,1793.792,14.687,2.572
1793,11,1793.875,13.719,3.537
1793,12,1793.958,14.684,3.097
1794,1,1794.042,16.225,2.581
1794,2,1794.125,14.789,4.327
1794,3,1794.208,15.425,1.657
1794,4,1794.292,16.530,2.915
1794,5,1794.375,15.880,2.331
1794,6,1794.458,13.939,3.331
1794,7,1794.542,14.770,4.985
1794,8,1794.625,14.169,2.444
1794,9,1794.708,14.455,1.630
1794,10,1794.792,14.342,1.710
1794,11,1794.875,14.145,2.247
1794,12,1794.958,13.376,3.448
1795,1,1795.042,12.739,2.921
1795,2,1795.125,15.420,2.714
1795,3,1795.208,16.205,1.928
1795,4,1795.292,16.118,3.714
1795,5,1795.375,15.536,2.281
1795,6,1795.458,14.750,2.504
1795,7,1795.542,14.401,2.294
1795,8,1795.625,14.837,2.318
1795,9,1795.708,13.244,1.850
1795,11,1795.875,13.386,3.291
1795,12,1795.958,14.954,3.174
1796,1,1796.042,16.790,2.928
1796,2,1796.125,15.022,3.624
1796,3,1796.208,12.628,2.538
1796,4,1796.292,12.969,2.444
1796,5,1796.375,14.946,1.619
1796,6,1796.458,14.895,3.104
1796,7,1796.542,14.974,2.451
1796,8,1796.625,15.335,3.937
1796,9,1796.708,15.500,3.613
1796,10,1796.792,15.715,1.912
1796,11,1796.875,14.115,2.848
1796,12,1796.958,13.438,3.579
1797,1,1797.042,15.922,5.185
