# Monthly average temperature data for Greenland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1784,9,1784.708,-21.588,2.799
1784,10,1784.792,-22.153,2.664
1784,11,1784.875,-22.479,3.309
1784,12,1784.958,-18.498,3.154
1785,1,1785.042,-22.722,3.548
1785,2,1785.125,-23.297,3.855
1785,3,1785.208,-19.619,3.329
1785,4,1785.292,-21.232,2.635
1785,5,1785.375,-21.241,3.130
1785,6,1785.458,-19.248,3.489
1785,7,1785.542,-18.683,3.711
1785,8,1785.625,-18.902,2.963
1785,9,1785.708,-20.749,2.722
1785,10,1785.792,-20.563,2.985
1785,11,1785.875,-20.742,2.938
1785,12,1785.958,-20.707,2.675
1786,1,1786.042,-21.517,3.595
1786,2,1786.125,-20.457,2.772
1786,3,1786.208,-18.769,3.252
1786,4,1786.292,-17.314,3.905
1786,5,1786.375,-18.951,3.411
1786,6,1786.458,-19.064,2.840
1786,7,1786.542,-17.987,3.663
1786,8,1786.625,-18.772,5.149
1786,9,1786.708,-19.443,4.180
1786,10,1786.792,-20.192,2.885
1786,11,1786.875,-17.082,7.928
1786,12,1786.958,-20.623,2.856
1787,1,1787.042,-20.486,4.306
1787,2,1787.125,-21.319,4.688
1787,3,1787.208,-20.643,4.851
1787,4,1787.292,-19.135,3.183
1787,5,1787.375,-19.657,2.678
1787,6,1787.458,-17.353,3.097
1788,11,1788.875,-19.026,3.188
1788,12,1788.958,-18.383,4.573
1789,1,1789.042,-17.931,4.858
1789,2,1789.125,-22.134,2.780
1789,3,1789.208,-19.933,3.638
1789,4,1789.292,-19.138,2.919
1789,5,1789.375,-19.657,4.831
1789,6,1789.458,-17.906,2.840
1789,7,1789.542,-17.326,3.898
1789,8,1789.625,-19.593,2.574
1789,9,1789.708,-18.971,2.766
1789,10,1789.792,-20.443,2.810
1789,11,1789.875,-18.539,3.023
1789,12,1789.958,-20.276,3.041
1790,1,1790.042,-20.515,3.329
1790,2,1790.125,-20.854,3.456
1790,3,1790.208,-20.288,2.915
1790,4,1790.292,-20.423,2.676
1790,5,1790.375,-20.266,2.768
1790,6,1790.458,-19.166,2.806
1790,7,1790.542,-19.051,3.732
1790,8,1790.625,-18.734,3.012
1790,9,1790.708,-20.066,2.888
1790,10,1790.792,-20.030,2.829
1790,11,1790.875,-20.009,2.861
1790,12,1790.958,-21.278,2.711
1791,1,1791.042,-24.241,5.444
1791,2,1791.125,-20.971,3.062
1791,3,1791.208,-20.985,3.533
1791,4,1791.292,-17.868,2.962
1791,5,1791.375,-21.639,2.757
1791,6,1791.458,-19.338,3.097
1791,7,1791.542,-18.934,2.751
1791,8,1791.625,-19.759,2.524
1791,9,1791.708,-18.591,2.706
1791,10,1791.792,-20.174,2.609
1791,11,1791.875,-19.836,2.849
1791,12,1791.958,-20.130,3.873
1792,1,1792.042,-21.930,3.323
1792,2,1792.125,-19.924,3.374
1792,3,1792.208,-20.580,2.729
1792,4,1792.292,-18.987,2.924
1792,5,1792.375,-19.924,2.647
1792,6,1792.458,-19.193,2.861
1796,10,1796.792,-20.684,3.580
1796,11,1796.875,-19.742,3.802
1796,12,1796.958,-20.329,3.610
1797,1,1797.042,-18.784,7.356
1797,2,1797.125,-19.876,2.938
1797,3,1797.208,-20.202,3.287
1797,4,1797.292,-20.446,3.614
1797,5,1797.375,-19.459,3.842
1797,6,1797.458,-18.540,2.816
1797,7,1797.542,-18.661,3.064
1797,8,1797.625,-18.735,2.890
1797,9,1797.708,-18.277,3.056
1797,10,1797.792,-18.593,3.247
1797,11,1797.875,-20.086,3.053
1797,12,1797.958,-20.018,2.628
1798,1,1798.042,-21.088,2.725
1798,2,1798.125,-20.033,3.744
1798,3,1798.208,-16.533,3.065
1798,4,1798.292,-19.104,3.173
1798,5,1798.375,-18.551,3.695
1798,6,1798.458,-19.091,2.716
1798,7,1798.542,-18.355,2.759
1798,8,1798.625,-19.253,3.190
1798,9,1798.708,-19.248,3.371
1798,10,1798.792,-19.593,3.097
1798,11,1798.875,-19.446,4.030
1798,12,1798.958,-21.230,3.886
1799,1,1799.042,-20.731,3.391
1799,2,1799.125,-19.741,3.286
1799,3,1799.208,-20.760,2.891
1799,4,1799.292,-18.893,2.943
1799,5,1799.375,-19.261,2.732
1799,6,1799.458,-19.422,2.672
1799,9,1799.708,-18.630,3.121
1799,10,1799.792,-19.364,2.713
1799,11,1799.875,-20.124,3.712
1799,12,1799.958,-17.267,3.136
1800,1,1800.042,-19.528,2.686
1800,2,1800.125,-19.320,3.910
1800,3,1800.208,-18.371,2.744
1800,4,1800.292,-19.147,2.939
1800,5,1800.375,-18.921,3.237
1800,6,1800.458,-18.497,2.784
1800,7,1800.542,-19.612,2.663
1800,8,1800.625,-19.659,2.642
1800,9,1800.708,-19.805,2.983
1800,10,1800.792,-18.833,2.671
1800,11,1800.875,-20.374,2.754
1800,12,1800.958,-20.012,2.778
1801,1,1801.042,-20.865,3.314
1801,2,1801.125,-19.809,2.670
1801,3,1801.208,-18.850,2.641
1801,4,1801.292,-19.936,2.795
1801,5,1801.375,-19.767,2.623
1801,6,1801.458,-20.221,2.913
1801,7,1801.542,-18.726,3.039
1801,8,1801.625,-19.749,3.013
1801,9,1801.708,-19.324,2.872
1801,10,1801.792,-19.282,2.738
1801,11,1801.875,-20.665,2.655
1801,12,1801.958,-19.507,3.048
1802,1,1802.042,-18.946,3.029
1802,2,1802.125,-22.339,2.612
1802,3,1802.208,-21.346,3.317
1802,4,1802.292,-20.744,2.573
1802,5,1802.375,-20.366,2.850
1807,8,1807.625,-20.626,3.458
1807,9,1807.708,-18.623,2.739
