# Monthly average temperature data for Grenada.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.224,1.700
1824,2,1824.125,26.099,2.837
1824,3,1824.208,26.381,1.028
1824,4,1824.292,27.163,1.480
1824,5,1824.375,26.293,1.258
1824,6,1824.458,26.443,2.352
1824,7,1824.542,26.527,1.851
1824,8,1824.625,25.816,1.022
1824,9,1824.708,25.846,2.524
1824,10,1824.792,25.390,0.651
1824,11,1824.875,26.172,0.826
1824,12,1824.958,26.331,2.950
1825,1,1825.042,26.559,2.096
1825,2,1825.125,26.402,1.198
1825,3,1825.208,27.074,1.646
1825,4,1825.292,27.630,0.893
1825,5,1825.375,26.985,1.613
1825,6,1825.458,26.923,1.169
1825,7,1825.542,26.672,2.318
1825,8,1825.625,26.391,2.076
1825,9,1825.708,25.692,1.832
1825,10,1825.792,25.812,1.111
1825,11,1825.875,26.502,2.379
1825,12,1825.958,26.666,1.476
1826,1,1826.042,26.970,1.305
1826,2,1826.125,25.627,1.561
1826,3,1826.208,25.453,1.707
1826,4,1826.292,26.477,1.553
1826,5,1826.375,26.797,1.134
1826,6,1826.458,26.489,1.774
1826,7,1826.542,26.451,1.691
1826,8,1826.625,25.823,1.361
1826,9,1826.708,25.442,1.253
1826,10,1826.792,25.754,1.301
1826,11,1826.875,26.811,1.840
1826,12,1826.958,27.343,2.055
1827,1,1827.042,26.839,3.574
1827,2,1827.125,26.452,2.698
1827,3,1827.208,26.926,1.842
1827,4,1827.292,27.339,2.278
1827,5,1827.375,26.770,1.658
1827,7,1827.542,26.565,1.347
1827,8,1827.625,25.752,2.052
1827,9,1827.708,25.579,1.496
1827,10,1827.792,25.580,1.956
1827,11,1827.875,26.779,0.934
1827,12,1827.958,26.459,1.850
1828,1,1828.042,25.575,1.583
1828,2,1828.125,25.502,1.688
1828,3,1828.208,26.418,1.601
1828,4,1828.292,26.817,2.191
1828,5,1828.375,26.824,1.449
1828,6,1828.458,26.818,1.702
1828,7,1828.542,26.557,1.469
1828,8,1828.625,26.460,0.828
1828,9,1828.708,25.456,1.534
1828,11,1828.875,26.790,1.188
1828,12,1828.958,26.057,2.795
1829,1,1829.042,25.964,1.612
1829,2,1829.125,25.859,1.757
1829,3,1829.208,26.678,1.036
1829,4,1829.292,26.850,1.498
1829,5,1829.375,26.875,1.511
1829,6,1829.458,26.306,1.488
1829,7,1829.542,26.462,1.171
1829,8,1829.625,26.022,0.928
1829,9,1829.708,25.699,0.848
1829,11,1829.875,26.295,1.243
1829,12,1829.958,26.259,1.584
1846,1,1846.042,27.368,3.253
1846,2,1846.125,27.073,1.564
1846,3,1846.208,27.263,0.798
1846,4,1846.292,26.228,1.642
1846,5,1846.375,26.679,1.197
1846,6,1846.458,26.964,1.334
1846,7,1846.542,26.961,1.163
1846,8,1846.625,26.657,0.676
1846,9,1846.708,26.426,0.770
1846,10,1846.792,25.773,1.239
1846,11,1846.875,25.808,1.297
1846,12,1846.958,26.482,1.464
1847,1,1847.042,26.793,1.757
1847,2,1847.125,26.437,1.759
1847,3,1847.208,25.646,1.352
1847,4,1847.292,26.145,1.286
1847,5,1847.375,25.738,0.828
1847,6,1847.458,26.200,1.097
