# Monthly average temperature data for Guadeloupe.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.127,0.587
1824,2,1824.125,25.741,2.505
1824,3,1824.208,26.313,1.055
1824,4,1824.292,26.717,2.292
1824,5,1824.375,26.067,1.586
1824,7,1824.542,26.721,1.316
1824,8,1824.625,25.707,2.114
1824,9,1824.708,25.552,1.909
1824,10,1824.792,25.260,0.686
1824,11,1824.875,26.205,1.641
1824,12,1824.958,26.498,2.865
1825,1,1825.042,26.519,2.269
1825,2,1825.125,26.244,1.580
1825,3,1825.208,26.889,1.825
1825,4,1825.292,27.139,1.986
1825,5,1825.375,26.540,1.685
1825,6,1825.458,26.655,0.761
1825,7,1825.542,26.693,2.824
1825,8,1825.625,26.115,2.205
1825,9,1825.708,25.443,1.249
1825,10,1825.792,25.543,1.311
1825,11,1825.875,26.520,2.868
1825,12,1825.958,26.377,1.605
1826,2,1826.125,25.428,1.734
1826,3,1826.208,25.480,1.485
1826,4,1826.292,26.311,1.925
1826,5,1826.375,26.511,1.095
1826,7,1826.542,26.417,0.905
1826,8,1826.625,25.544,1.372
1826,9,1826.708,25.181,1.847
1826,10,1826.792,25.458,2.179
1826,11,1826.875,26.577,1.181
1826,12,1826.958,27.254,1.679
1827,1,1827.042,26.588,2.582
1827,2,1827.125,26.709,2.548
1827,3,1827.208,26.915,1.898
1827,4,1827.292,27.141,1.883
1827,5,1827.375,26.570,1.608
1827,7,1827.542,26.620,0.747
1827,8,1827.625,25.651,1.455
1827,9,1827.708,25.177,0.847
1827,10,1827.792,25.385,1.101
1827,11,1827.875,26.727,0.705
1827,12,1827.958,26.237,2.851
1828,1,1828.042,25.629,2.256
1828,2,1828.125,25.623,1.050
1828,3,1828.208,26.296,0.953
1828,4,1828.292,26.461,2.011
1828,5,1828.375,26.474,1.818
1828,6,1828.458,26.731,1.925
1828,7,1828.542,26.531,0.770
1828,8,1828.625,26.270,1.036
1828,9,1828.708,25.126,1.450
1828,11,1828.875,26.749,2.077
1828,12,1828.958,26.310,4.059
1829,1,1829.042,25.822,2.751
1829,2,1829.125,25.523,2.568
1829,3,1829.208,26.251,1.076
1829,4,1829.292,26.376,1.524
1829,5,1829.375,26.440,2.669
1829,7,1829.542,26.434,0.924
1829,8,1829.625,25.897,1.461
1829,9,1829.708,25.382,1.119
1829,11,1829.875,25.958,1.764
1829,12,1829.958,25.989,3.119
1845,1,1845.042,26.156,1.296
1845,2,1845.125,24.896,1.460
1845,3,1845.208,25.635,0.831
1845,4,1845.292,25.829,0.924
1845,5,1845.375,25.532,0.713
1845,6,1845.458,25.697,0.804
1845,7,1845.542,26.407,0.904
1845,8,1845.625,25.896,0.834
1845,9,1845.708,25.553,0.930
1846,1,1846.042,26.816,3.286
1846,2,1846.125,26.491,1.747
1846,3,1846.208,26.955,0.919
1846,4,1846.292,25.440,1.863
1846,5,1846.375,26.025,0.866
1846,6,1846.458,26.430,0.998
1846,7,1846.542,26.731,0.777
1846,8,1846.625,26.339,0.773
1846,9,1846.708,26.000,0.884
1846,10,1846.792,25.432,0.980
1846,11,1846.875,25.357,1.133
1846,12,1846.958,26.239,1.371
1847,1,1847.042,26.599,1.086
1847,2,1847.125,26.210,1.484
1847,3,1847.208,25.249,1.808
1847,4,1847.292,25.812,0.941
1847,5,1847.375,25.217,0.880
1847,6,1847.458,25.922,1.018
1847,7,1847.542,26.185,0.907
1847,8,1847.625,25.973,0.964
1847,9,1847.708,25.914,1.069
1847,10,1847.792,25.703,0.881
1847,11,1847.875,25.895,1.127
1847,12,1847.958,24.727,1.274
1848,1,1848.042,24.844,1.110
1848,2,1848.125,26.217,1.336
1848,3,1848.208,25.581,0.835
1848,4,1848.292,25.875,0.994
1848,5,1848.375,25.347,1.128
1848,6,1848.458,25.897,1.400
1848,7,1848.542,26.592,1.128
1848,8,1848.625,25.718,0.871
1848,9,1848.708,25.621,1.004
1848,10,1848.792,25.808,0.989
1848,11,1848.875,25.628,1.000
1848,12,1848.958,25.616,0.913
1849,1,1849.042,26.102,1.253
1849,2,1849.125,25.732,1.364
1849,3,1849.208,26.149,1.269
1849,4,1849.292,25.109,1.539
1849,5,1849.375,25.318,0.998
1849,6,1849.458,25.771,1.226
1849,7,1849.542,26.348,1.197
1849,8,1849.625,25.963,0.928
1849,9,1849.708,25.626,1.148
1849,10,1849.792,26.040,0.936
1849,11,1849.875,25.602,1.195
1849,12,1849.958,25.486,1.110
1850,1,1850.042,25.200,1.071
1850,2,1850.125,25.993,1.345
1850,3,1850.208,25.989,0.976
1850,4,1850.292,25.431,1.250
1850,5,1850.375,25.295,0.999
1850,6,1850.458,25.941,0.988
1850,7,1850.542,26.504,0.793
1850,8,1850.625,26.265,0.880
1850,9,1850.708,26.167,0.762
1850,10,1850.792,25.591,1.239
1850,11,1850.875,25.411,1.452
1850,12,1850.958,25.657,1.237
1851,1,1851.042,26.128,0.854
1851,2,1851.125,25.672,1.023
1851,3,1851.208,25.277,0.840
1851,4,1851.292,25.490,1.396
1851,5,1851.375,25.687,1.147
1851,6,1851.458,26.032,1.059
1851,7,1851.542,26.818,0.708
1851,8,1851.625,26.108,0.983
1851,9,1851.708,25.705,0.817
1851,10,1851.792,26.027,1.275
1851,11,1851.875,25.589,1.709
1851,12,1851.958,25.799,0.953
1852,1,1852.042,25.605,1.498
1852,2,1852.125,25.456,1.306
1852,3,1852.208,24.870,1.122
1852,4,1852.292,25.513,1.069
1852,5,1852.375,26.165,1.297
1852,6,1852.458,26.072,1.146
1852,7,1852.542,26.178,0.632
1852,8,1852.625,26.006,1.027
1852,9,1852.708,25.878,0.710
1852,10,1852.792,25.635,0.878
1852,11,1852.875,25.478,0.860
1852,12,1852.958,25.787,1.613
1853,1,1853.042,26.125,1.354
1853,2,1853.125,25.024,3.302
1853,3,1853.208,25.797,1.036
1853,4,1853.292,25.964,1.904
1853,5,1853.375,25.809,1.127
1853,6,1853.458,26.068,0.921
1853,7,1853.542,26.345,0.660
1853,8,1853.625,25.705,0.942
1853,9,1853.708,25.577,0.666
1853,10,1853.792,25.660,1.376
1853,11,1853.875,25.968,1.369
1853,12,1853.958,26.329,1.146
1854,1,1854.042,25.879,1.192
1854,2,1854.125,25.229,0.870
1854,3,1854.208,25.578,0.922
1854,4,1854.292,25.246,0.777
