# Monthly average temperature data for Guatemala.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1852,10,1852.792,22.694,1.298
1852,11,1852.875,23.014,1.350
1852,12,1852.958,24.187,1.184
1853,2,1853.125,22.415,1.999
1853,3,1853.208,22.385,1.195
1853,4,1853.292,22.903,1.112
1853,7,1853.542,23.563,1.449
1853,8,1853.625,22.909,1.248
1853,9,1853.708,22.801,0.878
1853,10,1853.792,23.017,1.204
1853,11,1853.875,22.276,1.900
1853,12,1853.958,22.210,1.336
1854,12,1854.958,21.996,2.638
1855,1,1855.042,22.824,1.756
1855,2,1855.125,21.947,1.628
1855,3,1855.208,22.146,1.341
1855,4,1855.292,22.822,1.404
1855,5,1855.375,23.463,1.138
1855,6,1855.458,22.981,1.097
1855,8,1855.625,22.418,1.037
1855,9,1855.708,22.303,0.882
1855,10,1855.792,21.796,1.384
1855,11,1855.875,22.857,1.032
1855,12,1855.958,23.063,1.699
1856,2,1856.125,22.520,1.451
1856,6,1856.458,23.395,1.644
1856,7,1856.542,22.908,1.065
1856,8,1856.625,23.312,0.969
1857,2,1857.125,22.749,2.225
1857,3,1857.208,21.248,1.711
1857,4,1857.292,22.483,3.105
1857,5,1857.375,22.567,1.981
1857,6,1857.458,23.398,2.051
1857,7,1857.542,23.189,1.039
1857,8,1857.625,22.935,0.815
1857,9,1857.708,22.650,0.968
1857,10,1857.792,23.600,1.954
1857,11,1857.875,23.127,1.010
1857,12,1857.958,22.907,1.332
1858,1,1858.042,24.889,2.410
1858,2,1858.125,22.962,1.600
1858,3,1858.208,21.584,2.403
1858,4,1858.292,22.786,1.309
1858,5,1858.375,23.887,1.494
1858,6,1858.458,23.839,2.304
1858,7,1858.542,22.511,0.925
1858,8,1858.625,22.534,1.229
1858,9,1858.708,23.722,2.598
1858,10,1858.792,23.739,1.008
1858,11,1858.875,22.581,1.837
1858,12,1858.958,23.079,0.942
1859,1,1859.042,22.707,0.985
1859,2,1859.125,23.693,1.504
1859,3,1859.208,23.618,1.021
1859,4,1859.292,23.207,1.499
1859,5,1859.375,23.238,0.954
1859,6,1859.458,22.893,0.744
1859,7,1859.542,23.214,0.951
1859,8,1859.625,23.211,0.828
1859,9,1859.708,22.757,0.566
1859,10,1859.792,23.088,0.805
1859,11,1859.875,22.131,1.469
1859,12,1859.958,22.203,1.418
1860,1,1860.042,22.586,0.998
1860,2,1860.125,22.610,0.982
1860,3,1860.208,21.117,1.691
1860,4,1860.292,22.883,0.973
1860,5,1860.375,22.022,2.235
1860,6,1860.458,23.865,0.997
1860,7,1860.542,23.046,1.589
1860,8,1860.625,22.804,1.159
1860,9,1860.708,23.041,0.671
1860,10,1860.792,22.523,1.061
1860,11,1860.875,23.213,1.195
1860,12,1860.958,22.748,1.338
1863,1,1863.042,22.994,1.019
1863,2,1863.125,23.864,2.958
1863,3,1863.208,23.099,1.282
1863,4,1863.292,22.537,1.670
1863,5,1863.375,22.673,1.724
1863,6,1863.458,23.396,1.261
1863,7,1863.542,22.907,0.746
1863,8,1863.625,22.591,1.363
1863,9,1863.708,22.466,1.404
1863,10,1863.792,22.302,1.179
1863,11,1863.875,22.569,0.943
1863,12,1863.958,22.106,2.129
1866,3,1866.208,22.342,1.539
1866,4,1866.292,22.302,1.028
1866,5,1866.375,22.850,0.900
1866,7,1866.542,22.885,0.916
1866,8,1866.625,22.703,1.116
1866,9,1866.708,23.052,0.743
1866,10,1866.792,22.352,0.835
1866,11,1866.875,22.413,0.743
1866,12,1866.958,23.517,1.037
1867,1,1867.042,23.553,1.226
1867,2,1867.125,23.464,1.258
1867,3,1867.208,23.908,0.947
1867,4,1867.292,22.933,0.803
1867,5,1867.375,22.934,0.790
1867,6,1867.458,23.515,0.663
1867,7,1867.542,23.176,1.010
1867,8,1867.625,23.175,1.059
1867,9,1867.708,23.110,0.761
1867,10,1867.792,22.957,0.848
1867,11,1867.875,22.081,1.337
1867,12,1867.958,23.409,1.393
1868,1,1868.042,23.398,1.092
1868,2,1868.125,21.827,1.386
1868,3,1868.208,23.014,1.202
1868,4,1868.292,22.327,0.930
1868,5,1868.375,22.389,0.964
1868,6,1868.458,22.885,0.798
1868,7,1868.542,23.133,0.771
1868,8,1868.625,22.840,0.782
1868,9,1868.708,22.543,0.868
1868,10,1868.792,22.978,1.132
1868,11,1868.875,21.821,1.011
1868,12,1868.958,22.384,1.428
1869,1,1869.042,24.707,1.418
1869,2,1869.125,25.187,1.690
1869,3,1869.208,23.731,1.447
1869,4,1869.292,24.260,1.233
1869,5,1869.375,23.590,0.883
1870,7,1870.542,23.810,1.221
1870,8,1870.625,23.485,1.065
1870,9,1870.708,24.202,1.402
1870,10,1870.792,22.652,1.123
1870,11,1870.875,21.969,0.950
1870,12,1870.958,21.649,1.434
1871,1,1871.042,22.025,0.965
1871,2,1871.125,23.278,1.703
1871,3,1871.208,23.015,1.235
1871,4,1871.292,23.416,1.090
1871,5,1871.375,22.867,1.028
1871,6,1871.458,23.481,0.971
1871,7,1871.542,23.397,1.179
1871,8,1871.625,23.925,1.070
1871,9,1871.708,23.254,0.978
1871,10,1871.792,22.666,0.944
1871,11,1871.875,22.422,1.471
1871,12,1871.958,22.175,1.117
1872,1,1872.042,22.205,1.153
1872,2,1872.125,23.221,1.497
1872,3,1872.208,22.887,1.406
1872,4,1872.292,24.094,1.543
1872,5,1872.375,23.627,1.214
1872,6,1872.458,23.909,1.350
1872,7,1872.542,23.607,1.348
1872,8,1872.625,23.544,1.417
1872,9,1872.708,24.016,1.343
1872,10,1872.792,22.943,0.959
1872,11,1872.875,21.911,1.131
1872,12,1872.958,21.655,1.171
1873,1,1873.042,21.591,1.211
1873,2,1873.125,24.108,1.076
1873,3,1873.208,22.490,0.920
1873,4,1873.292,22.145,1.355
1873,5,1873.375,23.329,1.062
1873,6,1873.458,23.562,1.389
1873,7,1873.542,23.228,1.221
1873,8,1873.625,22.941,0.966
1873,9,1873.708,22.325,1.073
1873,10,1873.792,22.258,1.227
1873,11,1873.875,21.478,1.005
1873,12,1873.958,23.672,0.966
1874,1,1874.042,22.925,0.955
1874,2,1874.125,24.206,1.019
1874,3,1874.208,23.730,1.101
1874,4,1874.292,22.271,1.144
1874,5,1874.375,22.801,1.336
1874,6,1874.458,22.858,1.141
1875,1,1875.042,22.198,1.037
1875,2,1875.125,22.587,1.084
1875,3,1875.208,22.897,1.031
1875,4,1875.292,22.106,1.008
1875,5,1875.375,23.135,0.933
1875,6,1875.458,23.329,1.237
1875,7,1875.542,23.404,0.917
1875,9,1875.708,22.428,0.907
1875,10,1875.792,22.367,1.068
1875,11,1875.875,23.113,1.272
1875,12,1875.958,23.543,1.041
1876,1,1876.042,24.579,1.138
1876,2,1876.125,23.808,1.430
1876,3,1876.208,22.630,1.337
1876,4,1876.292,22.620,1.591
1876,5,1876.375,22.302,1.110
1876,6,1876.458,22.993,1.212
1876,7,1876.542,22.726,1.253
1876,8,1876.625,22.788,1.255
1876,9,1876.708,22.828,1.318
1876,10,1876.792,22.468,0.918
1876,11,1876.875,22.111,1.174
1876,12,1876.958,20.997,1.163
1877,1,1877.042,22.337,1.256
1877,2,1877.125,22.711,1.240
1877,3,1877.208,22.189,0.930
1877,4,1877.292,23.230,0.989
1877,5,1877.375,23.438,1.127
1877,6,1877.458,23.156,1.142
1877,7,1877.542,23.768,0.877
1877,8,1877.625,24.108,1.038
1877,9,1877.708,23.817,1.282
1877,10,1877.792,24.168,1.016
1877,11,1877.875,23.154,0.945
1877,12,1877.958,22.594,1.005
