# Monthly average temperature data for Guernsey.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,11.729,1.780
1744,4,1744.292,11.942,1.986
1744,5,1744.375,10.148,1.773
1744,6,1744.458,10.744,1.721
1744,7,1744.542,10.332,1.633
1744,9,1744.708,9.790,1.820
1744,10,1744.792,10.022,1.800
1744,11,1744.875,11.176,1.649
1744,12,1744.958,10.713,1.700
1745,1,1745.042,10.300,1.854
1745,2,1745.125,10.002,1.843
1745,3,1745.208,9.635,1.846
1745,4,1745.292,10.867,1.844
1750,1,1750.042,10.248,2.508
1750,2,1750.125,12.793,3.578
1750,3,1750.208,12.560,2.240
1750,4,1750.292,10.822,2.123
1750,5,1750.375,11.291,2.364
1750,6,1750.458,10.878,2.724
1750,7,1750.542,12.781,3.260
1750,8,1750.625,11.095,3.822
1750,9,1750.708,10.748,2.626
1750,10,1750.792,8.223,2.056
1750,12,1750.958,9.936,3.285
1751,1,1751.042,11.085,2.620
1751,2,1751.125,8.674,3.200
1751,3,1751.208,11.859,3.044
1751,4,1751.292,10.243,2.414
1751,6,1751.458,11.601,2.832
1751,8,1751.625,11.131,3.865
1751,9,1751.708,9.243,2.535
1752,1,1752.042,9.805,2.310
1752,3,1752.208,11.466,2.626
1752,4,1752.292,10.400,2.098
1752,10,1752.792,9.643,1.839
1752,11,1752.875,11.701,1.636
1752,12,1752.958,11.684,1.635
1753,1,1753.042,8.207,3.720
1753,2,1753.125,10.223,7.986
1753,3,1753.208,11.739,6.712
1753,4,1753.292,10.510,3.387
1753,5,1753.375,11.130,2.308
1753,6,1753.458,12.860,4.352
1753,7,1753.542,11.861,3.446
1753,8,1753.625,10.130,6.282
1753,9,1753.708,11.193,3.604
1753,10,1753.792,10.384,3.623
1753,11,1753.875,9.369,3.188
1753,12,1753.958,9.959,7.207
1754,1,1754.042,10.025,7.145
1754,2,1754.125,8.370,6.801
1754,3,1754.208,7.841,5.800
1754,4,1754.292,10.844,2.576
1754,5,1754.375,11.652,6.697
1754,6,1754.458,11.328,4.475
1754,7,1754.542,10.502,3.268
1754,8,1754.625,11.324,3.711
1754,9,1754.708,10.227,2.995
1754,10,1754.792,11.253,3.557
1754,11,1754.875,11.370,3.050
1754,12,1754.958,10.468,2.530
1755,1,1755.042,7.246,6.340
1755,2,1755.125,7.773,8.358
1755,3,1755.208,9.525,5.002
1755,4,1755.292,13.422,3.517
1755,5,1755.375,10.530,2.931
1755,6,1755.458,13.253,8.455
1755,7,1755.542,10.963,2.610
1755,8,1755.625,9.709,2.400
1755,9,1755.708,9.661,3.251
1755,10,1755.792,10.059,6.971
1755,11,1755.875,10.386,6.738
1755,12,1755.958,10.226,5.751
1756,1,1756.042,12.554,5.983
1756,2,1756.125,12.554,6.155
1756,3,1756.208,10.366,5.986
1756,4,1756.292,9.890,4.078
1756,5,1756.375,11.076,7.570
1756,6,1756.458,12.355,3.959
1756,7,1756.542,11.232,1.890
1756,8,1756.625,10.316,6.211
1756,9,1756.708,11.272,3.955
1756,10,1756.792,9.083,4.796
1756,11,1756.875,8.476,4.670
1756,12,1756.958,7.640,9.702
1757,1,1757.042,7.675,6.493
1757,2,1757.125,10.322,5.371
1757,3,1757.208,9.875,5.593
1757,4,1757.292,10.890,5.383
1757,5,1757.375,11.370,4.424
1757,6,1757.458,12.586,4.952
1757,7,1757.542,13.930,6.955
1757,8,1757.625,12.429,9.019
1757,9,1757.708,10.492,6.611
1757,10,1757.792,7.450,3.632
1757,11,1757.875,10.312,6.111
1757,12,1757.958,8.912,8.068
1758,1,1758.042,7.347,6.254
1758,2,1758.125,10.109,5.251
1758,3,1758.208,10.565,4.777
1758,4,1758.292,9.618,3.825
1758,5,1758.375,11.446,3.854
1758,6,1758.458,11.435,4.142
1758,7,1758.542,9.005,7.408
1758,8,1758.625,10.162,4.299
1758,9,1758.708,8.814,3.443
1758,10,1758.792,7.127,5.168
1758,11,1758.875,10.514,9.109
1758,12,1758.958,10.349,4.770
1759,1,1759.042,12.414,5.663
1759,2,1759.125,12.351,7.774
1759,3,1759.208,10.875,3.943
1759,4,1759.292,10.571,4.506
1759,5,1759.375,10.684,2.901
