# Monthly average temperature data for Guinea Bissau.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,27.116,1.151
1849,2,1849.125,27.065,1.551
1849,3,1849.208,27.358,1.713
1849,4,1849.292,26.370,0.984
1849,5,1849.375,26.376,0.891
1849,6,1849.458,26.723,0.915
1849,7,1849.542,26.824,1.631
1849,8,1849.625,26.543,0.856
1849,9,1849.708,26.577,0.762
1849,10,1849.792,26.973,0.912
1849,11,1849.875,26.902,1.726
1849,12,1849.958,27.203,2.460
1850,1,1850.042,26.705,1.578
1850,2,1850.125,27.394,1.755
1850,3,1850.208,27.288,1.330
1850,4,1850.292,26.740,1.173
1850,5,1850.375,26.422,1.257
1850,6,1850.458,27.005,0.803
1850,7,1850.542,26.782,1.652
1850,8,1850.625,26.730,1.229
1850,9,1850.708,26.881,0.848
1850,10,1850.792,26.406,0.911
1850,11,1850.875,26.509,1.268
1850,12,1850.958,27.518,0.961
1851,1,1851.042,27.359,0.812
1851,2,1851.125,26.942,1.180
1851,3,1851.208,26.847,1.089
1851,4,1851.292,26.930,1.303
1851,5,1851.375,26.855,1.071
1851,6,1851.458,26.742,1.138
1851,7,1851.542,27.105,1.138
1851,8,1851.625,26.744,0.783
1851,9,1851.708,26.799,0.988
1851,10,1851.792,26.837,1.714
1851,11,1851.875,26.437,1.194
1851,12,1851.958,27.424,1.278
1857,9,1857.708,29.391,5.012
1858,3,1858.208,26.332,1.610
1858,4,1858.292,26.770,2.072
1858,5,1858.375,26.560,1.156
1858,6,1858.458,28.423,2.106
1858,7,1858.542,27.931,1.840
1858,8,1858.625,28.175,2.890
1858,9,1858.708,28.132,2.736
1858,11,1858.875,26.953,1.118
1858,12,1858.958,25.884,1.937
1859,1,1859.042,26.742,1.439
1859,3,1859.208,26.536,1.960
1859,4,1859.292,30.051,3.643
1859,5,1859.375,29.828,4.255
1859,6,1859.458,29.175,3.176
1859,9,1859.708,27.103,0.910
1860,1,1860.042,26.278,1.942
1860,2,1860.125,26.189,1.868
1860,3,1860.208,27.774,2.482
1860,5,1860.375,26.312,2.010
1860,6,1860.458,26.667,1.677
1860,7,1860.542,26.294,2.593
1860,8,1860.625,26.664,1.610
1860,9,1860.708,25.855,2.948
1860,10,1860.792,25.293,3.871
1860,11,1860.875,24.804,3.251
1862,1,1862.042,26.300,1.576
1862,2,1862.125,24.992,0.978
1862,3,1862.208,24.909,1.454
1862,4,1862.292,25.071,1.822
1862,6,1862.458,26.277,1.254
1862,7,1862.542,27.778,0.962
1862,8,1862.625,27.640,1.176
1862,9,1862.708,27.705,0.865
1862,10,1862.792,27.094,0.717
1862,12,1862.958,25.798,1.567
1868,1,1868.042,27.324,0.926
1868,2,1868.125,27.140,1.212
1868,3,1868.208,25.691,1.380
1868,4,1868.292,25.628,0.990
1868,6,1868.458,25.514,1.069
1868,7,1868.542,27.701,0.709
1868,8,1868.625,28.268,0.749
1868,9,1868.708,28.517,0.974
1868,10,1868.792,26.871,1.128
1868,11,1868.875,25.857,0.818
1868,12,1868.958,27.746,1.291
1869,1,1869.042,26.788,1.290
1869,2,1869.125,26.770,1.591
1869,5,1869.375,25.806,0.966
1869,6,1869.458,27.983,0.715
1869,7,1869.542,28.457,0.814
1869,8,1869.625,27.928,0.796
1869,9,1869.708,28.746,0.986
1869,10,1869.792,28.482,0.758
1869,11,1869.875,25.751,0.892
1869,12,1869.958,26.978,0.964
1870,1,1870.042,27.565,1.121
1870,2,1870.125,25.494,1.175
1870,4,1870.292,25.534,0.948
1870,5,1870.375,25.575,0.978
1870,6,1870.458,27.546,1.342
1870,7,1870.542,28.519,0.968
1870,8,1870.625,28.335,1.064
1870,9,1870.708,28.493,0.816
1870,10,1870.792,28.707,1.251
1870,11,1870.875,27.339,0.922
1870,12,1870.958,27.767,1.184
1873,7,1873.542,27.286,1.300
1873,8,1873.625,26.959,0.830
1873,9,1873.708,27.769,0.725
1873,10,1873.792,26.904,0.742
1873,11,1873.875,25.978,1.265
1873,12,1873.958,27.503,0.643
1874,1,1874.042,26.141,0.801
1874,2,1874.125,26.839,0.792
1874,3,1874.208,25.783,0.601
1874,4,1874.292,27.692,0.809
1874,5,1874.375,26.472,1.073
1874,6,1874.458,27.617,0.845
1874,7,1874.542,26.751,0.764
1874,8,1874.625,26.185,0.919
1874,9,1874.708,27.319,0.752
1874,10,1874.792,27.370,1.421
1874,11,1874.875,26.555,1.170
1874,12,1874.958,27.084,1.160
1875,1,1875.042,27.023,1.291
1875,2,1875.125,26.302,0.973
1875,3,1875.208,26.747,0.780
1875,4,1875.292,27.011,0.944
1875,5,1875.375,26.256,0.919
1875,6,1875.458,26.540,0.688
1875,7,1875.542,26.850,1.587
1875,8,1875.625,26.441,1.296
1875,9,1875.708,27.260,1.261
1875,10,1875.792,26.809,0.543
1875,11,1875.875,25.668,1.289
1875,12,1875.958,26.932,0.801
1876,1,1876.042,26.795,0.752
1876,2,1876.125,27.062,1.252
1876,3,1876.208,28.021,0.719
1876,4,1876.292,27.909,1.532
1876,5,1876.375,26.840,1.149
1876,6,1876.458,27.812,0.976
1876,7,1876.542,26.937,1.423
1876,8,1876.625,26.422,1.228
1876,9,1876.708,26.567,1.351
1876,10,1876.792,26.940,1.635
1876,11,1876.875,26.777,2.189
1876,12,1876.958,27.390,2.282
1877,1,1877.042,27.307,2.019
1877,2,1877.125,26.976,1.267
1877,3,1877.208,27.087,1.039
1877,4,1877.292,26.852,0.517
1877,5,1877.375,27.157,0.545
1877,6,1877.458,27.140,0.832
1877,7,1877.542,27.881,0.481
1877,8,1877.625,27.550,0.824
1877,9,1877.708,27.585,0.736
1877,10,1877.792,27.288,0.830
1877,11,1877.875,27.108,0.711
1877,12,1877.958,26.670,0.922
1878,1,1878.042,26.432,0.857
1878,2,1878.125,28.012,1.117
1878,3,1878.208,28.212,1.130
1878,4,1878.292,28.116,1.432
1878,5,1878.375,27.553,1.036
1878,6,1878.458,28.679,1.740
1878,7,1878.542,27.207,1.233
1878,8,1878.625,27.221,0.640
1878,9,1878.708,27.273,0.487
1878,10,1878.792,26.824,0.661
1878,11,1878.875,27.405,0.929
1878,12,1878.958,26.729,2.247
1879,1,1879.042,26.772,1.257
1879,2,1879.125,27.508,1.242
1879,3,1879.208,27.093,0.815
1879,4,1879.292,27.083,0.787
1879,5,1879.375,26.944,0.786
1879,6,1879.458,28.143,1.721
1879,7,1879.542,26.688,1.290
1879,8,1879.625,26.211,0.832
1879,9,1879.708,27.223,0.720
1879,10,1879.792,27.372,0.859
1879,11,1879.875,26.780,0.592
1879,12,1879.958,27.183,1.108
1880,1,1880.042,27.105,1.169
1880,2,1880.125,26.775,1.234
1880,3,1880.208,26.859,1.631
1880,4,1880.292,26.494,0.928
1880,5,1880.375,27.572,1.582
1880,6,1880.458,27.755,1.946
1880,7,1880.542,27.900,1.952
