# Monthly average temperature data for Guinea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,25.272,1.172
1849,2,1849.125,25.183,1.548
1849,3,1849.208,25.595,1.713
1849,4,1849.292,24.649,0.964
1849,5,1849.375,24.671,0.881
1849,6,1849.458,25.083,0.903
1849,7,1849.542,25.046,1.660
1849,8,1849.625,24.891,0.849
1849,9,1849.708,24.809,0.743
1849,10,1849.792,25.175,0.888
1849,11,1849.875,25.172,1.728
1849,12,1849.958,25.343,2.537
1850,1,1850.042,24.890,1.637
1850,2,1850.125,25.517,1.756
1850,3,1850.208,25.534,1.321
1850,4,1850.292,25.023,1.153
1850,5,1850.375,24.720,1.252
1850,6,1850.458,25.355,0.788
1850,7,1850.542,25.007,1.645
1850,8,1850.625,25.064,1.223
1850,9,1850.708,25.118,0.839
1850,10,1850.792,24.603,0.905
1850,11,1850.875,24.794,1.286
1850,12,1850.958,25.657,0.982
1851,1,1851.042,25.512,0.793
1851,2,1851.125,25.068,1.182
1851,3,1851.208,25.096,1.059
1851,4,1851.292,25.221,1.276
1851,5,1851.375,25.130,1.064
1851,6,1851.458,25.066,1.179
1851,7,1851.542,25.319,1.156
1851,8,1851.625,25.069,0.772
1851,9,1851.708,25.008,1.005
1851,10,1851.792,25.012,1.726
1851,11,1851.875,24.719,1.190
1851,12,1851.958,25.495,1.274
1857,9,1857.708,27.100,4.015
1858,3,1858.208,24.697,1.352
1858,4,1858.292,25.208,1.769
1858,5,1858.375,24.901,1.062
1858,6,1858.458,26.556,1.766
1858,7,1858.542,25.938,1.549
1858,8,1858.625,26.210,2.356
1858,9,1858.708,26.082,2.250
1858,11,1858.875,25.314,1.032
1858,12,1858.958,24.172,1.673
1859,1,1859.042,24.945,1.361
1859,3,1859.208,24.871,1.729
1859,4,1859.292,27.928,2.893
1859,5,1859.375,27.643,3.418
1859,6,1859.458,27.187,2.581
1859,9,1859.708,25.283,0.873
1860,1,1860.042,24.659,1.754
1860,2,1860.125,24.530,1.595
1860,3,1860.208,25.826,2.078
1860,5,1860.375,24.726,1.723
1860,6,1860.458,25.182,1.393
1860,7,1860.542,24.748,2.134
1860,8,1860.625,25.134,1.376
1860,9,1860.708,24.402,2.388
1860,10,1860.792,23.843,3.176
