# Monthly average temperature data for Guyana.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1845,1,1845.042,25.636,1.734
1845,2,1845.125,25.024,2.023
1845,3,1845.208,25.213,0.742
1845,4,1845.292,25.112,0.999
1845,5,1845.375,25.253,0.927
1845,6,1845.458,25.243,0.768
1845,7,1845.542,25.780,0.827
1845,8,1845.625,25.489,0.824
1845,9,1845.708,25.260,1.365
1846,1,1846.042,26.456,3.686
1846,2,1846.125,26.322,1.715
1846,3,1846.208,26.428,0.875
1846,4,1846.292,25.532,1.793
1846,5,1846.375,26.111,1.315
1846,6,1846.458,26.319,1.463
1846,7,1846.542,26.119,1.190
1846,8,1846.625,25.837,0.638
1846,9,1846.708,25.619,0.707
1846,10,1846.792,25.010,1.297
1846,11,1846.875,25.103,1.284
1846,12,1846.958,25.580,1.623
1847,1,1847.042,25.691,2.071
1847,2,1847.125,25.456,2.112
1847,3,1847.208,24.982,1.483
1847,4,1847.292,25.217,1.339
1847,5,1847.375,24.978,0.796
1847,6,1847.458,25.365,1.130
1847,7,1847.542,25.684,1.200
1847,8,1847.625,25.490,0.909
1847,9,1847.708,25.358,0.753
1847,10,1847.792,24.954,0.818
1847,11,1847.875,25.597,0.959
1847,12,1847.958,24.809,2.017
1848,1,1848.042,24.973,1.986
1848,2,1848.125,25.701,1.162
1848,3,1848.208,25.134,0.686
1848,4,1848.292,25.478,1.034
1848,5,1848.375,25.184,1.095
1848,6,1848.458,25.637,1.211
1848,7,1848.542,26.077,1.034
1848,8,1848.625,25.468,0.822
1848,9,1848.708,25.120,0.680
1848,10,1848.792,25.360,0.932
1848,11,1848.875,25.570,0.901
1848,12,1848.958,25.132,1.493
1849,1,1849.042,25.679,1.629
1849,2,1849.125,25.499,1.277
1849,3,1849.208,25.613,1.450
1849,4,1849.292,24.859,1.098
1849,5,1849.375,25.030,0.848
1849,6,1849.458,25.598,0.823
1849,7,1849.542,25.727,0.655
1849,8,1849.625,25.311,0.934
1849,9,1849.708,25.253,0.593
1849,10,1849.792,25.232,0.632
1849,11,1849.875,24.919,1.391
1849,12,1849.958,24.786,0.736
1850,1,1850.042,24.772,1.420
1850,2,1850.125,25.525,1.682
1850,3,1850.208,25.320,1.362
1850,4,1850.292,25.043,1.176
1850,5,1850.375,25.076,0.666
1850,6,1850.458,26.053,0.870
1850,7,1850.542,26.157,0.692
1850,8,1850.625,25.684,1.022
1850,9,1850.708,25.718,0.836
1850,10,1850.792,25.529,1.580
1850,11,1850.875,25.515,2.541
1850,12,1850.958,25.499,2.039
1851,1,1851.042,25.502,0.706
1851,2,1851.125,25.235,1.086
1851,3,1851.208,25.092,0.767
1851,4,1851.292,24.982,1.395
1851,5,1851.375,25.121,1.191
1851,6,1851.458,25.597,0.886
1851,7,1851.542,26.286,0.523
1851,8,1851.625,25.620,0.674
1851,9,1851.708,25.259,0.937
1851,10,1851.792,25.225,1.269
1851,11,1851.875,24.985,1.211
1851,12,1851.958,25.327,1.348
1852,1,1852.042,25.525,1.034
1852,2,1852.125,25.284,1.547
1852,3,1852.208,24.848,1.271
1852,4,1852.292,25.478,1.331
1852,5,1852.375,25.707,1.090
1852,6,1852.458,25.558,0.723
1852,7,1852.542,25.963,0.513
1852,8,1852.625,25.683,1.003
1852,9,1852.708,25.574,0.693
1852,10,1852.792,25.489,0.539
1852,11,1852.875,25.040,1.286
1852,12,1852.958,25.015,1.430
1853,1,1853.042,25.551,1.841
1853,2,1853.125,25.611,1.327
1853,3,1853.208,25.517,2.293
1853,4,1853.292,25.645,1.221
1853,5,1853.375,25.576,0.580
1853,6,1853.458,25.976,0.680
1853,7,1853.542,26.001,1.179
1853,8,1853.625,25.828,0.680
1853,9,1853.708,25.029,0.917
1853,10,1853.792,25.149,0.513
1853,11,1853.875,24.995,1.324
1853,12,1853.958,25.631,1.050
1854,1,1854.042,24.931,1.303
1854,2,1854.125,24.800,0.925
1854,3,1854.208,25.369,0.563
1854,4,1854.292,25.157,0.893
1854,5,1854.375,25.487,0.597
1854,6,1854.458,25.668,1.002
1854,7,1854.542,25.905,0.983
1854,8,1854.625,25.565,1.037
1854,9,1854.708,25.291,0.646
1854,10,1854.792,25.529,2.058
1854,11,1854.875,25.305,0.573
1854,12,1854.958,25.342,2.367
1855,1,1855.042,26.251,1.302
1855,2,1855.125,25.686,1.937
1855,3,1855.208,25.245,0.798
1855,4,1855.292,25.581,0.965
1855,5,1855.375,25.869,0.634
1855,6,1855.458,25.784,0.797
1855,7,1855.542,25.938,0.962
1855,8,1855.625,25.628,0.514
1855,9,1855.708,25.311,0.536
1855,10,1855.792,24.935,1.259
1855,11,1855.875,25.279,0.729
1855,12,1855.958,25.208,1.634
1856,1,1856.042,25.885,0.917
1856,2,1856.125,25.568,1.608
1856,3,1856.208,25.471,1.115
1856,4,1856.292,25.565,0.591
1856,5,1856.375,25.239,0.577
1856,6,1856.458,25.686,1.334
1856,7,1856.542,25.450,1.500
1856,8,1856.625,25.275,0.844
1856,9,1856.708,24.930,0.739
1856,10,1856.792,24.749,0.756
1856,11,1856.875,24.743,1.068
1856,12,1856.958,25.088,1.741
1857,1,1857.042,25.417,1.441
1857,2,1857.125,24.869,0.899
1857,4,1857.292,24.983,0.687
1857,5,1857.375,24.932,0.806
1857,6,1857.458,25.102,0.884
1857,7,1857.542,25.206,0.962
1857,8,1857.625,25.398,0.665
1857,9,1857.708,25.199,0.898
1857,10,1857.792,25.452,0.925
1857,11,1857.875,25.107,0.798
1857,12,1857.958,25.060,1.268
1858,1,1858.042,25.573,1.602
1858,2,1858.125,25.212,1.104
1858,3,1858.208,25.488,0.509
1858,4,1858.292,25.634,1.164
1858,5,1858.375,25.514,0.808
1858,6,1858.458,25.474,1.034
1858,7,1858.542,25.619,0.698
1858,8,1858.625,25.538,0.835
1858,9,1858.708,25.095,1.029
1858,10,1858.792,25.226,1.197
1858,11,1858.875,25.470,0.877
1858,12,1858.958,25.045,0.787
1859,1,1859.042,25.357,0.967
1859,2,1859.125,25.368,0.913
