# Monthly average temperature data for Haiti.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.839,1.417
1824,2,1824.125,25.738,2.335
1824,3,1824.208,26.990,1.082
1824,4,1824.292,27.035,1.025
1824,5,1824.375,26.738,1.253
1824,6,1824.458,26.751,2.010
1824,7,1824.542,26.831,1.569
1824,8,1824.625,25.572,1.216
1824,9,1824.708,25.545,2.237
1824,10,1824.792,25.392,0.873
1824,11,1824.875,26.349,1.027
1824,12,1824.958,26.604,1.925
1825,1,1825.042,26.525,1.798
1825,2,1825.125,26.525,1.305
1825,3,1825.208,26.409,1.299
1825,4,1825.292,26.673,1.103
1825,5,1825.375,26.503,1.245
1825,6,1825.458,26.555,1.256
1825,7,1825.542,26.018,1.862
1825,8,1825.625,25.476,2.315
1825,9,1825.708,25.350,2.067
1825,10,1825.792,25.372,0.964
1825,11,1825.875,26.006,2.077
1825,12,1825.958,25.520,1.288
1826,1,1826.042,25.610,1.463
1826,2,1826.125,26.710,1.679
1826,3,1826.208,26.698,3.050
1826,4,1826.292,27.147,1.546
1826,5,1826.375,26.696,0.996
1826,6,1826.458,26.138,1.293
1826,7,1826.542,26.545,1.746
1826,8,1826.625,25.624,1.516
1826,9,1826.708,25.979,1.899
1826,10,1826.792,25.662,1.020
1826,11,1826.875,25.881,1.553
1826,12,1826.958,26.866,1.356
1827,1,1827.042,26.219,2.181
1827,2,1827.125,27.511,2.299
1827,3,1827.208,27.037,1.855
1827,4,1827.292,27.628,1.840
1827,5,1827.375,27.242,1.611
1827,7,1827.542,27.026,1.438
1827,8,1827.625,26.273,1.789
1827,9,1827.708,25.478,1.490
1827,10,1827.792,25.582,1.684
1827,11,1827.875,26.141,1.340
1827,12,1827.958,26.665,1.916
1828,1,1828.042,26.763,1.204
1828,2,1828.125,26.843,1.695
1828,3,1828.208,26.289,1.554
1828,4,1828.292,26.437,2.186
1828,5,1828.375,26.517,2.129
1828,6,1828.458,26.747,1.974
1828,7,1828.542,26.536,1.776
1828,8,1828.625,26.193,0.856
1828,9,1828.708,25.254,1.020
1828,11,1828.875,26.175,1.539
1828,12,1828.958,26.756,2.537
1829,1,1829.042,25.425,2.061
1829,2,1829.125,25.977,1.817
1829,3,1829.208,25.371,1.177
1829,4,1829.292,26.165,0.924
1829,5,1829.375,26.145,1.802
1829,6,1829.458,26.091,1.842
1829,7,1829.542,26.449,1.138
1829,8,1829.625,26.089,1.349
1829,9,1829.708,25.629,1.192
1829,11,1829.875,25.237,1.995
1829,12,1829.958,25.779,1.539
1849,8,1849.625,26.337,0.901
1849,9,1849.708,25.696,0.963
1849,10,1849.792,25.986,1.119
1850,7,1850.542,26.915,1.163
1850,8,1850.625,26.622,0.930
1850,9,1850.708,26.198,1.039
1850,10,1850.792,24.930,1.383
1850,11,1850.875,24.781,2.414
1850,12,1850.958,26.504,1.299
1851,1,1851.042,26.723,1.374
1851,2,1851.125,26.391,1.854
1851,3,1851.208,25.759,1.054
1851,4,1851.292,26.299,1.325
1851,5,1851.375,26.113,1.120
1851,7,1851.542,27.089,0.840
1851,8,1851.625,26.179,0.797
1851,9,1851.708,25.446,1.069
1851,10,1851.792,26.028,1.143
1851,11,1851.875,25.605,1.426
1851,12,1851.958,25.329,1.376
1852,1,1852.042,24.359,1.305
1852,2,1852.125,25.272,1.422
1852,3,1852.208,25.021,0.913
1852,4,1852.292,25.782,0.798
1852,5,1852.375,26.437,0.945
1852,6,1852.458,26.508,1.003
1852,7,1852.542,26.196,1.302
1852,8,1852.625,25.947,1.119
1852,9,1852.708,25.877,0.827
1852,10,1852.792,24.898,1.833
1852,11,1852.875,25.424,1.228
1852,12,1852.958,26.446,1.199
1853,1,1853.042,25.511,1.440
1853,2,1853.125,24.683,3.026
1853,3,1853.208,26.400,1.744
1853,4,1853.292,26.463,1.138
1853,5,1853.375,26.169,0.558
1853,6,1853.458,26.423,1.368
1853,7,1853.542,26.958,0.874
1853,8,1853.625,25.893,1.790
1853,9,1853.708,25.761,0.516
1853,10,1853.792,26.270,0.871
1853,11,1853.875,25.836,1.720
1853,12,1853.958,25.868,2.026
1854,1,1854.042,26.725,1.354
1854,2,1854.125,25.631,1.010
1854,3,1854.208,26.539,0.716
1854,4,1854.292,25.318,1.007
1854,5,1854.375,26.134,0.758
1854,6,1854.458,26.261,0.767
1854,7,1854.542,26.432,0.864
1854,8,1854.625,25.656,0.803
1854,9,1854.708,25.391,0.774
1854,10,1854.792,26.027,0.797
1854,11,1854.875,25.049,0.749
1854,12,1854.958,26.332,4.037
1855,1,1855.042,25.884,1.075
1855,2,1855.125,25.397,1.863
1855,3,1855.208,25.905,1.485
1855,4,1855.292,25.746,0.880
1855,5,1855.375,26.010,0.913
1855,6,1855.458,26.788,0.783
1855,7,1855.542,25.896,0.661
1855,8,1855.625,26.913,1.044
1855,9,1855.708,26.241,0.537
1855,10,1855.792,25.866,1.615
1855,11,1855.875,26.521,0.817
1855,12,1855.958,26.797,1.808
1856,1,1856.042,27.126,0.691
1856,2,1856.125,26.480,1.499
1856,3,1856.208,26.951,1.045
1856,4,1856.292,26.015,0.706
1856,5,1856.375,26.836,0.602
1856,6,1856.458,27.112,1.990
1856,7,1856.542,26.958,1.165
1856,8,1856.625,26.155,0.944
1856,9,1856.708,25.820,0.732
1856,10,1856.792,25.961,0.782
1856,11,1856.875,26.772,0.703
1856,12,1856.958,26.419,1.307
1857,1,1857.042,25.298,1.023
1857,2,1857.125,25.211,1.239
1857,3,1857.208,25.841,0.909
1857,4,1857.292,25.147,0.801
1857,5,1857.375,25.313,0.606
1857,6,1857.458,26.266,0.942
1857,7,1857.542,26.192,0.675
1857,8,1857.625,25.282,0.755
1857,9,1857.708,24.966,0.682
1857,10,1857.792,24.860,0.821
1857,11,1857.875,25.153,1.053
1857,12,1857.958,25.427,1.927
1858,1,1858.042,26.155,1.539
1858,2,1858.125,25.436,0.998
1858,3,1858.208,24.724,0.635
1858,4,1858.292,25.173,1.065
1858,5,1858.375,25.471,0.957
1858,6,1858.458,26.096,0.963
1858,7,1858.542,26.401,0.813
1858,8,1858.625,25.828,0.586
1858,9,1858.708,25.645,1.118
1858,10,1858.792,25.011,0.603
1858,11,1858.875,25.157,1.381
1858,12,1858.958,25.695,0.856
1859,1,1859.042,25.862,0.851
1859,2,1859.125,25.405,0.851
1859,3,1859.208,25.670,0.815
1859,4,1859.292,25.900,1.279
1859,5,1859.375,26.088,0.888
1859,6,1859.458,25.880,1.267
1859,7,1859.542,26.027,1.043
1859,8,1859.625,25.681,0.703
1859,9,1859.708,25.598,0.548
1859,10,1859.792,25.581,1.079
1859,11,1859.875,25.292,0.631
1859,12,1859.958,25.702,1.345
1860,1,1860.042,26.283,1.019
1860,2,1860.125,25.549,0.504
1860,3,1860.208,25.484,2.830
1860,4,1860.292,26.030,0.992
1860,5,1860.375,25.336,0.802
1860,6,1860.458,25.910,1.063
1860,7,1860.542,26.435,1.199
1860,8,1860.625,25.746,0.889
1860,9,1860.708,25.457,0.896
1860,10,1860.792,25.565,1.408
1860,11,1860.875,25.415,1.100
1860,12,1860.958,25.503,1.762
1861,1,1861.042,25.615,1.588
1861,2,1861.125,26.238,2.022
1861,3,1861.208,25.669,2.352
1861,4,1861.292,25.966,1.761
1861,5,1861.375,26.179,0.671
1861,6,1861.458,26.076,1.023
1861,7,1861.542,26.632,0.774
1861,8,1861.625,26.137,0.982
1861,9,1861.708,26.017,1.116
1861,10,1861.792,26.463,0.796
1861,11,1861.875,25.359,0.886
1861,12,1861.958,25.754,1.158
1862,1,1862.042,25.604,2.010
1862,2,1862.125,26.487,1.395
1862,3,1862.208,25.591,1.303
1862,4,1862.292,25.737,1.908
1862,5,1862.375,26.377,0.658
1862,6,1862.458,26.102,1.171
1862,7,1862.542,26.417,0.720
1862,8,1862.625,25.911,0.812
1862,9,1862.708,25.753,0.778
1862,10,1862.792,25.813,0.813
1862,11,1862.875,25.061,1.289
1862,12,1862.958,24.477,1.810
1863,1,1863.042,24.979,2.033
1863,2,1863.125,26.860,2.469
1863,3,1863.208,25.887,1.063
1863,4,1863.292,25.634,0.763
1863,5,1863.375,26.454,1.106
1863,6,1863.458,26.681,0.891
1863,7,1863.542,26.395,0.741
1863,8,1863.625,25.937,0.853
1863,9,1863.708,25.203,1.022
1863,10,1863.792,26.054,0.669
1863,11,1863.875,25.339,1.068
1863,12,1863.958,24.679,2.430
1864,1,1864.042,26.621,1.287
1864,2,1864.125,25.857,2.330
1864,3,1864.208,24.929,2.001
1864,4,1864.292,25.200,2.247
1864,5,1864.375,24.677,0.737
1864,6,1864.458,25.894,1.811
1864,7,1864.542,25.763,1.711
1864,8,1864.625,25.471,0.953
1864,9,1864.708,26.029,1.075
1864,10,1864.792,26.013,1.605
1864,11,1864.875,25.704,1.342
1864,12,1864.958,25.993,0.850
1865,1,1865.042,26.520,1.450
1865,2,1865.125,25.362,0.793
1865,3,1865.208,25.878,0.879
1865,4,1865.292,25.801,1.150
1865,5,1865.375,26.118,0.600
1865,6,1865.458,26.533,0.657
1865,7,1865.542,26.409,1.237
1865,8,1865.625,26.325,0.913
