# Monthly average temperature data for Heard Island And Mcdonald Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1948,2,1948.125,1.347,1.797
1948,3,1948.208,1.356,1.082
1948,4,1948.292,0.914,2.746
1948,5,1948.375,1.544,1.745
1948,6,1948.458,2.146,0.825
1948,7,1948.542,1.939,0.962
1948,8,1948.625,0.848,2.784
1948,9,1948.708,1.406,2.054
1948,10,1948.792,1.328,2.147
1948,11,1948.875,1.723,1.132
1948,12,1948.958,2.011,0.570
1949,1,1949.042,1.938,1.614
1949,2,1949.125,2.350,1.342
1949,3,1949.208,2.097,0.606
1949,4,1949.292,2.216,0.627
1949,5,1949.375,2.363,0.626
1949,6,1949.458,1.181,1.776
1949,7,1949.542,0.705,2.792
1949,8,1949.625,1.621,1.289
1949,9,1949.708,1.365,1.850
1949,10,1949.792,2.025,0.879
1949,11,1949.875,1.396,1.599
1949,12,1949.958,1.773,0.672
1950,1,1950.042,1.838,0.882
1950,2,1950.125,1.517,0.717
1950,3,1950.208,1.007,0.796
1950,4,1950.292,1.374,0.688
1950,5,1950.375,2.164,0.554
1950,6,1950.458,1.540,1.208
1950,7,1950.542,2.236,0.713
1950,8,1950.625,1.693,0.556
1950,9,1950.708,1.950,1.023
1950,10,1950.792,2.076,0.513
1950,11,1950.875,1.730,0.569
1950,12,1950.958,2.402,0.558
1951,1,1951.042,2.354,0.507
1951,2,1951.125,2.223,0.547
1951,3,1951.208,2.946,0.509
1951,4,1951.292,2.364,0.808
1951,5,1951.375,3.699,0.700
1951,6,1951.458,3.536,0.694
1951,7,1951.542,3.739,0.952
1951,8,1951.625,3.771,0.830
1951,9,1951.708,3.293,0.559
1951,10,1951.792,2.376,1.124
1951,11,1951.875,2.296,1.489
1951,12,1951.958,2.395,0.532
1952,1,1952.042,2.281,0.806
1952,2,1952.125,2.329,0.634
1952,3,1952.208,1.981,0.738
1952,4,1952.292,2.258,0.518
1952,5,1952.375,2.537,0.389
1952,6,1952.458,1.919,0.995
1952,7,1952.542,3.300,0.834
1952,8,1952.625,3.161,0.643
1952,9,1952.708,2.756,0.638
1952,10,1952.792,2.508,0.643
1952,11,1952.875,2.056,0.979
1952,12,1952.958,2.589,0.623
1953,1,1953.042,2.537,0.485
1953,2,1953.125,1.828,0.660
1953,3,1953.208,1.306,0.469
1953,4,1953.292,1.989,0.389
1953,5,1953.375,2.262,0.524
1953,6,1953.458,2.156,0.728
1953,7,1953.542,2.483,0.445
1953,8,1953.625,2.813,0.684
1953,9,1953.708,1.820,1.312
1953,10,1953.792,2.234,0.537
1953,11,1953.875,2.161,0.436
1953,12,1953.958,2.064,0.678
1954,1,1954.042,2.142,0.448
1954,2,1954.125,2.494,0.754
1954,3,1954.208,2.249,0.440
1954,4,1954.292,2.616,0.953
1954,5,1954.375,2.994,0.859
1954,6,1954.458,2.391,0.694
1954,7,1954.542,2.524,0.634
1954,8,1954.625,2.720,1.186
1954,9,1954.708,2.124,1.227
1954,10,1954.792,2.886,0.778
1954,11,1954.875,2.334,0.891
1954,12,1954.958,2.187,0.703
1955,1,1955.042,2.718,0.907
1955,2,1955.125,2.236,0.774
1955,3,1955.208,2.063,0.567
1955,4,1955.292,3.159,0.570
1955,5,1955.375,2.990,0.606
1955,6,1955.458,2.358,0.593
1955,7,1955.542,2.745,0.618
1955,8,1955.625,2.541,0.627
1955,9,1955.708,2.605,0.572
1955,10,1955.792,3.558,0.624
1955,11,1955.875,2.835,0.811
1955,12,1955.958,2.775,0.726
1956,1,1956.042,2.247,0.912
1956,2,1956.125,2.031,0.523
1956,3,1956.208,1.853,0.614
1956,4,1956.292,3.181,0.724
1956,5,1956.375,3.070,0.455
1956,6,1956.458,3.085,0.485
1956,7,1956.542,2.663,0.576
1956,8,1956.625,2.386,0.899
1956,9,1956.708,2.338,0.534
1956,10,1956.792,2.694,0.533
1956,11,1956.875,1.783,0.492
1956,12,1956.958,2.290,1.279
1957,1,1957.042,2.056,0.979
1957,2,1957.125,2.376,0.535
