# Monthly average temperature data for Honduras.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1852,10,1852.792,23.921,1.541
1852,11,1852.875,24.203,1.222
1852,12,1852.958,25.300,1.069
1853,1,1853.042,23.126,1.362
1853,2,1853.125,23.623,2.181
1853,3,1853.208,23.959,1.207
1853,4,1853.292,24.320,1.088
1853,5,1853.375,24.707,1.014
1853,6,1853.458,24.416,1.393
1853,7,1853.542,25.078,1.298
1853,8,1853.625,24.455,1.245
1853,9,1853.708,24.216,0.791
1853,10,1853.792,24.729,1.089
1853,11,1853.875,23.485,1.723
1853,12,1853.958,23.487,1.363
1854,12,1854.958,23.706,3.105
1855,1,1855.042,23.964,1.684
1855,2,1855.125,23.359,1.663
1855,3,1855.208,23.767,1.380
1855,4,1855.292,24.205,1.284
1855,5,1855.375,24.782,1.098
1855,6,1855.458,24.613,0.991
1855,8,1855.625,24.209,1.050
1855,9,1855.708,23.897,0.809
1855,10,1855.792,23.590,1.503
1855,11,1855.875,24.190,1.031
1855,12,1855.958,24.372,1.709
1856,1,1856.042,23.927,1.235
1856,2,1856.125,24.126,1.341
1856,3,1856.208,24.649,1.127
1856,5,1856.375,24.582,0.937
1856,6,1856.458,24.974,1.785
1856,7,1856.542,24.507,1.053
1856,8,1856.625,24.556,0.938
1857,2,1857.125,23.673,1.824
1857,3,1857.208,22.994,1.474
1857,4,1857.292,24.008,2.626
1857,5,1857.375,23.925,1.654
1857,6,1857.458,24.652,1.727
1857,7,1857.542,24.581,0.892
1857,8,1857.625,24.111,0.762
1857,9,1857.708,23.971,0.950
1857,10,1857.792,24.832,1.606
1857,11,1857.875,24.147,0.906
1857,12,1857.958,24.161,1.536
1858,1,1858.042,26.128,2.045
1858,2,1858.125,24.126,1.313
1858,3,1858.208,22.968,2.034
1858,4,1858.292,23.884,1.181
1858,5,1858.375,24.911,1.224
1858,6,1858.458,25.198,2.061
1858,7,1858.542,24.061,0.839
1858,8,1858.625,24.032,1.126
1858,9,1858.708,25.040,2.120
1858,10,1858.792,24.574,0.811
1858,11,1858.875,23.996,1.670
1858,12,1858.958,24.196,0.968
1859,1,1859.042,23.993,1.001
1859,2,1859.125,24.514,1.340
1859,3,1859.208,24.686,0.795
1859,4,1859.292,24.480,1.256
1859,5,1859.375,24.547,0.927
1859,6,1859.458,24.221,0.708
1859,7,1859.542,24.668,0.956
1859,8,1859.625,24.478,0.818
1859,9,1859.708,24.096,0.588
1859,10,1859.792,24.571,0.842
1859,11,1859.875,23.370,1.139
1859,12,1859.958,23.649,1.299
1860,1,1860.042,23.989,0.959
1860,2,1860.125,23.880,0.775
1860,3,1860.208,22.798,1.847
1860,4,1860.292,24.300,0.999
1860,5,1860.375,23.476,1.753
1860,6,1860.458,25.060,1.000
1860,7,1860.542,24.405,1.438
1860,8,1860.625,24.379,1.122
1860,9,1860.708,24.477,0.797
1860,10,1860.792,23.905,1.230
1860,11,1860.875,24.447,0.899
1860,12,1860.958,24.046,1.380
1861,1,1861.042,24.023,1.415
1861,3,1861.208,23.784,1.905
1863,1,1863.042,24.009,1.086
1863,2,1863.125,25.092,2.942
1863,3,1863.208,24.414,1.236
1863,4,1863.292,23.883,1.590
1863,5,1863.375,24.327,1.705
1863,6,1863.458,24.824,1.245
1863,7,1863.542,24.383,0.670
1863,8,1863.625,24.043,1.360
1863,9,1863.708,23.737,1.322
1863,10,1863.792,23.936,1.066
1863,11,1863.875,23.857,0.979
1863,12,1863.958,23.364,2.244
1864,1,1864.042,24.327,1.550
1864,2,1864.125,24.803,2.514
1864,3,1864.208,22.927,1.932
1864,4,1864.292,23.220,1.497
1864,5,1864.375,23.220,1.053
1864,6,1864.458,24.147,1.445
1864,7,1864.542,24.293,1.329
1864,8,1864.625,23.900,1.214
1864,10,1864.792,23.908,1.096
1864,11,1864.875,23.718,1.582
1864,12,1864.958,23.989,1.278
1866,3,1866.208,23.283,1.424
1866,4,1866.292,23.545,1.016
1866,5,1866.375,24.227,0.928
1866,7,1866.542,24.322,0.946
1866,8,1866.625,24.057,1.084
1866,9,1866.708,24.285,0.755
1866,10,1866.792,23.807,0.647
1866,11,1866.875,23.545,0.619
1866,12,1866.958,24.683,1.000
1867,1,1867.042,24.727,1.189
1867,2,1867.125,24.624,1.255
1867,3,1867.208,25.092,0.909
1867,4,1867.292,24.288,0.778
1867,5,1867.375,24.308,0.706
1867,6,1867.458,24.899,0.655
1867,7,1867.542,24.680,0.992
1867,8,1867.625,24.545,0.941
1867,9,1867.708,24.335,0.824
1867,10,1867.792,24.193,0.935
1867,11,1867.875,23.339,1.360
1867,12,1867.958,24.330,1.203
1868,1,1868.042,24.635,1.258
1868,2,1868.125,23.263,1.369
1868,3,1868.208,24.130,1.200
1868,4,1868.292,23.758,0.998
1868,5,1868.375,23.955,0.924
1868,6,1868.458,24.051,0.706
1868,7,1868.542,24.697,0.725
1868,8,1868.625,24.305,0.716
1868,9,1868.708,24.015,0.841
1868,10,1868.792,24.367,1.148
1868,11,1868.875,23.417,0.989
1868,12,1868.958,23.788,1.360
1869,1,1869.042,26.098,1.368
1869,2,1869.125,26.535,1.536
1869,3,1869.208,25.118,1.431
1869,4,1869.292,25.741,1.156
1869,5,1869.375,25.126,0.873
1869,12,1869.958,23.394,1.124
1870,1,1870.042,24.131,0.847
1870,2,1870.125,23.391,1.077
1870,3,1870.208,23.956,0.857
1870,4,1870.292,23.864,0.961
1870,5,1870.375,24.171,1.238
1870,6,1870.458,25.594,1.004
1870,7,1870.542,25.208,0.997
1870,8,1870.625,24.948,0.870
1870,9,1870.708,25.297,1.276
1870,10,1870.792,23.850,1.055
1870,11,1870.875,23.252,0.888
1870,12,1870.958,23.174,1.286
1871,1,1871.042,23.341,0.858
1871,2,1871.125,24.360,1.500
1871,3,1871.208,24.345,1.023
1871,4,1871.292,24.671,0.936
1871,5,1871.375,24.448,0.860
1871,6,1871.458,24.805,0.973
1871,7,1871.542,24.631,1.185
1871,8,1871.625,25.136,1.148
1871,9,1871.708,24.452,0.823
1871,10,1871.792,24.127,0.902
1871,11,1871.875,23.628,1.539
1871,12,1871.958,23.474,1.204
1872,1,1872.042,23.710,1.026
1872,2,1872.125,24.691,1.662
1872,3,1872.208,24.447,1.570
1872,4,1872.292,25.279,1.799
1872,5,1872.375,24.875,1.558
1872,6,1872.458,25.264,1.619
1872,7,1872.542,24.985,1.706
1872,8,1872.625,24.886,1.854
1872,9,1872.708,25.308,1.410
1872,10,1872.792,24.534,0.892
1872,11,1872.875,23.598,0.892
1872,12,1872.958,23.069,1.137
1873,1,1873.042,23.180,1.078
1873,2,1873.125,25.040,1.031
1873,3,1873.208,23.724,0.864
1873,4,1873.292,23.549,1.346
1873,5,1873.375,24.584,1.322
1873,6,1873.458,24.930,1.503
1873,7,1873.542,24.761,1.282
1873,8,1873.625,24.303,1.024
1873,9,1873.708,23.694,0.970
1873,10,1873.792,23.595,1.180
1873,11,1873.875,22.963,0.957
1873,12,1873.958,24.782,0.853
1874,1,1874.042,24.270,0.885
1874,2,1874.125,25.404,0.865
1874,3,1874.208,24.812,0.966
1874,4,1874.292,23.899,1.233
1874,5,1874.375,24.323,1.205
1874,6,1874.458,24.153,1.086
1874,10,1874.792,24.152,0.921
1874,11,1874.875,24.190,0.919
1874,12,1874.958,24.290,1.125
1875,1,1875.042,23.849,1.036
1875,2,1875.125,24.107,1.089
1875,3,1875.208,24.084,0.974
1875,4,1875.292,23.589,0.911
1875,5,1875.375,24.516,0.830
1875,6,1875.458,24.634,1.129
1875,7,1875.542,24.738,0.822
1875,8,1875.625,24.329,0.836
1875,9,1875.708,24.090,0.862
1875,10,1875.792,24.119,1.091
1875,11,1875.875,24.301,1.168
1875,12,1875.958,24.695,1.032
1876,1,1876.042,25.600,1.295
1876,2,1876.125,25.319,1.428
1876,3,1876.208,24.119,1.389
1876,4,1876.292,24.134,1.378
1876,5,1876.375,23.898,1.032
1876,6,1876.458,24.694,1.048
1876,7,1876.542,24.443,1.043
1876,8,1876.625,24.351,1.193
1876,9,1876.708,24.422,1.118
1876,10,1876.792,23.958,0.879
1876,11,1876.875,23.918,1.234
1876,12,1876.958,22.883,1.334
1877,1,1877.042,23.902,1.172
1877,2,1877.125,24.257,1.353
1877,3,1877.208,23.781,0.964
1877,4,1877.292,24.623,0.945
1877,5,1877.375,24.570,1.075
1877,6,1877.458,24.417,1.258
1877,7,1877.542,25.233,0.804
1877,8,1877.625,25.498,0.994
1877,9,1877.708,25.277,1.150
1877,10,1877.792,25.447,1.080
1877,11,1877.875,24.740,0.989
1877,12,1877.958,24.391,1.453
1878,1,1878.042,24.426,1.783
1878,2,1878.125,25.248,1.207
1878,3,1878.208,25.761,1.013
1878,4,1878.292,26.024,1.065
1878,5,1878.375,25.635,0.987
1878,6,1878.458,26.180,0.760
1878,7,1878.542,25.613,0.788
1878,8,1878.625,24.923,0.737
1878,9,1878.708,24.961,0.781
1878,10,1878.792,24.863,0.897
1878,11,1878.875,24.681,0.929
1878,12,1878.958,24.168,1.263
1879,1,1879.042,24.627,1.262
1879,2,1879.125,24.135,0.855
1879,3,1879.208,23.875,0.779
1879,4,1879.292,24.261,0.924
1879,5,1879.375,24.232,0.784
1879,6,1879.458,24.312,1.118
1879,7,1879.542,24.765,1.135
1879,8,1879.625,24.567,0.918
1879,9,1879.708,24.109,0.783
1879,10,1879.792,24.333,1.112
1879,11,1879.875,24.102,1.326
1879,12,1879.958,24.313,1.186
1880,1,1880.042,24.883,1.439
1880,2,1880.125,24.849,0.869
1880,3,1880.208,24.694,0.934
1880,4,1880.292,24.271,0.955
1880,5,1880.375,24.401,1.056
1880,6,1880.458,24.433,0.908
1880,7,1880.542,24.638,1.081
1880,8,1880.625,24.669,1.005
1880,9,1880.708,24.582,0.769
1880,10,1880.792,24.514,1.014
1880,11,1880.875,24.636,0.966
1880,12,1880.958,24.007,0.982
1881,1,1881.042,24.233,1.834
1881,2,1881.125,23.844,1.389
1881,3,1881.208,23.626,1.165
1881,4,1881.292,23.932,1.439
1881,5,1881.375,25.107,0.739
1881,6,1881.458,25.086,0.838
1881,7,1881.542,25.326,0.640
1881,8,1881.625,25.024,0.583
1881,9,1881.708,24.440,1.106
1881,10,1881.792,24.639,0.610
1881,11,1881.875,24.802,0.894
1881,12,1881.958,24.375,0.879
1882,1,1882.042,24.937,1.135
1882,2,1882.125,25.003,0.818
1882,3,1882.208,24.579,0.970
1882,4,1882.292,24.596,0.862
1882,5,1882.375,24.278,0.880
1882,6,1882.458,24.925,0.738
1882,7,1882.542,24.571,0.707
1882,8,1882.625,24.589,0.873
1882,9,1882.708,24.581,0.494
1882,10,1882.792,24.523,1.503
1882,11,1882.875,23.584,0.738
1882,12,1882.958,23.397,1.282
1883,1,1883.042,24.625,0.733
1883,2,1883.125,24.926,0.948
1883,3,1883.208,23.818,1.051
1883,4,1883.292,24.947,0.596
1883,5,1883.375,24.266,0.565
1883,6,1883.458,24.613,0.800
1883,7,1883.542,24.313,0.630
1883,8,1883.625,24.302,0.648
1883,9,1883.708,24.478,0.765
1883,10,1883.792,24.867,0.743
1883,11,1883.875,24.132,0.916
1883,12,1883.958,23.863,0.878
1884,1,1884.042,23.319,0.896
1884,2,1884.125,23.838,1.195
1884,3,1884.208,24.102,1.088
1884,4,1884.292,24.210,0.553
1884,5,1884.375,23.433,1.084
1884,6,1884.458,24.605,0.644
1884,7,1884.542,24.404,0.680
1884,8,1884.625,23.992,1.052
1884,9,1884.708,24.473,0.927
1884,10,1884.792,24.094,0.781
1884,11,1884.875,24.207,1.075
1884,12,1884.958,24.728,1.290
1885,1,1885.042,23.960,0.971
1885,2,1885.125,23.310,0.782
1885,3,1885.208,23.939,0.903
1885,4,1885.292,23.593,0.744
1885,5,1885.375,24.097,0.792
1885,6,1885.458,24.566,0.675
1885,7,1885.542,24.748,0.800
1885,8,1885.625,24.374,0.843
1885,9,1885.708,24.578,0.737
1885,10,1885.792,24.220,0.897
1885,11,1885.875,23.594,0.898
1885,12,1885.958,23.235,1.067
1886,1,1886.042,22.815,0.947
1886,2,1886.125,23.280,0.666
1886,3,1886.208,24.787,0.588
1886,4,1886.292,24.376,1.027
1886,5,1886.375,24.318,1.014
1886,6,1886.458,24.843,0.985
1886,7,1886.542,24.720,1.179
1886,8,1886.625,24.738,0.808
1886,9,1886.708,24.712,0.895
1886,10,1886.792,24.325,0.671
1886,11,1886.875,24.136,1.077
1886,12,1886.958,23.422,1.584
1887,1,1887.042,23.696,1.385
1887,2,1887.125,24.998,0.901
1887,3,1887.208,23.057,0.841
1887,4,1887.292,23.764,0.502
1887,5,1887.375,24.030,1.208
1887,6,1887.458,23.835,1.113
1887,7,1887.542,24.289,0.729
1887,8,1887.625,24.181,1.008
1887,9,1887.708,24.291,0.567
1887,10,1887.792,23.663,0.611
1887,11,1887.875,23.860,0.738
1887,12,1887.958,24.419,1.197
1888,1,1888.042,24.022,1.426
1888,2,1888.125,23.859,0.635
1888,3,1888.208,23.704,0.577
1888,4,1888.292,23.306,0.722
1888,5,1888.375,23.757,0.898
1888,6,1888.458,23.834,1.465
1888,7,1888.542,24.766,0.746
1888,8,1888.625,24.335,1.214
1888,9,1888.708,24.006,0.719
1888,10,1888.792,24.621,0.809
1888,11,1888.875,24.501,0.789
1888,12,1888.958,23.872,0.789
1889,1,1889.042,24.849,1.052
1889,2,1889.125,25.241,0.933
1889,3,1889.208,23.793,0.815
1889,4,1889.292,24.546,0.823
1889,5,1889.375,24.502,1.302
1889,6,1889.458,25.172,0.980
1889,7,1889.542,25.033,0.813
1889,8,1889.625,24.063,0.706
1889,9,1889.708,24.789,0.771
1889,10,1889.792,23.983,0.723
1889,11,1889.875,24.329,0.789
1889,12,1889.958,23.793,0.915
1890,1,1890.042,24.339,2.278
1890,2,1890.125,23.980,0.990
1890,3,1890.208,21.184,3.795
1890,4,1890.292,24.149,0.774
1890,5,1890.375,24.025,1.069
1890,6,1890.458,24.078,0.957
1890,7,1890.542,24.561,0.776
1890,8,1890.625,24.012,0.683
1890,9,1890.708,23.980,0.622
1890,10,1890.792,23.982,1.010
1890,11,1890.875,23.520,1.043
1890,12,1890.958,22.664,1.116
1891,1,1891.042,24.038,0.683
1891,2,1891.125,24.990,0.916
1891,3,1891.208,24.018,0.825
1891,4,1891.292,23.765,0.809
1891,5,1891.375,24.089,0.652
1891,6,1891.458,24.876,0.697
1891,7,1891.542,24.434,0.890
1891,8,1891.625,24.534,0.664
1891,9,1891.708,25.197,1.295
1891,10,1891.792,24.654,2.769
1891,11,1891.875,24.226,1.104
1891,12,1891.958,25.358,0.596
1892,1,1892.042,23.934,1.719
1892,2,1892.125,24.021,0.973
1892,3,1892.208,23.185,1.057
1892,4,1892.292,24.167,0.798
1892,5,1892.375,23.836,0.831
1892,6,1892.458,24.136,0.648
1892,7,1892.542,24.474,1.015
1892,8,1892.625,23.790,0.989
1892,9,1892.708,24.126,0.651
1892,10,1892.792,23.495,1.599
1892,11,1892.875,23.301,1.364
1892,12,1892.958,24.382,2.225
1893,1,1893.042,23.734,1.164
1893,2,1893.125,24.948,1.061
1893,3,1893.208,24.477,0.919
1893,4,1893.292,24.465,0.587
1893,5,1893.375,24.828,1.492
1893,6,1893.458,24.765,0.817
1893,7,1893.542,24.316,1.300
1893,8,1893.625,24.106,2.074
1893,9,1893.708,24.499,1.075
