# Monthly average temperature data for Hong Kong.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,22.708,2.255
1840,2,1840.125,21.822,2.098
1840,3,1840.208,21.411,2.197
1840,4,1840.292,22.089,1.769
1840,5,1840.375,22.293,1.848
1840,6,1840.458,22.791,1.832
1840,7,1840.542,22.913,1.856
1840,8,1840.625,22.152,1.813
1840,9,1840.708,21.864,1.764
1840,10,1840.792,21.301,1.867
1840,11,1840.875,21.027,2.016
1840,12,1840.958,21.176,2.167
1841,1,1841.042,21.494,2.124
1841,2,1841.125,21.977,1.857
1841,3,1841.208,20.949,1.805
1841,4,1841.292,21.570,1.750
1841,5,1841.375,21.957,1.614
1841,6,1841.458,22.161,1.680
1841,7,1841.542,22.804,1.681
1841,8,1841.625,22.801,1.665
1841,9,1841.708,21.696,1.663
1841,10,1841.792,22.652,1.623
1841,11,1841.875,21.990,1.833
1841,12,1841.958,22.002,2.091
1842,1,1842.042,22.197,2.118
1842,2,1842.125,22.439,1.874
1842,3,1842.208,22.835,1.911
1842,4,1842.292,22.460,1.724
1842,5,1842.375,21.717,1.685
1842,6,1842.458,22.207,1.685
1842,7,1842.542,21.537,1.675
1842,8,1842.625,22.234,1.710
1842,9,1842.708,21.754,1.687
1842,10,1842.792,21.707,1.621
1842,11,1842.875,21.645,1.753
1842,12,1842.958,22.870,1.943
1843,1,1843.042,23.078,1.946
1843,2,1843.125,23.376,1.816
1843,3,1843.208,21.566,2.302
1843,4,1843.292,22.225,1.630
1843,5,1843.375,21.368,1.629
1843,6,1843.458,22.455,1.612
1843,7,1843.542,22.063,1.692
1843,8,1843.625,22.422,1.644
1843,9,1843.708,21.978,1.703
1843,10,1843.792,22.056,1.647
1843,11,1843.875,21.925,1.923
1843,12,1843.958,22.694,2.381
1844,1,1844.042,21.804,2.101
1844,2,1844.125,22.012,1.933
