# Monthly average temperature data for Hungary.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.203,1.827
1750,2,1750.125,9.516,2.272
1750,3,1750.208,11.806,2.725
1750,4,1750.292,10.299,1.672
1750,5,1750.375,8.524,1.688
1750,6,1750.458,9.958,1.742
1750,7,1750.542,10.587,1.862
1750,8,1750.625,10.576,1.701
1750,9,1750.708,9.498,2.268
1750,10,1750.792,8.589,1.615
1750,11,1750.875,5.608,1.705
1750,12,1750.958,6.992,1.864
1751,1,1751.042,8.162,1.875
1751,2,1751.125,6.450,1.884
1751,3,1751.208,10.986,1.715
1751,4,1751.292,8.189,1.608
1751,5,1751.375,9.115,1.675
1751,6,1751.458,9.157,1.745
1751,7,1751.542,11.140,1.783
1751,8,1751.625,11.015,1.601
1751,9,1751.708,9.666,1.585
1751,10,1751.792,8.496,1.631
1751,11,1751.875,6.447,1.698
1751,12,1751.958,7.513,2.102
1752,1,1752.042,8.586,1.942
1752,2,1752.125,10.857,1.773
1752,3,1752.208,10.238,1.548
1752,4,1752.292,8.867,1.667
1752,5,1752.375,9.184,1.568
1752,6,1752.458,11.215,1.506
1752,7,1752.542,10.880,1.625
1752,8,1752.625,9.121,1.819
1752,10,1752.792,9.522,1.600
1752,11,1752.875,9.409,1.660
1752,12,1752.958,8.592,1.909
1753,1,1753.042,8.517,1.745
1753,2,1753.125,8.539,1.767
1753,3,1753.208,10.947,1.596
1753,4,1753.292,10.258,1.878
1753,5,1753.375,10.135,1.425
1753,6,1753.458,10.387,1.775
1753,7,1753.542,10.270,1.772
1753,8,1753.625,9.120,1.546
1753,9,1753.708,9.295,1.500
1753,10,1753.792,9.629,1.521
1753,11,1753.875,8.044,1.499
1753,12,1753.958,6.963,2.348
1754,1,1754.042,9.119,1.684
1754,2,1754.125,7.294,1.715
1754,3,1754.208,6.926,1.447
1754,4,1754.292,10.714,1.679
1754,5,1754.375,10.880,1.531
1754,6,1754.458,10.605,1.631
1754,7,1754.542,9.648,1.908
1754,8,1754.625,9.671,1.682
1754,9,1754.708,8.917,1.571
1754,10,1754.792,10.605,1.705
1754,11,1754.875,9.909,2.339
1754,12,1754.958,9.395,1.692
1755,1,1755.042,6.820,1.908
1755,2,1755.125,5.481,2.341
1755,3,1755.208,8.836,1.672
1755,4,1755.292,12.352,2.052
1755,5,1755.375,10.283,1.540
1755,6,1755.458,11.912,1.942
1755,7,1755.542,10.586,2.451
1755,8,1755.625,8.630,1.710
1755,9,1755.708,8.415,1.475
1755,10,1755.792,10.209,1.429
1755,11,1755.875,8.039,2.254
1755,12,1755.958,9.466,1.896
1756,1,1756.042,10.931,2.155
1756,2,1756.125,11.574,4.540
1756,3,1756.208,10.342,2.966
1756,4,1756.292,9.447,2.476
1756,5,1756.375,9.834,5.263
1756,6,1756.458,11.494,2.105
1756,7,1756.542,10.344,7.426
1756,8,1756.625,10.010,2.132
1756,9,1756.708,9.758,1.932
1756,10,1756.792,9.426,7.975
1756,11,1756.875,7.123,1.551
1756,12,1756.958,7.531,1.702
1757,1,1757.042,7.946,1.784
1757,2,1757.125,10.579,2.760
1757,3,1757.208,9.511,4.131
1757,4,1757.292,11.070,2.261
1757,5,1757.375,10.655,2.336
1757,6,1757.458,11.911,1.921
1757,7,1757.542,13.128,2.933
1757,8,1757.625,11.379,4.143
1757,9,1757.708,9.184,6.050
1757,10,1757.792,5.813,5.341
1757,11,1757.875,8.409,7.689
1757,12,1757.958,7.545,1.804
1758,1,1758.042,5.751,5.915
1758,2,1758.125,6.994,2.224
1758,3,1758.208,9.151,1.768
1758,4,1758.292,9.225,3.629
1758,5,1758.375,9.313,4.840
1758,6,1758.458,10.200,3.863
1758,7,1758.542,8.487,3.764
1758,8,1758.625,8.670,5.672
1758,9,1758.708,7.677,2.216
1758,10,1758.792,7.028,1.539
1758,11,1758.875,8.964,1.665
1758,12,1758.958,9.299,1.677
1759,1,1759.042,11.838,1.767
1759,2,1759.125,11.312,5.912
1759,3,1759.208,10.041,3.769
1759,4,1759.292,9.482,5.282
1759,5,1759.375,8.560,3.882
1759,6,1759.458,10.618,4.107
1759,7,1759.542,10.664,4.549
1759,8,1759.625,9.968,1.681
1759,9,1759.708,9.363,2.516
1759,10,1759.792,9.252,5.578
1759,11,1759.875,5.893,6.209
1759,12,1759.958,6.745,2.450
1760,1,1760.042,7.814,5.812
1760,2,1760.125,8.418,7.821
1760,3,1760.208,7.854,2.866
1760,4,1760.292,10.372,1.623
1760,5,1760.375,10.080,3.035
1760,6,1760.458,10.295,1.863
1760,7,1760.542,9.727,1.732
1760,8,1760.625,9.272,5.970
1760,9,1760.708,9.138,2.023
1760,10,1760.792,9.270,1.984
1760,11,1760.875,9.008,6.222
1760,12,1760.958,9.097,3.310
1761,1,1761.042,8.490,1.844
1761,2,1761.125,9.169,4.342
1761,3,1761.208,11.235,1.844
1761,4,1761.292,9.629,1.711
1761,5,1761.375,11.603,2.516
1761,6,1761.458,11.622,2.554
1761,7,1761.542,11.924,1.669
1761,8,1761.625,10.882,2.994
1761,9,1761.708,10.990,3.407
1761,10,1761.792,7.184,2.892
1761,11,1761.875,8.519,8.007
1761,12,1761.958,5.374,1.849
1762,1,1762.042,10.963,8.585
1762,2,1762.125,9.483,2.592
1762,3,1762.208,7.292,5.662
1762,4,1762.292,11.533,2.991
1762,5,1762.375,10.528,4.407
1762,6,1762.458,9.637,3.238
1762,7,1762.542,10.395,3.154
1762,8,1762.625,9.640,2.603
1762,9,1762.708,9.140,3.613
1762,10,1762.792,8.005,4.448
1762,11,1762.875,9.209,2.434
1762,12,1762.958,6.175,2.737
1763,1,1763.042,5.929,6.536
1763,2,1763.125,10.090,6.586
1763,3,1763.208,7.631,3.243
1763,4,1763.292,9.135,3.852
1763,5,1763.375,8.687,5.032
1763,6,1763.458,8.922,6.276
1763,7,1763.542,11.172,2.140
1763,8,1763.625,10.668,4.697
1763,9,1763.708,8.566,4.418
1763,10,1763.792,7.422,1.846
1763,11,1763.875,7.719,3.634
1763,12,1763.958,10.170,2.819
1764,1,1764.042,10.418,2.821
1764,2,1764.125,12.122,2.880
1764,3,1764.208,8.353,2.778
1764,4,1764.292,9.024,6.801
1764,5,1764.375,11.135,2.043
1764,6,1764.458,9.065,4.755
1764,7,1764.542,10.451,4.858
1764,8,1764.625,8.475,1.900
1764,9,1764.708,8.281,5.065
1764,10,1764.792,8.671,2.928
1764,11,1764.875,8.139,3.815
1764,12,1764.958,10.206,3.416
1765,1,1765.042,12.833,9.635
1765,2,1765.125,8.007,3.895
1765,3,1765.208,11.210,2.966
1765,4,1765.292,10.650,2.054
1765,5,1765.375,8.823,2.151
1765,6,1765.458,9.233,4.143
1765,7,1765.542,8.244,4.614
1765,8,1765.625,9.681,2.868
1765,9,1765.708,9.057,1.860
1765,10,1765.792,9.586,1.864
1765,11,1765.875,9.229,3.224
1765,12,1765.958,8.086,2.300
1766,1,1766.042,5.961,7.546
1766,2,1766.125,8.163,3.046
1766,3,1766.208,10.142,2.581
1766,4,1766.292,10.408,3.949
1766,5,1766.375,10.772,3.265
1766,6,1766.458,10.140,7.515
1766,7,1766.542,8.484,4.746
1766,8,1766.625,9.436,3.602
1766,9,1766.708,9.634,3.058
1766,10,1766.792,8.671,2.946
1766,11,1766.875,10.548,3.967
1766,12,1766.958,7.952,4.055
1767,1,1767.042,3.195,6.740
1767,2,1767.125,10.448,8.030
1767,3,1767.208,10.027,7.327
1767,4,1767.292,7.347,6.316
1767,5,1767.375,8.416,2.537
1767,6,1767.458,9.349,4.318
1767,7,1767.542,10.011,4.935
1767,8,1767.625,9.799,2.554
1767,9,1767.708,9.403,3.757
1767,10,1767.792,9.635,3.596
1767,11,1767.875,11.481,9.469
1767,12,1767.958,6.420,4.458
1768,1,1768.042,4.327,4.944
1768,2,1768.125,5.969,6.171
1768,3,1768.208,7.501,4.537
1768,4,1768.292,9.372,2.298
1768,5,1768.375,8.641,2.869
1768,6,1768.458,8.616,2.388
1768,7,1768.542,10.287,2.696
1768,8,1768.625,9.548,2.331
1768,9,1768.708,8.237,3.037
1768,10,1768.792,8.415,2.635
1768,11,1768.875,8.616,4.704
1768,12,1768.958,8.157,7.591
1769,1,1769.042,11.374,6.674
1769,2,1769.125,8.691,4.840
1769,3,1769.208,9.016,5.368
1769,4,1769.292,10.104,5.069
1769,5,1769.375,9.472,5.819
1769,6,1769.458,9.974,2.769
1769,7,1769.542,9.618,2.773
1769,8,1769.625,8.857,3.817
1769,9,1769.708,9.574,1.637
1769,10,1769.792,5.045,2.784
1769,11,1769.875,8.394,1.840
1769,12,1769.958,7.811,3.651
1770,1,1770.042,8.824,6.123
1770,2,1770.125,9.233,2.709
1770,3,1770.208,6.663,1.938
1770,4,1770.292,9.249,6.060
1770,5,1770.375,9.000,1.978
1770,6,1770.458,8.412,4.754
1770,7,1770.542,8.284,2.638
1770,8,1770.625,8.626,4.784
1770,9,1770.708,9.917,2.118
1770,10,1770.792,9.906,3.177
1770,11,1770.875,9.636,6.766
1770,12,1770.958,11.048,3.936
1771,1,1771.042,10.861,2.269
1771,2,1771.125,5.473,1.848
1771,3,1771.208,6.179,3.263
1771,4,1771.292,6.327,4.158
1771,5,1771.375,10.955,7.457
1771,6,1771.458,8.902,2.601
1771,7,1771.542,9.392,1.811
1771,8,1771.625,9.044,2.233
1771,9,1771.708,9.611,2.088
1771,10,1771.792,9.790,1.779
1771,11,1771.875,6.022,2.087
1771,12,1771.958,9.175,3.044
1772,1,1772.042,11.199,7.893
1772,2,1772.125,11.015,10.039
1772,3,1772.208,10.247,2.932
1772,4,1772.292,9.976,3.209
1772,5,1772.375,7.888,1.839
1772,6,1772.458,10.426,6.162
1772,7,1772.542,10.547,3.629
1772,8,1772.625,9.943,4.230
1772,9,1772.708,10.050,3.280
1772,10,1772.792,10.125,2.060
1772,11,1772.875,11.664,5.947
1772,12,1772.958,10.634,3.391
1773,1,1773.042,9.957,2.536
1773,2,1773.125,8.131,3.530
1773,3,1773.208,8.291,2.381
1773,4,1773.292,9.968,2.432
1773,5,1773.375,11.988,2.801
1773,6,1773.458,8.739,2.226
1773,7,1773.542,9.047,2.520
1773,8,1773.625,8.938,2.304
1773,9,1773.708,10.657,2.463
1773,10,1773.792,10.822,2.226
1773,11,1773.875,8.347,6.802
1773,12,1773.958,12.280,4.722
1774,1,1774.042,8.865,6.176
1774,2,1774.125,10.082,6.917
1774,3,1774.208,10.495,2.624
1774,4,1774.292,12.013,5.953
1774,5,1774.375,12.081,2.248
1774,6,1774.458,11.286,9.048
1774,7,1774.542,10.932,8.444
1774,8,1774.625,10.564,2.740
1774,9,1774.708,8.818,2.350
1774,10,1774.792,8.772,6.295
1774,11,1774.875,4.760,4.409
1774,12,1774.958,6.373,6.427
1775,1,1775.042,9.314,6.195
1775,2,1775.125,12.172,1.949
1775,3,1775.208,11.332,1.691
1775,4,1775.292,7.919,3.507
1775,5,1775.375,8.281,6.335
1775,6,1775.458,10.848,5.713
1775,7,1775.542,10.623,3.602
1775,8,1775.625,11.720,4.778
1775,9,1775.708,10.768,4.668
1775,10,1775.792,10.934,2.407
1775,11,1775.875,10.043,2.653
1775,12,1775.958,7.987,2.541
1776,1,1776.042,5.101,2.223
1776,2,1776.125,11.101,4.186
1776,3,1776.208,10.448,3.199
1776,4,1776.292,8.969,3.227
1776,5,1776.375,8.217,5.344
1776,6,1776.458,9.662,2.013
1776,7,1776.542,9.879,4.205
1776,8,1776.625,10.408,2.939
1776,9,1776.708,8.604,3.415
1776,10,1776.792,7.906,5.054
1776,11,1776.875,7.914,3.079
1776,12,1776.958,7.779,3.385
1777,1,1777.042,8.717,5.940
1777,2,1777.125,9.011,2.964
1777,3,1777.208,10.233,2.262
1777,4,1777.292,7.553,4.048
1777,5,1777.375,10.029,2.479
1777,6,1777.458,9.290,3.716
1777,7,1777.542,8.527,2.679
1777,8,1777.625,9.881,2.281
1777,9,1777.708,8.487,5.266
1777,10,1777.792,8.313,4.654
1777,11,1777.875,9.684,3.395
1777,12,1777.958,8.455,1.958
1778,1,1778.042,11.590,4.826
1778,2,1778.125,8.863,3.275
1778,3,1778.208,10.053,2.901
1778,4,1778.292,12.320,3.065
1778,5,1778.375,10.833,2.460
1778,6,1778.458,9.066,7.291
1778,7,1778.542,11.750,2.848
1778,8,1778.625,10.252,4.080
1778,9,1778.708,8.784,2.057
1778,10,1778.792,8.364,4.499
1778,11,1778.875,9.230,5.612
1778,12,1778.958,11.867,1.879
1779,1,1779.042,7.174,8.351
1779,2,1779.125,12.292,10.598
1779,3,1779.208,11.326,3.028
1779,4,1779.292,12.425,4.607
1779,5,1779.375,12.271,2.566
1779,6,1779.458,7.938,4.817
1779,7,1779.542,8.616,2.363
1779,8,1779.625,9.734,2.848
1779,9,1779.708,10.490,2.499
1779,10,1779.792,10.638,4.518
1779,11,1779.875,9.918,3.338
1779,12,1779.958,12.243,4.808
1780,1,1780.042,8.328,6.017
1780,2,1780.125,6.968,6.721
1780,3,1780.208,11.956,2.792
1780,4,1780.292,9.098,1.901
1780,5,1780.375,11.002,4.067
1780,6,1780.458,9.396,7.335
1780,7,1780.542,9.679,5.464
1780,8,1780.625,9.172,7.507
1780,9,1780.708,7.854,4.196
1780,10,1780.792,10.755,1.921
1780,11,1780.875,9.662,2.171
1780,12,1780.958,7.110,3.433
1781,1,1781.042,9.072,6.322
1781,2,1781.125,9.326,8.799
1781,3,1781.208,10.066,1.673
1781,4,1781.292,10.711,4.118
1781,5,1781.375,10.658,3.555
1781,6,1781.458,10.807,1.875
1781,7,1781.542,10.876,1.951
1781,8,1781.625,12.741,1.534
1781,9,1781.708,11.521,5.556
1781,10,1781.792,7.835,1.818
1781,11,1781.875,10.764,2.956
1781,12,1781.958,8.703,6.641
1782,1,1782.042,10.434,3.272
1782,2,1782.125,5.456,6.817
1782,3,1782.208,8.795,5.709
1782,4,1782.292,9.079,2.472
1782,5,1782.375,9.796,2.399
1782,6,1782.458,10.199,2.271
1782,7,1782.542,11.741,2.521
1782,8,1782.625,10.794,2.517
1782,9,1782.708,9.361,2.185
1782,10,1782.792,8.182,5.147
1782,11,1782.875,6.716,4.447
1782,12,1782.958,8.710,4.896
1783,1,1783.042,10.880,3.056
1783,2,1783.125,12.790,3.280
1783,3,1783.208,8.875,1.919
1783,4,1783.292,9.439,2.016
1783,5,1783.375,11.654,5.100
1783,6,1783.458,11.076,5.528
1783,7,1783.542,10.257,2.537
1783,8,1783.625,10.900,2.166
1783,9,1783.708,10.513,5.137
1783,10,1783.792,10.048,5.612
1783,11,1783.875,7.686,6.349
1783,12,1783.958,5.420,3.129
1784,1,1784.042,6.220,8.693
1784,2,1784.125,6.774,8.199
1784,3,1784.208,8.602,4.481
1784,4,1784.292,7.877,2.649
1784,5,1784.375,11.210,1.973
1784,6,1784.458,10.066,3.590
1784,7,1784.542,10.177,3.109
1784,8,1784.625,11.106,3.693
1784,9,1784.708,10.547,4.656
1784,10,1784.792,6.675,1.886
1784,11,1784.875,8.904,5.034
1784,12,1784.958,9.170,3.162
1785,1,1785.042,8.113,2.524
1785,2,1785.125,7.066,6.242
1785,3,1785.208,3.076,5.738
1785,4,1785.292,6.897,3.753
1785,5,1785.375,9.399,1.196
1785,6,1785.458,8.776,4.954
1785,7,1785.542,9.285,2.607
1785,8,1785.625,9.666,1.277
1785,9,1785.708,10.771,2.189
1785,10,1785.792,8.638,6.023
1785,11,1785.875,9.694,1.611
1785,12,1785.958,8.808,2.127
1786,1,1786.042,9.087,2.838
1786,2,1786.125,8.321,3.342
1786,3,1786.208,9.967,3.759
1786,4,1786.292,10.866,2.114
1786,5,1786.375,8.658,3.163
1786,6,1786.458,9.623,3.396
1786,7,1786.542,8.996,1.773
1786,8,1786.625,8.430,1.480
1786,9,1786.708,8.579,1.700
1786,10,1786.792,6.640,3.822
1786,11,1786.875,6.698,3.476
1786,12,1786.958,7.990,3.738
1787,1,1787.042,8.803,7.847
1787,2,1787.125,10.486,5.198
1787,3,1787.208,10.283,2.931
1787,4,1787.292,8.096,2.934
1787,5,1787.375,8.274,1.843
1787,6,1787.458,10.605,2.976
1787,7,1787.542,10.017,4.147
1787,8,1787.625,10.602,1.845
1787,9,1787.708,8.341,2.702
1787,10,1787.792,10.422,1.365
1787,11,1787.875,9.880,4.323
1787,12,1787.958,11.535,2.435
1788,1,1788.042,11.309,5.200
1788,2,1788.125,9.374,4.279
1788,3,1788.208,10.917,5.034
1788,4,1788.292,9.354,5.214
1788,5,1788.375,9.948,2.190
1788,6,1788.458,11.375,1.232
1788,7,1788.542,12.899,3.823
1788,8,1788.625,8.428,2.988
1788,9,1788.708,10.860,3.507
1788,10,1788.792,8.944,3.547
1788,11,1788.875,7.551,3.272
1788,12,1788.958,2.148,6.521
1789,1,1789.042,7.912,4.568
1789,2,1789.125,10.502,2.004
1789,3,1789.208,6.758,6.121
1789,4,1789.292,10.497,2.780
1789,5,1789.375,12.945,5.104
1789,6,1789.458,9.040,1.476
1789,7,1789.542,10.892,2.815
1789,8,1789.625,9.645,1.607
1789,9,1789.708,10.469,1.582
1789,10,1789.792,10.517,2.817
1789,11,1789.875,9.921,4.794
1789,12,1789.958,8.974,4.097
1790,1,1790.042,10.145,1.746
1790,2,1790.125,11.795,4.779
1790,3,1790.208,9.696,3.377
1790,4,1790.292,7.990,1.904
1790,5,1790.375,10.768,4.375
1790,6,1790.458,11.126,2.010
1790,7,1790.542,9.108,1.821
1790,8,1790.625,10.210,1.349
1790,9,1790.708,8.829,1.897
1790,10,1790.792,9.174,2.041
1790,11,1790.875,8.822,1.634
1790,12,1790.958,11.373,5.820
1791,1,1791.042,13.840,5.142
1791,2,1791.125,10.465,3.172
1791,3,1791.208,11.109,3.453
1791,4,1791.292,11.661,1.984
1791,5,1791.375,9.546,1.432
1791,6,1791.458,9.260,3.149
1791,7,1791.542,10.227,2.118
1791,8,1791.625,11.734,1.926
1791,9,1791.708,8.741,1.765
1791,10,1791.792,9.215,1.482
1791,11,1791.875,8.998,3.105
1791,12,1791.958,10.751,1.669
1792,1,1792.042,10.233,3.913
1792,2,1792.125,8.417,4.825
1792,3,1792.208,9.817,2.390
1792,4,1792.292,10.342,1.671
1792,5,1792.375,9.406,2.046
1792,6,1792.458,10.676,1.450
1792,7,1792.542,10.998,3.182
1792,8,1792.625,9.962,2.528
1792,9,1792.708,9.799,2.708
1792,10,1792.792,8.564,1.973
1792,11,1792.875,8.481,2.612
1792,12,1792.958,9.450,2.344
1793,1,1793.042,7.925,2.993
1793,2,1793.125,11.156,2.573
1793,3,1793.208,8.681,2.237
1793,4,1793.292,7.589,3.818
1793,5,1793.375,8.869,1.622
1793,6,1793.458,8.683,3.515
1793,7,1793.542,11.437,3.072
1793,8,1793.625,10.666,3.342
1793,9,1793.708,9.599,4.000
1793,10,1793.792,10.659,2.933
1793,11,1793.875,9.927,6.151
1793,12,1793.958,10.908,3.401
1794,1,1794.042,11.910,3.700
1794,2,1794.125,12.257,6.606
1794,3,1794.208,11.649,2.108
1794,4,1794.292,13.131,3.675
1794,5,1794.375,11.632,2.710
1794,6,1794.458,10.810,4.069
1794,7,1794.542,12.255,6.389
1794,8,1794.625,9.200,2.598
1794,9,1794.708,8.166,1.384
1794,10,1794.792,9.218,1.549
1794,11,1794.875,9.482,3.116
1794,12,1794.958,7.797,4.348
1795,1,1795.042,4.146,2.899
1795,2,1795.125,8.980,3.981
1795,3,1795.208,10.099,1.638
1795,4,1795.292,11.902,4.548
1795,5,1795.375,10.305,3.325
1795,6,1795.458,10.753,3.085
1795,7,1795.542,8.530,2.325
1795,8,1795.625,10.302,2.690
1795,9,1795.708,9.292,1.708
1795,10,1795.792,12.116,3.657
1795,11,1795.875,7.836,4.002
1795,12,1795.958,11.339,4.356
1796,1,1796.042,14.765,3.268
1796,2,1796.125,10.647,4.355
1796,3,1796.208,6.174,3.274
1796,4,1796.292,7.743,2.876
1796,5,1796.375,10.348,1.251
