# Monthly average temperature data for Iceland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1807,8,1807.625,0.807,2.440
1807,9,1807.708,0.545,2.140
1807,10,1807.792,0.752,1.758
1807,11,1807.875,-0.482,2.272
1807,12,1807.958,1.388,1.935
1808,1,1808.042,-1.440,3.355
1808,2,1808.125,0.051,2.245
1808,3,1808.208,0.718,4.305
1808,4,1808.292,-0.055,2.056
1808,5,1808.375,0.909,3.202
1808,6,1808.458,1.564,1.857
1808,7,1808.542,2.405,2.000
1808,11,1808.875,-0.217,1.928
1808,12,1808.958,0.851,2.116
1809,1,1809.042,0.003,3.097
1809,2,1809.125,-0.049,3.589
1809,3,1809.208,1.597,2.373
1809,4,1809.292,0.432,3.505
1809,5,1809.375,1.174,2.722
1809,6,1809.458,0.705,2.179
1809,7,1809.542,0.802,3.276
1809,8,1809.625,1.170,2.550
1809,9,1809.708,0.630,2.372
1809,10,1809.792,0.740,4.949
1809,11,1809.875,-0.004,3.562
1809,12,1809.958,-0.125,2.372
1810,1,1810.042,0.266,3.047
1810,2,1810.125,-0.063,4.159
1810,3,1810.208,0.007,2.871
1810,4,1810.292,0.429,2.531
1810,5,1810.375,-0.891,2.718
1810,6,1810.458,1.142,2.874
1810,7,1810.542,0.933,3.064
1810,8,1810.625,0.382,2.793
1810,9,1810.708,0.169,2.676
1810,10,1810.792,-0.132,2.839
1810,11,1810.875,-0.291,3.454
1810,12,1810.958,-0.114,3.863
1811,1,1811.042,-1.012,2.026
1811,2,1811.125,-1.907,2.648
1811,3,1811.208,-0.763,2.223
1811,4,1811.292,-0.791,1.769
1811,5,1811.375,0.620,2.386
1811,6,1811.458,0.350,2.623
1811,7,1811.542,0.699,3.559
1811,8,1811.625,0.562,4.000
1811,9,1811.708,0.321,4.208
1811,10,1811.792,0.999,4.345
1811,11,1811.875,-0.868,2.381
1811,12,1811.958,-0.220,3.862
1812,1,1812.042,1.680,6.601
1812,2,1812.125,-0.428,4.489
1812,3,1812.208,-1.723,2.258
1812,4,1812.292,-0.103,4.281
1812,5,1812.375,-0.081,1.869
1812,6,1812.458,0.057,2.027
1812,7,1812.542,0.781,2.444
1812,10,1812.792,0.338,1.908
1812,11,1812.875,0.512,3.575
1812,12,1812.958,1.051,3.403
1813,1,1813.042,-0.769,4.638
1813,2,1813.125,1.520,1.912
1813,4,1813.292,-0.392,2.558
1813,5,1813.375,-0.046,5.217
1813,6,1813.458,2.186,2.482
1813,7,1813.542,2.401,2.437
1813,8,1813.625,1.259,1.967
1813,9,1813.708,1.393,3.779
1813,10,1813.792,0.091,2.126
1813,11,1813.875,0.304,2.349
1813,12,1813.958,1.044,3.181
1814,1,1814.042,-0.605,3.355
1814,2,1814.125,-0.769,2.110
1814,3,1814.208,-2.244,2.208
1814,4,1814.292,1.887,2.624
1814,5,1814.375,0.716,2.261
1814,6,1814.458,0.375,1.981
1814,7,1814.542,1.564,2.608
1814,11,1814.875,0.450,4.863
1814,12,1814.958,2.054,4.994
1815,1,1815.042,1.108,2.195
1815,2,1815.125,0.314,4.360
1815,4,1815.292,-0.124,1.965
1815,5,1815.375,1.259,2.318
1815,6,1815.458,0.687,2.698
1823,1,1823.042,0.305,3.922
1823,2,1823.125,-1.235,1.897
1823,3,1823.208,1.290,2.461
1823,4,1823.292,2.180,3.227
1823,5,1823.375,0.929,2.034
1823,6,1823.458,1.460,2.207
1823,7,1823.542,2.195,1.548
1823,8,1823.625,1.550,1.902
1823,9,1823.708,0.821,2.495
1823,10,1823.792,-0.149,2.810
1823,11,1823.875,1.391,3.642
1823,12,1823.958,-0.274,2.825
1824,1,1824.042,1.976,2.632
1824,2,1824.125,1.400,2.960
1824,3,1824.208,0.768,1.220
1824,4,1824.292,3.440,1.427
1824,5,1824.375,2.996,1.993
1824,6,1824.458,4.273,4.053
1824,7,1824.542,2.833,2.782
1824,8,1824.625,2.010,2.105
1824,9,1824.708,0.005,1.738
1824,10,1824.792,-1.457,2.164
1824,11,1824.875,-2.191,3.425
1824,12,1824.958,-0.624,4.683
1825,1,1825.042,1.123,3.804
1825,2,1825.125,0.309,1.524
1825,3,1825.208,2.432,4.158
1825,4,1825.292,0.720,3.042
1825,5,1825.375,1.777,1.605
1825,6,1825.458,1.673,1.910
1825,7,1825.542,2.035,3.062
1825,8,1825.625,1.245,2.036
1825,9,1825.708,2.222,5.102
1825,10,1825.792,1.720,2.302
1825,11,1825.875,-0.265,3.244
1825,12,1825.958,-0.337,1.404
1826,1,1826.042,0.969,1.533
1826,2,1826.125,3.310,3.936
1826,3,1826.208,2.469,4.216
1826,4,1826.292,0.803,2.628
1826,5,1826.375,2.108,1.044
1826,6,1826.458,1.532,3.534
1826,7,1826.542,1.655,2.385
1826,8,1826.625,0.914,1.619
1826,9,1826.708,1.402,2.130
1826,10,1826.792,1.384,1.712
1826,11,1826.875,1.354,1.077
1826,12,1826.958,2.405,2.135
1827,1,1827.042,-0.190,3.795
1827,2,1827.125,0.671,1.894
1827,3,1827.208,-0.899,4.834
1827,4,1827.292,0.759,2.633
1827,5,1827.375,2.292,2.775
1827,6,1827.458,2.185,2.981
1827,7,1827.542,0.725,2.363
1827,8,1827.625,1.642,3.083
1827,9,1827.708,1.268,1.791
1827,10,1827.792,1.430,1.974
1827,11,1827.875,1.792,2.595
1827,12,1827.958,1.932,2.686
1828,1,1828.042,2.069,4.379
1828,2,1828.125,1.324,4.393
1828,3,1828.208,2.015,2.250
1828,4,1828.292,2.075,3.651
1828,5,1828.375,3.078,4.236
1828,6,1828.458,2.247,1.917
1828,7,1828.542,2.927,2.132
1828,8,1828.625,2.412,2.452
1828,9,1828.708,1.560,2.793
1828,10,1828.792,2.567,1.909
1828,11,1828.875,1.519,1.386
1828,12,1828.958,2.454,2.304
1829,1,1829.042,1.211,2.338
1829,2,1829.125,1.926,4.039
1829,3,1829.208,3.232,4.107
1829,4,1829.292,1.328,2.092
1829,5,1829.375,1.790,2.345
1829,6,1829.458,1.859,2.161
1829,7,1829.542,2.647,2.160
1829,8,1829.625,1.796,3.251
1829,9,1829.708,0.759,2.686
1829,10,1829.792,-0.621,2.248
1829,11,1829.875,0.089,3.523
1829,12,1829.958,1.887,2.313
1830,1,1830.042,3.205,3.213
1830,2,1830.125,-0.087,3.882
1830,3,1830.208,0.291,1.626
1830,4,1830.292,0.755,1.602
1830,5,1830.375,3.023,3.065
1830,6,1830.458,2.887,2.698
1830,7,1830.542,2.187,2.517
1830,8,1830.625,1.106,3.499
1830,9,1830.708,1.950,1.842
1830,10,1830.792,1.307,1.846
1830,11,1830.875,-0.154,2.843
1830,12,1830.958,-1.335,2.842
1831,1,1831.042,1.261,2.328
1831,2,1831.125,-0.221,5.065
1831,3,1831.208,2.208,3.825
1831,4,1831.292,1.748,1.268
1831,5,1831.375,1.699,3.018
1831,7,1831.542,2.467,1.848
1831,8,1831.625,1.393,2.438
1831,9,1831.708,1.005,2.245
1831,10,1831.792,0.829,2.625
1831,11,1831.875,-1.071,1.814
1831,12,1831.958,2.903,3.763
1832,1,1832.042,2.187,3.557
1832,2,1832.125,0.058,2.262
1832,3,1832.208,0.266,2.407
1832,4,1832.292,1.514,1.619
1832,5,1832.375,0.696,2.357
1832,6,1832.458,1.965,3.511
1832,7,1832.542,0.530,3.089
1832,8,1832.625,-0.108,3.242
1832,9,1832.708,-0.369,1.872
1832,10,1832.792,0.230,1.360
1832,11,1832.875,1.148,1.594
1832,12,1832.958,0.645,3.632
1833,1,1833.042,2.258,5.452
1833,2,1833.125,0.251,1.824
1833,3,1833.208,1.552,3.315
1833,4,1833.292,0.699,1.299
1833,5,1833.375,2.489,1.312
1833,6,1833.458,1.843,1.930
1833,7,1833.542,1.247,3.311
1833,8,1833.625,0.186,1.415
1833,9,1833.708,1.112,1.946
1833,10,1833.792,0.041,1.792
1833,11,1833.875,0.314,2.874
1833,12,1833.958,-0.681,3.292
1834,1,1834.042,1.083,3.217
1834,2,1834.125,0.401,2.204
1834,3,1834.208,1.726,1.334
1834,4,1834.292,0.799,2.171
1834,5,1834.375,1.522,1.002
1834,6,1834.458,1.342,1.967
1834,7,1834.542,2.212,2.464
1834,8,1834.625,0.915,1.542
1834,9,1834.708,0.806,2.149
1834,10,1834.792,-0.232,1.751
1834,11,1834.875,0.753,1.946
1834,12,1834.958,3.088,3.650
1835,1,1835.042,-1.191,2.240
1835,2,1835.125,-1.182,3.275
1835,3,1835.208,-0.302,2.276
1835,4,1835.292,-0.437,1.926
1835,5,1835.375,0.743,1.553
1835,6,1835.458,1.530,2.362
1835,7,1835.542,1.537,2.346
1835,8,1835.625,1.837,2.867
1835,9,1835.708,1.038,1.933
1835,10,1835.792,-0.921,1.867
1835,11,1835.875,2.331,2.022
1835,12,1835.958,2.267,3.334
1836,1,1836.042,0.276,3.498
1836,2,1836.125,-1.454,3.425
1836,3,1836.208,-0.680,1.258
1836,4,1836.292,-1.632,2.407
1836,5,1836.375,1.492,2.150
1836,6,1836.458,1.061,2.267
1836,7,1836.542,1.159,1.731
1836,8,1836.625,-0.535,2.735
1836,9,1836.708,-0.310,2.234
1836,10,1836.792,-1.007,2.585
1836,11,1836.875,-2.013,2.500
1836,12,1836.958,-0.569,1.552
1837,1,1837.042,0.612,3.057
1837,2,1837.125,0.579,4.871
1837,3,1837.208,-1.332,2.460
1837,4,1837.292,-1.342,1.733
1837,5,1837.375,0.382,3.265
1837,6,1837.458,1.447,3.179
1837,7,1837.542,1.323,2.505
1837,8,1837.625,1.100,1.653
1837,9,1837.708,1.446,1.927
1837,10,1837.792,0.593,1.355
1837,11,1837.875,-1.857,2.566
1837,12,1837.958,2.396,3.513
1838,1,1838.042,-0.915,2.422
1838,2,1838.125,-0.262,1.544
1838,3,1838.208,-0.734,2.078
1838,4,1838.292,-1.300,2.669
1838,5,1838.375,1.292,2.223
1838,6,1838.458,1.229,1.992
1838,7,1838.542,2.423,2.959
1838,8,1838.625,0.858,1.874
1838,9,1838.708,0.365,1.924
1838,10,1838.792,-0.324,1.876
1838,11,1838.875,-1.085,2.524
1838,12,1838.958,1.915,1.557
1839,1,1839.042,-1.264,3.368
1839,2,1839.125,-1.475,2.725
1839,3,1839.208,-0.650,2.066
1839,4,1839.292,0.240,2.622
1839,5,1839.375,-0.082,1.656
1839,6,1839.458,0.966,1.486
1839,7,1839.542,1.656,1.684
1839,8,1839.625,1.250,1.885
1839,9,1839.708,1.484,1.903
1839,10,1839.792,0.542,2.374
1839,11,1839.875,0.257,1.378
1839,12,1839.958,-0.481,3.430
1840,1,1840.042,0.258,3.512
1840,2,1840.125,1.964,3.621
1840,3,1840.208,4.023,2.516
1840,4,1840.292,0.858,1.604
1840,5,1840.375,0.549,1.329
1840,6,1840.458,1.501,1.501
1840,7,1840.542,0.618,1.942
1840,8,1840.625,1.603,2.116
1840,9,1840.708,-0.163,2.185
1840,10,1840.792,0.622,2.116
1840,11,1840.875,1.189,3.442
1840,12,1840.958,2.449,2.080
1841,1,1841.042,-0.570,2.004
1841,2,1841.125,2.520,2.100
1841,3,1841.208,2.596,2.063
1841,4,1841.292,1.624,2.791
1841,5,1841.375,1.643,1.239
1841,6,1841.458,1.315,1.959
1841,7,1841.542,0.390,1.515
1841,8,1841.625,0.186,2.159
1841,9,1841.708,1.603,1.392
1841,10,1841.792,-1.321,1.581
1841,11,1841.875,-2.753,2.233
1841,12,1841.958,-0.867,2.299
1842,1,1842.042,2.231,2.869
1842,2,1842.125,1.796,2.755
1842,3,1842.208,1.766,2.179
1842,4,1842.292,2.648,1.438
1842,5,1842.375,2.957,1.801
1842,6,1842.458,1.842,1.966
1842,7,1842.542,2.209,1.846
1842,8,1842.625,2.047,2.027
1842,9,1842.708,1.485,1.647
1842,10,1842.792,0.569,1.624
1842,11,1842.875,-0.980,1.988
1842,12,1842.958,2.570,1.577
1843,1,1843.042,0.206,3.196
1843,2,1843.125,-0.989,4.521
1843,3,1843.208,1.154,1.352
1843,4,1843.292,0.510,1.287
1843,5,1843.375,1.751,1.614
1843,6,1843.458,1.812,1.703
1843,7,1843.542,1.721,1.361
1843,8,1843.625,2.275,1.899
1843,9,1843.708,1.962,1.195
1843,10,1843.792,-1.204,3.202
1843,11,1843.875,-0.144,1.664
1843,12,1843.958,2.514,2.379
1844,1,1844.042,1.196,1.631
1844,2,1844.125,-3.079,3.316
1844,3,1844.208,0.754,1.873
1844,4,1844.292,0.110,2.378
1844,5,1844.375,1.520,2.914
1844,6,1844.458,1.833,1.751
1844,7,1844.542,1.764,1.151
1844,8,1844.625,1.638,1.298
1844,9,1844.708,0.928,1.614
1844,10,1844.792,0.281,1.198
1844,11,1844.875,0.467,2.498
1844,12,1844.958,0.422,3.045
1845,1,1845.042,0.482,2.194
1845,2,1845.125,-1.283,3.036
1845,3,1845.208,1.254,1.949
1845,4,1845.292,2.827,1.774
1845,5,1845.375,2.825,2.412
1845,6,1845.458,1.661,1.245
1845,7,1845.542,2.067,1.319
1845,8,1845.625,1.495,1.198
1845,9,1845.708,0.585,2.088
1845,10,1845.792,0.616,2.396
1845,11,1845.875,0.254,1.840
1845,12,1845.958,-1.081,2.540
1846,1,1846.042,1.581,4.294
