# Monthly average temperature data for India.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1816,5,1816.375,23.648,1.344
1816,6,1816.458,22.976,1.506
1816,7,1816.542,22.174,1.895
1816,8,1816.625,22.615,1.040
1816,9,1816.708,21.994,1.237
1816,10,1816.792,21.053,5.127
1816,11,1816.875,22.323,5.040
1816,12,1816.958,22.578,2.171
1817,1,1817.042,23.346,4.125
1817,2,1817.125,23.596,3.933
1817,3,1817.208,22.966,2.180
1817,4,1817.292,23.745,1.672
1817,5,1817.375,22.480,2.005
1817,6,1817.458,21.915,1.413
1817,7,1817.542,22.638,2.668
1817,8,1817.625,23.280,1.198
1817,9,1817.708,21.110,2.553
1817,10,1817.792,21.634,3.107
1817,11,1817.875,22.591,1.829
1817,12,1817.958,22.489,3.611
1818,1,1818.042,23.583,1.618
1818,2,1818.125,22.854,1.969
1818,3,1818.208,23.478,1.789
1818,4,1818.292,24.534,1.936
1818,5,1818.375,24.235,5.467
1818,6,1818.458,23.822,5.919
1818,7,1818.542,22.453,1.960
1818,8,1818.625,22.476,2.316
1818,9,1818.708,21.900,1.255
1818,10,1818.792,21.683,3.737
1818,11,1818.875,22.867,2.249
1818,12,1818.958,22.937,1.504
1819,1,1819.042,21.828,2.788
1819,2,1819.125,22.290,3.411
1819,3,1819.208,22.286,5.882
1819,4,1819.292,22.520,1.565
1819,5,1819.375,23.110,2.474
1819,6,1819.458,23.207,3.483
1819,7,1819.542,23.030,1.577
1819,8,1819.625,23.049,2.227
1819,9,1819.708,22.707,2.143
1819,10,1819.792,22.727,2.090
1819,11,1819.875,23.286,1.584
1819,12,1819.958,22.510,2.143
1820,1,1820.042,21.238,2.765
1820,2,1820.125,22.406,1.894
1820,3,1820.208,23.022,1.556
1820,4,1820.292,24.319,1.325
1820,5,1820.375,23.334,1.606
1820,6,1820.458,23.200,1.184
1820,7,1820.542,23.369,1.265
1820,8,1820.625,22.870,1.675
1820,9,1820.708,23.016,1.829
1820,10,1820.792,22.432,1.320
1820,11,1820.875,22.974,1.229
1820,12,1820.958,22.714,1.277
1821,1,1821.042,24.502,2.697
1821,2,1821.125,24.693,3.793
1821,3,1821.208,24.163,2.357
1821,5,1821.375,23.771,2.292
1821,6,1821.458,23.309,2.108
1821,7,1821.542,23.360,2.006
1821,8,1821.625,23.412,1.206
1821,9,1821.708,22.198,1.694
1821,10,1821.792,22.549,1.330
1821,11,1821.875,23.309,2.163
1821,12,1821.958,23.498,1.174
1822,1,1822.042,24.423,1.909
1822,2,1822.125,25.110,1.345
1822,3,1822.208,25.702,2.495
1822,4,1822.292,23.682,1.868
1822,5,1822.375,23.932,0.931
1822,6,1822.458,23.306,1.263
