# Monthly average temperature data for Indonesia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1869,1,1869.042,25.014,1.341
1869,2,1869.125,25.573,1.300
1869,3,1869.208,25.077,1.165
1869,4,1869.292,25.109,0.670
1869,5,1869.375,25.297,0.703
1869,6,1869.458,25.532,0.700
1869,7,1869.542,25.652,0.601
1869,8,1869.625,25.388,0.921
1869,9,1869.708,25.424,0.688
1869,10,1869.792,25.122,0.649
1869,11,1869.875,24.776,0.864
1869,12,1869.958,24.453,0.914
1870,1,1870.042,24.727,1.141
1870,2,1870.125,24.387,1.066
1870,3,1870.208,24.818,0.714
1870,4,1870.292,25.094,0.698
1870,5,1870.375,25.187,0.663
1870,6,1870.458,25.486,1.033
1870,7,1870.542,25.549,0.735
1870,8,1870.625,24.874,0.615
1870,9,1870.708,24.940,0.625
1870,10,1870.792,24.772,0.730
1870,11,1870.875,24.662,0.970
1870,12,1870.958,24.131,0.882
1871,1,1871.042,24.281,0.821
1871,2,1871.125,24.357,1.132
1871,3,1871.208,24.755,1.502
1871,4,1871.292,25.292,0.796
1871,5,1871.375,25.022,0.630
1871,6,1871.458,25.109,0.817
1871,7,1871.542,25.171,0.931
1871,8,1871.625,25.321,0.898
1871,9,1871.708,24.945,0.763
1871,10,1871.792,24.876,0.664
1871,11,1871.875,24.288,1.082
1871,12,1871.958,24.441,0.849
1872,1,1872.042,24.349,0.977
1872,2,1872.125,24.406,0.869
1872,3,1872.208,24.875,0.855
1872,4,1872.292,25.133,0.917
1872,5,1872.375,25.344,0.903
1872,6,1872.458,25.332,0.865
1872,7,1872.542,25.395,0.929
1872,8,1872.625,25.270,0.700
1872,9,1872.708,25.264,0.652
1872,10,1872.792,25.166,0.663
1872,11,1872.875,24.618,0.698
1872,12,1872.958,24.432,0.919
1873,1,1873.042,24.808,0.860
1873,2,1873.125,25.000,0.998
1873,3,1873.208,24.869,0.716
1873,4,1873.292,24.686,0.815
1873,5,1873.375,25.170,0.641
1873,6,1873.458,25.557,0.738
1873,7,1873.542,25.511,0.913
1873,8,1873.625,25.368,0.621
1873,9,1873.708,25.144,0.763
1873,10,1873.792,25.096,0.683
1873,11,1873.875,25.005,0.870
1873,12,1873.958,25.029,0.691
1874,1,1874.042,25.056,0.647
1874,2,1874.125,25.186,0.661
1874,3,1874.208,24.746,0.752
1874,4,1874.292,25.191,0.714
1874,5,1874.375,25.445,1.062
1874,6,1874.458,25.326,0.705
1874,7,1874.542,25.135,0.696
1874,8,1874.625,25.172,0.817
1874,9,1874.708,25.147,0.784
1874,10,1874.792,25.082,0.711
1874,11,1874.875,24.658,0.694
1874,12,1874.958,24.745,0.767
1875,1,1875.042,24.419,0.715
1875,2,1875.125,24.745,0.951
1875,3,1875.208,24.476,0.776
1875,4,1875.292,24.731,0.700
1875,5,1875.375,24.799,0.789
1875,6,1875.458,25.199,0.941
1875,7,1875.542,25.293,0.773
1875,8,1875.625,25.070,0.711
1875,9,1875.708,25.063,0.707
1875,10,1875.792,24.860,0.718
1875,11,1875.875,24.282,1.044
1875,12,1875.958,24.340,0.740
1876,1,1876.042,24.719,0.755
1876,2,1876.125,24.909,0.663
1876,3,1876.208,24.990,0.809
1876,4,1876.292,25.276,0.782
1876,5,1876.375,24.968,0.771
1876,6,1876.458,25.228,0.724
1876,7,1876.542,25.426,0.666
1876,8,1876.625,25.087,0.672
1876,9,1876.708,25.066,0.610
1876,10,1876.792,24.938,0.639
1876,11,1876.875,24.535,0.857
1876,12,1876.958,24.206,0.690
1877,1,1877.042,24.907,0.997
1877,2,1877.125,24.911,0.871
1877,3,1877.208,25.199,0.613
1877,4,1877.292,25.178,0.613
1877,5,1877.375,25.417,0.737
1877,6,1877.458,25.316,0.762
1877,7,1877.542,25.680,0.673
1877,8,1877.625,25.532,0.858
1877,9,1877.708,25.415,0.815
