# Monthly average temperature data for Iran.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1848,1,1848.042,15.814,1.885
1848,2,1848.125,16.556,2.226
1848,3,1848.208,16.835,1.688
1848,4,1848.292,17.104,1.878
1848,5,1848.375,17.400,2.007
1848,6,1848.458,17.441,1.747
1848,7,1848.542,17.640,1.772
1848,8,1848.625,17.514,1.646
1848,9,1848.708,16.653,1.622
1848,10,1848.792,17.120,1.695
1848,11,1848.875,17.844,1.737
1848,12,1848.958,15.448,1.967
1849,1,1849.042,17.140,2.329
1849,2,1849.125,17.282,2.018
1849,3,1849.208,16.890,1.871
1849,4,1849.292,17.060,2.083
1849,5,1849.375,17.471,1.561
1849,6,1849.458,16.976,1.743
1849,7,1849.542,17.618,1.809
1849,8,1849.625,17.619,1.661
1849,9,1849.708,16.804,1.765
1849,10,1849.792,17.446,1.585
1849,11,1849.875,17.155,2.115
1849,12,1849.958,17.088,1.870
1850,1,1850.042,16.503,1.841
1850,2,1850.125,17.247,2.281
1850,3,1850.208,17.154,1.867
1850,4,1850.292,16.173,1.677
1850,5,1850.375,16.050,1.650
1850,6,1850.458,16.589,1.904
1850,7,1850.542,18.162,1.616
1850,8,1850.625,17.429,1.671
1850,9,1850.708,17.209,1.650
1850,10,1850.792,16.605,1.793
1850,11,1850.875,16.952,2.479
1850,12,1850.958,16.260,2.170
1851,1,1851.042,17.016,1.696
1851,2,1851.125,17.129,1.857
1851,3,1851.208,17.072,1.695
1851,4,1851.292,16.892,1.762
1851,5,1851.375,19.574,1.909
1851,6,1851.458,18.570,1.614
1851,7,1851.542,17.559,1.657
1851,8,1851.625,18.020,1.632
1851,9,1851.708,17.615,1.693
1851,10,1851.792,16.936,1.892
1851,11,1851.875,17.081,1.949
1851,12,1851.958,16.825,1.995
1863,1,1863.042,16.376,2.084
1863,2,1863.125,16.274,1.787
1863,3,1863.208,16.980,1.884
1863,4,1863.292,16.835,1.811
1863,5,1863.375,18.003,2.160
1863,6,1863.458,17.735,1.709
1863,10,1863.792,16.354,1.655
1863,11,1863.875,16.718,1.631
1863,12,1863.958,16.495,2.371
1864,1,1864.042,15.772,2.069
1864,2,1864.125,15.043,1.968
1864,3,1864.208,16.389,2.173
1864,4,1864.292,17.555,1.846
1864,5,1864.375,17.459,1.966
1864,6,1864.458,18.584,1.663
1864,7,1864.542,17.707,1.686
1864,8,1864.625,17.412,1.985
1864,9,1864.708,17.409,1.763
1864,10,1864.792,17.934,1.815
1864,11,1864.875,17.571,1.670
1864,12,1864.958,16.183,1.711
1865,1,1865.042,18.273,2.422
1865,2,1865.125,17.811,1.808
1865,3,1865.208,17.132,1.626
1865,4,1865.292,16.389,1.829
1865,5,1865.375,16.666,1.680
1865,6,1865.458,17.701,1.722
1865,7,1865.542,17.694,1.694
1865,8,1865.625,17.774,1.681
1865,9,1865.708,17.195,1.743
1865,10,1865.792,18.242,1.640
1865,11,1865.875,18.148,1.688
1865,12,1865.958,15.079,2.195
1866,1,1866.042,16.926,1.841
1866,2,1866.125,16.691,1.966
1866,3,1866.208,16.070,1.880
1866,4,1866.292,16.026,2.068
1866,5,1866.375,17.327,1.694
1866,6,1866.458,17.218,1.664
1866,7,1866.542,18.017,1.628
1866,8,1866.625,18.533,1.732
1866,9,1866.708,16.837,1.730
1866,10,1866.792,16.940,1.987
1866,11,1866.875,16.963,1.682
1866,12,1866.958,17.698,1.916
1867,1,1867.042,16.882,1.844
1867,2,1867.125,16.116,1.796
1867,3,1867.208,17.707,1.763
1867,4,1867.292,17.372,1.647
1867,5,1867.375,17.483,1.788
1867,6,1867.458,17.569,1.589
1867,7,1867.542,17.602,1.702
1867,8,1867.625,17.489,1.757
1867,9,1867.708,16.770,1.616
1867,10,1867.792,17.303,1.802
1867,11,1867.875,19.174,2.637
1867,12,1867.958,18.252,2.264
1868,1,1868.042,17.653,2.067
1868,2,1868.125,15.536,1.826
1868,3,1868.208,16.795,1.779
1868,4,1868.292,17.078,1.616
1868,5,1868.375,16.999,1.775
1868,6,1868.458,17.279,1.643
1868,7,1868.542,18.141,1.593
1868,8,1868.625,17.491,1.661
1868,9,1868.708,17.455,1.633
1868,10,1868.792,19.158,1.726
1868,11,1868.875,18.469,1.704
1868,12,1868.958,16.686,1.774
1869,1,1869.042,17.294,2.208
1869,2,1869.125,17.176,2.452
1869,3,1869.208,16.744,1.916
1869,4,1869.292,16.574,1.845
1869,5,1869.375,18.045,1.688
1869,6,1869.458,19.239,1.659
1869,7,1869.542,18.133,1.666
1869,8,1869.625,18.617,1.779
1869,9,1869.708,17.879,1.656
1869,10,1869.792,17.750,1.831
1869,11,1869.875,17.834,1.696
1869,12,1869.958,16.402,1.721
1870,1,1870.042,17.329,1.920
1870,2,1870.125,16.891,1.759
1870,3,1870.208,18.484,1.824
1870,4,1870.292,16.524,1.663
1870,5,1870.375,18.097,1.615
1870,6,1870.458,17.480,1.762
1870,7,1870.542,17.296,1.829
1870,8,1870.625,18.208,1.764
1870,9,1870.708,18.356,1.605
1870,10,1870.792,16.711,1.719
1870,11,1870.875,17.390,1.870
1870,12,1870.958,17.345,1.765
1871,1,1871.042,16.723,1.952
1871,2,1871.125,15.928,1.974
1871,3,1871.208,16.387,2.092
1871,4,1871.292,18.100,1.743
1871,5,1871.375,18.464,1.691
1871,6,1871.458,17.384,1.788
1871,7,1871.542,17.600,1.748
1871,8,1871.625,17.925,1.642
1871,10,1871.792,17.488,1.905
1871,11,1871.875,16.735,2.097
1871,12,1871.958,17.436,1.712
1872,1,1872.042,16.435,2.330
1872,2,1872.125,15.823,1.801
1872,3,1872.208,17.186,1.749
1872,4,1872.292,18.408,1.731
1872,5,1872.375,17.816,1.713
1872,6,1872.458,17.359,1.786
1872,7,1872.542,18.297,2.026
1872,8,1872.625,18.292,1.646
1872,9,1872.708,18.134,1.657
1872,10,1872.792,17.648,1.639
1872,11,1872.875,17.757,1.833
1872,12,1872.958,17.143,1.799
1873,1,1873.042,17.466,1.819
1873,2,1873.125,17.467,1.801
1873,3,1873.208,17.305,1.686
1873,4,1873.292,17.779,1.721
1873,5,1873.375,18.526,1.780
1873,6,1873.458,17.770,1.632
1873,7,1873.542,17.681,1.665
1873,8,1873.625,17.558,1.615
1873,9,1873.708,17.470,1.671
1873,10,1873.792,17.911,1.674
1873,11,1873.875,17.926,1.672
1873,12,1873.958,17.058,1.796
1874,1,1874.042,17.347,1.757
1874,2,1874.125,17.166,1.785
1874,3,1874.208,14.699,1.717
1874,4,1874.292,17.363,1.698
1874,5,1874.375,18.738,1.836
1874,6,1874.458,17.581,1.692
