# Monthly average temperature data for Iraq.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1843,1,1843.042,22.736,1.781
1843,2,1843.125,23.639,2.028
1843,3,1843.208,21.919,1.717
1843,4,1843.292,21.393,1.761
1843,5,1843.375,20.504,1.817
1843,6,1843.458,20.662,1.619
1843,7,1843.542,21.556,1.569
1843,8,1843.625,21.002,1.591
1843,9,1843.708,20.517,1.676
1843,11,1843.875,20.961,1.679
1843,12,1843.958,20.553,2.367
1844,1,1844.042,21.916,2.004
1844,2,1844.125,22.470,1.728
1844,5,1844.375,20.606,1.849
1844,6,1844.458,20.902,1.954
1844,7,1844.542,22.231,1.810
1844,8,1844.625,21.658,1.811
1844,9,1844.708,21.057,1.837
1844,10,1844.792,21.023,1.772
1844,11,1844.875,20.943,1.629
1844,12,1844.958,19.776,1.843
1845,1,1845.042,19.522,2.328
1845,2,1845.125,21.452,2.542
1845,3,1845.208,22.736,1.497
1845,4,1845.292,21.778,1.874
1845,5,1845.375,21.796,1.712
1847,1,1847.042,21.612,2.137
1848,1,1848.042,20.808,2.212
1848,2,1848.125,20.974,2.566
1848,3,1848.208,21.551,1.740
1848,4,1848.292,21.489,2.153
1848,5,1848.375,21.723,2.222
1848,6,1848.458,22.450,1.733
1848,7,1848.542,22.447,1.838
1848,8,1848.625,22.144,1.752
1848,9,1848.708,21.068,1.724
1848,10,1848.792,22.008,1.751
1848,11,1848.875,22.645,2.044
1848,12,1848.958,19.749,2.213
1849,1,1849.042,21.142,2.211
1849,2,1849.125,21.024,2.329
1849,3,1849.208,21.103,2.089
1849,4,1849.292,22.123,2.287
1849,5,1849.375,21.925,1.706
1849,6,1849.458,21.670,1.909
1849,7,1849.542,21.753,1.895
1849,8,1849.625,21.853,1.701
1849,9,1849.708,21.796,2.096
1849,10,1849.792,22.061,1.764
1849,11,1849.875,21.982,2.304
1849,12,1849.958,22.321,2.204
1850,1,1850.042,21.510,1.777
1850,2,1850.125,21.051,2.486
1850,3,1850.208,20.960,2.041
1850,4,1850.292,20.501,1.881
1850,5,1850.375,20.074,1.714
1850,6,1850.458,21.038,2.255
1850,7,1850.542,22.452,1.801
1850,8,1850.625,21.762,2.007
1850,9,1850.708,21.458,1.744
1850,10,1850.792,21.842,1.858
1850,11,1850.875,20.905,2.560
1850,12,1850.958,20.545,2.025
1851,1,1851.042,21.714,1.935
1851,2,1851.125,21.251,2.178
1851,3,1851.208,21.739,1.714
1851,4,1851.292,21.625,1.858
1851,5,1851.375,24.572,2.050
1851,6,1851.458,22.437,1.693
1851,7,1851.542,22.327,1.807
1851,8,1851.625,22.855,1.917
1851,9,1851.708,22.156,1.747
1851,10,1851.792,21.566,2.030
1851,11,1851.875,21.885,2.340
1851,12,1851.958,20.649,2.277
1852,1,1852.042,21.257,2.014
1852,2,1852.125,21.341,1.840
1852,3,1852.208,20.750,1.876
1852,4,1852.292,21.225,1.930
1852,5,1852.375,21.612,1.919
1852,6,1852.458,21.879,1.870
1852,7,1852.542,21.982,1.675
1852,8,1852.625,21.652,1.726
