# Monthly average temperature data for Ireland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.021,1.849
1750,2,1750.125,10.815,2.153
1750,3,1750.208,11.152,2.505
1750,4,1750.292,9.655,1.616
1750,5,1750.375,9.012,1.504
1750,6,1750.458,9.039,1.597
1750,7,1750.542,10.349,1.652
1750,8,1750.625,9.693,1.566
1750,9,1750.708,9.256,2.082
1750,10,1750.792,6.700,1.515
1750,11,1750.875,5.853,1.500
1750,12,1750.958,7.181,1.615
1751,1,1751.042,9.090,1.703
1751,2,1751.125,7.077,1.852
1751,3,1751.208,10.279,1.688
1751,4,1751.292,8.580,1.518
1751,5,1751.375,8.469,1.601
1751,6,1751.458,8.806,1.603
1751,7,1751.542,9.799,1.677
1751,8,1751.625,9.345,1.512
1751,9,1751.708,8.032,1.488
1753,1,1753.042,7.880,2.125
1753,2,1753.125,9.405,2.197
1753,3,1753.208,10.883,1.832
1753,4,1753.292,9.048,1.676
1753,5,1753.375,9.560,1.515
1753,6,1753.458,10.114,1.723
1753,7,1753.542,9.430,1.799
1753,8,1753.625,8.421,1.668
1753,9,1753.708,8.790,1.506
1753,10,1753.792,8.799,1.557
1753,11,1753.875,8.116,1.615
1753,12,1753.958,7.309,3.863
1754,1,1754.042,9.413,1.969
1754,2,1754.125,8.005,2.149
1754,3,1754.208,7.377,1.581
1754,4,1754.292,10.400,1.699
1754,5,1754.375,10.434,1.512
1754,6,1754.458,9.310,1.647
1754,7,1754.542,8.796,1.800
1754,8,1754.625,8.943,1.727
1754,9,1754.708,8.271,1.739
1754,10,1754.792,9.321,1.645
1754,11,1754.875,9.567,2.262
1754,12,1754.958,8.954,1.797
1755,1,1755.042,7.432,1.816
1755,2,1755.125,7.188,2.040
1755,3,1755.208,7.923,1.789
1755,4,1755.292,10.969,1.782
1755,5,1755.375,9.120,1.590
1755,6,1755.458,10.830,1.882
1755,7,1755.542,9.675,2.240
1755,8,1755.625,7.864,1.705
1755,9,1755.708,8.000,1.589
1755,10,1755.792,9.312,1.417
1755,11,1755.875,8.744,2.117
1755,12,1755.958,8.371,1.619
1756,1,1756.042,11.436,1.926
1756,2,1756.125,12.085,4.133
1756,3,1756.208,9.204,2.471
1756,4,1756.292,8.749,2.399
1756,5,1756.375,9.020,4.107
1756,6,1756.458,10.243,1.956
1756,7,1756.542,9.641,5.813
1756,8,1756.625,8.332,3.072
1756,9,1756.708,9.370,1.694
1756,10,1756.792,7.720,8.592
1756,11,1756.875,7.237,1.562
1756,12,1756.958,6.016,2.049
1757,1,1757.042,6.801,2.065
1757,2,1757.125,9.987,3.896
1757,3,1757.208,8.827,3.417
1757,4,1757.292,9.752,1.668
1757,5,1757.375,9.547,1.561
1757,6,1757.458,10.903,2.239
1757,7,1757.542,12.109,2.888
1757,8,1757.625,10.627,4.151
1757,9,1757.708,9.495,4.775
1757,10,1757.792,5.667,6.297
1757,11,1757.875,9.020,6.492
1757,12,1757.958,7.504,1.824
1758,1,1758.042,6.313,6.226
1758,2,1758.125,8.740,4.711
1758,3,1758.208,8.807,1.806
1758,4,1758.292,8.004,2.499
1758,5,1758.375,9.512,6.386
1758,6,1758.458,9.244,3.543
1758,7,1758.542,7.790,4.383
1758,8,1758.625,8.217,6.164
1758,9,1758.708,7.479,2.972
1758,10,1758.792,6.472,1.672
1758,11,1758.875,8.757,2.050
1758,12,1758.958,8.151,1.681
1759,1,1759.042,11.401,2.319
1759,2,1759.125,11.625,5.144
1759,3,1759.208,9.716,3.698
1759,4,1759.292,8.770,3.594
1759,5,1759.375,8.562,3.944
1759,6,1759.458,9.725,3.991
1759,7,1759.542,9.608,4.201
1759,8,1759.625,9.629,1.624
1759,9,1759.708,8.963,2.715
1759,10,1759.792,8.457,5.753
1759,11,1759.875,6.864,6.547
1759,12,1759.958,5.324,3.317
1760,1,1760.042,5.837,3.570
1760,2,1760.125,9.313,8.105
1760,3,1760.208,7.393,2.790
1760,4,1760.292,9.023,1.630
1760,5,1760.375,8.654,1.901
1760,6,1760.458,9.041,1.584
1760,7,1760.542,8.159,1.744
1760,8,1760.625,8.368,5.684
1760,9,1760.708,8.667,1.899
1760,10,1760.792,6.970,1.659
1760,11,1760.875,8.738,6.260
1760,12,1760.958,8.773,2.813
1761,1,1761.042,8.555,2.023
