# Monthly average temperature data for Isle Of Man.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,10.321,1.755
1744,4,1744.292,9.934,2.077
1744,5,1744.375,8.752,1.718
1744,6,1744.458,9.167,1.668
1744,7,1744.542,8.881,1.552
1744,9,1744.708,8.323,1.773
1744,10,1744.792,8.143,1.758
1744,11,1744.875,9.624,1.572
1744,12,1744.958,8.871,1.618
1745,1,1745.042,8.957,1.837
1745,2,1745.125,8.335,1.803
1745,3,1745.208,8.019,1.823
1745,4,1745.292,8.821,1.836
1750,1,1750.042,9.356,2.473
1750,2,1750.125,11.940,3.518
1750,3,1750.208,11.369,2.076
1750,4,1750.292,9.553,2.138
1750,5,1750.375,9.606,2.413
1750,6,1750.458,9.261,2.781
1750,7,1750.542,11.157,3.340
1750,8,1750.625,9.691,3.977
1750,9,1750.708,9.291,2.708
1750,10,1750.792,6.223,2.063
1750,12,1750.958,8.022,3.239
1751,1,1751.042,9.575,2.555
1751,2,1751.125,7.049,3.175
1751,3,1751.208,10.474,3.003
1751,4,1751.292,8.754,2.415
1751,6,1751.458,9.591,2.905
1751,8,1751.625,9.472,3.984
1751,9,1751.708,7.775,2.583
1752,1,1752.042,8.394,2.214
1752,3,1752.208,10.071,2.566
1752,4,1752.292,8.638,2.156
1752,10,1752.792,8.153,1.752
1752,11,1752.875,10.256,1.493
1752,12,1752.958,10.091,1.431
1753,1,1753.042,7.472,3.471
1753,2,1753.125,9.118,8.168
1753,3,1753.208,10.637,6.989
1753,4,1753.292,9.174,3.264
1753,5,1753.375,9.492,2.337
1753,6,1753.458,10.549,4.407
1753,7,1753.542,9.947,3.591
1753,8,1753.625,8.783,6.404
1753,9,1753.708,9.707,3.693
1753,10,1753.792,8.893,3.888
1753,11,1753.875,7.951,3.273
1753,12,1753.958,7.023,7.172
1754,1,1754.042,8.974,7.139
1754,2,1754.125,7.673,5.522
1754,3,1754.208,6.864,5.933
1754,4,1754.292,9.639,2.602
1754,5,1754.375,10.242,6.575
1754,6,1754.458,9.558,4.390
1754,7,1754.542,8.877,3.257
1754,8,1754.625,9.313,3.774
1754,9,1754.708,8.372,3.053
1754,10,1754.792,9.266,3.496
1754,11,1754.875,9.357,2.970
1754,12,1754.958,8.979,2.560
1755,1,1755.042,6.606,6.276
1755,2,1755.125,6.536,7.987
1755,3,1755.208,7.754,4.795
1755,4,1755.292,11.009,3.382
1755,5,1755.375,9.069,2.828
1755,6,1755.458,11.415,8.121
1755,7,1755.542,9.747,2.737
1755,8,1755.625,8.193,2.433
1755,9,1755.708,8.030,3.208
1755,10,1755.792,8.634,6.871
1755,11,1755.875,8.744,6.621
1755,12,1755.958,8.779,5.565
1756,1,1756.042,11.401,6.349
1756,2,1756.125,11.822,6.100
1756,3,1756.208,9.059,5.764
1756,4,1756.292,8.332,4.232
1756,5,1756.375,9.305,7.438
1756,6,1756.458,10.702,3.714
1756,7,1756.542,10.103,1.960
1756,8,1756.625,8.650,6.238
1756,9,1756.708,9.624,4.030
1756,10,1756.792,7.610,5.004
1756,11,1756.875,6.997,4.874
1756,12,1756.958,6.218,9.689
1757,1,1757.042,6.417,6.631
1757,2,1757.125,9.616,5.242
1757,3,1757.208,8.680,5.505
1757,4,1757.292,9.736,5.471
1757,5,1757.375,9.400,4.114
1757,6,1757.458,10.975,4.672
1757,7,1757.542,12.670,6.765
1757,8,1757.625,10.991,8.327
1757,9,1757.708,9.544,6.888
1757,10,1757.792,5.695,3.610
1757,11,1757.875,9.165,6.431
1757,12,1757.958,7.529,7.485
1758,1,1758.042,6.189,5.298
1758,2,1758.125,8.782,5.295
1758,3,1758.208,8.812,4.800
1758,4,1758.292,7.909,3.849
1758,5,1758.375,10.054,4.082
1758,6,1758.458,9.622,4.143
1758,7,1758.542,8.083,7.714
1758,8,1758.625,8.790,4.457
1758,9,1758.708,7.372,3.715
1758,10,1758.792,5.118,5.338
1758,11,1758.875,9.100,9.421
1758,12,1758.958,8.448,4.686
1759,1,1759.042,11.556,5.747
1759,2,1759.125,11.731,7.616
1759,3,1759.208,9.852,3.985
1759,4,1759.292,8.848,4.883
1759,5,1759.375,8.605,2.976
1759,6,1759.458,9.950,4.634
1759,7,1759.542,10.356,4.572
1759,8,1759.625,9.881,5.972
1759,9,1759.708,9.100,6.327
1759,10,1759.792,8.834,4.188
1759,11,1759.875,6.947,5.588
1759,12,1759.958,5.784,9.464
1760,1,1760.042,6.065,3.899
1760,2,1760.125,9.139,5.645
1760,3,1760.208,7.616,3.104
1760,4,1760.292,9.302,7.216
1760,5,1760.375,8.917,2.911
1760,6,1760.458,9.647,2.598
