# Monthly average temperature data for Israel.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1843,1,1843.042,20.348,1.525
1843,2,1843.125,21.378,1.862
1843,3,1843.208,19.750,1.318
1843,4,1843.292,18.871,1.254
1843,5,1843.375,18.100,1.447
1843,6,1843.458,18.043,1.070
1843,7,1843.542,19.591,1.072
1843,8,1843.625,18.745,1.037
1843,9,1843.708,18.169,1.226
1843,11,1843.875,18.309,1.371
1843,12,1843.958,17.715,2.308
1844,1,1844.042,18.665,1.926
1844,2,1844.125,19.269,1.281
1844,5,1844.375,18.353,1.800
1844,6,1844.458,18.910,1.614
1844,7,1844.542,19.910,1.488
1844,8,1844.625,19.040,1.790
1844,9,1844.708,18.780,1.702
1844,10,1844.792,18.906,1.507
1844,11,1844.875,18.839,1.165
1844,12,1844.958,18.348,1.691
1845,1,1845.042,17.784,1.871
1845,2,1845.125,19.417,2.427
1845,3,1845.208,20.586,1.164
1845,4,1845.292,18.958,1.638
1845,5,1845.375,18.828,1.346
1848,1,1848.042,19.086,2.091
1848,2,1848.125,19.205,2.347
1848,3,1848.208,19.289,1.617
1848,4,1848.292,19.056,1.811
1848,5,1848.375,19.218,2.047
1848,6,1848.458,20.597,1.637
1848,7,1848.542,20.206,1.764
1848,8,1848.625,19.699,1.854
1848,9,1848.708,18.622,1.766
1848,10,1848.792,19.768,1.607
1848,11,1848.875,19.687,1.722
1848,12,1848.958,17.585,1.984
1849,1,1849.042,18.217,1.851
1849,2,1849.125,17.916,2.468
1849,3,1849.208,19.145,2.085
1849,4,1849.292,20.041,2.006
1849,5,1849.375,19.351,1.651
1849,6,1849.458,19.681,1.947
1849,7,1849.542,19.391,1.742
1849,8,1849.625,19.366,1.591
1849,9,1849.708,19.752,1.768
1849,10,1849.792,19.464,1.770
1849,11,1849.875,19.550,2.439
1849,12,1849.958,19.571,1.919
1850,1,1850.042,18.759,1.633
