# Monthly average temperature data for Italy.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,10.709,1.550
1750,2,1750.125,11.560,1.859
1750,4,1750.292,13.102,1.342
1750,5,1750.375,11.268,1.363
1750,6,1750.458,13.009,1.441
1750,7,1750.542,13.157,1.480
1750,8,1750.625,13.357,1.339
1750,10,1750.792,12.229,1.314
1750,11,1750.875,9.687,1.374
1750,12,1750.958,10.168,1.554
1751,1,1751.042,10.689,1.612
1751,2,1751.125,9.752,1.508
1751,3,1751.208,13.577,1.354
1751,4,1751.292,11.073,1.327
1751,5,1751.375,11.736,1.408
1751,6,1751.458,12.237,1.457
1751,7,1751.542,13.818,1.448
1751,8,1751.625,13.911,1.299
1751,9,1751.708,12.506,1.264
1751,10,1751.792,11.621,1.416
1751,11,1751.875,9.431,1.467
1751,12,1751.958,10.076,1.849
1752,1,1752.042,11.207,1.718
1752,2,1752.125,14.025,1.540
1752,3,1752.208,12.807,1.307
1752,4,1752.292,11.530,1.364
1752,5,1752.375,12.016,1.359
1752,6,1752.458,14.657,1.287
1752,7,1752.542,13.190,1.395
1752,8,1752.625,11.570,1.547
1752,10,1752.792,12.377,1.364
1752,11,1752.875,12.296,1.436
1752,12,1752.958,11.223,1.685
1753,1,1753.042,10.433,1.552
1753,2,1753.125,11.229,1.605
1753,3,1753.208,13.390,1.265
1753,4,1753.292,12.911,1.376
1753,5,1753.375,12.985,1.145
1753,6,1753.458,14.646,1.442
1753,7,1753.542,13.657,1.397
1753,8,1753.625,12.102,1.306
1753,9,1753.708,12.329,1.166
1753,10,1753.792,12.405,1.226
1753,11,1753.875,10.977,1.333
1753,12,1753.958,11.425,2.549
1754,1,1754.042,11.038,1.664
1754,2,1754.125,9.518,1.591
1754,3,1754.208,9.347,1.138
1754,4,1754.292,13.346,1.500
1754,5,1754.375,13.554,1.255
1754,6,1754.458,13.922,1.272
1754,7,1754.542,12.653,1.414
1754,8,1754.625,13.221,1.295
1754,9,1754.708,12.137,1.342
1754,10,1754.792,13.864,1.422
1754,11,1754.875,13.670,2.084
1754,12,1754.958,12.330,1.502
1755,1,1755.042,8.596,1.370
1755,2,1755.125,8.845,1.364
1755,3,1755.208,12.023,1.227
1755,4,1755.292,16.205,2.016
1755,5,1755.375,12.970,1.182
1755,6,1755.458,15.306,1.649
1755,7,1755.542,12.659,2.363
1755,8,1755.625,11.448,1.399
1755,9,1755.708,11.468,1.197
1755,10,1755.792,12.817,1.165
1755,11,1755.875,11.030,2.123
1755,12,1755.958,12.384,1.369
1756,1,1756.042,12.514,1.795
1756,2,1756.125,13.831,4.380
1756,3,1756.208,12.930,3.076
1756,4,1756.292,12.135,2.385
1756,5,1756.375,13.334,4.581
1756,6,1756.458,14.241,1.874
1756,7,1756.542,12.374,7.566
1756,8,1756.625,13.195,1.986
1756,9,1756.708,12.832,1.307
1756,10,1756.792,11.574,8.460
1756,11,1756.875,9.835,1.248
1756,12,1756.958,11.028,1.689
1757,1,1757.042,9.695,1.513
1757,2,1757.125,12.496,2.252
1757,3,1757.208,11.839,3.455
1757,4,1757.292,13.069,1.914
1757,5,1757.375,14.019,1.837
1757,6,1757.458,14.827,1.699
1757,7,1757.542,15.209,3.117
1757,8,1757.625,14.557,4.184
1757,9,1757.708,12.072,6.283
1757,10,1757.792,9.637,5.711
1757,11,1757.875,10.633,8.094
1757,12,1757.958,10.774,1.525
1758,1,1758.042,8.862,6.552
1758,2,1758.125,10.318,2.532
1758,3,1758.208,12.433,1.357
1758,4,1758.292,12.180,3.374
1758,5,1758.375,12.085,5.032
1758,6,1758.458,13.521,3.738
1758,7,1758.542,10.858,3.767
1758,8,1758.625,11.356,5.796
1758,9,1758.708,10.687,2.044
1758,10,1758.792,10.273,1.174
1758,11,1758.875,12.816,1.907
1758,12,1758.958,12.762,1.420
1759,1,1759.042,13.992,1.809
1759,2,1759.125,13.955,6.273
1759,3,1759.208,12.591,4.122
1759,4,1759.292,12.377,4.935
1759,5,1759.375,12.223,3.761
1759,6,1759.458,13.281,4.107
1759,7,1759.542,13.568,4.368
1759,8,1759.625,12.673,1.435
1759,9,1759.708,13.065,2.452
1759,10,1759.792,12.930,5.572
1759,11,1759.875,9.206,6.326
1759,12,1759.958,11.921,2.843
1760,1,1760.042,11.212,5.964
1760,2,1760.125,11.139,8.075
1760,3,1760.208,10.693,2.984
1760,4,1760.292,14.528,1.311
1760,5,1760.375,12.730,2.835
1760,6,1760.458,13.142,1.714
1760,7,1760.542,12.890,1.580
1760,8,1760.625,12.145,6.130
1760,9,1760.708,11.596,1.572
1760,10,1760.792,12.146,1.585
1760,11,1760.875,12.003,6.461
1760,12,1760.958,12.241,2.879
1761,1,1761.042,10.688,1.793
1761,2,1761.125,12.298,3.851
1761,3,1761.208,13.544,1.388
1761,4,1761.292,12.281,1.299
1761,5,1761.375,14.051,2.197
1761,6,1761.458,13.723,2.156
1761,7,1761.542,14.772,1.290
1761,8,1761.625,13.370,2.896
1761,9,1761.708,13.417,3.155
1761,10,1761.792,10.614,2.470
1761,11,1761.875,11.250,8.325
1761,12,1761.958,9.436,1.833
1762,1,1762.042,12.902,8.991
1762,2,1762.125,11.837,2.669
1762,3,1762.208,9.762,6.030
1762,4,1762.292,14.516,2.807
1762,5,1762.375,13.545,4.286
1762,6,1762.458,12.236,2.693
1762,7,1762.542,13.875,3.166
1762,8,1762.625,12.802,2.757
1762,9,1762.708,12.081,3.411
1762,10,1762.792,11.098,5.091
1762,11,1762.875,11.721,1.822
1762,12,1762.958,9.128,2.783
1763,1,1763.042,9.340,6.924
1763,2,1763.125,13.274,7.236
1763,3,1763.208,10.983,3.657
1763,4,1763.292,12.458,3.956
1763,5,1763.375,10.938,5.038
1763,6,1763.458,12.117,6.562
1763,7,1763.542,13.506,1.747
1763,8,1763.625,13.666,4.604
1763,9,1763.708,11.553,4.669
1763,10,1763.792,10.503,1.436
1763,11,1763.875,11.007,3.779
1763,12,1763.958,12.737,2.617
1764,1,1764.042,12.735,2.268
1764,2,1764.125,14.284,2.499
1764,3,1764.208,10.819,2.532
1764,4,1764.292,11.770,7.091
1764,5,1764.375,14.111,1.734
1764,6,1764.458,13.228,4.817
1764,7,1764.542,12.440,4.769
1764,8,1764.625,11.064,1.434
1764,9,1764.708,11.379,5.033
1764,10,1764.792,11.347,2.784
1764,11,1764.875,11.709,3.777
1764,12,1764.958,13.692,3.563
1765,1,1765.042,15.639,9.873
1765,2,1765.125,11.154,3.689
1765,3,1765.208,13.443,2.747
1765,4,1765.292,13.143,1.671
1765,5,1765.375,12.034,1.688
1765,6,1765.458,12.575,3.889
1765,7,1765.542,10.937,4.743
1765,8,1765.625,11.894,2.404
