# Monthly average temperature data for Jamaica.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,4,1824.292,26.785,1.198
1824,11,1824.875,26.179,1.194
1824,12,1824.958,26.473,1.698
1825,1,1825.042,26.059,1.713
1825,2,1825.125,26.088,1.401
1825,3,1825.208,26.003,1.354
1825,4,1825.292,26.358,1.267
1825,5,1825.375,26.190,1.369
1825,6,1825.458,26.274,1.256
1825,7,1825.542,25.527,1.902
1825,8,1825.625,25.146,2.466
1825,9,1825.708,25.089,2.129
1825,10,1825.792,25.242,1.016
1825,11,1825.875,25.890,2.164
1825,12,1825.958,25.058,1.466
1826,1,1826.042,25.022,1.644
1826,2,1826.125,26.650,1.643
1826,3,1826.208,26.746,3.290
1826,4,1826.292,27.061,1.538
1826,5,1826.375,26.427,1.117
1826,6,1826.458,25.866,1.241
1826,7,1826.542,26.300,1.761
1826,8,1826.625,25.345,1.551
1826,9,1826.708,25.792,1.863
1826,10,1826.792,25.484,1.009
1826,11,1826.875,25.746,1.348
1826,12,1826.958,26.469,1.436
1827,1,1827.042,25.902,1.808
1827,2,1827.125,27.556,2.108
1827,3,1827.208,26.803,1.825
1827,4,1827.292,27.512,1.702
1827,5,1827.375,26.901,1.574
1827,7,1827.542,26.774,1.271
1827,8,1827.625,26.192,1.696
1827,9,1827.708,25.456,1.348
1827,10,1827.792,25.371,1.513
1827,11,1827.875,25.927,1.361
1827,12,1827.958,26.665,1.747
1828,1,1828.042,26.684,1.203
1828,2,1828.125,26.770,1.743
1828,3,1828.208,25.909,1.661
1828,4,1828.292,26.133,2.080
1828,5,1828.375,26.166,2.243
1828,6,1828.458,26.455,1.998
1828,7,1828.542,26.182,1.748
1828,8,1828.625,25.801,0.903
1828,9,1828.708,24.866,0.994
1828,11,1828.875,25.851,1.578
1828,12,1828.958,26.621,2.511
1829,1,1829.042,25.097,2.075
1829,2,1829.125,25.718,1.924
1829,3,1829.208,24.736,1.323
1829,4,1829.292,25.604,1.040
1829,5,1829.375,25.778,1.846
1829,6,1829.458,25.763,1.890
1829,7,1829.542,25.988,1.262
1829,8,1829.625,25.681,1.357
1829,9,1829.708,25.350,1.307
1829,11,1829.875,24.616,2.312
1829,12,1829.958,25.713,1.671
1849,8,1849.625,26.246,0.929
1849,9,1849.708,25.642,1.049
1849,10,1849.792,25.828,1.303
1850,7,1850.542,26.716,1.242
1850,8,1850.625,26.428,0.968
1850,9,1850.708,25.972,1.114
1850,10,1850.792,24.587,1.437
1850,11,1850.875,24.430,2.659
1850,12,1850.958,26.187,1.216
1851,1,1851.042,26.511,1.588
1851,2,1851.125,26.306,2.063
1851,3,1851.208,25.462,1.104
1851,4,1851.292,26.008,1.267
1851,5,1851.375,25.824,1.068
1851,6,1851.458,26.084,0.968
1851,7,1851.542,26.483,0.893
1851,8,1851.625,25.921,0.814
1851,9,1851.708,25.134,1.134
1851,10,1851.792,25.857,1.264
1851,11,1851.875,25.344,1.408
1851,12,1851.958,25.058,1.363
1852,1,1852.042,23.404,1.572
1852,2,1852.125,25.157,1.529
1852,3,1852.208,25.121,0.898
1852,4,1852.292,25.647,0.936
1852,5,1852.375,26.191,1.094
1852,6,1852.458,26.277,1.214
1852,7,1852.542,25.961,1.514
1852,8,1852.625,25.812,1.075
1852,9,1852.708,25.783,0.807
1852,10,1852.792,24.641,2.242
1852,11,1852.875,25.338,1.289
1852,12,1852.958,26.483,1.038
1853,1,1853.042,25.029,1.536
1853,2,1853.125,24.624,3.219
1853,3,1853.208,26.043,1.532
1853,4,1853.292,26.000,1.037
1853,5,1853.375,25.931,0.554
1853,6,1853.458,26.345,1.849
1853,7,1853.542,26.534,1.043
1853,8,1853.625,25.600,1.905
1853,9,1853.708,25.580,0.429
1853,10,1853.792,26.170,0.820
1853,11,1853.875,25.584,1.775
1853,12,1853.958,25.253,1.954
1854,1,1854.042,26.175,1.273
1854,2,1854.125,25.354,1.045
1854,3,1854.208,26.357,0.737
1854,4,1854.292,24.821,1.049
1854,5,1854.375,25.994,0.799
1854,6,1854.458,26.048,0.785
1854,7,1854.542,26.007,0.897
1854,8,1854.625,25.324,0.785
1854,9,1854.708,25.291,0.794
1854,10,1854.792,25.695,0.955
1854,11,1854.875,24.714,0.860
1854,12,1854.958,25.998,4.595
1855,1,1855.042,25.271,1.238
1855,2,1855.125,24.789,1.871
1855,3,1855.208,25.631,1.784
1855,4,1855.292,25.374,1.002
1855,5,1855.375,25.861,1.108
1855,6,1855.458,26.502,0.901
1855,7,1855.542,25.383,0.692
1855,8,1855.625,26.687,1.522
1855,9,1855.708,26.055,0.539
1855,10,1855.792,25.385,1.754
1855,11,1855.875,26.221,0.960
1855,12,1855.958,26.563,1.863
1856,1,1856.042,26.432,0.657
1856,2,1856.125,26.213,1.587
1856,3,1856.208,26.963,1.359
1856,4,1856.292,25.538,0.759
1856,5,1856.375,26.657,0.845
1856,6,1856.458,26.978,2.248
1856,7,1856.542,26.491,1.142
1856,8,1856.625,26.020,1.005
1856,9,1856.708,25.602,0.725
1856,10,1856.792,25.597,0.901
1856,11,1856.875,26.513,0.763
1856,12,1856.958,26.419,1.227
1857,1,1857.042,25.183,1.070
1857,2,1857.125,25.219,1.037
1857,3,1857.208,25.387,0.985
1857,4,1857.292,24.866,0.956
1857,5,1857.375,24.892,0.729
1857,6,1857.458,25.926,1.082
1857,7,1857.542,25.711,0.688
1857,8,1857.625,24.867,0.883
1857,9,1857.708,24.772,0.756
1857,10,1857.792,24.907,0.722
1857,11,1857.875,24.915,1.140
1857,12,1857.958,25.000,2.606
1858,1,1858.042,26.292,1.429
1858,2,1858.125,25.096,1.080
1858,3,1858.208,24.293,0.675
1858,4,1858.292,24.681,1.228
1858,5,1858.375,25.327,0.948
1858,6,1858.458,25.917,0.985
1858,7,1858.542,25.953,0.766
1858,8,1858.625,25.576,0.577
1858,9,1858.708,25.744,1.264
1858,10,1858.792,25.002,0.493
1858,11,1858.875,24.683,1.521
1858,12,1858.958,25.591,1.106
1859,1,1859.042,25.468,0.858
1859,2,1859.125,25.369,0.937
1859,3,1859.208,25.548,1.030
1859,4,1859.292,25.679,1.231
1859,5,1859.375,25.751,0.871
1859,6,1859.458,25.537,1.368
1859,7,1859.542,25.708,1.186
1859,8,1859.625,25.507,0.733
1859,9,1859.708,25.522,0.496
1859,10,1859.792,25.590,1.080
1859,11,1859.875,25.016,0.817
1859,12,1859.958,25.309,1.272
1860,1,1860.042,25.815,0.965
1860,2,1860.125,25.239,0.550
1860,3,1860.208,25.056,2.936
1860,4,1860.292,25.852,1.095
1860,5,1860.375,24.945,0.579
1860,6,1860.458,25.920,1.147
1860,7,1860.542,26.137,1.152
1860,8,1860.625,25.787,0.884
1860,9,1860.708,25.596,0.936
1860,10,1860.792,25.327,1.606
1860,11,1860.875,25.497,1.180
1860,12,1860.958,25.526,1.871
1861,1,1861.042,25.677,1.414
1861,2,1861.125,26.183,2.249
1861,3,1861.208,25.524,2.577
1861,4,1861.292,25.697,1.737
1861,5,1861.375,25.813,0.809
1861,6,1861.458,25.963,1.135
1861,7,1861.542,26.288,0.932
1861,8,1861.625,25.694,1.277
1861,9,1861.708,25.628,1.260
1861,10,1861.792,26.047,0.857
1861,11,1861.875,25.329,1.147
1861,12,1861.958,25.703,1.111
1862,1,1862.042,25.483,1.798
1862,2,1862.125,26.358,1.733
1862,3,1862.208,25.483,1.290
1862,4,1862.292,25.687,1.941
1862,5,1862.375,25.926,0.793
1862,6,1862.458,25.763,1.140
1862,7,1862.542,26.109,0.750
1862,8,1862.625,25.855,1.125
1862,9,1862.708,25.672,1.045
1862,10,1862.792,25.349,0.950
1862,11,1862.875,24.622,1.392
1862,12,1862.958,24.138,1.605
1863,1,1863.042,24.759,1.806
1863,2,1863.125,26.768,2.781
1863,3,1863.208,25.719,1.087
1863,4,1863.292,25.238,0.980
1863,5,1863.375,26.059,1.410
1863,6,1863.458,26.492,0.978
1863,7,1863.542,26.078,0.691
1863,8,1863.625,25.464,0.937
1863,9,1863.708,24.826,1.110
1863,10,1863.792,25.596,0.686
1863,11,1863.875,25.079,1.131
1863,12,1863.958,24.422,2.603
1864,1,1864.042,27.055,2.436
1864,2,1864.125,26.563,3.748
1864,3,1864.208,23.589,2.989
1864,4,1864.292,24.020,2.180
1864,5,1864.375,23.809,1.282
1864,6,1864.458,24.789,2.361
1864,7,1864.542,25.007,1.727
1864,8,1864.625,25.152,1.092
1864,9,1864.708,25.766,0.933
1864,10,1864.792,25.261,1.242
1864,11,1864.875,25.577,1.702
1864,12,1864.958,26.263,1.617
1865,1,1865.042,25.666,1.191
1865,2,1865.125,25.030,0.843
1865,3,1865.208,25.500,0.616
1865,4,1865.292,25.503,1.124
1865,5,1865.375,25.795,0.682
1865,6,1865.458,26.254,0.662
1865,7,1865.542,26.156,1.201
1865,8,1865.625,26.237,0.885
1865,9,1865.708,25.228,1.199
1865,10,1865.792,25.579,0.793
1865,11,1865.875,25.377,0.872
1865,12,1865.958,26.193,1.076
1866,1,1866.042,25.075,1.233
1866,2,1866.125,25.298,1.510
1866,3,1866.208,23.803,1.794
1866,4,1866.292,24.325,1.504
1866,5,1866.375,25.367,1.340
1866,6,1866.458,25.787,0.757
1866,7,1866.542,25.525,1.238
1866,8,1866.625,25.512,1.054
1866,9,1866.708,25.655,0.985
1866,10,1866.792,25.268,0.581
1866,11,1866.875,24.497,0.802
1866,12,1866.958,25.171,0.803
1867,1,1867.042,25.548,1.129
1867,2,1867.125,25.618,1.600
1867,3,1867.208,25.552,0.509
1867,4,1867.292,25.732,1.195
1867,5,1867.375,26.038,1.173
1867,6,1867.458,26.257,1.539
1867,7,1867.542,26.469,1.221
1867,8,1867.625,25.501,1.146
1867,9,1867.708,25.336,1.552
1867,10,1867.792,25.093,1.889
1867,11,1867.875,24.544,2.016
1867,12,1867.958,25.006,1.940
1868,1,1868.042,26.734,2.090
1868,2,1868.125,25.756,1.892
1868,3,1868.208,24.997,1.679
1868,4,1868.292,26.308,1.795
1868,5,1868.375,26.153,1.938
1868,6,1868.458,25.572,0.614
1868,7,1868.542,26.240,0.931
1868,8,1868.625,26.082,0.623
1868,9,1868.708,26.336,2.137
1868,10,1868.792,25.854,1.481
1868,11,1868.875,25.565,1.107
1868,12,1868.958,25.882,1.204
1869,1,1869.042,27.150,1.597
1869,2,1869.125,26.928,1.511
1869,3,1869.208,26.581,1.561
1869,4,1869.292,26.814,1.043
1869,5,1869.375,26.673,1.371
1869,6,1869.458,27.542,0.768
1869,7,1869.542,27.435,1.344
1869,8,1869.625,26.760,0.598
1869,9,1869.708,26.515,0.646
1869,10,1869.792,26.019,0.562
1869,11,1869.875,25.089,0.854
1869,12,1869.958,24.896,1.738
1870,1,1870.042,26.250,0.971
1870,2,1870.125,25.562,1.380
1870,3,1870.208,25.204,0.840
1870,4,1870.292,25.261,1.174
1870,5,1870.375,25.362,1.748
1870,6,1870.458,26.651,0.887
1870,7,1870.542,26.406,0.632
1870,8,1870.625,26.402,0.495
1870,9,1870.708,25.908,1.544
1870,10,1870.792,24.690,0.932
1870,11,1870.875,24.505,0.676
1870,12,1870.958,25.085,0.994
1871,1,1871.042,25.133,0.925
1871,2,1871.125,25.676,1.417
1871,3,1871.208,25.705,0.555
1871,4,1871.292,25.807,0.986
1871,5,1871.375,25.925,0.694
1871,6,1871.458,26.486,0.880
1871,7,1871.542,25.894,1.094
1871,8,1871.625,26.091,1.529
1871,9,1871.708,25.690,0.598
1871,10,1871.792,25.228,1.145
1871,11,1871.875,25.078,1.937
1871,12,1871.958,25.311,1.088
1872,1,1872.042,25.313,1.145
1872,2,1872.125,26.708,2.962
1872,3,1872.208,26.843,3.338
1872,4,1872.292,26.311,2.673
1872,5,1872.375,26.046,2.733
1872,6,1872.458,26.505,2.995
1872,7,1872.542,26.457,3.122
1872,8,1872.625,26.022,3.708
1872,9,1872.708,26.472,1.509
1872,10,1872.792,25.998,0.762
1872,11,1872.875,25.766,0.850
1872,12,1872.958,25.130,1.002
1873,1,1873.042,25.425,0.871
1873,2,1873.125,25.742,1.229
1873,3,1873.208,24.727,0.478
1873,4,1873.292,24.962,1.879
1873,5,1873.375,25.149,2.351
1873,6,1873.458,25.889,2.131
1873,7,1873.542,26.372,1.612
1873,8,1873.625,25.309,1.413
1873,9,1873.708,25.291,0.992
