# Monthly average temperature data for Japan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,7,1819.542,11.377,1.957
1819,9,1819.708,12.268,1.888
1819,10,1819.792,11.409,2.047
1819,11,1819.875,10.268,2.030
1819,12,1819.958,11.004,2.030
1820,1,1820.042,8.781,2.891
1820,2,1820.125,11.442,2.628
1820,3,1820.208,11.673,2.042
1820,4,1820.292,12.536,2.073
1820,5,1820.375,12.232,1.572
1820,6,1820.458,11.960,1.594
1820,7,1820.542,12.191,1.955
1820,8,1820.625,10.987,2.007
1820,9,1820.708,11.809,1.997
1820,10,1820.792,10.766,1.860
1820,11,1820.875,10.142,1.651
1820,12,1820.958,9.674,1.969
1821,1,1821.042,11.906,2.081
1821,2,1821.125,12.073,2.694
1821,3,1821.208,11.968,2.354
1821,4,1821.292,11.883,1.818
1821,5,1821.375,12.240,2.379
1821,6,1821.458,11.603,2.495
1821,7,1821.542,11.595,2.341
1821,8,1821.625,11.699,1.810
1821,10,1821.792,10.321,2.055
1821,11,1821.875,10.201,2.319
1821,12,1821.958,10.924,1.715
1822,1,1822.042,11.255,2.417
1822,2,1822.125,12.122,1.981
1822,3,1822.208,13.907,2.101
1822,4,1822.292,10.762,2.208
1822,5,1822.375,10.929,1.454
1822,6,1822.458,12.004,1.550
1822,7,1822.542,11.463,1.531
1822,8,1822.625,11.629,1.631
1822,9,1822.708,11.525,1.961
1822,10,1822.792,10.566,1.865
1822,11,1822.875,9.894,1.918
1822,12,1822.958,9.485,2.326
1823,1,1823.042,11.167,1.602
1823,2,1823.125,11.464,2.088
1823,3,1823.208,11.318,2.123
1823,4,1823.292,10.949,2.296
1823,5,1823.375,10.600,1.986
1823,6,1823.458,12.303,1.750
1823,7,1823.542,12.639,1.890
1823,8,1823.625,11.416,1.627
1823,9,1823.708,11.270,1.782
1823,10,1823.792,10.999,2.066
1825,1,1825.042,11.950,2.059
1825,2,1825.125,11.413,1.524
1825,3,1825.208,11.581,2.037
1825,4,1825.292,11.913,2.233
1825,5,1825.375,12.262,1.603
1825,6,1825.458,11.617,1.469
1825,7,1825.542,10.538,2.359
1825,8,1825.625,9.410,3.514
1825,9,1825.708,10.793,2.310
1825,10,1825.792,12.655,2.717
1826,5,1826.375,12.984,1.944
1826,6,1826.458,12.876,2.408
1826,7,1826.542,11.949,1.912
1826,8,1826.625,10.449,2.347
1826,9,1826.708,10.989,1.572
1826,10,1826.792,12.142,2.388
1826,11,1826.875,12.362,1.628
1826,12,1826.958,12.550,2.036
1827,1,1827.042,12.406,2.360
1827,2,1827.125,12.047,2.231
1827,3,1827.208,12.550,1.930
1827,4,1827.292,12.976,2.304
1827,5,1827.375,12.278,1.998
1827,6,1827.458,12.676,1.914
1827,7,1827.542,12.871,1.734
1827,8,1827.625,12.420,1.979
1827,9,1827.708,11.896,1.821
1827,10,1827.792,12.381,2.331
1827,11,1827.875,11.293,2.223
1827,12,1827.958,11.669,1.741
1828,1,1828.042,10.901,2.157
1828,2,1828.125,10.790,2.174
1828,3,1828.208,11.929,1.835
1828,4,1828.292,13.035,3.608
1828,5,1828.375,12.390,1.966
1828,6,1828.458,11.760,2.099
1828,7,1828.542,10.917,2.985
1828,8,1828.625,11.927,1.539
1828,9,1828.708,11.146,2.033
1830,9,1830.708,10.034,1.807
1830,11,1830.875,12.505,1.969
1830,12,1830.958,12.229,2.296
1831,8,1831.625,10.028,1.601
1831,9,1831.708,11.278,2.214
1831,10,1831.792,11.379,1.863
1831,11,1831.875,10.309,1.773
1831,12,1831.958,10.903,2.589
1832,1,1832.042,11.957,1.939
1832,2,1832.125,11.359,2.317
1832,3,1832.208,11.620,1.529
1832,4,1832.292,11.678,1.434
1832,5,1832.375,10.863,1.719
1832,6,1832.458,11.148,2.070
1832,7,1832.542,11.099,2.055
1832,8,1832.625,10.880,2.066
1832,9,1832.708,10.899,1.509
1832,10,1832.792,11.644,1.450
1832,11,1832.875,10.644,1.601
1832,12,1832.958,10.433,2.381
1833,1,1833.042,11.445,1.578
1833,2,1833.125,11.257,1.306
1833,3,1833.208,11.266,1.769
1839,1,1839.042,11.217,1.767
1839,2,1839.125,11.093,2.195
1839,3,1839.208,10.069,1.968
1839,4,1839.292,11.105,1.490
1839,5,1839.375,11.861,2.034
1839,6,1839.458,11.980,1.295
1839,7,1839.542,13.356,2.779
1839,8,1839.625,12.598,1.608
1839,9,1839.708,11.851,1.538
1839,10,1839.792,11.061,1.995
1839,11,1839.875,10.460,1.965
1839,12,1839.958,10.096,2.024
1840,1,1840.042,11.543,2.779
1840,2,1840.125,10.861,1.554
1840,3,1840.208,10.530,2.559
1840,4,1840.292,12.200,1.736
1840,5,1840.375,12.291,1.363
1840,6,1840.458,12.172,1.499
1840,7,1840.542,11.614,2.630
1840,8,1840.625,11.346,1.500
1840,9,1840.708,11.821,1.315
1840,10,1840.792,11.240,1.338
1840,11,1840.875,12.101,3.008
1840,12,1840.958,10.358,1.641
1841,1,1841.042,9.521,2.199
1841,2,1841.125,9.568,3.089
1841,3,1841.208,10.216,1.155
1841,4,1841.292,11.083,2.351
1841,5,1841.375,11.216,1.059
1841,6,1841.458,11.195,1.497
1841,7,1841.542,12.948,1.809
1841,8,1841.625,11.197,1.684
1841,9,1841.708,10.880,1.334
1841,10,1841.792,11.045,1.287
1841,11,1841.875,10.251,1.324
1841,12,1841.958,10.116,3.426
1842,1,1842.042,9.876,3.263
1842,2,1842.125,11.131,1.787
1842,3,1842.208,12.090,1.821
1844,5,1844.375,10.908,1.176
1844,6,1844.458,11.098,1.257
1844,7,1844.542,11.455,1.038
1844,8,1844.625,11.533,1.582
1844,9,1844.708,11.179,1.422
1844,10,1844.792,11.380,1.439
1844,11,1844.875,11.578,1.551
1844,12,1844.958,11.397,1.736
1845,1,1845.042,13.202,1.706
1845,2,1845.125,11.962,2.228
1845,3,1845.208,12.181,0.873
1845,4,1845.292,11.290,1.461
1845,5,1845.375,11.489,1.090
1845,6,1845.458,12.053,0.925
1845,7,1845.542,12.096,0.975
1845,8,1845.625,9.867,3.273
1845,9,1845.708,10.299,1.889
1845,10,1845.792,10.466,1.466
1845,11,1845.875,10.463,1.273
1845,12,1845.958,9.255,2.581
1846,1,1846.042,10.960,4.280
1846,2,1846.125,11.519,1.897
1846,3,1846.208,11.473,1.521
1846,4,1846.292,11.208,2.201
1846,5,1846.375,10.278,0.912
1846,6,1846.458,11.874,1.295
1846,7,1846.542,11.532,1.357
1846,8,1846.625,11.921,1.244
1846,9,1846.708,13.200,1.658
1846,10,1846.792,12.089,1.926
1846,11,1846.875,9.541,1.631
1846,12,1846.958,11.381,1.589
1847,1,1847.042,12.623,2.129
1847,2,1847.125,11.732,1.707
1847,3,1847.208,11.344,2.052
1847,4,1847.292,12.160,1.744
1847,5,1847.375,11.257,1.106
1847,6,1847.458,11.185,1.692
1847,7,1847.542,11.990,1.350
1847,8,1847.625,11.164,1.170
1847,9,1847.708,11.475,1.474
1847,10,1847.792,11.009,1.009
1847,11,1847.875,12.417,0.899
1847,12,1847.958,11.943,1.793
1848,1,1848.042,11.511,1.534
1848,2,1848.125,12.650,1.585
1848,3,1848.208,12.876,1.149
1848,4,1848.292,11.741,1.096
1848,5,1848.375,12.068,1.499
1848,6,1848.458,11.472,1.182
1848,7,1848.542,12.689,1.454
1848,8,1848.625,11.817,1.920
1848,9,1848.708,12.109,1.642
1848,10,1848.792,11.675,1.158
1848,11,1848.875,10.714,1.099
1848,12,1848.958,12.089,1.600
1849,1,1849.042,12.504,1.709
1849,2,1849.125,13.425,1.696
1849,3,1849.208,12.409,1.632
1849,4,1849.292,10.984,1.514
1849,5,1849.375,11.079,1.195
1849,6,1849.458,11.653,1.124
1849,7,1849.542,11.182,1.486
1849,8,1849.625,11.460,1.410
1849,9,1849.708,12.725,1.420
1849,10,1849.792,11.503,0.887
1849,11,1849.875,10.418,1.942
1849,12,1849.958,12.176,2.310
1850,1,1850.042,11.327,1.539
1850,2,1850.125,11.435,1.930
1850,3,1850.208,12.826,1.621
1850,4,1850.292,10.619,1.759
1850,5,1850.375,11.746,2.554
1850,6,1850.458,11.892,1.123
1850,7,1850.542,12.233,1.075
1850,8,1850.625,10.712,1.148
1850,9,1850.708,12.584,1.985
1850,10,1850.792,11.151,0.957
1850,11,1850.875,10.709,1.687
1850,12,1850.958,10.949,2.200
1851,1,1851.042,12.593,0.950
1851,2,1851.125,11.238,1.232
1851,3,1851.208,10.689,0.806
1851,4,1851.292,10.422,1.269
1851,5,1851.375,10.797,1.506
1851,6,1851.458,11.946,1.346
1851,7,1851.542,12.187,0.857
1851,8,1851.625,11.954,1.464
1851,9,1851.708,11.727,1.406
1851,10,1851.792,10.700,1.324
1851,11,1851.875,11.184,2.073
1851,12,1851.958,10.732,1.363
1852,1,1852.042,11.491,1.314
1852,2,1852.125,9.897,1.308
1852,3,1852.208,9.878,1.224
1852,4,1852.292,9.747,1.566
1852,5,1852.375,10.897,1.284
1852,6,1852.458,12.220,1.194
1852,7,1852.542,12.177,0.993
1852,8,1852.625,11.826,1.270
1852,9,1852.708,11.162,1.729
1852,10,1852.792,11.512,1.127
1852,11,1852.875,10.918,1.579
1852,12,1852.958,10.945,1.764
1853,1,1853.042,11.397,1.602
1853,2,1853.125,10.260,2.343
1853,3,1853.208,11.286,0.981
1853,4,1853.292,11.305,1.111
1853,5,1853.375,11.091,1.140
1853,6,1853.458,12.421,1.206
1853,7,1853.542,13.437,1.336
1853,8,1853.625,12.626,1.463
1853,9,1853.708,12.244,1.284
1853,10,1853.792,10.788,1.236
1853,11,1853.875,11.107,1.194
1853,12,1853.958,10.634,1.255
1854,1,1854.042,12.376,1.669
1854,2,1854.125,11.277,1.477
1854,3,1854.208,11.652,0.935
1854,4,1854.292,10.691,1.463
1854,5,1854.375,11.340,0.952
1854,6,1854.458,11.889,1.188
1854,7,1854.542,12.522,1.812
1854,8,1854.625,11.676,1.081
1854,9,1854.708,11.403,1.145
1854,10,1854.792,11.922,1.228
1854,11,1854.875,11.145,1.169
1854,12,1854.958,10.880,2.909
1855,1,1855.042,12.471,2.249
1855,2,1855.125,11.828,2.893
1855,3,1855.208,11.754,1.173
1855,4,1855.292,12.835,1.698
1855,5,1855.375,11.688,1.390
1855,6,1855.458,12.386,1.540
1855,7,1855.542,11.995,1.537
1855,8,1855.625,11.083,1.476
