# Monthly average temperature data for Jordan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1843,1,1843.042,20.356,1.573
1843,2,1843.125,21.190,1.911
1843,3,1843.208,19.700,1.406
1843,4,1843.292,18.900,1.372
1843,5,1843.375,18.084,1.541
1843,6,1843.458,17.977,1.206
1843,7,1843.542,19.511,1.212
1843,8,1843.625,18.744,1.184
1843,9,1843.708,18.161,1.327
1843,11,1843.875,18.335,1.444
1843,12,1843.958,17.798,2.297
1844,1,1844.042,18.769,1.949
1844,2,1844.125,19.179,1.402
1844,5,1844.375,18.250,1.861
1844,6,1844.458,18.824,1.744
1844,7,1844.542,19.834,1.623
1844,8,1844.625,19.004,1.840
1844,9,1844.708,18.716,1.790
1844,10,1844.792,18.753,1.642
1844,11,1844.875,18.801,1.293
1844,12,1844.958,18.198,1.716
1845,1,1845.042,17.662,1.873
1845,2,1845.125,19.289,2.425
1845,3,1845.208,20.416,1.267
1845,4,1845.292,19.029,1.721
1845,5,1845.375,18.790,1.396
1848,5,1848.375,19.164,2.107
1848,6,1848.458,20.387,1.732
1848,8,1848.625,19.641,1.914
1848,9,1848.708,18.573,1.832
1848,10,1848.792,19.637,1.717
1848,11,1848.875,19.781,1.855
1848,12,1848.958,17.541,2.058
1849,1,1849.042,18.308,1.954
1849,2,1849.125,17.945,2.464
1849,3,1849.208,19.061,2.151
1849,6,1849.458,19.554,2.018
1849,7,1849.542,19.325,1.825
1849,8,1849.625,19.323,1.690
1849,9,1849.708,19.677,1.900
1849,10,1849.792,19.405,1.848
1849,11,1849.875,19.547,2.457
1849,12,1849.958,19.670,2.025
1850,1,1850.042,18.858,1.735
1850,2,1850.125,18.238,2.471
1850,3,1850.208,18.370,2.022
1850,4,1850.292,18.486,1.947
1850,5,1850.375,17.700,1.715
1850,6,1850.458,18.842,2.031
1850,7,1850.542,20.112,1.706
1850,8,1850.625,19.606,1.807
1850,9,1850.708,19.005,1.670
1851,1,1851.042,19.436,1.828
1851,2,1851.125,18.557,2.232
1851,3,1851.208,19.678,1.666
1851,4,1851.292,19.394,1.862
1851,6,1851.458,19.487,1.766
1851,7,1851.542,20.072,1.833
1851,8,1851.625,20.237,1.901
1851,9,1851.708,19.326,1.707
1851,10,1851.792,19.239,1.968
1851,11,1851.875,19.504,2.177
1851,12,1851.958,17.769,2.059
1852,1,1852.042,18.909,1.923
1852,2,1852.125,18.952,1.758
1852,3,1852.208,18.438,1.797
1852,4,1852.292,18.742,1.881
1852,5,1852.375,19.513,1.876
1852,6,1852.458,19.319,1.702
1852,7,1852.542,19.911,1.647
1852,8,1852.625,19.194,1.710
1852,9,1852.708,19.348,1.649
1852,10,1852.792,20.226,1.824
1852,11,1852.875,19.503,2.026
1852,12,1852.958,19.805,1.795
1853,1,1853.042,19.216,1.733
1853,2,1853.125,20.104,2.117
1853,3,1853.208,20.149,1.941
1853,4,1853.292,19.669,1.622
1853,5,1853.375,19.450,1.800
1853,6,1853.458,19.981,1.694
1853,7,1853.542,20.349,1.788
1853,8,1853.625,20.078,1.799
1853,9,1853.708,19.760,1.610
1853,10,1853.792,19.813,1.830
1853,11,1853.875,18.939,1.669
1853,12,1853.958,19.969,1.594
1855,1,1855.042,18.946,2.064
1855,2,1855.125,20.087,2.326
1855,3,1855.208,20.370,1.700
1855,4,1855.292,19.305,2.145
1855,5,1855.375,20.222,1.720
1855,6,1855.458,19.792,2.003
1855,7,1855.542,19.541,1.642
1855,8,1855.625,19.217,1.706
1855,9,1855.708,18.007,1.860
1855,10,1855.792,18.930,2.041
1855,11,1855.875,19.222,1.777
1855,12,1855.958,19.518,2.052
1856,12,1856.958,19.560,1.888
1857,1,1857.042,20.475,1.656
1857,2,1857.125,17.936,1.739
1857,3,1857.208,17.987,1.761
1857,4,1857.292,18.585,1.649
1857,5,1857.375,18.716,1.619
1857,6,1857.458,18.785,1.799
1857,7,1857.542,19.284,1.749
1857,8,1857.625,18.897,1.655
1857,9,1857.708,18.687,1.738
1857,10,1857.792,18.680,1.708
1857,11,1857.875,18.361,1.659
1857,12,1857.958,18.072,1.685
1858,1,1858.042,17.769,2.196
1858,2,1858.125,17.280,1.694
1858,3,1858.208,19.900,1.562
1858,4,1858.292,19.450,1.860
1858,5,1858.375,19.854,1.628
1858,6,1858.458,20.088,2.086
1858,7,1858.542,19.891,1.721
1858,8,1858.625,19.810,1.730
1858,9,1858.708,18.756,1.643
1858,10,1858.792,19.802,1.696
1858,11,1858.875,21.409,1.780
1858,12,1858.958,19.102,1.633
1859,1,1859.042,16.915,1.855
1859,2,1859.125,17.730,2.012
1859,3,1859.208,19.628,1.684
1859,4,1859.292,20.476,1.728
1859,5,1859.375,21.080,2.069
1859,6,1859.458,19.530,1.759
1859,7,1859.542,19.185,1.608
1859,8,1859.625,19.742,1.894
1859,9,1859.708,20.173,1.702
1859,10,1859.792,19.581,1.650
1859,11,1859.875,19.379,1.579
1859,12,1859.958,20.507,2.200
1860,1,1860.042,19.091,1.767
1860,2,1860.125,19.171,1.556
1860,3,1860.208,18.452,1.992
1860,4,1860.292,20.325,2.168
1860,5,1860.375,19.539,1.831
1860,6,1860.458,21.048,1.658
1860,7,1860.542,20.622,1.785
1860,8,1860.625,20.310,1.639
1860,9,1860.708,20.364,1.731
1860,10,1860.792,19.507,1.854
1860,11,1860.875,18.692,1.675
1860,12,1860.958,19.861,1.781
1861,1,1861.042,18.377,2.037
1861,2,1861.125,17.964,1.725
1861,3,1861.208,18.968,2.151
1861,4,1861.292,18.940,1.850
1861,5,1861.375,17.946,1.228
1861,6,1861.458,19.899,1.638
1861,7,1861.542,19.291,1.422
1861,8,1861.625,19.715,1.005
1861,9,1861.708,18.798,1.076
1861,10,1861.792,18.836,1.004
1861,11,1861.875,20.008,1.213
1861,12,1861.958,18.026,1.600
1862,1,1862.042,18.375,2.125
1862,2,1862.125,18.108,1.180
1862,3,1862.208,19.679,1.662
1862,4,1862.292,20.132,2.180
1862,5,1862.375,20.333,1.053
1862,6,1862.458,20.797,1.343
1862,7,1862.542,19.548,1.166
1862,8,1862.625,18.470,1.085
1862,9,1862.708,17.496,1.125
1862,10,1862.792,16.769,1.237
1862,11,1862.875,18.896,1.290
1862,12,1862.958,17.672,2.052
1863,1,1863.042,17.923,2.464
1863,2,1863.125,16.666,1.834
1863,3,1863.208,20.222,2.062
1863,4,1863.292,18.375,1.593
1863,5,1863.375,20.006,3.166
1863,6,1863.458,19.463,0.907
1863,7,1863.542,19.902,1.609
1863,8,1863.625,18.862,1.633
1863,9,1863.708,19.406,1.833
1863,10,1863.792,19.422,1.382
1863,11,1863.875,20.164,1.249
1863,12,1863.958,19.669,2.961
1864,1,1864.042,17.669,1.445
1864,2,1864.125,19.591,2.153
1864,3,1864.208,21.342,1.522
1864,4,1864.292,19.599,2.334
1864,5,1864.375,19.859,1.508
1864,6,1864.458,19.502,1.065
1864,7,1864.542,19.381,1.099
1864,8,1864.625,19.127,1.556
1864,9,1864.708,19.817,1.583
1864,10,1864.792,21.055,2.883
1864,11,1864.875,21.820,2.302
1864,12,1864.958,19.289,1.105
1865,1,1865.042,21.242,1.096
1865,2,1865.125,20.184,1.040
1865,3,1865.208,21.657,1.164
1865,4,1865.292,18.526,1.371
1865,5,1865.375,18.547,1.039
1865,6,1865.458,20.679,2.478
1865,7,1865.542,20.335,1.430
1865,8,1865.625,20.521,1.712
1865,9,1865.708,18.464,1.549
1865,10,1865.792,21.393,1.672
1865,11,1865.875,19.898,1.402
1865,12,1865.958,18.670,1.359
1866,1,1866.042,18.741,1.398
1866,2,1866.125,19.748,1.863
1866,3,1866.208,20.691,1.852
1866,4,1866.292,19.340,1.512
1866,5,1866.375,20.024,1.004
1866,6,1866.458,18.905,1.145
1866,7,1866.542,21.457,1.078
1866,8,1866.625,20.563,1.098
1866,9,1866.708,20.006,0.991
1866,10,1866.792,19.209,0.915
1866,11,1866.875,18.579,0.926
1866,12,1866.958,20.241,1.267
1867,1,1867.042,19.670,1.332
1867,2,1867.125,18.533,1.553
1867,3,1867.208,21.045,1.220
1867,4,1867.292,20.118,1.007
1867,5,1867.375,19.982,0.992
1867,6,1867.458,20.129,0.955
1867,7,1867.542,18.836,1.246
1867,8,1867.625,19.831,2.353
1867,9,1867.708,19.632,1.225
1867,10,1867.792,20.334,1.005
1867,11,1867.875,19.709,1.520
1867,12,1867.958,19.344,1.718
1868,1,1868.042,19.508,1.115
1868,2,1868.125,16.493,1.580
1868,3,1868.208,19.655,1.552
1868,4,1868.292,17.486,1.409
1868,5,1868.375,20.944,1.449
1868,6,1868.458,20.326,1.056
1868,7,1868.542,20.339,1.006
1868,8,1868.625,19.705,0.920
1868,9,1868.708,19.479,1.009
1868,10,1868.792,22.834,1.370
1868,11,1868.875,17.912,0.988
1868,12,1868.958,19.164,1.607
1869,1,1869.042,19.003,1.510
1869,2,1869.125,18.702,1.656
1869,3,1869.208,20.432,1.605
1869,4,1869.292,18.404,0.964
1869,5,1869.375,20.294,0.923
1869,6,1869.458,22.137,1.027
1869,7,1869.542,19.949,0.846
