# Monthly average temperature data for Kazakhstan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1832,1,1832.042,3.355,3.408
1832,2,1832.125,5.131,2.788
1832,3,1832.208,4.597,2.848
1832,4,1832.292,3.201,2.929
1832,5,1832.375,5.391,2.678
1832,6,1832.458,4.907,2.663
1832,7,1832.542,6.764,2.997
1832,8,1832.625,4.655,2.754
1832,9,1832.708,4.862,2.643
1832,10,1832.792,5.085,2.905
1832,11,1832.875,2.290,3.032
1832,12,1832.958,1.253,3.269
1833,1,1833.042,4.710,3.108
1833,2,1833.125,5.443,2.840
1833,3,1833.208,4.302,2.934
1833,4,1833.292,3.584,2.683
1833,5,1833.375,3.524,2.611
1833,6,1833.458,5.836,2.757
1833,7,1833.542,5.500,2.901
1833,8,1833.625,5.375,2.634
1833,9,1833.708,3.632,2.934
1833,10,1833.792,4.390,2.697
1833,11,1833.875,7.726,3.063
1833,12,1833.958,4.991,3.627
1834,1,1834.042,2.252,3.193
1834,2,1834.125,3.924,2.848
1834,3,1834.208,7.555,2.628
1834,4,1834.292,2.907,2.859
1834,5,1834.375,4.561,2.646
1834,6,1834.458,4.828,2.687
1834,7,1834.542,4.643,2.799
1834,8,1834.625,5.229,2.662
1834,9,1834.708,5.001,2.629
1834,10,1834.792,5.968,2.659
1834,11,1834.875,7.339,2.638
1834,12,1834.958,5.841,2.664
1835,1,1835.042,6.323,3.533
1835,2,1835.125,7.141,3.341
1835,3,1835.208,5.457,3.087
1835,4,1835.292,4.601,2.959
1835,5,1835.375,3.863,2.904
1835,6,1835.458,3.028,2.993
1835,7,1835.542,3.999,3.090
1835,8,1835.625,3.899,2.690
1835,9,1835.708,2.961,2.741
1835,10,1835.792,4.569,2.983
1835,11,1835.875,3.479,2.849
1835,12,1835.958,2.937,3.404
1836,1,1836.042,6.484,3.093
1836,2,1836.125,5.329,2.884
1836,3,1836.208,7.679,2.908
1836,4,1836.292,3.868,3.012
1836,5,1836.375,3.803,2.797
1836,6,1836.458,4.870,3.282
1836,7,1836.542,3.943,2.932
1836,8,1836.625,3.921,3.750
1836,9,1836.708,3.979,2.914
1836,10,1836.792,5.126,2.942
1836,11,1836.875,3.284,3.078
1836,12,1836.958,5.031,3.094
1837,1,1837.042,5.773,3.184
1837,2,1837.125,4.499,3.436
1837,3,1837.208,5.609,2.693
1837,4,1837.292,1.556,2.559
1837,5,1837.375,4.556,3.249
1837,6,1837.458,5.043,2.657
1837,7,1837.542,4.406,2.586
1837,8,1837.625,4.955,2.609
1837,9,1837.708,4.233,2.724
1837,10,1837.792,3.180,2.637
1837,11,1837.875,3.734,3.178
1837,12,1837.958,2.856,3.208
1838,1,1838.042,-0.139,3.416
1838,2,1838.125,5.199,2.533
1838,3,1838.208,1.635,3.327
1838,4,1838.292,2.651,2.729
1838,5,1838.375,4.638,2.410
