# Monthly average temperature data for Kenya.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,21.919,2.466
1892,2,1892.125,23.284,0.720
1892,3,1892.208,23.648,1.283
1892,4,1892.292,23.924,0.768
1892,5,1892.375,23.990,0.998
1892,6,1892.458,24.171,1.041
1892,7,1892.542,23.534,0.539
1892,8,1892.625,23.230,0.554
1892,9,1892.708,23.208,0.662
1892,10,1892.792,23.381,0.783
1892,11,1892.875,23.471,1.057
1892,12,1892.958,23.363,0.884
1893,1,1893.042,22.725,1.031
1893,2,1893.125,23.177,0.631
1893,3,1893.208,23.652,0.894
1893,4,1893.292,23.681,0.634
1893,5,1893.375,22.841,0.947
1893,6,1893.458,22.952,1.310
1893,7,1893.542,23.194,1.116
1893,8,1893.625,23.047,1.099
1893,9,1893.708,23.572,0.877
1893,10,1893.792,23.763,0.484
1893,11,1893.875,23.264,0.476
1893,12,1893.958,23.841,1.025
1894,1,1894.042,23.235,0.869
1894,2,1894.125,23.789,0.685
1894,3,1894.208,23.402,0.721
1894,4,1894.292,22.962,0.759
1894,5,1894.375,23.599,0.582
1894,6,1894.458,23.051,0.789
1894,7,1894.542,23.184,0.583
1894,8,1894.625,23.637,0.680
1894,9,1894.708,24.226,0.864
1894,10,1894.792,24.082,0.598
1894,11,1894.875,23.754,0.828
1894,12,1894.958,23.703,0.854
1895,1,1895.042,23.327,0.608
1895,2,1895.125,22.770,0.945
1895,3,1895.208,23.934,0.455
1895,4,1895.292,23.588,0.870
1895,5,1895.375,23.826,0.731
1895,6,1895.458,23.579,0.641
1895,7,1895.542,23.855,0.639
1895,8,1895.625,23.693,0.631
1895,9,1895.708,23.709,0.443
1895,10,1895.792,23.842,0.854
1895,11,1895.875,23.693,0.811
1895,12,1895.958,23.531,0.580
1896,1,1896.042,23.710,0.801
1896,2,1896.125,23.767,0.665
1896,3,1896.208,23.706,0.853
1896,4,1896.292,24.010,1.380
1896,5,1896.375,23.887,0.656
1896,6,1896.458,24.141,0.763
1896,7,1896.542,23.868,0.675
1896,8,1896.625,23.499,0.460
1896,9,1896.708,23.636,0.569
1896,10,1896.792,23.409,0.638
1896,11,1896.875,23.117,0.944
1896,12,1896.958,22.749,1.505
1897,1,1897.042,23.130,0.678
1897,2,1897.125,23.825,0.729
1897,3,1897.208,23.672,0.664
1897,4,1897.292,23.757,0.801
1897,5,1897.375,23.524,0.538
1897,6,1897.458,23.225,1.335
1897,7,1897.542,23.142,1.352
1897,8,1897.625,23.597,0.653
1897,9,1897.708,23.803,0.757
1897,10,1897.792,23.184,0.862
1897,11,1897.875,24.015,1.028
1897,12,1897.958,23.834,1.234
1898,1,1898.042,24.006,0.966
1898,2,1898.125,23.391,1.230
1898,3,1898.208,23.500,1.593
1898,4,1898.292,23.710,2.345
1898,5,1898.375,24.579,1.085
1898,6,1898.458,24.195,0.797
1898,7,1898.542,23.638,0.734
1898,8,1898.625,23.562,1.356
1898,9,1898.708,23.613,1.406
1898,10,1898.792,23.590,0.705
1898,11,1898.875,23.893,0.841
1898,12,1898.958,24.396,0.760
1899,1,1899.042,23.915,1.157
1899,2,1899.125,23.427,0.700
1899,3,1899.208,23.388,0.591
1899,4,1899.292,23.992,0.944
1899,5,1899.375,22.869,0.868
1899,6,1899.458,23.556,0.642
1899,7,1899.542,23.322,0.651
1899,8,1899.625,23.622,0.575
1899,9,1899.708,24.202,0.587
1899,10,1899.792,23.914,0.799
1899,11,1899.875,24.279,0.670
1899,12,1899.958,23.931,1.493
1900,1,1900.042,23.756,0.868
1900,2,1900.125,24.148,0.674
1900,3,1900.208,24.024,0.633
1900,4,1900.292,24.203,0.599
1900,5,1900.375,24.088,0.658
1900,6,1900.458,24.055,0.597
1900,7,1900.542,23.702,0.678
1900,8,1900.625,23.934,0.974
1900,9,1900.708,24.368,1.040
1900,10,1900.792,24.113,0.576
1900,11,1900.875,23.961,0.556
1900,12,1900.958,24.046,0.578
1901,1,1901.042,24.418,1.040
1901,2,1901.125,23.241,0.814
1901,3,1901.208,23.598,0.422
1901,4,1901.292,23.482,0.448
1901,5,1901.375,23.990,0.379
1901,6,1901.458,23.654,1.269
1901,7,1901.542,24.303,0.489
1901,8,1901.625,24.445,0.709
1901,9,1901.708,24.736,1.015
1901,10,1901.792,24.334,1.600
1901,11,1901.875,24.544,1.576
1901,12,1901.958,24.219,0.700
1902,1,1902.042,23.643,1.034
1902,2,1902.125,23.405,0.758
1902,3,1902.208,23.746,0.404
1902,4,1902.292,23.849,0.740
1902,5,1902.375,23.683,0.333
1902,6,1902.458,24.165,0.497
1902,7,1902.542,24.137,0.736
1902,8,1902.625,24.482,0.470
1902,9,1902.708,24.272,0.372
1902,10,1902.792,23.716,0.303
1902,11,1902.875,23.814,0.451
1902,12,1902.958,23.933,0.429
1903,1,1903.042,24.036,0.592
1903,2,1903.125,23.884,0.552
1903,3,1903.208,23.986,0.509
1903,4,1903.292,24.087,0.594
1903,5,1903.375,23.843,0.494
1903,6,1903.458,24.033,0.663
1903,7,1903.542,24.047,0.487
1903,8,1903.625,24.125,0.862
1903,9,1903.708,24.271,1.280
1903,10,1903.792,24.080,0.793
1903,11,1903.875,23.738,0.596
1903,12,1903.958,23.775,0.647
1904,1,1904.042,23.200,0.413
1904,2,1904.125,22.992,0.658
1904,3,1904.208,23.365,0.897
1904,4,1904.292,22.928,0.434
1904,5,1904.375,23.544,0.542
1904,6,1904.458,23.945,0.435
1904,7,1904.542,23.934,0.981
1904,8,1904.625,23.987,0.707
1904,9,1904.708,24.077,0.786
1904,10,1904.792,23.302,0.774
1904,11,1904.875,23.483,0.449
1904,12,1904.958,23.265,0.393
1905,1,1905.042,23.801,0.579
1905,2,1905.125,23.344,0.597
1905,3,1905.208,23.254,0.387
1905,4,1905.292,23.268,0.329
1905,5,1905.375,23.405,0.248
1905,6,1905.458,23.749,0.357
1905,7,1905.542,23.589,0.424
1905,8,1905.625,23.742,0.637
1905,9,1905.708,23.706,0.381
1905,10,1905.792,23.919,0.560
1905,11,1905.875,23.933,0.440
1905,12,1905.958,23.788,0.500
1906,1,1906.042,23.408,0.676
1906,2,1906.125,24.099,0.488
1906,3,1906.208,23.026,0.486
1906,4,1906.292,23.385,0.965
1906,5,1906.375,23.727,0.770
1906,6,1906.458,23.698,1.212
1906,7,1906.542,23.003,0.439
1906,8,1906.625,23.085,0.462
1906,9,1906.708,23.366,0.434
1906,10,1906.792,23.553,0.303
1906,11,1906.875,23.113,0.378
1906,12,1906.958,23.371,0.687
1907,1,1907.042,23.380,0.681
