# Monthly average temperature data for Kingman Reef.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1883,1,1883.042,25.963,0.828
1883,2,1883.125,25.941,0.991
1883,3,1883.208,26.746,0.745
1883,4,1883.292,26.792,1.051
1883,5,1883.375,26.830,0.862
1883,6,1883.458,27.154,0.795
1883,7,1883.542,26.839,0.739
1883,8,1883.625,26.721,0.848
1883,9,1883.708,26.525,0.704
1883,10,1883.792,26.786,0.724
1883,11,1883.875,25.869,0.770
1883,12,1883.958,26.444,0.838
1884,1,1884.042,26.329,0.766
1884,2,1884.125,26.285,0.732
1884,3,1884.208,25.948,1.082
1884,4,1884.292,25.927,0.722
1884,5,1884.375,25.934,0.744
1884,6,1884.458,26.572,0.910
1884,7,1884.542,26.619,0.781
1884,8,1884.625,26.668,0.729
1884,9,1884.708,26.573,0.846
1884,10,1884.792,26.459,0.737
1884,11,1884.875,26.100,0.762
1884,12,1884.958,26.110,0.940
1885,1,1885.042,25.377,0.755
1885,2,1885.125,26.204,0.907
1885,3,1885.208,26.469,0.775
1885,4,1885.292,25.910,0.827
1885,5,1885.375,26.275,0.722
1885,6,1885.458,26.704,0.832
1885,7,1885.542,26.952,0.737
1885,8,1885.625,26.700,0.711
1885,9,1885.708,26.764,0.794
1885,10,1885.792,26.562,0.716
1885,11,1885.875,26.451,0.832
1885,12,1885.958,26.491,1.232
1886,1,1886.042,25.756,0.826
1886,2,1886.125,25.928,1.052
1886,3,1886.208,26.184,0.825
1886,4,1886.292,26.736,0.778
1886,5,1886.375,26.474,0.722
1886,6,1886.458,26.617,0.747
1886,7,1886.542,27.044,0.778
1886,8,1886.625,26.623,0.715
1886,9,1886.708,26.930,0.803
1886,10,1886.792,26.677,0.914
1886,11,1886.875,26.262,0.806
1886,12,1886.958,26.615,0.983
1887,1,1887.042,25.420,0.945
1887,2,1887.125,26.019,0.771
1887,3,1887.208,26.259,0.741
1887,4,1887.292,26.678,0.795
1887,5,1887.375,26.445,0.792
1887,6,1887.458,26.600,0.739
1887,7,1887.542,26.845,0.716
1887,8,1887.625,26.406,0.703
1887,9,1887.708,26.724,0.777
1887,10,1887.792,26.532,0.721
1887,11,1887.875,26.356,0.783
1887,12,1887.958,26.340,0.865
1888,1,1888.042,26.100,0.764
1888,2,1888.125,25.732,0.816
1888,3,1888.208,26.041,0.745
1888,4,1888.292,26.670,0.818
1888,5,1888.375,26.384,0.750
1888,6,1888.458,26.758,0.849
1888,7,1888.542,27.152,0.737
1888,8,1888.625,26.809,0.714
1888,9,1888.708,26.895,0.765
1888,10,1888.792,27.168,0.782
1888,11,1888.875,26.822,0.784
1888,12,1888.958,26.765,0.846
1889,1,1889.042,26.153,0.848
1889,2,1889.125,27.029,0.904
1889,3,1889.208,26.856,0.900
1889,4,1889.292,27.187,0.773
1889,5,1889.375,27.082,0.795
1889,6,1889.458,27.066,0.742
1889,7,1889.542,27.124,0.732
1889,8,1889.625,26.884,0.761
1889,9,1889.708,26.771,0.739
1889,10,1889.792,26.677,0.717
1889,11,1889.875,26.214,0.958
1889,12,1889.958,26.401,0.860
1890,1,1890.042,26.301,0.744
1890,2,1890.125,26.505,0.824
1890,3,1890.208,26.073,0.841
1890,4,1890.292,26.600,0.776
1890,5,1890.375,26.392,0.868
1890,6,1890.458,26.787,0.792
1890,7,1890.542,26.861,0.716
1890,8,1890.625,26.546,0.682
1890,9,1890.708,26.850,0.739
1890,10,1890.792,26.936,0.688
1890,11,1890.875,25.994,0.737
1890,12,1890.958,26.348,0.706
1891,1,1891.042,26.749,1.451
1891,2,1891.125,26.176,1.433
1891,3,1891.208,26.778,1.086
1891,4,1891.292,26.858,1.246
1891,5,1891.375,26.837,1.062
1891,6,1891.458,27.048,0.860
1891,7,1891.542,27.011,0.723
1891,8,1891.625,27.138,0.784
1891,9,1891.708,27.086,0.722
1891,10,1891.792,26.791,0.700
1891,11,1891.875,26.479,0.762
1891,12,1891.958,26.757,0.650
1892,1,1892.042,26.343,0.686
1892,2,1892.125,26.693,0.712
1892,3,1892.208,26.517,0.923
1892,4,1892.292,26.665,0.938
1892,5,1892.375,26.515,0.702
1892,6,1892.458,26.830,0.715
1892,7,1892.542,26.609,0.658
1892,8,1892.625,26.672,0.677
1892,9,1892.708,26.681,0.840
1892,10,1892.792,26.590,0.927
1892,11,1892.875,25.735,0.823
1892,12,1892.958,25.980,0.846
1893,1,1893.042,25.185,0.863
1893,2,1893.125,25.673,0.930
1893,3,1893.208,26.405,1.020
1893,4,1893.292,26.721,0.958
1893,5,1893.375,26.318,0.989
1893,6,1893.458,26.273,1.188
1893,7,1893.542,26.757,0.732
1893,8,1893.625,26.396,0.796
1893,9,1893.708,26.505,0.704
1893,10,1893.792,26.328,1.116
1893,11,1893.875,26.231,0.820
1893,12,1893.958,26.024,0.817
1894,1,1894.042,25.926,0.789
1894,2,1894.125,26.159,0.997
1894,3,1894.208,26.284,0.888
1894,4,1894.292,26.123,0.765
1894,5,1894.375,26.223,0.965
1894,6,1894.458,26.543,0.611
1894,7,1894.542,26.565,0.637
1894,8,1894.625,26.602,0.799
1894,9,1894.708,26.678,0.717
1894,10,1894.792,26.783,0.831
1894,11,1894.875,26.278,0.758
1894,12,1894.958,26.407,0.746
1895,1,1895.042,26.047,0.748
1895,2,1895.125,26.011,0.668
1895,3,1895.208,26.391,0.747
1895,4,1895.292,26.865,0.630
1895,5,1895.375,26.804,0.644
1895,6,1895.458,26.926,0.574
1895,7,1895.542,26.909,0.571
1895,8,1895.625,26.909,0.580
1895,9,1895.708,26.816,0.592
1895,10,1895.792,26.933,0.557
1895,11,1895.875,26.573,0.661
1895,12,1895.958,26.909,0.642
1896,1,1896.042,26.666,0.733
1896,2,1896.125,26.667,0.674
1896,3,1896.208,26.189,0.814
1896,4,1896.292,26.360,0.838
1896,5,1896.375,26.858,0.688
1896,6,1896.458,27.062,0.830
1896,7,1896.542,27.441,0.946
1896,8,1896.625,26.963,0.668
1896,9,1896.708,27.357,0.856
1896,10,1896.792,27.497,0.788
1896,11,1896.875,27.121,1.301
1896,12,1896.958,27.078,0.785
1897,1,1897.042,26.435,0.745
1897,2,1897.125,26.658,1.031
1897,3,1897.208,26.519,0.988
1897,4,1897.292,27.127,0.725
1897,5,1897.375,27.017,0.728
1897,6,1897.458,27.201,0.643
1897,7,1897.542,26.977,0.669
1897,8,1897.625,27.169,0.632
1897,9,1897.708,27.306,0.937
1897,10,1897.792,27.157,0.786
1897,11,1897.875,26.882,1.219
1897,12,1897.958,26.717,0.691
1898,1,1898.042,27.034,0.771
