# Monthly average temperature data for Kuwait.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1861,1,1861.042,23.831,2.200
1861,2,1861.125,22.561,1.868
1861,3,1861.208,24.019,2.122
1861,4,1861.292,24.594,1.988
1861,5,1861.375,24.304,1.770
1861,7,1861.542,25.338,1.725
1861,8,1861.625,24.826,1.658
1861,9,1861.708,24.229,1.682
1861,10,1861.792,24.166,1.731
1861,11,1861.875,25.144,1.723
1861,12,1861.958,24.635,1.925
1862,1,1862.042,23.443,2.184
1862,2,1862.125,23.582,2.022
1862,3,1862.208,24.237,1.834
1862,4,1862.292,24.778,2.172
1862,5,1862.375,25.311,1.716
1862,6,1862.458,25.965,1.851
1862,7,1862.542,25.449,1.737
1862,8,1862.625,24.058,1.671
1862,9,1862.708,22.980,1.743
1862,10,1862.792,22.368,1.771
1862,11,1862.875,23.547,1.742
1862,12,1862.958,23.161,1.944
1863,1,1863.042,23.286,2.192
1863,2,1863.125,22.790,1.725
1863,3,1863.208,24.668,2.074
1863,4,1863.292,24.589,1.856
1863,5,1863.375,25.336,2.637
1863,6,1863.458,25.220,1.667
1863,10,1863.792,24.225,1.687
1863,11,1863.875,24.464,1.624
1863,12,1863.958,24.816,2.541
1864,1,1864.042,23.669,1.997
1864,2,1864.125,23.654,2.167
1864,3,1864.208,24.809,2.154
1864,4,1864.292,25.677,2.167
1864,5,1864.375,25.518,2.057
1864,6,1864.458,25.822,1.663
1864,7,1864.542,25.383,1.656
1864,8,1864.625,24.900,1.929
1864,9,1864.708,25.344,1.904
1864,10,1864.792,26.387,2.121
1864,11,1864.875,25.962,1.746
1864,12,1864.958,25.053,1.639
1865,1,1865.042,26.124,2.177
1865,2,1865.125,26.028,1.821
1865,3,1865.208,25.901,1.594
1865,4,1865.292,24.119,1.787
1865,5,1865.375,24.015,1.686
1865,6,1865.458,25.783,1.738
1865,7,1865.542,25.698,1.658
1865,8,1865.625,25.449,1.667
1865,9,1865.708,24.671,1.775
1865,10,1865.792,26.510,1.678
1865,11,1865.875,25.528,1.730
1865,12,1865.958,23.468,1.978
1866,1,1866.042,24.574,1.828
1866,2,1866.125,24.391,1.965
1866,3,1866.208,24.187,2.051
1866,4,1866.292,24.080,1.983
1866,5,1866.375,25.314,1.674
1866,6,1866.458,24.494,1.707
1866,7,1866.542,26.238,1.642
1866,8,1866.625,26.253,1.700
1866,9,1866.708,24.689,1.676
1866,10,1866.792,24.980,1.788
1866,11,1866.875,24.398,1.725
1866,12,1866.958,25.807,1.955
1867,1,1867.042,24.386,1.830
1867,2,1867.125,23.544,1.812
1867,3,1867.208,25.709,1.672
1867,4,1867.292,25.413,1.649
1867,5,1867.375,25.122,1.780
1867,6,1867.458,25.642,1.606
1867,7,1867.542,25.134,1.705
1867,8,1867.625,25.112,2.050
1867,9,1867.708,24.619,1.624
1867,10,1867.792,25.533,1.708
1867,11,1867.875,26.447,2.482
1867,12,1867.958,25.957,2.271
1868,1,1868.042,25.167,2.013
1868,2,1868.125,22.327,1.834
1868,3,1868.208,25.083,1.875
1868,4,1868.292,24.504,1.629
1868,5,1868.375,25.266,1.875
1868,6,1868.458,25.325,1.677
1868,7,1868.542,26.138,1.618
1868,8,1868.625,25.110,1.668
1868,9,1868.708,25.002,1.640
1868,10,1868.792,27.633,1.867
1868,11,1868.875,24.881,1.645
1868,12,1868.958,24.653,1.848
1869,1,1869.042,25.147,2.002
1869,2,1869.125,23.839,2.058
1869,3,1869.208,25.326,1.928
1869,4,1869.292,24.594,1.686
