# Monthly average temperature data for Kyrgyzstan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1848,1,1848.042,-2.039,2.722
1848,2,1848.125,2.086,2.144
1848,3,1848.208,1.015,1.956
1848,4,1848.292,1.599,2.085
1848,5,1848.375,1.874,2.106
1848,6,1848.458,2.144,2.244
1848,7,1848.542,3.226,2.030
1848,8,1848.625,2.633,1.998
1848,9,1848.708,1.228,1.920
1848,10,1848.792,1.416,1.941
1848,11,1848.875,1.165,2.060
1848,12,1848.958,0.497,2.364
1849,1,1849.042,3.674,2.898
1849,2,1849.125,2.028,2.193
1849,3,1849.208,3.534,2.284
1849,4,1849.292,1.005,2.654
1849,5,1849.375,1.043,2.118
1849,6,1849.458,1.960,1.985
1849,7,1849.542,2.943,1.967
1849,8,1849.625,2.717,2.101
1849,9,1849.708,0.823,1.984
1849,10,1849.792,2.379,2.077
1849,11,1849.875,1.003,2.061
1849,12,1849.958,0.167,1.960
1850,1,1850.042,-1.285,2.441
1850,2,1850.125,2.543,2.779
1850,3,1850.208,3.734,2.764
1850,4,1850.292,1.507,1.995
1850,5,1850.375,1.348,1.814
1850,6,1850.458,1.721,1.913
1850,7,1850.542,3.014,1.873
1850,8,1850.625,2.519,1.841
1850,9,1850.708,2.282,1.876
1850,10,1850.792,-0.010,2.185
1850,11,1850.875,1.870,2.088
1850,12,1850.958,2.994,2.060
1851,1,1851.042,1.639,2.034
1851,2,1851.125,2.767,1.958
1851,3,1851.208,1.249,2.133
1851,4,1851.292,-0.610,2.712
1851,5,1851.375,2.390,2.357
1851,6,1851.458,3.099,2.014
1851,7,1851.542,2.523,1.825
1851,8,1851.625,2.762,1.745
1851,9,1851.708,1.968,2.133
1851,10,1851.792,2.064,2.170
1851,11,1851.875,0.759,2.048
1851,12,1851.958,3.283,2.212
1852,1,1852.042,2.144,2.109
1852,2,1852.125,0.775,2.388
1852,3,1852.208,0.774,1.998
1852,4,1852.292,2.051,2.332
1852,5,1852.375,3.357,1.983
1852,6,1852.458,1.763,1.987
1852,7,1852.542,2.981,1.909
1852,8,1852.625,2.254,1.971
1852,9,1852.708,2.253,1.860
1852,10,1852.792,2.572,1.977
1852,11,1852.875,0.439,2.316
1852,12,1852.958,3.003,2.387
1853,1,1853.042,0.299,2.245
1853,2,1853.125,0.216,3.256
1853,3,1853.208,2.125,2.188
1853,4,1853.292,-0.063,2.867
1853,5,1853.375,2.606,2.109
1853,6,1853.458,2.306,2.102
1853,7,1853.542,2.900,1.973
1853,8,1853.625,3.530,1.964
1853,9,1853.708,2.527,1.977
1853,10,1853.792,1.432,1.970
1853,11,1853.875,0.078,1.986
1853,12,1853.958,1.512,2.390
1854,1,1854.042,1.400,2.453
1854,2,1854.125,2.955,2.542
1854,3,1854.208,2.348,1.923
1854,4,1854.292,1.482,2.338
1870,1,1870.042,0.073,2.398
1870,2,1870.125,1.348,2.042
1870,3,1870.208,4.024,2.761
1870,4,1870.292,2.647,2.313
1870,5,1870.375,3.141,1.946
1870,6,1870.458,4.329,2.328
1870,7,1870.542,2.994,2.032
1870,8,1870.625,3.149,1.972
1870,9,1870.708,3.825,2.220
1870,10,1870.792,1.545,1.985
1870,11,1870.875,1.313,2.034
1870,12,1870.958,-0.431,2.497
1871,1,1871.042,0.440,1.920
1871,2,1871.125,0.700,2.007
1871,3,1871.208,1.205,2.613
1871,4,1871.292,3.708,1.971
1871,5,1871.375,3.173,1.952
1871,6,1871.458,2.458,2.193
1871,7,1871.542,2.554,1.984
1871,8,1871.625,3.751,2.084
1871,9,1871.708,2.454,2.050
1871,10,1871.792,2.399,1.931
1871,11,1871.875,1.553,2.261
1871,12,1871.958,1.606,2.125
1872,1,1872.042,0.131,2.408
1872,2,1872.125,0.351,2.051
1872,3,1872.208,2.819,2.289
1872,4,1872.292,1.610,2.335
1872,5,1872.375,3.107,2.011
1872,6,1872.458,1.702,2.028
1872,7,1872.542,3.722,2.119
1872,8,1872.625,2.387,2.376
1872,9,1872.708,2.390,1.981
1872,10,1872.792,2.348,1.942
1872,11,1872.875,2.404,1.981
1872,12,1872.958,3.082,4.206
1873,1,1873.042,1.555,2.146
1873,2,1873.125,2.305,2.032
1873,3,1873.208,1.935,1.957
1873,4,1873.292,0.375,2.290
1873,5,1873.375,2.941,1.966
1873,6,1873.458,2.254,2.123
1873,7,1873.542,3.719,2.313
1873,8,1873.625,3.072,1.972
1873,9,1873.708,2.188,2.137
1873,10,1873.792,2.571,1.975
1873,11,1873.875,5.252,3.505
1873,12,1873.958,4.313,3.136
1874,1,1874.042,3.410,2.443
1874,2,1874.125,3.076,2.281
1874,3,1874.208,1.419,1.970
1874,4,1874.292,3.481,2.746
1874,5,1874.375,4.762,2.019
1874,6,1874.458,3.036,1.991
1874,7,1874.542,2.541,2.089
1874,8,1874.625,3.519,2.049
1874,9,1874.708,4.016,2.576
1874,10,1874.792,0.914,2.037
1874,11,1874.875,2.751,1.958
1874,12,1874.958,1.417,2.157
1875,1,1875.042,2.743,1.007
1875,2,1875.125,1.504,2.305
1875,3,1875.208,3.982,1.618
1875,4,1875.292,3.970,1.984
1875,5,1875.375,1.975,1.049
1875,6,1875.458,2.502,1.521
1875,7,1875.542,3.331,0.941
1875,8,1875.625,1.316,2.184
1875,9,1875.708,1.397,2.329
1875,10,1875.792,1.163,1.172
1875,11,1875.875,2.719,2.044
1875,12,1875.958,3.784,1.818
1876,1,1876.042,3.591,4.459
1876,2,1876.125,1.414,1.616
1876,3,1876.208,2.359,3.291
1876,4,1876.292,0.696,1.422
1876,5,1876.375,2.571,1.128
1876,6,1876.458,2.356,1.059
1876,7,1876.542,2.965,1.083
1876,8,1876.625,2.734,1.282
1876,9,1876.708,2.730,1.080
1876,10,1876.792,1.463,1.466
1876,11,1876.875,0.115,1.541
1876,12,1876.958,1.556,1.213
1877,1,1877.042,0.640,1.475
1877,2,1877.125,1.162,3.449
1877,3,1877.208,4.136,1.322
1877,4,1877.292,1.535,2.066
1877,5,1877.375,3.262,3.406
1877,6,1877.458,2.682,1.549
1877,7,1877.542,3.339,1.103
1877,8,1877.625,3.508,1.658
1877,9,1877.708,4.807,2.306
1877,10,1877.792,2.001,1.348
1877,11,1877.875,1.389,2.400
1877,12,1877.958,-5.317,4.453
1878,1,1878.042,-0.939,1.923
1878,2,1878.125,2.487,1.753
1878,3,1878.208,4.043,1.040
1878,4,1878.292,1.592,1.476
1878,5,1878.375,1.921,1.184
1878,6,1878.458,2.697,1.051
1878,7,1878.542,4.398,2.144
1878,8,1878.625,4.082,2.283
1878,9,1878.708,3.106,1.220
1878,10,1878.792,2.039,1.286
1878,11,1878.875,3.263,1.474
1878,12,1878.958,1.677,2.349
1879,1,1879.042,1.620,1.413
1879,2,1879.125,2.987,1.418
1879,3,1879.208,4.867,1.933
1879,4,1879.292,4.131,1.160
1879,5,1879.375,5.449,2.133
1879,6,1879.458,5.249,3.530
1879,7,1879.542,4.548,1.689
1879,8,1879.625,3.332,0.616
1879,9,1879.708,1.690,1.033
1879,10,1879.792,2.145,0.976
1879,11,1879.875,1.428,1.018
1879,12,1879.958,3.145,1.327
1880,1,1880.042,0.869,0.903
1880,2,1880.125,-1.569,1.991
1880,3,1880.208,3.764,1.158
1880,4,1880.292,0.349,0.871
1880,5,1880.375,3.019,0.774
1880,6,1880.458,4.037,1.293
1880,7,1880.542,2.809,0.856
1880,8,1880.625,2.722,1.051
1880,9,1880.708,2.118,1.126
1880,10,1880.792,4.501,1.437
1880,11,1880.875,3.343,1.265
1880,12,1880.958,2.069,1.640
1881,1,1881.042,5.238,2.357
1881,2,1881.125,3.254,1.213
1881,3,1881.208,3.241,0.908
1881,4,1881.292,5.138,1.501
1881,5,1881.375,3.378,1.216
1881,6,1881.458,2.084,1.177
1881,7,1881.542,3.227,1.157
1881,8,1881.625,3.224,0.940
1881,9,1881.708,2.816,1.110
1881,10,1881.792,1.499,1.099
1881,11,1881.875,1.087,0.935
1881,12,1881.958,-3.068,1.429
1882,1,1882.042,1.105,1.552
