# Monthly average temperature data for Laos.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,23.992,1.547
1840,2,1840.125,23.464,1.222
1840,3,1840.208,22.861,2.329
1840,4,1840.292,22.704,1.337
1840,5,1840.375,23.369,1.382
1840,6,1840.458,23.370,1.374
1840,7,1840.542,23.965,1.357
1840,8,1840.625,23.297,1.411
1840,9,1840.708,23.321,1.223
1840,10,1840.792,22.634,1.257
1840,11,1840.875,22.801,1.768
1840,12,1840.958,22.573,1.283
1841,1,1841.042,23.440,1.903
1841,2,1841.125,23.442,1.683
1841,3,1841.208,22.821,2.486
1841,4,1841.292,23.100,2.390
1841,5,1841.375,23.422,1.085
1841,6,1841.458,23.876,1.223
1841,7,1841.542,24.185,1.215
1841,8,1841.625,24.355,1.666
1841,9,1841.708,23.426,1.310
1841,10,1841.792,23.927,1.511
1841,11,1841.875,23.326,2.059
1841,12,1841.958,23.849,2.292
1842,1,1842.042,23.829,2.090
1842,2,1842.125,24.447,1.982
1842,3,1842.208,23.423,1.357
1842,4,1842.292,23.072,1.342
1842,5,1842.375,23.176,1.090
1842,6,1842.458,23.386,1.689
1842,7,1842.542,23.088,1.209
1842,8,1842.625,23.367,1.162
1842,9,1842.708,23.042,1.147
1842,10,1842.792,22.597,1.071
1842,11,1842.875,22.544,1.259
1842,12,1842.958,23.715,1.338
1843,1,1843.042,24.061,1.226
1843,2,1843.125,24.034,1.893
1843,3,1843.208,22.916,1.240
1843,4,1843.292,22.985,1.141
1843,5,1843.375,23.101,1.733
1843,6,1843.458,23.766,1.476
1843,7,1843.542,23.513,1.006
1843,8,1843.625,23.584,1.135
1843,9,1843.708,23.182,1.080
1843,10,1843.792,23.060,1.192
1843,11,1843.875,22.963,1.387
