# Monthly average temperature data for Latvia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.481,2.059
1750,2,1750.125,8.429,2.897
1750,3,1750.208,7.926,3.170
1750,4,1750.292,6.742,1.975
1750,5,1750.375,4.394,1.844
1750,6,1750.458,5.301,1.850
1750,7,1750.542,6.480,1.970
1750,8,1750.625,6.725,1.884
1750,9,1750.708,4.822,2.256
1750,10,1750.792,1.402,1.831
1750,11,1750.875,-1.401,1.960
1750,12,1750.958,1.586,2.147
1751,1,1751.042,4.779,2.078
1751,2,1751.125,1.348,2.282
1751,3,1751.208,7.470,2.078
1751,4,1751.292,5.381,1.795
1751,5,1751.375,4.572,1.785
1751,6,1751.458,3.802,1.879
1751,7,1751.542,6.162,1.976
1751,8,1751.625,5.723,1.787
1751,9,1751.708,4.742,1.753
1751,10,1751.792,3.606,1.584
1751,11,1751.875,2.979,1.447
1751,12,1751.958,5.010,1.856
1752,1,1752.042,3.670,1.838
1752,2,1752.125,6.850,1.738
1752,3,1752.208,7.395,1.380
1752,4,1752.292,5.655,1.728
1752,5,1752.375,5.076,1.258
1752,6,1752.458,5.180,1.110
1752,7,1752.542,7.883,1.341
1752,8,1752.625,6.511,1.627
1752,10,1752.792,4.959,1.422
1752,11,1752.875,6.324,1.364
1752,12,1752.958,5.910,1.605
1753,1,1753.042,5.529,1.705
1753,2,1753.125,5.298,2.076
1753,3,1753.208,7.830,1.999
1753,4,1753.292,6.185,2.088
1753,5,1753.375,5.246,1.111
1753,6,1753.458,4.164,1.668
1753,7,1753.542,4.945,1.733
1753,8,1753.625,4.861,1.435
1753,9,1753.708,5.513,1.258
1753,10,1753.792,6.034,1.383
1753,11,1753.875,4.587,1.236
1753,12,1753.958,-1.056,2.259
1754,1,1754.042,5.192,1.719
1754,2,1754.125,3.947,2.122
1754,3,1754.208,4.240,1.400
1754,4,1754.292,6.903,1.465
1754,5,1754.375,6.073,1.483
1754,6,1754.458,5.731,1.456
1754,7,1754.542,4.567,1.910
1754,8,1754.625,3.890,1.661
1754,9,1754.708,4.286,1.335
1754,10,1754.792,5.171,1.508
1754,11,1754.875,4.569,2.426
1754,12,1754.958,5.665,1.548
1755,1,1755.042,3.326,1.876
1755,2,1755.125,1.870,2.502
1755,3,1755.208,4.240,1.826
1755,4,1755.292,6.154,1.573
1755,5,1755.375,6.362,1.351
1755,6,1755.458,6.791,1.756
1755,7,1755.542,6.911,2.236
1755,8,1755.625,3.612,1.549
1755,9,1755.708,4.405,1.189
1755,10,1755.792,5.682,1.140
1755,11,1755.875,5.029,1.825
1755,12,1755.958,4.336,1.730
1756,1,1756.042,8.046,1.732
1756,2,1756.125,10.122,2.598
1756,3,1756.208,6.504,2.869
1756,4,1756.292,5.038,2.857
1756,5,1756.375,3.732,5.029
1756,6,1756.458,6.441,1.591
1756,7,1756.542,6.174,6.051
1756,8,1756.625,3.212,3.659
1756,9,1756.708,4.849,1.312
1756,10,1756.792,4.675,7.800
1756,11,1756.875,2.473,1.224
1756,12,1756.958,2.814,1.754
1757,1,1757.042,3.061,1.730
1757,2,1757.125,8.123,2.701
1757,3,1757.208,5.839,3.569
