# Monthly average temperature data for Lebanon.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,15.933,3.068
1819,2,1819.125,17.483,1.947
1819,3,1819.208,17.453,7.291
1819,5,1819.375,16.899,2.584
1819,6,1819.458,15.975,1.929
1819,7,1819.542,16.057,1.595
1819,8,1819.625,16.382,1.923
1820,3,1820.208,18.021,1.885
1820,5,1820.375,17.708,2.241
1820,7,1820.542,17.290,1.856
1820,8,1820.625,16.681,2.323
1820,10,1820.792,14.531,2.933
1820,11,1820.875,17.273,2.075
1821,2,1821.125,18.442,3.856
1821,3,1821.208,19.076,3.003
1821,6,1821.458,15.805,2.974
1821,7,1821.542,15.936,2.868
1821,8,1821.625,16.157,1.799
1821,11,1821.875,16.469,2.152
1821,12,1821.958,17.436,2.083
1839,12,1839.958,16.401,2.163
1840,1,1840.042,16.881,1.972
1840,2,1840.125,16.509,1.899
1840,3,1840.208,15.844,2.278
1840,4,1840.292,15.506,1.770
1840,5,1840.375,17.387,1.763
1840,6,1840.458,16.690,1.707
1840,7,1840.542,19.258,1.710
1840,8,1840.625,17.332,1.805
1840,9,1840.708,17.360,1.642
1840,10,1840.792,17.059,1.644
1840,11,1840.875,17.210,1.759
1840,12,1840.958,15.582,1.937
1841,1,1841.042,16.790,2.085
1841,2,1841.125,17.191,2.357
1841,3,1841.208,15.189,1.976
1841,4,1841.292,16.673,2.777
1841,5,1841.375,16.814,1.964
1841,6,1841.458,17.387,1.760
1843,1,1843.042,18.524,1.440
1843,2,1843.125,20.004,1.753
1843,3,1843.208,17.867,1.222
1843,4,1843.292,16.969,1.155
1843,5,1843.375,16.158,1.368
1843,6,1843.458,16.283,0.908
1843,7,1843.542,17.583,0.858
1843,8,1843.625,16.833,0.857
1843,9,1843.708,16.087,1.073
1843,10,1843.792,17.463,1.646
1843,11,1843.875,16.478,1.249
1843,12,1843.958,15.732,2.314
1844,1,1844.042,16.902,1.867
1844,2,1844.125,18.014,1.067
1844,3,1844.208,18.199,1.779
1844,4,1844.292,15.638,1.690
1844,5,1844.375,16.548,1.782
1844,6,1844.458,16.925,1.569
1844,7,1844.542,18.098,1.390
1844,8,1844.625,17.337,1.677
1844,9,1844.708,17.011,1.628
1844,10,1844.792,17.017,1.421
1844,11,1844.875,17.017,0.987
1844,12,1844.958,16.087,1.712
1845,1,1845.042,15.643,1.822
1845,2,1845.125,17.673,2.540
1845,3,1845.208,18.890,0.978
1845,4,1845.292,17.112,1.586
1845,5,1845.375,17.235,1.244
1845,6,1845.458,17.296,1.690
1845,7,1845.542,18.363,1.547
1845,8,1845.625,17.796,1.628
1845,9,1845.708,16.517,1.907
1845,10,1845.792,17.121,1.924
1845,11,1845.875,16.378,1.697
1845,12,1845.958,17.081,2.289
1846,1,1846.042,18.687,3.925
1846,2,1846.125,17.741,2.241
1846,3,1846.208,18.463,1.529
1846,4,1846.292,17.966,2.286
1846,5,1846.375,17.941,1.604
1846,6,1846.458,16.976,2.149
1846,7,1846.542,18.323,1.950
1846,8,1846.625,18.393,1.564
1846,9,1846.708,18.309,1.634
1846,10,1846.792,18.067,2.310
1846,11,1846.875,15.360,2.019
1846,12,1846.958,19.565,1.892
1847,1,1847.042,16.881,1.892
1847,2,1847.125,18.611,2.017
1847,3,1847.208,17.160,2.096
1847,4,1847.292,18.469,1.631
1847,5,1847.375,18.163,1.590
1847,6,1847.458,18.086,1.898
1847,7,1847.542,19.006,1.670
1847,8,1847.625,17.789,1.655
1847,9,1847.708,18.552,1.834
1847,10,1847.792,17.076,1.596
1847,11,1847.875,16.860,1.924
1847,12,1847.958,15.450,2.322
1848,1,1848.042,16.815,1.999
1848,2,1848.125,17.213,2.395
1848,3,1848.208,17.539,1.504
1848,4,1848.292,17.479,1.794
1848,5,1848.375,17.477,2.060
1848,6,1848.458,18.998,1.526
1848,7,1848.542,18.421,1.694
1848,8,1848.625,18.097,1.773
1848,9,1848.708,16.819,1.675
1848,10,1848.792,18.100,1.514
1848,11,1848.875,18.059,1.724
1848,12,1848.958,15.542,2.011
1849,1,1849.042,16.279,1.854
1849,2,1849.125,16.233,2.546
1849,3,1849.208,17.107,2.086
1849,4,1849.292,18.118,2.048
1849,5,1849.375,17.731,1.557
1849,6,1849.458,17.830,1.901
1849,7,1849.542,17.494,1.702
1849,8,1849.625,17.566,1.509
