# Monthly average temperature data for Lesotho.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1859,11,1859.875,12.961,0.977
1859,12,1859.958,13.349,1.660
1860,1,1860.042,12.484,1.635
1860,2,1860.125,13.670,1.497
1860,3,1860.208,12.916,2.580
1860,4,1860.292,13.010,1.177
1860,5,1860.375,13.460,1.658
1860,6,1860.458,13.795,1.340
1860,7,1860.542,12.848,1.303
1860,8,1860.625,13.917,2.382
1860,9,1860.708,12.027,1.601
1860,10,1860.792,12.867,1.677
1860,11,1860.875,11.516,2.500
1860,12,1860.958,11.924,2.151
1861,1,1861.042,12.387,1.678
1861,2,1861.125,11.166,3.555
1861,3,1861.208,11.849,2.497
1861,4,1861.292,12.967,1.610
1861,5,1861.375,12.989,1.174
1861,6,1861.458,13.748,1.059
1861,7,1861.542,13.115,1.374
1861,8,1861.625,13.546,0.868
1861,9,1861.708,14.273,2.538
1861,10,1861.792,12.721,1.553
1861,11,1861.875,12.521,1.331
1861,12,1861.958,12.712,1.312
1862,1,1862.042,11.943,1.772
1862,2,1862.125,12.694,1.407
1862,3,1862.208,12.127,1.346
1862,4,1862.292,12.936,1.719
1862,5,1862.375,13.116,1.166
1862,6,1862.458,13.154,1.373
1862,7,1862.542,13.670,1.234
1862,8,1862.625,12.398,1.687
1862,9,1862.708,12.577,0.883
1862,10,1862.792,12.583,1.468
1862,11,1862.875,12.671,1.653
1862,12,1862.958,13.243,2.047
1863,1,1863.042,13.384,1.823
1863,2,1863.125,12.814,2.691
1863,3,1863.208,12.413,1.380
1863,4,1863.292,13.481,1.017
1863,5,1863.375,12.456,1.201
1863,6,1863.458,13.679,1.518
1863,7,1863.542,13.725,1.257
1863,8,1863.625,13.021,0.848
1863,9,1863.708,12.006,1.495
1863,10,1863.792,12.770,0.829
1863,11,1863.875,12.214,1.223
1863,12,1863.958,12.947,2.442
1864,1,1864.042,13.157,1.603
1864,2,1864.125,12.758,2.048
1864,3,1864.208,11.658,2.243
1864,4,1864.292,11.533,2.837
1864,5,1864.375,13.641,1.305
1864,6,1864.458,13.186,1.344
1864,7,1864.542,12.997,1.414
1864,8,1864.625,13.478,1.394
1864,9,1864.708,13.717,1.585
1864,10,1864.792,13.234,0.880
1864,11,1864.875,12.779,1.159
1864,12,1864.958,13.652,2.250
1865,1,1865.042,13.315,1.397
1865,2,1865.125,12.897,0.880
1865,3,1865.208,13.728,1.773
1865,4,1865.292,13.576,1.750
1865,5,1865.375,13.345,0.767
1865,6,1865.458,13.393,1.353
1865,7,1865.542,14.699,2.213
1865,8,1865.625,14.460,1.252
1865,9,1865.708,13.208,1.322
1865,10,1865.792,14.182,1.482
1865,11,1865.875,12.721,1.058
1865,12,1865.958,13.042,1.484
1866,1,1866.042,14.154,1.462
1866,2,1866.125,13.568,2.706
1881,1,1881.042,13.188,1.244
1881,2,1881.125,12.816,1.047
1881,3,1881.208,12.232,1.560
1881,4,1881.292,11.129,3.718
1881,5,1881.375,12.418,1.299
1881,6,1881.458,11.993,2.799
1881,7,1881.542,10.869,4.078
1881,8,1881.625,12.153,3.059
1881,9,1881.708,13.007,1.598
1881,10,1881.792,15.069,2.668
1881,11,1881.875,13.390,2.144
1881,12,1881.958,15.427,4.949
1882,1,1882.042,14.785,1.777
1882,2,1882.125,14.713,2.500
1882,3,1882.208,11.152,3.844
1882,4,1882.292,12.055,2.209
1882,5,1882.375,11.855,2.353
1882,6,1882.458,12.478,1.642
1882,7,1882.542,12.680,1.409
1882,8,1882.625,13.424,1.331
1882,9,1882.708,13.091,0.953
1882,10,1882.792,11.803,1.500
1882,11,1882.875,12.386,1.495
1882,12,1882.958,12.411,1.394
1883,1,1883.042,11.837,2.325
1883,2,1883.125,13.752,1.791
1883,3,1883.208,12.651,1.482
1883,4,1883.292,13.620,1.102
1883,5,1883.375,13.050,0.854
1883,6,1883.458,13.442,0.877
1883,7,1883.542,12.709,1.220
1883,8,1883.625,11.508,2.563
1883,9,1883.708,13.932,2.373
1883,10,1883.792,13.420,0.864
1883,11,1883.875,13.392,1.393
1883,12,1883.958,12.799,0.997
1884,1,1884.042,12.404,2.194
1884,2,1884.125,13.001,0.934
1884,3,1884.208,11.905,0.974
1884,4,1884.292,12.081,1.650
1884,5,1884.375,13.063,0.941
1884,6,1884.458,14.239,3.167
1884,7,1884.542,10.862,3.177
1884,8,1884.625,13.223,1.253
1884,9,1884.708,11.729,1.959
1884,10,1884.792,12.849,0.882
1884,11,1884.875,12.836,1.448
1884,12,1884.958,14.090,1.633
1885,1,1885.042,12.413,1.526
1885,2,1885.125,13.512,0.973
1885,3,1885.208,11.423,1.276
1885,4,1885.292,11.612,1.283
1885,5,1885.375,12.390,0.885
1885,6,1885.458,14.019,0.576
1885,7,1885.542,13.639,1.309
1885,8,1885.625,13.765,0.786
1885,9,1885.708,13.107,0.817
1885,10,1885.792,13.366,0.813
1885,11,1885.875,13.317,0.629
1885,12,1885.958,13.755,1.287
1886,1,1886.042,13.356,1.465
1886,2,1886.125,14.280,1.523
1886,3,1886.208,12.594,0.873
1886,4,1886.292,13.781,0.624
1886,5,1886.375,13.478,2.227
1886,6,1886.458,14.196,0.596
1886,7,1886.542,12.149,0.984
1886,8,1886.625,12.757,0.880
1886,9,1886.708,13.992,1.170
1886,10,1886.792,13.144,0.756
1886,11,1886.875,12.019,1.105
1886,12,1886.958,11.782,1.163
1887,1,1887.042,12.343,1.165
1887,2,1887.125,12.529,0.713
1887,3,1887.208,12.098,1.073
1887,4,1887.292,12.234,0.904
1887,5,1887.375,12.478,0.997
1887,6,1887.458,13.186,1.383
1887,7,1887.542,12.981,1.817
1887,8,1887.625,12.845,1.290
1887,9,1887.708,13.404,1.329
1887,10,1887.792,13.114,1.146
1887,11,1887.875,12.204,1.127
1887,12,1887.958,11.990,0.773
1888,1,1888.042,11.785,0.968
1888,2,1888.125,13.122,0.597
1888,3,1888.208,12.026,0.712
1888,4,1888.292,13.203,0.590
1888,5,1888.375,12.805,0.673
1888,6,1888.458,13.868,0.824
1888,7,1888.542,13.130,1.223
1888,8,1888.625,14.408,1.381
1888,9,1888.708,12.413,1.402
1888,10,1888.792,14.336,1.198
1888,11,1888.875,12.663,1.101
1888,12,1888.958,12.995,1.235
1889,1,1889.042,13.581,0.870
1889,2,1889.125,13.165,0.887
1889,3,1889.208,12.871,0.681
1889,4,1889.292,14.277,0.625
1889,5,1889.375,13.970,0.520
1889,6,1889.458,13.891,0.770
1889,7,1889.542,12.853,1.045
1889,8,1889.625,13.438,0.736
1889,9,1889.708,13.334,0.543
1889,10,1889.792,12.945,0.555
1889,11,1889.875,13.072,0.852
1889,12,1889.958,13.401,0.686
1890,1,1890.042,12.573,0.888
1890,2,1890.125,12.862,1.667
1890,3,1890.208,12.751,0.655
1890,4,1890.292,12.145,0.806
1890,5,1890.375,11.837,2.216
1890,6,1890.458,14.341,1.286
1890,7,1890.542,13.051,0.859
1890,8,1890.625,13.708,0.756
1890,9,1890.708,14.416,0.827
1890,10,1890.792,11.559,2.236
1890,11,1890.875,12.653,2.423
1890,12,1890.958,12.234,1.844
1891,1,1891.042,12.214,1.170
1891,2,1891.125,12.448,0.547
1891,3,1891.208,12.144,0.847
1891,4,1891.292,14.176,0.411
1891,5,1891.375,13.586,0.526
1891,6,1891.458,13.957,1.904
1891,7,1891.542,14.335,0.947
1891,8,1891.625,12.566,0.944
1891,9,1891.708,12.676,0.483
1891,10,1891.792,12.583,0.841
1891,11,1891.875,13.238,0.629
1891,12,1891.958,11.182,2.148
1892,1,1892.042,13.559,0.716
1892,2,1892.125,12.834,0.584
1892,3,1892.208,13.277,0.801
1892,4,1892.292,13.182,1.221
1892,5,1892.375,13.318,0.734
1892,6,1892.458,13.585,1.090
1892,7,1892.542,12.822,0.875
1892,8,1892.625,12.570,0.396
1892,9,1892.708,12.925,0.881
1892,10,1892.792,12.484,1.493
1892,11,1892.875,12.641,0.734
1892,12,1892.958,12.123,1.981
1893,1,1893.042,12.551,0.778
1893,2,1893.125,12.904,0.534
1893,3,1893.208,13.787,0.741
1893,4,1893.292,12.886,0.820
1893,5,1893.375,12.567,0.709
1893,6,1893.458,13.678,0.602
1893,7,1893.542,13.116,0.434
1893,8,1893.625,13.810,0.741
1893,9,1893.708,12.265,1.250
1893,10,1893.792,11.580,0.871
1893,11,1893.875,13.059,0.710
1893,12,1893.958,11.852,0.542
1894,1,1894.042,12.221,1.132
1894,2,1894.125,12.588,0.731
1894,3,1894.208,13.687,0.867
1894,4,1894.292,12.106,0.535
1894,5,1894.375,13.185,0.808
1894,6,1894.458,14.076,0.893
1894,7,1894.542,13.225,0.708
1894,8,1894.625,14.133,0.783
1894,9,1894.708,12.777,0.775
1894,10,1894.792,13.155,0.673
1894,11,1894.875,13.173,0.584
1894,12,1894.958,11.589,0.450
1895,1,1895.042,11.936,0.740
1895,2,1895.125,11.967,1.242
1895,3,1895.208,13.041,0.727
1895,4,1895.292,12.824,0.474
1895,5,1895.375,13.359,0.724
1895,6,1895.458,13.085,0.556
1895,7,1895.542,14.068,1.077
1895,8,1895.625,14.119,0.867
1895,9,1895.708,12.533,0.788
1895,10,1895.792,13.403,1.006
1895,11,1895.875,14.019,0.585
1895,12,1895.958,12.556,1.020
1896,1,1896.042,12.643,0.426
1896,2,1896.125,13.748,0.553
1896,3,1896.208,14.090,0.859
1896,4,1896.292,13.823,0.855
1896,5,1896.375,13.336,0.648
1896,6,1896.458,14.469,0.776
1896,7,1896.542,13.734,0.522
1896,8,1896.625,15.224,0.766
1896,9,1896.708,14.176,0.445
1896,10,1896.792,14.582,0.755
1896,11,1896.875,12.944,0.783
1896,12,1896.958,13.399,0.656
1897,1,1897.042,11.284,2.104
1897,2,1897.125,13.080,0.664
1897,3,1897.208,12.707,0.425
1897,4,1897.292,14.649,1.519
1897,5,1897.375,14.033,0.394
1897,6,1897.458,13.442,0.415
1897,7,1897.542,14.182,0.601
1897,8,1897.625,14.039,0.743
1897,9,1897.708,13.095,0.498
1897,10,1897.792,14.128,0.582
1897,11,1897.875,12.586,1.122
1897,12,1897.958,13.359,1.191
1898,1,1898.042,12.629,2.186
1898,2,1898.125,11.855,1.608
1898,3,1898.208,13.545,0.439
1898,4,1898.292,13.159,0.878
1898,5,1898.375,13.120,1.119
1898,6,1898.458,13.149,0.817
1898,7,1898.542,12.772,0.969
1898,8,1898.625,13.041,0.927
1898,9,1898.708,12.558,0.366
1898,10,1898.792,11.906,1.118
1898,11,1898.875,13.692,0.570
1898,12,1898.958,12.747,1.350
1899,1,1899.042,13.079,0.516
1899,2,1899.125,13.961,1.600
1899,3,1899.208,13.082,0.536
1899,4,1899.292,12.995,0.941
1899,5,1899.375,11.622,0.435
1899,6,1899.458,13.303,1.416
1899,7,1899.542,13.677,0.357
1899,8,1899.625,14.621,0.492
1899,9,1899.708,14.384,1.536
1899,10,1899.792,12.836,0.581
1899,11,1899.875,11.967,1.235
1899,12,1899.958,13.282,0.649
1900,1,1900.042,12.616,0.579
1900,2,1900.125,13.382,0.942
1900,3,1900.208,13.397,0.407
1900,4,1900.292,15.019,0.707
1900,5,1900.375,14.928,1.599
1900,6,1900.458,14.396,1.016
1900,7,1900.542,14.306,0.452
1900,8,1900.625,13.024,0.923
1900,9,1900.708,14.388,1.144
1900,10,1900.792,13.522,0.739
1900,11,1900.875,13.459,0.385
1900,12,1900.958,12.459,1.509
1901,1,1901.042,13.533,0.435
1901,2,1901.125,13.632,0.572
1901,3,1901.208,12.088,0.626
1901,4,1901.292,14.420,0.796
1901,5,1901.375,12.780,0.486
1901,6,1901.458,14.072,1.150
1901,7,1901.542,13.103,1.005
1901,8,1901.625,14.227,1.153
1901,9,1901.708,12.208,0.681
1901,10,1901.792,11.933,0.982
1901,11,1901.875,12.530,0.495
1901,12,1901.958,12.995,1.077
1902,1,1902.042,12.079,0.714
1902,2,1902.125,13.420,0.626
1902,3,1902.208,12.485,1.273
1902,4,1902.292,12.795,0.778
1902,5,1902.375,14.079,0.892
1902,6,1902.458,12.766,0.587
