# Monthly average temperature data for Liberia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,25.083,1.140
1849,2,1849.125,24.968,1.465
1849,3,1849.208,25.361,1.626
1849,4,1849.292,24.357,0.930
1849,5,1849.375,24.464,0.833
1849,6,1849.458,24.857,0.876
1849,7,1849.542,24.985,1.585
1849,8,1849.625,24.912,0.834
1849,9,1849.708,24.588,0.710
1849,10,1849.792,25.033,0.846
1849,11,1849.875,25.033,1.699
1849,12,1849.958,24.903,2.376
1850,1,1850.042,24.654,1.486
1850,2,1850.125,25.351,1.696
1850,3,1850.208,25.264,1.287
1850,4,1850.292,24.703,1.104
1850,5,1850.375,24.500,1.141
1850,6,1850.458,25.101,0.766
1850,7,1850.542,24.984,1.528
1850,8,1850.625,25.104,1.163
1850,9,1850.708,24.911,0.817
1850,10,1850.792,24.410,0.908
1850,11,1850.875,24.571,1.237
1850,12,1850.958,25.293,0.922
1851,1,1851.042,25.364,0.749
1851,2,1851.125,24.882,1.132
1851,3,1851.208,24.795,0.971
1851,4,1851.292,24.894,1.188
1851,5,1851.375,24.948,1.028
1851,6,1851.458,24.808,1.159
1851,7,1851.542,25.223,1.114
1851,8,1851.625,25.032,0.763
1851,9,1851.708,24.768,1.012
1851,10,1851.792,24.855,1.654
1851,11,1851.875,24.520,1.131
1851,12,1851.958,25.030,1.243
1857,9,1857.708,26.197,2.643
1858,3,1858.208,24.516,1.008
1858,4,1858.292,25.083,1.406
1858,5,1858.375,24.731,1.029
1858,6,1858.458,26.010,1.262
1858,7,1858.542,25.431,1.129
1858,8,1858.625,25.685,1.623
1858,9,1858.708,25.429,1.570
1858,11,1858.875,25.089,0.894
1858,12,1858.958,24.049,1.334
1859,1,1859.042,24.857,1.201
1859,3,1859.208,24.747,1.479
1859,4,1859.292,27.073,1.890
1859,5,1859.375,26.764,2.347
1859,6,1859.458,26.411,1.789
1859,9,1859.708,25.020,0.821
1860,1,1860.042,24.934,1.702
1860,2,1860.125,24.827,1.403
1860,3,1860.208,25.512,1.918
1860,5,1860.375,24.688,1.389
1860,6,1860.458,25.098,1.018
1860,7,1860.542,24.940,1.544
1860,8,1860.625,25.290,1.041
1860,9,1860.708,24.659,1.644
1860,10,1860.792,24.232,2.267
1860,11,1860.875,23.628,1.867
1862,1,1862.042,24.041,1.498
1862,2,1862.125,23.357,0.907
1862,3,1862.208,23.892,1.553
1862,4,1862.292,23.942,1.777
1873,7,1873.542,25.678,1.154
1873,8,1873.625,25.513,0.779
1873,9,1873.708,25.701,0.642
1873,10,1873.792,25.090,0.692
1873,12,1873.958,25.194,0.644
1874,1,1874.042,24.700,0.780
1874,2,1874.125,24.926,0.727
1874,3,1874.208,24.167,0.690
1874,4,1874.292,25.572,0.669
1874,5,1874.375,24.883,0.944
1874,7,1874.542,25.100,0.689
1874,8,1874.625,24.903,0.705
1874,9,1874.708,25.433,0.685
1874,10,1874.792,25.073,1.670
1874,11,1874.875,24.511,1.163
1874,12,1874.958,24.679,1.203
1875,1,1875.042,24.317,1.521
1875,2,1875.125,24.603,1.278
1875,3,1875.208,24.687,0.758
1875,4,1875.292,24.872,0.933
1875,5,1875.375,24.570,0.963
1875,6,1875.458,25.047,0.701
1875,7,1875.542,24.747,1.860
1875,8,1875.625,24.659,1.442
1875,9,1875.708,24.843,1.412
1875,10,1875.792,24.866,0.480
1875,11,1875.875,23.916,1.181
1875,12,1875.958,24.225,0.724
1876,1,1876.042,24.590,0.654
1876,2,1876.125,24.383,1.444
1876,3,1876.208,25.050,1.034
1876,4,1876.292,25.327,1.584
1876,5,1876.375,24.567,1.261
1876,6,1876.458,25.471,0.944
1876,7,1876.542,24.914,1.732
