# Monthly average temperature data for Libya.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,19.614,3.435
1819,2,1819.125,20.836,3.764
1819,3,1819.208,21.226,5.484
1819,5,1819.375,22.297,2.578
1819,6,1819.458,21.551,3.064
1819,7,1819.542,21.681,1.975
1819,8,1819.625,21.758,2.466
1820,1,1820.042,21.574,3.013
1820,2,1820.125,22.334,1.895
1820,3,1820.208,21.102,2.174
1820,4,1820.292,22.598,2.361
1820,5,1820.375,23.717,1.553
1820,6,1820.458,22.413,1.608
1820,7,1820.542,22.748,1.816
1820,8,1820.625,21.345,2.318
1820,9,1820.708,22.781,2.059
1820,10,1820.792,20.944,1.822
1820,11,1820.875,20.771,1.716
1821,1,1821.042,23.024,2.676
1821,2,1821.125,21.085,3.688
1821,3,1821.208,22.636,2.729
1821,4,1821.292,21.925,1.708
1821,5,1821.375,23.819,2.562
1821,6,1821.458,21.221,2.563
1821,7,1821.542,21.235,2.580
1821,8,1821.625,20.786,1.820
1821,9,1821.708,20.626,2.204
1821,10,1821.792,20.883,1.918
1821,11,1821.875,19.767,2.086
1821,12,1821.958,21.267,1.710
1861,1,1861.042,21.645,2.191
1861,2,1861.125,22.161,1.948
1861,3,1861.208,21.481,2.054
1861,4,1861.292,22.030,2.088
1861,5,1861.375,21.379,1.764
1861,7,1861.542,22.397,1.647
1861,8,1861.625,21.986,1.556
1864,1,1864.042,20.762,1.719
1864,2,1864.125,22.366,2.168
1864,3,1864.208,23.435,2.042
1864,4,1864.292,21.154,2.099
1864,5,1864.375,22.645,1.670
1864,6,1864.458,22.232,1.955
1864,7,1864.542,23.228,1.816
1864,8,1864.625,21.792,1.603
1864,9,1864.708,21.338,2.176
1864,10,1864.792,22.796,1.973
1864,11,1864.875,22.731,1.974
1864,12,1864.958,21.586,1.968
1865,1,1865.042,22.903,1.549
1865,2,1865.125,21.051,1.421
1865,3,1865.208,21.936,1.425
1865,4,1865.292,21.172,1.610
1865,5,1865.375,22.373,1.532
1865,6,1865.458,22.160,1.567
1865,7,1865.542,22.694,1.512
1865,8,1865.625,22.958,1.504
1865,9,1865.708,21.788,1.558
1865,10,1865.792,23.105,1.521
1865,11,1865.875,22.266,1.543
1865,12,1865.958,21.508,1.626
1866,1,1866.042,21.902,1.807
1866,2,1866.125,22.056,2.009
1866,3,1866.208,22.956,1.988
1866,4,1866.292,22.528,1.737
1866,5,1866.375,22.759,1.553
1866,6,1866.458,21.282,1.577
1866,7,1866.542,23.421,1.535
1866,8,1866.625,21.975,1.552
1866,9,1866.708,22.314,1.544
1866,10,1866.792,22.457,1.515
1866,11,1866.875,22.207,1.409
1866,12,1866.958,22.391,1.442
1867,1,1867.042,22.359,1.628
1867,2,1867.125,21.431,1.802
1867,3,1867.208,23.931,1.473
1867,4,1867.292,22.683,1.442
1867,5,1867.375,22.676,1.495
1867,6,1867.458,22.297,1.397
1867,7,1867.542,22.946,1.711
1867,8,1867.625,22.614,1.670
1867,9,1867.708,22.949,1.440
1867,10,1867.792,22.574,1.553
1867,11,1867.875,22.293,1.678
1867,12,1867.958,20.950,1.782
1868,1,1868.042,21.484,1.465
1868,2,1868.125,20.444,1.825
1868,3,1868.208,21.060,1.710
1868,4,1868.292,21.322,1.661
1868,5,1868.375,22.655,1.495
1868,6,1868.458,21.577,1.398
1868,7,1868.542,22.852,1.432
1868,8,1868.625,22.471,1.459
1868,9,1868.708,21.966,1.518
1868,10,1868.792,22.871,1.622
1868,11,1868.875,20.714,1.451
1868,12,1868.958,21.673,1.976
1869,1,1869.042,21.204,1.889
1869,2,1869.125,21.823,2.011
1869,3,1869.208,21.074,1.872
1869,4,1869.292,21.236,1.392
1869,5,1869.375,23.284,1.430
1869,6,1869.458,23.071,1.516
1869,7,1869.542,23.018,1.402
1869,8,1869.625,22.376,1.425
1869,9,1869.708,22.691,1.375
1869,10,1869.792,21.694,1.426
1869,11,1869.875,21.684,1.485
1869,12,1869.958,22.006,1.529
1870,1,1870.042,21.364,1.636
1870,2,1870.125,21.928,1.631
1870,3,1870.208,21.913,1.342
1870,4,1870.292,20.995,1.499
1870,5,1870.375,23.106,1.383
1870,6,1870.458,22.478,1.620
1870,7,1870.542,23.186,1.483
1870,8,1870.625,22.773,1.415
1870,9,1870.708,22.106,1.310
1870,10,1870.792,22.023,1.446
1870,11,1870.875,22.284,1.690
1870,12,1870.958,21.723,1.486
1871,1,1871.042,21.020,1.503
1871,2,1871.125,20.346,1.892
1871,3,1871.208,21.321,1.743
1871,4,1871.292,22.541,1.465
1871,5,1871.375,22.881,1.486
1871,6,1871.458,21.825,1.396
1871,7,1871.542,22.784,1.405
1871,8,1871.625,22.363,1.371
1871,9,1871.708,22.745,1.352
1871,10,1871.792,23.379,1.337
1871,11,1871.875,21.832,1.634
1871,12,1871.958,21.529,1.496
1872,1,1872.042,21.278,1.494
1872,2,1872.125,21.754,1.555
1872,3,1872.208,22.479,1.487
1872,4,1872.292,22.108,1.468
1872,5,1872.375,22.409,1.430
1872,6,1872.458,21.585,1.419
1872,7,1872.542,22.500,1.503
1872,8,1872.625,22.356,1.402
1872,9,1872.708,22.482,1.341
1872,10,1872.792,22.815,1.386
1872,11,1872.875,21.792,1.447
1872,12,1872.958,22.078,1.566
1873,1,1873.042,21.867,1.535
1873,2,1873.125,21.491,1.606
1873,3,1873.208,22.432,1.349
1873,4,1873.292,22.457,1.393
1873,5,1873.375,21.754,1.274
1873,6,1873.458,21.359,1.401
1873,7,1873.542,22.646,1.456
1873,8,1873.625,22.570,1.279
1873,9,1873.708,21.932,1.301
1873,10,1873.792,22.452,1.279
1873,11,1873.875,22.200,1.514
1873,12,1873.958,21.918,1.312
1874,1,1874.042,21.939,1.307
1874,2,1874.125,20.676,1.366
1874,3,1874.208,20.011,1.498
1874,4,1874.292,22.060,1.346
1874,5,1874.375,22.013,1.529
1874,6,1874.458,22.631,1.429
1874,7,1874.542,22.781,1.286
1874,8,1874.625,21.721,1.340
1874,9,1874.708,22.469,1.356
1874,10,1874.792,22.631,1.320
1874,11,1874.875,21.603,1.346
1874,12,1874.958,21.368,1.465
1875,1,1875.042,20.580,1.456
1875,2,1875.125,21.050,1.554
1875,3,1875.208,21.541,1.498
1875,4,1875.292,20.959,1.392
1875,5,1875.375,22.165,1.348
1875,6,1875.458,22.080,1.478
1875,7,1875.542,22.796,1.532
1875,8,1875.625,22.427,1.317
1875,9,1875.708,21.562,1.384
1875,10,1875.792,21.633,1.303
1875,11,1875.875,21.063,1.614
