# Monthly average temperature data for Liechtenstein.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,2.853,1.511
1750,2,1750.125,4.680,2.063
1750,3,1750.208,6.812,2.650
1750,4,1750.292,5.078,1.168
1750,5,1750.375,3.565,1.232
1750,6,1750.458,5.009,1.252
1750,7,1750.542,5.139,1.437
1750,8,1750.625,5.058,1.100
1750,9,1750.708,4.441,2.096
1750,10,1750.792,3.645,1.073
1750,11,1750.875,1.532,1.172
1750,12,1750.958,2.578,1.473
1751,1,1751.042,2.887,1.574
1751,2,1751.125,1.661,1.423
1751,3,1751.208,5.579,1.170
1751,4,1751.292,2.963,1.100
1751,5,1751.375,3.791,1.248
1751,6,1751.458,4.314,1.313
1751,7,1751.542,5.325,1.293
1751,8,1751.625,5.746,0.991
1751,9,1751.708,4.183,0.944
1751,10,1751.792,3.492,1.234
1751,11,1751.875,1.519,1.354
1751,12,1751.958,2.533,1.981
1752,1,1752.042,3.888,1.568
1752,2,1752.125,5.492,1.414
1752,3,1752.208,4.597,1.085
1752,4,1752.292,3.651,1.225
1752,5,1752.375,3.799,1.155
1752,6,1752.458,6.641,1.006
1752,7,1752.542,4.891,1.198
1752,8,1752.625,3.729,1.478
1752,10,1752.792,4.210,1.156
1752,11,1752.875,4.340,1.305
1752,12,1752.958,3.691,1.733
1753,1,1753.042,2.017,1.468
1753,2,1753.125,3.777,1.960
1753,3,1753.208,5.495,1.161
1753,4,1753.292,5.022,1.391
1753,5,1753.375,4.947,0.613
1753,6,1753.458,6.360,1.381
1753,7,1753.542,5.263,1.193
1753,8,1753.625,3.720,1.096
1753,9,1753.708,4.245,0.789
1753,10,1753.792,4.294,0.887
1753,11,1753.875,2.867,0.997
1753,12,1753.958,4.011,3.514
1754,1,1754.042,3.351,1.798
1754,2,1754.125,2.213,1.915
1754,3,1754.208,0.788,0.550
1754,4,1754.292,4.358,1.118
1754,5,1754.375,5.701,0.861
1754,6,1754.458,5.484,0.981
1754,7,1754.542,3.897,1.252
1754,8,1754.625,5.165,1.078
1754,9,1754.708,4.005,1.248
1754,10,1754.792,5.563,1.237
1754,11,1754.875,5.553,2.204
1754,12,1754.958,4.391,1.259
1755,1,1755.042,-0.074,1.095
1755,2,1755.125,0.393,1.609
1755,3,1755.208,3.657,1.001
1755,4,1755.292,8.422,1.850
1755,5,1755.375,4.650,0.861
1755,6,1755.458,7.383,1.904
1755,7,1755.542,4.731,2.735
1755,8,1755.625,3.382,1.140
1755,9,1755.708,3.156,0.881
1755,10,1755.792,3.985,0.530
1755,11,1755.875,3.446,2.766
1755,12,1755.958,4.938,1.146
1756,1,1756.042,5.547,2.133
1756,2,1756.125,5.678,5.055
1756,3,1756.208,4.803,3.157
1756,4,1756.292,3.664,2.441
1756,5,1756.375,4.449,5.565
1756,6,1756.458,6.673,2.142
1756,7,1756.542,4.817,8.421
1756,8,1756.625,4.904,2.165
1756,9,1756.708,4.863,1.082
1756,10,1756.792,3.715,9.838
1756,11,1756.875,1.929,0.635
1756,12,1756.958,2.542,1.603
1757,1,1757.042,2.008,1.555
1757,2,1757.125,4.271,2.898
1757,3,1757.208,3.821,4.202
1757,4,1757.292,5.510,1.716
1757,5,1757.375,5.631,1.740
1757,6,1757.458,6.384,1.632
1757,7,1757.542,7.447,3.321
1757,8,1757.625,5.774,4.662
1757,9,1757.708,2.975,6.862
1757,10,1757.792,0.737,6.885
1757,11,1757.875,3.783,9.166
1757,12,1757.958,3.074,1.294
1758,1,1758.042,0.714,7.303
1758,2,1758.125,2.790,2.996
1758,3,1758.208,4.477,1.352
1758,4,1758.292,4.116,3.589
1758,5,1758.375,5.453,6.126
1758,6,1758.458,5.885,4.430
1758,7,1758.542,2.330,4.429
1758,8,1758.625,4.147,6.754
1758,9,1758.708,2.444,2.291
1758,10,1758.792,2.166,0.709
1758,11,1758.875,4.167,1.948
1758,12,1758.958,5.022,1.224
1759,1,1759.042,6.028,1.709
1759,2,1759.125,5.989,6.821
1759,3,1759.208,4.769,4.382
1759,4,1759.292,5.010,5.464
1759,5,1759.375,4.365,4.367
1759,6,1759.458,5.169,4.676
1759,7,1759.542,6.421,5.029
1759,8,1759.625,4.533,1.267
1759,9,1759.708,4.484,2.777
1759,10,1759.792,5.004,6.563
1759,11,1759.875,0.824,7.439
1759,12,1759.958,3.147,3.226
1760,1,1760.042,3.463,6.376
1760,2,1760.125,3.352,9.487
1760,3,1760.208,2.911,3.225
1760,4,1760.292,6.583,1.019
1760,5,1760.375,5.258,2.936
1760,6,1760.458,5.643,1.435
1760,7,1760.542,5.044,1.444
1760,8,1760.625,4.056,7.044
1760,9,1760.708,4.132,1.776
1760,10,1760.792,4.350,1.507
1760,11,1760.875,4.328,7.559
1760,12,1760.958,5.912,3.988
1761,1,1761.042,2.776,1.664
1761,2,1761.125,5.329,4.276
1761,3,1761.208,5.934,1.335
1761,4,1761.292,4.551,1.105
1761,5,1761.375,6.245,2.345
1761,6,1761.458,5.509,2.375
1761,7,1761.542,5.355,0.897
1761,8,1761.625,5.529,3.090
1761,9,1761.708,5.488,3.300
1761,10,1761.792,2.265,2.798
1761,11,1761.875,3.537,9.971
1761,12,1761.958,1.447,1.759
1762,1,1762.042,5.056,10.317
1762,2,1762.125,3.631,2.858
1762,3,1762.208,1.339,6.827
1762,4,1762.292,7.173,2.935
1762,5,1762.375,6.180,4.886
1762,6,1762.458,4.523,3.245
1762,7,1762.542,5.845,3.686
1762,8,1762.625,4.159,3.163
1762,9,1762.708,3.919,3.703
1762,10,1762.792,2.561,5.869
1762,11,1762.875,3.281,1.587
1762,12,1762.958,0.550,2.938
1763,1,1763.042,0.276,8.021
1763,2,1763.125,6.458,8.203
1763,3,1763.208,3.099,3.963
1763,4,1763.292,4.328,4.427
1763,5,1763.375,3.045,5.602
1763,6,1763.458,4.261,7.285
1763,7,1763.542,4.918,1.610
1763,8,1763.625,5.859,5.060
1763,9,1763.708,3.054,5.284
1763,10,1763.792,2.112,1.315
1763,11,1763.875,3.209,4.141
1763,12,1763.958,5.520,3.025
1764,1,1764.042,6.352,3.290
1764,2,1764.125,6.613,2.800
1764,3,1764.208,2.499,2.769
1764,4,1764.292,3.728,7.969
1764,5,1764.375,6.619,1.488
1764,6,1764.458,5.043,5.487
1764,7,1764.542,5.127,5.371
1764,8,1764.625,3.031,1.076
1764,9,1764.708,2.559,5.554
1764,10,1764.792,2.295,3.009
1764,11,1764.875,3.450,4.369
1764,12,1764.958,4.975,3.916
1765,1,1765.042,7.266,10.972
1765,2,1765.125,2.089,4.059
1765,3,1765.208,5.558,3.059
1765,4,1765.292,5.056,1.548
1765,5,1765.375,4.011,1.530
1765,6,1765.458,5.169,4.704
1765,7,1765.542,2.478,5.413
1765,8,1765.625,3.991,2.792
1765,9,1765.708,3.740,0.954
1765,10,1765.792,4.426,1.265
1765,11,1765.875,3.792,3.291
1765,12,1765.958,2.508,1.955
1766,1,1766.042,-0.054,9.216
1766,2,1766.125,2.156,3.026
1766,3,1766.208,4.165,2.281
1766,4,1766.292,5.685,4.417
1766,5,1766.375,5.341,3.470
1766,6,1766.458,5.436,8.981
1766,7,1766.542,3.399,5.199
1766,8,1766.625,4.623,3.748
1766,9,1766.708,4.113,2.939
1766,10,1766.792,3.624,3.080
1766,11,1766.875,5.132,4.310
1766,12,1766.958,2.717,4.401
1767,1,1767.042,-2.327,7.430
1767,2,1767.125,6.521,9.796
1767,3,1767.208,4.176,8.389
1767,4,1767.292,2.971,7.307
1767,5,1767.375,3.427,2.361
1767,6,1767.458,3.580,4.650
1767,7,1767.542,4.808,5.571
1767,8,1767.625,4.229,2.539
1767,9,1767.708,3.787,3.964
1767,10,1767.792,3.961,3.815
1767,11,1767.875,5.604,11.321
1767,12,1767.958,1.711,5.266
1768,1,1768.042,0.741,6.089
1768,2,1768.125,2.761,7.614
1768,3,1768.208,2.499,5.690
1768,4,1768.292,4.794,1.975
1768,5,1768.375,4.905,3.039
1768,6,1768.458,3.603,2.173
1768,7,1768.542,4.959,2.822
1768,8,1768.625,4.909,2.112
1768,9,1768.708,2.851,3.362
1768,10,1768.792,3.461,2.571
1768,11,1768.875,4.273,6.022
1768,12,1768.958,3.054,9.558
1769,1,1769.042,5.561,8.490
1769,2,1769.125,3.854,5.882
1769,3,1769.208,3.379,6.014
1769,4,1769.292,4.837,5.656
1769,5,1769.375,4.474,6.424
1769,6,1769.458,4.246,2.877
1769,7,1769.542,4.116,2.258
1769,8,1769.625,3.861,4.438
1769,9,1769.708,4.187,0.730
1769,10,1769.792,0.000,2.954
1769,11,1769.875,4.950,1.366
1769,12,1769.958,4.266,4.057
1770,1,1770.042,2.936,7.366
1770,2,1770.125,4.127,3.537
1770,3,1770.208,2.278,2.174
1770,4,1770.292,2.867,7.402
1770,5,1770.375,4.353,1.563
1770,6,1770.458,4.100,5.750
1770,7,1770.542,3.239,2.324
1770,8,1770.625,4.457,5.443
1770,9,1770.708,5.489,2.372
1770,10,1770.792,3.750,3.554
1770,11,1770.875,4.709,8.742
1770,12,1770.958,4.737,5.583
1771,1,1771.042,4.514,2.237
1771,2,1771.125,2.556,1.919
1771,3,1771.208,2.221,3.628
1771,4,1771.292,1.558,4.727
1771,5,1771.375,6.908,9.021
1771,6,1771.458,3.554,2.587
1771,7,1771.542,4.575,1.310
1771,8,1771.625,3.943,2.784
1771,9,1771.708,4.199,2.147
1771,10,1771.792,3.905,1.078
1771,11,1771.875,1.611,2.429
1771,12,1771.958,5.454,3.708
1772,1,1772.042,4.953,9.253
1772,2,1772.125,7.084,12.072
1772,3,1772.208,6.159,2.914
1772,4,1772.292,4.453,3.328
1772,5,1772.375,3.210,1.127
1772,6,1772.458,6.330,7.156
1772,7,1772.542,4.943,3.589
1772,8,1772.625,4.715,4.854
1772,9,1772.708,5.081,3.631
1772,10,1772.792,5.475,2.039
1772,11,1772.875,6.184,6.811
1772,12,1772.958,5.365,4.089
1773,1,1773.042,5.965,2.291
1773,2,1773.125,2.834,3.743
1773,3,1773.208,3.336,2.509
1773,4,1773.292,4.363,2.470
1773,5,1773.375,5.112,2.537
1773,6,1773.458,3.835,2.343
1773,7,1773.542,2.962,2.322
1773,8,1773.625,3.738,2.323
1773,9,1773.708,4.877,2.392
1773,10,1773.792,5.391,2.415
1773,11,1773.875,4.331,7.957
1773,12,1773.958,6.567,5.369
1774,1,1774.042,4.170,7.537
1774,2,1774.125,4.806,7.891
1774,3,1774.208,5.806,2.942
1774,4,1774.292,6.281,6.494
1774,5,1774.375,5.026,1.897
1774,6,1774.458,5.158,10.664
1774,7,1774.542,4.176,9.990
1774,8,1774.625,5.834,2.732
