# Monthly average temperature data for Lithuania.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.576,1.997
1750,2,1750.125,8.825,2.793
1750,3,1750.208,8.714,3.065
1750,4,1750.292,7.159,1.873
1750,5,1750.375,4.964,1.764
1750,6,1750.458,5.894,1.786
1750,7,1750.542,7.011,1.937
1750,8,1750.625,7.139,1.830
1750,9,1750.708,5.479,2.148
1750,10,1750.792,2.377,1.738
1750,11,1750.875,-0.415,1.869
1750,12,1750.958,2.470,2.056
1751,1,1751.042,5.237,2.020
1751,2,1751.125,2.208,2.199
1751,3,1751.208,8.125,1.976
1751,4,1751.292,5.575,1.712
1751,5,1751.375,5.200,1.697
1751,6,1751.458,4.587,1.802
1751,7,1751.542,6.787,1.903
1751,8,1751.625,6.439,1.694
1751,9,1751.708,5.431,1.673
1751,10,1751.792,4.263,1.546
1751,11,1751.875,3.420,1.485
1751,12,1751.958,5.329,1.923
1752,1,1752.042,4.520,1.832
1752,2,1752.125,7.420,1.722
1752,3,1752.208,7.847,1.378
1752,4,1752.292,5.950,1.705
1752,5,1752.375,5.490,1.287
1752,6,1752.458,6.065,1.167
1752,7,1752.542,8.145,1.379
1752,8,1752.625,6.736,1.660
1752,10,1752.792,5.593,1.429
1752,11,1752.875,6.646,1.404
1752,12,1752.958,6.227,1.663
1753,1,1753.042,5.885,1.711
1753,2,1753.125,5.808,2.053
1753,3,1753.208,8.414,1.909
1753,4,1753.292,6.722,2.178
1753,5,1753.375,5.855,1.160
1753,6,1753.458,4.935,1.766
1753,7,1753.542,5.572,1.789
1753,8,1753.625,5.338,1.489
1753,9,1753.708,5.964,1.294
1753,10,1753.792,6.464,1.417
1753,11,1753.875,4.878,1.272
1753,12,1753.958,0.165,2.240
1754,1,1754.042,5.774,1.726
1754,2,1754.125,4.600,2.054
1754,3,1754.208,4.617,1.396
1754,4,1754.292,7.209,1.485
1754,5,1754.375,6.777,1.459
1754,6,1754.458,6.257,1.554
1754,7,1754.542,5.074,2.038
1754,8,1754.625,4.636,1.752
1754,9,1754.708,4.842,1.419
1754,10,1754.792,5.951,1.495
1754,11,1754.875,5.274,2.401
1754,12,1754.958,6.151,1.549
1755,1,1755.042,3.703,2.047
1755,2,1755.125,2.289,2.695
1755,3,1755.208,5.027,1.862
1755,4,1755.292,7.052,1.637
1755,5,1755.375,6.762,1.437
1755,6,1755.458,7.449,1.789
1755,7,1755.542,7.301,2.310
1755,8,1755.625,4.308,1.532
1755,9,1755.708,4.856,1.211
1755,10,1755.792,6.160,1.217
1755,11,1755.875,5.260,1.919
1755,12,1755.958,5.216,1.842
1756,1,1756.042,8.545,1.937
1756,2,1756.125,10.300,3.080
1756,3,1756.208,7.232,2.901
1756,4,1756.292,5.517,2.815
1756,5,1756.375,4.517,5.243
1756,6,1756.458,7.209,1.677
1756,7,1756.542,6.803,6.563
1756,8,1756.625,4.139,3.459
1756,9,1756.708,5.627,1.450
1756,10,1756.792,5.399,8.093
1756,11,1756.875,3.070,1.307
1756,12,1756.958,3.496,1.719
1757,1,1757.042,3.929,1.685
1757,2,1757.125,8.535,2.989
1757,3,1757.208,6.549,3.785
1757,4,1757.292,8.164,1.962
1757,5,1757.375,5.811,1.872
1757,6,1757.458,8.191,1.698
1757,7,1757.542,9.864,2.015
1757,8,1757.625,7.047,3.744
1757,9,1757.708,6.268,5.481
1757,10,1757.792,1.041,4.636
1757,11,1757.875,5.810,6.860
1757,12,1757.958,3.015,3.655
1758,1,1758.042,1.812,4.583
1758,2,1758.125,4.409,3.346
1758,3,1758.208,5.212,1.800
1758,4,1758.292,4.835,3.307
1758,5,1758.375,5.751,5.533
1758,6,1758.458,5.534,3.818
1758,7,1758.542,5.239,4.181
1758,8,1758.625,4.906,5.633
1758,9,1758.708,3.599,2.038
1758,10,1758.792,2.636,1.322
1758,11,1758.875,4.985,1.615
1758,12,1758.958,4.270,1.537
1759,1,1759.042,9.179,2.222
1759,2,1759.125,9.255,5.711
1759,3,1759.208,7.183,3.294
1759,4,1759.292,5.453,4.332
1759,5,1759.375,3.640,3.553
1759,6,1759.458,6.898,3.697
1759,7,1759.542,6.566,4.634
1759,8,1759.625,6.861,1.448
1759,9,1759.708,4.996,2.669
1759,10,1759.792,4.420,5.922
1759,11,1759.875,2.779,6.352
1759,12,1759.958,0.543,2.493
1760,1,1760.042,0.534,3.143
1760,2,1760.125,6.370,7.469
1760,3,1760.208,4.140,2.067
1760,4,1760.292,4.399,1.834
1760,5,1760.375,5.825,2.516
1760,6,1760.458,6.059,1.540
1760,7,1760.542,5.816,1.460
1760,8,1760.625,5.193,5.760
1760,9,1760.708,6.539,1.957
1760,10,1760.792,3.797,1.600
1760,11,1760.875,4.890,5.961
1760,12,1760.958,4.540,3.158
