# Monthly average temperature data for Luxembourg.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,7.682,1.595
1750,2,1750.125,10.639,2.192
1750,3,1750.208,11.605,2.698
1750,4,1750.292,9.532,1.297
1750,5,1750.375,8.812,1.280
1750,6,1750.458,9.318,1.380
1750,7,1750.542,10.258,1.519
1750,8,1750.625,9.239,1.232
1750,9,1750.708,9.262,2.046
1750,10,1750.792,7.310,1.172
1750,11,1750.875,6.082,1.290
1750,12,1750.958,7.461,1.542
1751,1,1751.042,8.285,1.673
1751,2,1751.125,6.212,1.678
1751,3,1751.208,10.144,1.388
1751,4,1751.292,8.018,1.206
1751,5,1751.375,8.254,1.351
1751,6,1751.458,9.007,1.413
1751,7,1751.542,9.463,1.468
1751,8,1751.625,9.544,1.114
1751,9,1751.708,8.100,1.055
1751,10,1751.792,7.662,1.388
1751,11,1751.875,6.485,1.471
1751,12,1751.958,7.789,1.991
1752,1,1752.042,8.920,1.525
1752,2,1752.125,9.484,1.633
1752,3,1752.208,9.266,1.288
1752,4,1752.292,8.383,1.299
1752,5,1752.375,8.302,1.299
1752,6,1752.458,10.780,1.164
1752,7,1752.542,9.414,1.350
1752,8,1752.625,8.686,1.559
1752,10,1752.792,8.460,1.302
1752,11,1752.875,9.269,1.418
1752,12,1752.958,8.946,1.772
1753,1,1753.042,6.093,1.963
1753,2,1753.125,8.840,2.593
1753,3,1753.208,10.403,1.667
1753,4,1753.292,9.336,1.607
1753,5,1753.375,9.353,0.895
1753,6,1753.458,10.794,1.538
1753,7,1753.542,9.680,1.429
1753,8,1753.625,7.950,1.453
1753,9,1753.708,9.024,0.904
1753,10,1753.792,8.988,1.088
1753,11,1753.875,7.507,1.240
1753,12,1753.958,8.945,5.143
1754,1,1754.042,8.347,2.237
1754,2,1754.125,7.272,2.442
1754,3,1754.208,5.598,0.885
1754,4,1754.292,8.386,1.328
1754,5,1754.375,10.223,1.088
1754,6,1754.458,9.321,1.270
1754,7,1754.542,8.111,1.480
1754,8,1754.625,9.482,1.406
1754,9,1754.708,8.570,1.639
1754,10,1754.792,9.794,1.356
1754,11,1754.875,9.775,2.412
1754,12,1754.958,8.708,1.449
1755,1,1755.042,4.557,1.436
1755,2,1755.125,5.219,2.027
1755,3,1755.208,7.834,1.368
1755,4,1755.292,12.451,1.710
1755,5,1755.375,8.588,1.121
1755,6,1755.458,11.680,2.127
1755,7,1755.542,9.389,2.819
1755,8,1755.625,7.788,1.339
1755,9,1755.708,7.787,1.109
1755,10,1755.792,8.184,0.684
1755,11,1755.875,8.657,2.916
1755,12,1755.958,9.315,1.319
1756,1,1756.042,11.260,2.264
1756,2,1756.125,10.468,5.171
1756,3,1756.208,9.103,2.918
1756,4,1756.292,7.880,2.515
1756,5,1756.375,8.281,5.515
1756,6,1756.458,11.037,2.242
1756,7,1756.542,9.947,7.790
1756,8,1756.625,8.594,3.237
1756,9,1756.708,9.739,1.178
1756,10,1756.792,8.110,10.869
1756,11,1756.875,6.767,0.934
1756,12,1756.958,5.915,1.938
1757,1,1757.042,6.189,1.835
1757,2,1757.125,8.390,4.317
