# Monthly average temperature data for Macau.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,22.418,2.309
1840,2,1840.125,21.594,2.147
1840,3,1840.208,21.132,2.250
1840,4,1840.292,21.841,1.821
1840,5,1840.375,22.002,1.897
1840,6,1840.458,22.540,1.881
1840,7,1840.542,22.650,1.906
1840,8,1840.625,21.914,1.863
1840,9,1840.708,21.646,1.814
1840,10,1840.792,21.049,1.920
1840,11,1840.875,20.807,2.058
1840,12,1840.958,20.913,2.212
1841,1,1841.042,21.250,2.144
1841,2,1841.125,21.741,1.900
1841,3,1841.208,20.700,1.851
1841,4,1841.292,21.380,1.811
1841,5,1841.375,21.697,1.661
1841,6,1841.458,21.973,1.719
1841,7,1841.542,22.563,1.729
1841,8,1841.625,22.602,1.722
1841,9,1841.708,21.496,1.713
1841,10,1841.792,22.424,1.681
1841,11,1841.875,21.767,1.865
1841,12,1841.958,21.777,2.128
1842,1,1842.042,21.941,2.168
1842,2,1842.125,22.226,1.942
1842,3,1842.208,22.512,1.957
1842,4,1842.292,22.215,1.778
1842,5,1842.375,21.448,1.729
1842,6,1842.458,21.989,1.731
1842,7,1842.542,21.297,1.721
1842,8,1842.625,21.999,1.753
1842,9,1842.708,21.533,1.737
1842,10,1842.792,21.440,1.665
1842,11,1842.875,21.383,1.793
1842,12,1842.958,22.587,1.987
1843,1,1843.042,22.786,1.997
1843,2,1843.125,23.105,1.873
1843,3,1843.208,21.279,2.323
1843,4,1843.292,21.989,1.676
1843,5,1843.375,21.127,1.677
1843,6,1843.458,22.259,1.662
1843,7,1843.542,21.822,1.735
1843,8,1843.625,22.191,1.685
1843,9,1843.708,21.755,1.746
1843,10,1843.792,21.808,1.686
1843,11,1843.875,21.680,1.960
1843,12,1843.958,22.386,2.438
1844,1,1844.042,21.505,2.159
1844,2,1844.125,21.754,1.959
1844,3,1844.208,22.172,2.013
1844,4,1844.292,21.597,1.824
1844,5,1844.375,21.113,1.743
1844,6,1844.458,22.037,1.638
1844,7,1844.542,21.629,1.728
1844,8,1844.625,21.839,1.732
1844,9,1844.708,21.170,1.659
1844,10,1844.792,21.985,1.865
1844,11,1844.875,20.969,1.928
1844,12,1844.958,20.967,1.874
1845,1,1845.042,22.024,2.047
1845,2,1845.125,21.803,1.811
1845,3,1845.208,21.693,1.580
1845,4,1845.292,21.558,1.833
1845,5,1845.375,21.543,1.643
1845,6,1845.458,22.362,1.610
1845,7,1845.542,22.024,1.719
1845,8,1845.625,21.942,1.622
1845,9,1845.708,21.535,1.792
1845,10,1845.792,21.012,1.645
1845,11,1845.875,21.199,2.014
1845,12,1845.958,20.294,1.966
1846,1,1846.042,22.677,3.785
1846,2,1846.125,22.590,2.183
1846,3,1846.208,22.577,1.931
1846,4,1846.292,21.730,2.282
1846,5,1846.375,21.356,1.589
1846,6,1846.458,22.630,1.812
1846,7,1846.542,22.584,1.690
1846,8,1846.625,22.717,1.628
1846,9,1846.708,22.193,1.645
1846,10,1846.792,21.753,1.627
1846,11,1846.875,21.113,1.857
1846,12,1846.958,22.547,1.858
1847,1,1847.042,22.194,1.760
1847,2,1847.125,22.121,2.093
1847,3,1847.208,21.744,2.443
1847,4,1847.292,22.039,1.611
1847,5,1847.375,21.152,1.629
1847,6,1847.458,21.759,1.753
1847,7,1847.542,22.426,1.844
1847,8,1847.625,21.820,1.812
1847,9,1847.708,22.147,1.776
1847,10,1847.792,21.556,1.663
1847,11,1847.875,22.240,1.867
1847,12,1847.958,21.204,1.764
1848,1,1848.042,20.779,1.974
1848,2,1848.125,22.410,2.164
1848,3,1848.208,21.649,1.682
1848,4,1848.292,21.501,2.006
1848,5,1848.375,21.815,1.981
1848,6,1848.458,22.002,2.156
1848,7,1848.542,22.046,2.343
1848,8,1848.625,21.514,2.007
1848,9,1848.708,21.485,1.778
1848,10,1848.792,21.737,1.859
1848,11,1848.875,20.806,1.783
1848,12,1848.958,21.063,1.929
1849,1,1849.042,21.641,2.187
1849,2,1849.125,22.540,1.878
1849,3,1849.208,22.116,1.899
1849,4,1849.292,20.967,2.007
1849,5,1849.375,21.087,1.822
1849,6,1849.458,21.818,2.221
1849,7,1849.542,21.993,1.923
1849,8,1849.625,22.220,1.717
1849,9,1849.708,21.677,1.816
1849,10,1849.792,22.169,1.693
1849,11,1849.875,21.690,1.970
1849,12,1849.958,21.119,1.780
1850,1,1850.042,21.313,1.824
1850,2,1850.125,22.143,1.964
1850,3,1850.208,22.125,1.798
1850,4,1850.292,21.511,1.923
1850,5,1850.375,21.369,1.876
1850,6,1850.458,22.415,1.746
1850,7,1850.542,22.241,1.733
1850,8,1850.625,22.829,1.797
1850,9,1850.708,21.977,1.655
1850,10,1850.792,22.131,1.872
1850,11,1850.875,21.621,2.050
1850,12,1850.958,21.695,2.124
1851,1,1851.042,22.725,1.770
1851,2,1851.125,22.177,1.788
1851,3,1851.208,21.249,1.807
1851,4,1851.292,21.221,2.212
1851,5,1851.375,21.808,2.053
1851,6,1851.458,22.297,1.873
1851,7,1851.542,22.468,1.695
1851,8,1851.625,22.599,1.751
1851,9,1851.708,21.875,1.712
1851,10,1851.792,22.075,2.538
1851,11,1851.875,22.069,2.533
1851,12,1851.958,22.417,2.129
1852,1,1852.042,22.589,2.198
1852,2,1852.125,22.006,2.082
1852,3,1852.208,20.825,2.220
1852,4,1852.292,21.567,2.052
1852,5,1852.375,22.289,1.932
1852,6,1852.458,22.806,1.829
1852,7,1852.542,22.924,1.705
1852,8,1852.625,22.160,1.661
1852,9,1852.708,21.689,1.734
1852,10,1852.792,22.419,1.622
1852,11,1852.875,21.544,1.886
1852,12,1852.958,21.788,2.024
1853,1,1853.042,21.270,1.599
1853,2,1853.125,20.964,3.367
1853,3,1853.208,23.421,1.293
1853,4,1853.292,23.547,1.815
1853,5,1853.375,23.026,1.128
1853,6,1853.458,23.099,1.063
1853,7,1853.542,22.806,0.837
1853,8,1853.625,23.017,0.771
1853,9,1853.708,22.686,0.871
1853,10,1853.792,22.346,1.568
1853,11,1853.875,23.401,1.928
1853,12,1853.958,21.506,0.965
1854,1,1854.042,23.064,1.217
1854,2,1854.125,22.251,1.468
1854,3,1854.208,22.741,1.171
1854,4,1854.292,21.450,1.035
1854,5,1854.375,23.058,0.938
1854,6,1854.458,23.196,0.922
1854,7,1854.542,23.857,0.960
1854,8,1854.625,23.047,0.722
1854,9,1854.708,21.525,1.049
1854,10,1854.792,21.365,2.890
1854,11,1854.875,21.575,1.183
1854,12,1854.958,22.364,1.928
1855,1,1855.042,21.553,1.446
1855,2,1855.125,22.635,2.205
1855,3,1855.208,21.909,1.282
1855,4,1855.292,22.526,1.267
1855,5,1855.375,22.357,1.201
1855,6,1855.458,21.566,1.179
1855,7,1855.542,21.859,0.816
1855,8,1855.625,22.169,0.815
1855,9,1855.708,21.239,0.898
1855,10,1855.792,20.492,1.109
1855,11,1855.875,21.234,0.897
1855,12,1855.958,21.828,1.420
1856,1,1856.042,20.793,1.129
1856,2,1856.125,21.163,2.788
1856,3,1856.208,21.386,1.237
1856,4,1856.292,21.273,0.997
1856,5,1856.375,21.365,1.013
1856,6,1856.458,22.099,1.254
1856,7,1856.542,21.087,0.945
1856,8,1856.625,21.467,1.072
1856,9,1856.708,22.268,0.756
1856,10,1856.792,20.949,0.967
1856,11,1856.875,20.053,1.123
1856,12,1856.958,20.991,1.812
1857,1,1857.042,21.776,1.011
1857,2,1857.125,23.214,1.241
1857,3,1857.208,22.479,0.953
1857,4,1857.292,21.818,0.805
1857,5,1857.375,21.359,0.906
1857,6,1857.458,21.622,1.106
1857,7,1857.542,22.275,0.946
1857,8,1857.625,20.860,0.965
1857,9,1857.708,21.187,0.911
1857,10,1857.792,21.241,1.018
1857,11,1857.875,21.638,1.754
1857,12,1857.958,22.515,1.808
1858,1,1858.042,22.082,1.012
1858,2,1858.125,21.149,1.118
1858,3,1858.208,21.142,0.664
1858,4,1858.292,21.259,0.864
1858,5,1858.375,20.836,1.183
1858,6,1858.458,22.326,1.565
1858,7,1858.542,21.667,1.620
1858,8,1858.625,21.484,1.710
1858,9,1858.708,21.874,1.506
1858,10,1858.792,22.634,1.074
1858,11,1858.875,21.838,1.017
1858,12,1858.958,23.095,1.288
1859,1,1859.042,21.594,1.412
1859,2,1859.125,22.180,1.791
1859,3,1859.208,19.694,1.226
1859,4,1859.292,22.044,1.056
1859,5,1859.375,22.770,0.706
1859,6,1859.458,23.489,1.144
1859,7,1859.542,22.083,1.052
1859,8,1859.625,22.495,0.833
1859,9,1859.708,21.924,0.660
1859,10,1859.792,22.942,1.357
1859,11,1859.875,21.422,1.209
1859,12,1859.958,21.212,1.729
1860,1,1860.042,22.248,1.171
1860,2,1860.125,22.928,1.025
1860,3,1860.208,22.488,1.343
1860,4,1860.292,21.010,0.705
1860,5,1860.375,20.938,0.781
1860,6,1860.458,22.320,0.682
1860,7,1860.542,21.840,1.096
1860,8,1860.625,22.622,1.065
1860,9,1860.708,21.718,0.867
1860,10,1860.792,22.594,1.092
1860,11,1860.875,21.605,1.035
1860,12,1860.958,23.118,1.040
1861,1,1861.042,22.657,1.780
1861,2,1861.125,20.511,0.989
1861,3,1861.208,20.675,0.916
1861,4,1861.292,21.235,1.494
1861,5,1861.375,20.676,0.620
1861,6,1861.458,22.235,0.711
1861,7,1861.542,21.569,0.851
1861,8,1861.625,22.808,0.957
1861,9,1861.708,21.766,0.666
1861,10,1861.792,22.385,0.989
1861,11,1861.875,22.777,1.259
1861,12,1861.958,21.795,1.235
1862,1,1862.042,20.245,1.500
1862,2,1862.125,20.611,1.187
1862,3,1862.208,20.120,1.159
1862,4,1862.292,21.338,1.936
1862,5,1862.375,21.731,1.860
1862,6,1862.458,22.116,1.807
1862,7,1862.542,22.133,1.710
1862,8,1862.625,21.400,2.100
1862,9,1862.708,21.635,1.719
1862,10,1862.792,21.484,1.830
1862,11,1862.875,20.657,1.884
1862,12,1862.958,20.280,1.899
1863,1,1863.042,22.407,1.961
1863,2,1863.125,22.916,2.515
1863,3,1863.208,21.391,1.667
1863,4,1863.292,21.097,2.221
1863,5,1863.375,21.301,1.666
1863,6,1863.458,21.931,1.471
1863,7,1863.542,22.482,1.788
1863,8,1863.625,21.691,1.615
1863,9,1863.708,21.521,1.444
1863,10,1863.792,21.183,1.654
1863,11,1863.875,20.502,2.269
1863,12,1863.958,20.958,2.262
1864,1,1864.042,20.792,2.860
1864,2,1864.125,20.666,2.149
1864,3,1864.208,20.290,2.381
1864,4,1864.292,21.541,1.595
1864,5,1864.375,21.432,1.569
1864,6,1864.458,22.445,1.441
1864,7,1864.542,22.047,1.737
1864,8,1864.625,21.921,1.619
1864,9,1864.708,21.722,1.520
1864,10,1864.792,22.620,1.497
1864,11,1864.875,21.415,1.507
1864,12,1864.958,21.496,1.722
1865,1,1865.042,24.192,1.096
1865,2,1865.125,24.389,1.596
1865,3,1865.208,22.084,1.098
1865,4,1865.292,22.616,1.709
1865,5,1865.375,21.914,0.963
1865,6,1865.458,22.855,1.025
1865,7,1865.542,22.164,1.884
1865,8,1865.625,22.951,1.269
1865,9,1865.708,22.501,0.885
1865,10,1865.792,22.265,0.699
1865,11,1865.875,21.507,1.070
1865,12,1865.958,21.113,1.438
1866,1,1866.042,22.514,1.342
1866,2,1866.125,22.327,1.519
1866,3,1866.208,20.904,1.050
1866,4,1866.292,20.720,0.811
1866,5,1866.375,22.945,0.671
1866,6,1866.458,21.269,0.984
1866,7,1866.542,22.764,1.212
1866,8,1866.625,23.990,1.214
1866,9,1866.708,22.213,0.777
1866,10,1866.792,21.982,0.715
1866,11,1866.875,21.656,0.904
1866,12,1866.958,21.412,1.368
1867,1,1867.042,21.399,0.904
1867,2,1867.125,22.860,1.309
1867,3,1867.208,22.511,0.927
1867,4,1867.292,22.983,1.357
1867,5,1867.375,21.607,0.715
1867,6,1867.458,23.682,0.833
1867,7,1867.542,22.249,1.893
1867,8,1867.625,22.123,0.846
1867,9,1867.708,22.835,0.682
1867,10,1867.792,23.378,0.811
1867,11,1867.875,21.142,2.687
1867,12,1867.958,22.111,2.581
1868,1,1868.042,23.402,0.907
1868,2,1868.125,24.222,1.828
1868,3,1868.208,21.855,0.866
1868,4,1868.292,22.365,1.731
1868,5,1868.375,21.869,1.097
1868,6,1868.458,21.887,0.785
1868,7,1868.542,22.207,1.041
1868,8,1868.625,22.703,0.932
1868,9,1868.708,22.845,0.978
1868,10,1868.792,23.432,0.772
1868,11,1868.875,22.683,1.347
1868,12,1868.958,22.872,0.831
1869,1,1869.042,22.587,1.387
1869,2,1869.125,22.834,2.960
1869,3,1869.208,21.658,1.134
1869,4,1869.292,21.459,1.514
1869,5,1869.375,22.226,0.933
1869,6,1869.458,23.211,1.891
1869,7,1869.542,23.648,1.353
1869,8,1869.625,23.229,1.239
1869,9,1869.708,22.919,1.002
1869,10,1869.792,22.308,1.284
1869,11,1869.875,20.295,1.008
1869,12,1869.958,22.021,0.834
1870,1,1870.042,22.433,0.989
1870,2,1870.125,21.901,1.199
1870,3,1870.208,23.064,1.325
1870,4,1870.292,24.334,1.590
1870,5,1870.375,22.388,0.806
1870,6,1870.458,24.159,1.038
1870,7,1870.542,23.654,1.136
1870,8,1870.625,22.634,0.820
1870,9,1870.708,21.671,0.824
1870,10,1870.792,22.549,0.892
1870,11,1870.875,21.017,1.362
1870,12,1870.958,21.702,0.863
1871,1,1871.042,23.200,1.099
1871,2,1871.125,22.444,1.191
1871,3,1871.208,22.269,1.138
1871,4,1871.292,24.317,0.998
1871,5,1871.375,23.421,0.962
1871,6,1871.458,22.398,0.841
1871,7,1871.542,22.401,1.010
1871,8,1871.625,22.503,0.882
1871,9,1871.708,21.861,1.022
1871,10,1871.792,22.151,0.752
1871,11,1871.875,20.746,1.633
1871,12,1871.958,19.616,0.990
1872,1,1872.042,21.456,1.700
1872,2,1872.125,19.317,1.366
1872,3,1872.208,21.291,1.363
1872,4,1872.292,24.246,1.127
1872,5,1872.375,23.118,0.943
1872,6,1872.458,23.286,1.195
1872,7,1872.542,23.084,0.901
1872,8,1872.625,23.548,0.893
1872,9,1872.708,22.634,0.738
1872,10,1872.792,22.188,0.779
1872,11,1872.875,22.324,1.222
1872,12,1872.958,23.278,1.416
1873,1,1873.042,20.531,0.922
1873,2,1873.125,21.919,0.916
1873,3,1873.208,21.360,0.939
1873,4,1873.292,21.880,1.154
1873,5,1873.375,21.247,0.954
1873,6,1873.458,22.173,1.075
1873,7,1873.542,21.618,1.018
1873,8,1873.625,21.857,1.003
1873,9,1873.708,22.790,0.871
1873,10,1873.792,22.227,0.771
1873,11,1873.875,22.915,0.701
1873,12,1873.958,23.072,0.855
1874,1,1874.042,21.141,1.132
1874,2,1874.125,22.520,1.051
1874,3,1874.208,21.596,1.097
1874,4,1874.292,21.842,0.976
1874,5,1874.375,21.736,1.015
1874,6,1874.458,24.342,1.297
1874,7,1874.542,23.108,1.323
1874,8,1874.625,22.665,0.825
1874,9,1874.708,23.221,0.919
1874,10,1874.792,23.702,1.092
1874,11,1874.875,21.259,0.742
1874,12,1874.958,23.036,0.932
1875,1,1875.042,20.674,0.846
1875,2,1875.125,22.287,1.286
1875,3,1875.208,23.246,1.516
1875,4,1875.292,22.057,0.916
1875,5,1875.375,23.440,0.963
1875,6,1875.458,23.651,1.018
1875,7,1875.542,23.104,1.088
1875,8,1875.625,23.871,1.107
1875,9,1875.708,22.434,0.927
1875,10,1875.792,22.514,0.795
1875,11,1875.875,22.108,1.009
1875,12,1875.958,19.557,0.968
1876,1,1876.042,20.869,0.907
1876,2,1876.125,21.944,0.888
1876,3,1876.208,20.985,0.947
1876,4,1876.292,21.715,1.004
1876,5,1876.375,21.318,0.616
1876,6,1876.458,23.009,0.883
1876,7,1876.542,21.716,0.876
1876,8,1876.625,21.791,0.712
1876,9,1876.708,22.050,0.902
1876,10,1876.792,22.063,0.862
1876,11,1876.875,21.416,0.761
1876,12,1876.958,21.334,0.818
1877,1,1877.042,23.294,0.824
1877,2,1877.125,21.299,0.956
1877,3,1877.208,21.215,0.846
1877,4,1877.292,21.794,1.048
1877,5,1877.375,21.960,0.870
1877,6,1877.458,22.886,1.096
1877,7,1877.542,22.350,0.886
1877,8,1877.625,23.105,0.974
1877,9,1877.708,22.593,0.849
1877,10,1877.792,22.167,0.809
1877,11,1877.875,23.413,1.112
1877,12,1877.958,23.026,1.381
1878,1,1878.042,19.774,0.893
1878,2,1878.125,20.321,1.440
1878,3,1878.208,21.393,1.222
1878,4,1878.292,23.717,0.993
1878,5,1878.375,22.912,0.813
1878,6,1878.458,22.537,1.118
1878,7,1878.542,23.420,1.039
1878,8,1878.625,22.501,0.968
1878,9,1878.708,23.712,0.990
1878,10,1878.792,23.328,0.867
1878,11,1878.875,23.188,0.758
1878,12,1878.958,22.259,0.807
1879,1,1879.042,22.226,0.813
1879,2,1879.125,23.289,0.911
1879,3,1879.208,20.995,0.860
1879,4,1879.292,22.298,1.017
1879,5,1879.375,23.546,1.386
1879,6,1879.458,22.204,0.921
1879,7,1879.542,22.025,0.731
1879,8,1879.625,22.568,0.865
1879,9,1879.708,22.303,0.827
1879,10,1879.792,23.140,1.025
1879,11,1879.875,22.102,0.634
1879,12,1879.958,22.142,0.664
1880,1,1880.042,21.452,0.718
1880,2,1880.125,21.703,0.812
1880,3,1880.208,22.017,1.003
1880,4,1880.292,21.175,0.701
1880,5,1880.375,21.507,0.702
1880,6,1880.458,21.744,0.824
1880,7,1880.542,21.752,1.108
1880,8,1880.625,21.892,0.738
1880,9,1880.708,22.247,0.793
1880,10,1880.792,22.692,0.807
1880,11,1880.875,21.078,0.629
1880,12,1880.958,20.541,0.793
1881,1,1881.042,22.164,0.962
1881,2,1881.125,24.068,3.526
1881,3,1881.208,20.018,1.790
