# Monthly average temperature data for Macedonia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.264,2.151
1750,2,1750.125,9.055,2.348
1750,4,1750.292,10.864,2.052
1750,5,1750.375,8.841,2.073
1750,6,1750.458,10.484,2.112
1750,7,1750.542,11.088,2.150
1750,8,1750.625,11.100,2.087
1750,10,1750.792,9.690,2.049
1750,11,1750.875,6.347,2.094
1750,12,1750.958,7.523,2.180
1751,1,1751.042,8.543,2.186
1751,2,1751.125,7.276,2.172
1751,3,1751.208,11.530,2.083
1751,4,1751.292,8.964,2.044
1751,5,1751.375,9.512,2.080
1751,6,1751.458,9.756,2.116
1751,7,1751.542,11.965,2.132
1751,8,1751.625,11.392,2.052
1751,9,1751.708,10.287,2.028
1751,10,1751.792,9.056,2.063
1751,11,1751.875,6.782,2.097
1751,12,1751.958,7.871,2.320
1752,1,1752.042,8.420,2.280
1752,2,1752.125,11.937,2.148
1752,3,1752.208,11.004,2.019
1752,4,1752.292,9.329,2.051
1752,5,1752.375,9.876,2.034
1752,6,1752.458,11.812,2.008
1752,7,1752.542,11.459,2.077
1752,8,1752.625,9.267,2.169
1752,10,1752.792,10.106,2.045
1752,11,1752.875,9.751,2.079
1752,12,1752.958,8.948,2.215
1753,1,1753.042,9.212,2.106
1753,2,1753.125,8.835,2.055
1753,3,1753.208,11.580,2.006
1753,4,1753.292,10.614,2.083
1753,5,1753.375,10.689,1.958
1753,6,1753.458,11.268,2.083
1753,7,1753.542,11.051,2.121
1753,8,1753.625,9.719,2.018
1753,9,1753.708,9.763,1.989
1753,10,1753.792,10.244,1.990
1753,11,1753.875,8.586,1.999
1753,12,1753.958,7.582,2.347
1754,1,1754.042,9.507,2.068
1754,2,1754.125,7.447,2.041
1754,3,1754.208,8.239,1.960
1754,4,1754.292,12.372,2.091
1754,5,1754.375,11.266,2.010
1754,6,1754.458,11.462,2.033
1754,7,1754.542,10.819,2.162
1754,8,1754.625,10.105,2.060
1754,9,1754.708,9.532,1.999
1754,10,1754.792,11.445,2.106
1754,11,1754.875,10.428,2.472
1754,12,1754.958,10.067,2.114
1755,1,1755.042,8.071,2.083
1755,2,1755.125,6.798,2.235
1755,3,1755.208,9.726,2.043
1755,4,1755.292,12.706,2.328
1755,5,1755.375,10.893,1.980
1755,6,1755.458,12.369,2.185
1755,7,1755.542,11.100,2.532
1755,8,1755.625,9.053,2.109
1755,9,1755.708,9.200,1.979
1755,10,1755.792,11.627,1.939
1755,11,1755.875,8.373,2.343
1755,12,1755.958,9.490,2.122
1756,1,1756.042,10.736,2.242
1756,2,1756.125,12.144,4.152
1756,3,1756.208,10.857,2.954
1756,4,1756.292,10.615,2.515
1756,5,1756.375,10.970,4.425
1756,6,1756.458,11.742,2.251
1756,7,1756.542,10.477,6.412
1756,8,1756.625,10.568,2.310
1756,9,1756.708,10.232,2.176
1756,10,1756.792,9.891,6.720
1756,11,1756.875,7.616,1.988
1756,12,1756.958,8.238,2.099
1757,1,1757.042,8.179,2.119
1757,2,1757.125,11.128,2.544
1757,3,1757.208,10.138,3.563
1757,4,1757.292,11.236,2.519
1757,5,1757.375,11.459,2.517
1757,6,1757.458,12.809,2.176
1757,7,1757.542,13.368,2.921
1757,8,1757.625,12.379,3.907
1757,9,1757.708,10.564,5.536
1757,10,1757.792,7.077,4.531
1757,11,1757.875,8.048,6.596
1757,12,1757.958,8.035,2.144
1758,1,1758.042,6.227,5.232
1758,2,1758.125,7.238,2.323
1758,3,1758.208,9.833,2.099
1758,4,1758.292,9.866,3.399
1758,5,1758.375,8.721,4.236
1758,6,1758.458,10.528,3.547
1758,7,1758.542,9.233,3.367
1758,8,1758.625,8.338,4.926
1758,9,1758.708,8.351,2.361
1758,10,1758.792,7.720,2.025
1758,11,1758.875,9.588,2.054
1758,12,1758.958,9.752,2.074
1759,1,1759.042,12.019,2.119
1759,2,1759.125,11.630,5.183
1759,3,1759.208,10.467,3.598
1759,4,1759.292,9.613,4.763
1759,5,1759.375,9.008,3.572
1759,6,1759.458,11.043,3.762
1759,7,1759.542,10.306,4.070
1759,8,1759.625,10.302,2.108
1759,9,1759.708,10.264,2.562
1759,10,1759.792,9.774,4.815
1759,11,1759.875,6.619,5.245
1759,12,1759.958,7.779,2.648
1760,1,1760.042,8.112,5.474
1760,2,1760.125,9.083,6.678
1760,3,1760.208,8.324,2.913
1760,4,1760.292,10.849,2.033
1760,5,1760.375,10.051,3.066
1760,6,1760.458,10.309,2.267
1760,7,1760.542,9.806,2.121
1760,8,1760.625,9.569,5.226
1760,9,1760.708,9.055,2.207
1760,10,1760.792,9.624,2.291
1760,11,1760.875,9.266,5.423
1760,12,1760.958,8.619,2.960
1761,1,1761.042,8.398,2.179
1761,2,1761.125,9.028,3.907
1761,3,1761.208,11.463,2.120
1761,4,1761.292,10.011,2.111
1761,5,1761.375,11.952,2.501
1761,6,1761.458,12.467,2.544
1761,7,1761.542,13.781,2.063
1761,8,1761.625,11.064,2.939
1761,9,1761.708,11.163,3.224
1761,10,1761.792,8.070,2.795
1761,11,1761.875,8.774,6.545
1761,12,1761.958,5.750,2.183
1762,1,1762.042,11.530,7.405
1762,2,1762.125,10.220,2.751
1762,3,1762.208,8.387,4.978
