# Monthly average temperature data for Madagascar.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1859,11,1859.875,22.817,0.790
1859,12,1859.958,22.753,0.995
1860,1,1860.042,21.987,0.901
1860,2,1860.125,22.381,0.694
1860,3,1860.208,21.800,1.324
1860,4,1860.292,22.417,0.816
1860,5,1860.375,23.063,1.278
1860,6,1860.458,23.147,0.695
1860,7,1860.542,23.068,1.272
1860,8,1860.625,22.880,1.325
1860,9,1860.708,22.792,0.937
1860,10,1860.792,22.230,1.208
1860,11,1860.875,22.065,1.566
1860,12,1860.958,21.729,1.960
1861,1,1861.042,21.710,2.112
1861,2,1861.125,21.405,1.484
1861,3,1861.208,21.844,1.473
1861,4,1861.292,22.364,1.265
1861,5,1861.375,22.635,1.284
1861,6,1861.458,22.917,0.757
1861,7,1861.542,22.594,0.729
1861,8,1861.625,22.669,0.713
1861,9,1861.708,22.582,0.858
1861,10,1861.792,21.913,1.009
1861,11,1861.875,22.526,0.856
1861,12,1861.958,22.399,1.284
1885,1,1885.042,21.289,0.956
1885,2,1885.125,22.147,0.781
1885,3,1885.208,21.844,0.891
1885,4,1885.292,21.779,0.885
1885,5,1885.375,22.296,0.782
1885,6,1885.458,22.342,0.650
1885,7,1885.542,22.473,0.683
1885,8,1885.625,22.680,0.710
1885,9,1885.708,22.261,0.808
1885,10,1885.792,22.037,0.964
1885,11,1885.875,21.988,0.734
1885,12,1885.958,22.672,0.847
1887,1,1887.042,21.657,1.477
1887,2,1887.125,21.664,0.693
1887,3,1887.208,22.006,0.698
1887,4,1887.292,21.907,0.842
1887,5,1887.375,21.974,0.839
1887,6,1887.458,22.145,0.921
1887,7,1887.542,22.444,0.736
1887,8,1887.625,21.983,0.827
1887,9,1887.708,22.176,0.780
1887,10,1887.792,22.219,0.728
1887,11,1887.875,22.006,0.647
1887,12,1887.958,22.079,0.613
1888,1,1888.042,21.985,0.944
1888,2,1888.125,21.842,0.743
1888,3,1888.208,21.857,0.751
1888,4,1888.292,22.243,0.911
1888,5,1888.375,22.584,0.668
1888,6,1888.458,22.676,0.782
1888,7,1888.542,22.850,0.626
1888,8,1888.625,22.961,0.781
1888,9,1888.708,22.374,0.611
1888,10,1888.792,22.774,0.720
1888,11,1888.875,23.108,0.977
1888,12,1888.958,22.499,0.730
1889,1,1889.042,22.685,1.200
1889,2,1889.125,23.684,1.977
1889,3,1889.208,22.678,0.527
1889,4,1889.292,23.265,0.623
1889,5,1889.375,23.567,1.516
1889,6,1889.458,22.846,0.494
1889,7,1889.542,23.002,0.570
1889,8,1889.625,22.196,0.857
1889,9,1889.708,22.610,0.490
1889,10,1889.792,21.712,1.384
1889,11,1889.875,22.421,0.745
1889,12,1889.958,22.613,0.540
1890,1,1890.042,22.662,1.082
1890,2,1890.125,22.615,1.006
1890,3,1890.208,21.974,0.590
1890,4,1890.292,21.943,0.634
1890,5,1890.375,21.947,0.853
1890,6,1890.458,22.234,0.799
1890,7,1890.542,22.000,1.359
1890,8,1890.625,22.169,0.953
1890,9,1890.708,22.049,1.344
1890,10,1890.792,21.317,1.938
1890,11,1890.875,21.353,1.498
1890,12,1890.958,21.000,2.182
1891,1,1891.042,21.438,0.848
1891,2,1891.125,22.189,0.696
1891,3,1891.208,21.336,1.273
1891,4,1891.292,22.271,0.443
1891,5,1891.375,22.368,0.708
1891,6,1891.458,22.997,0.695
1891,7,1891.542,22.260,0.605
1891,8,1891.625,22.036,0.807
1891,9,1891.708,22.586,0.538
1891,10,1891.792,22.211,0.474
1891,11,1891.875,21.952,0.663
1891,12,1891.958,22.512,0.684
1892,1,1892.042,22.225,0.536
1892,2,1892.125,21.886,0.753
1892,3,1892.208,22.357,0.958
1892,4,1892.292,23.018,0.533
1892,5,1892.375,22.654,1.244
1892,6,1892.458,22.946,1.582
1892,7,1892.542,22.942,1.135
1892,8,1892.625,23.448,0.745
1892,9,1892.708,22.366,1.787
1892,10,1892.792,22.770,0.601
1892,11,1892.875,22.575,0.666
1892,12,1892.958,22.086,0.682
1893,1,1893.042,21.823,0.597
1893,2,1893.125,21.941,0.852
1893,3,1893.208,22.019,0.482
1893,4,1893.292,21.907,0.495
1893,5,1893.375,22.255,0.664
1893,6,1893.458,21.948,0.953
1893,7,1893.542,22.237,0.560
1893,8,1893.625,22.431,1.660
1893,9,1893.708,22.541,0.616
1893,10,1893.792,22.146,0.352
1893,11,1893.875,21.908,0.485
1893,12,1893.958,22.090,0.820
1894,1,1894.042,21.701,0.640
1894,2,1894.125,22.097,0.655
1894,3,1894.208,22.685,0.633
1894,4,1894.292,22.089,0.583
1894,5,1894.375,22.364,0.914
1894,6,1894.458,22.022,0.584
1894,7,1894.542,23.052,0.578
1894,8,1894.625,22.967,0.323
1894,9,1894.708,22.830,0.692
1894,10,1894.792,23.080,0.470
1894,11,1894.875,22.805,0.798
1894,12,1894.958,21.935,0.861
1895,1,1895.042,21.953,0.538
1895,2,1895.125,22.280,0.750
1895,3,1895.208,22.506,0.422
1895,4,1895.292,22.972,0.427
1895,5,1895.375,22.448,1.255
1895,6,1895.458,22.385,0.876
1895,7,1895.542,23.448,0.630
1895,8,1895.625,22.939,0.420
1895,9,1895.708,22.694,0.560
1895,10,1895.792,22.858,0.611
1895,11,1895.875,22.767,0.499
1895,12,1895.958,22.378,0.682
1896,1,1896.042,22.642,1.143
1896,2,1896.125,22.339,0.382
1896,3,1896.208,23.108,1.182
1896,4,1896.292,22.834,1.053
1896,5,1896.375,22.685,0.603
1896,6,1896.458,23.315,0.445
1896,7,1896.542,22.658,0.601
1896,8,1896.625,22.661,0.958
1896,9,1896.708,23.209,0.526
1896,10,1896.792,22.860,0.367
1896,11,1896.875,21.691,1.278
1896,12,1896.958,22.568,0.485
1897,1,1897.042,22.360,0.536
1897,2,1897.125,22.048,0.713
1897,3,1897.208,22.868,0.486
1897,4,1897.292,22.414,0.487
1897,5,1897.375,22.701,0.452
1897,6,1897.458,23.171,0.786
1897,7,1897.542,23.839,1.119
1897,8,1897.625,23.441,0.462
1897,9,1897.708,23.089,0.781
1897,10,1897.792,22.706,0.427
1897,11,1897.875,23.126,0.567
1897,12,1897.958,22.090,0.600
1898,1,1898.042,22.463,0.496
1898,2,1898.125,22.279,0.328
1898,3,1898.208,22.309,0.531
1898,4,1898.292,22.536,0.706
1898,5,1898.375,23.054,0.754
1898,6,1898.458,22.411,0.409
1898,7,1898.542,22.656,0.993
1898,8,1898.625,22.410,0.984
1898,9,1898.708,22.994,1.273
1898,10,1898.792,23.255,1.556
1898,11,1898.875,23.647,1.497
1898,12,1898.958,22.677,0.413
1899,1,1899.042,22.963,0.568
1899,2,1899.125,21.958,0.664
1899,3,1899.208,22.304,0.575
1899,4,1899.292,22.885,1.174
1899,5,1899.375,21.790,0.461
1899,6,1899.458,21.822,0.574
1899,7,1899.542,22.389,0.610
1899,8,1899.625,22.166,1.361
1899,9,1899.708,22.616,0.516
1899,10,1899.792,22.780,0.965
1899,11,1899.875,22.939,1.759
1899,12,1899.958,22.521,0.640
1900,1,1900.042,22.782,0.743
1900,2,1900.125,22.650,1.138
1900,3,1900.208,23.114,0.503
1900,4,1900.292,22.950,0.661
1900,5,1900.375,22.911,0.511
1900,6,1900.458,22.781,0.936
1900,7,1900.542,22.676,0.812
1900,8,1900.625,23.170,1.426
1900,9,1900.708,23.248,1.095
1900,10,1900.792,23.238,0.768
1900,11,1900.875,23.001,0.787
1900,12,1900.958,22.919,0.563
1901,1,1901.042,23.096,0.647
1901,2,1901.125,22.399,0.544
1901,3,1901.208,22.739,0.432
1901,4,1901.292,22.547,1.038
1901,5,1901.375,22.490,0.740
1901,6,1901.458,22.126,0.683
1901,7,1901.542,22.630,0.353
1901,8,1901.625,21.944,1.293
1901,9,1901.708,21.900,1.507
1901,10,1901.792,22.122,1.421
1901,11,1901.875,23.173,1.548
1901,12,1901.958,22.135,0.493
1902,1,1902.042,22.952,0.987
1902,2,1902.125,22.485,0.514
1902,3,1902.208,22.094,0.532
1902,4,1902.292,23.025,0.345
1902,5,1902.375,22.609,0.317
1902,6,1902.458,22.839,0.553
1902,7,1902.542,23.127,0.407
1902,8,1902.625,23.626,0.582
1902,9,1902.708,23.496,0.348
1902,10,1902.792,22.471,1.197
1902,11,1902.875,22.910,0.501
1902,12,1902.958,22.698,0.376
1903,1,1903.042,22.473,0.574
1903,2,1903.125,22.457,0.850
