# Monthly average temperature data for Malawi.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,20.508,1.821
1892,2,1892.125,20.528,0.649
1892,3,1892.208,21.393,1.302
1892,4,1892.292,21.025,0.923
1892,5,1892.375,21.383,1.067
1892,6,1892.458,21.837,1.166
1892,7,1892.542,21.493,0.948
1892,8,1892.625,21.024,0.749
1892,9,1892.708,21.728,1.516
1892,10,1892.792,21.394,0.967
1892,11,1892.875,21.294,0.979
1892,12,1892.958,21.153,1.115
1893,1,1893.042,20.370,1.224
1893,2,1893.125,20.357,0.887
1893,3,1893.208,20.910,0.748
1893,4,1893.292,21.108,0.799
1893,5,1893.375,20.315,0.890
1893,6,1893.458,20.797,1.493
1893,7,1893.542,20.887,1.119
1893,8,1893.625,21.324,1.575
1893,9,1893.708,21.174,1.153
1893,10,1893.792,20.957,0.613
1893,11,1893.875,21.180,0.555
1893,12,1893.958,21.364,0.978
1894,1,1894.042,20.470,0.619
1894,2,1894.125,21.118,0.966
1894,3,1894.208,21.269,0.815
1894,4,1894.292,20.231,0.692
1894,5,1894.375,21.191,0.691
1894,6,1894.458,21.128,0.727
1894,7,1894.542,21.422,0.609
1894,8,1894.625,21.486,0.814
1894,9,1894.708,21.205,0.883
1894,10,1894.792,21.693,0.717
1894,11,1894.875,21.577,0.918
1894,12,1894.958,20.693,1.159
1895,1,1895.042,20.573,1.103
1895,2,1895.125,20.444,0.728
1895,3,1895.208,21.330,0.642
1895,4,1895.292,21.335,0.587
1895,5,1895.375,21.206,0.654
1895,6,1895.458,21.003,0.612
1895,7,1895.542,21.999,0.692
1895,8,1895.625,21.737,0.844
1895,9,1895.708,20.984,0.707
1895,10,1895.792,21.316,0.772
1895,11,1895.875,21.497,0.790
1895,12,1895.958,21.288,0.751
1896,1,1896.042,21.132,0.784
1896,2,1896.125,20.983,0.620
1896,3,1896.208,21.744,0.890
1896,4,1896.292,21.299,0.946
1896,5,1896.375,21.140,0.763
1896,6,1896.458,22.095,0.733
1896,7,1896.542,21.636,0.583
1896,8,1896.625,21.841,0.646
1896,9,1896.708,21.608,0.726
1896,10,1896.792,21.426,0.665
1896,11,1896.875,20.397,0.810
1896,12,1896.958,21.375,0.979
1897,1,1897.042,20.501,1.067
1897,2,1897.125,20.652,0.695
1897,3,1897.208,21.448,0.559
1897,4,1897.292,20.633,0.479
1897,5,1897.375,20.830,0.483
1897,6,1897.458,21.229,0.540
1897,7,1897.542,22.112,0.722
1897,8,1897.625,21.635,0.728
1897,9,1897.708,21.790,0.683
1897,10,1897.792,22.144,0.731
1897,11,1897.875,22.507,0.820
1897,12,1897.958,20.367,1.085
1898,1,1898.042,21.676,0.536
1898,2,1898.125,20.348,0.684
1898,3,1898.208,21.255,0.681
1898,4,1898.292,20.856,1.033
1898,5,1898.375,21.651,1.044
1898,6,1898.458,20.865,0.678
1898,7,1898.542,20.636,0.541
1898,8,1898.625,19.674,0.552
1898,9,1898.708,20.885,0.880
1898,10,1898.792,21.294,0.592
1898,11,1898.875,22.202,1.661
1898,12,1898.958,21.893,0.913
1899,1,1899.042,21.731,0.701
1899,2,1899.125,20.663,0.559
1899,3,1899.208,20.922,0.537
1899,4,1899.292,21.040,0.728
1899,5,1899.375,19.835,1.112
1899,6,1899.458,20.189,1.480
1899,7,1899.542,21.426,0.534
1899,8,1899.625,21.273,0.780
1899,9,1899.708,21.587,0.444
1899,10,1899.792,21.516,0.571
1899,11,1899.875,20.739,1.382
1899,12,1899.958,21.051,0.668
1900,1,1900.042,22.635,2.676
1900,2,1900.125,22.525,3.117
1900,3,1900.208,22.016,0.552
1900,4,1900.292,21.575,0.522
1900,5,1900.375,21.490,0.669
1900,6,1900.458,21.468,0.514
1900,7,1900.542,21.576,0.567
1900,8,1900.625,22.122,0.741
1900,9,1900.708,21.393,0.615
1900,10,1900.792,22.472,0.717
1900,11,1900.875,21.596,0.950
1900,12,1900.958,21.492,0.990
1901,1,1901.042,21.620,0.599
1901,2,1901.125,21.159,0.954
1901,3,1901.208,21.667,0.458
1901,4,1901.292,20.994,0.577
1901,5,1901.375,20.959,0.462
1901,6,1901.458,20.422,0.563
1901,7,1901.542,21.138,0.428
1901,8,1901.625,20.925,0.573
1901,9,1901.708,20.845,0.432
1901,10,1901.792,20.181,1.177
1901,11,1901.875,21.601,1.058
1901,12,1901.958,21.638,0.873
1902,1,1902.042,21.558,0.522
1902,2,1902.125,20.990,0.483
1902,3,1902.208,20.911,0.808
1902,4,1902.292,21.701,0.558
1902,5,1902.375,21.077,0.889
1902,6,1902.458,21.945,0.516
1902,7,1902.542,22.049,0.892
1902,8,1902.625,22.575,0.562
1902,9,1902.708,22.181,0.402
1902,10,1902.792,20.309,0.461
1902,11,1902.875,21.476,0.620
1902,12,1902.958,21.401,0.716
1903,1,1903.042,21.293,0.629
1903,2,1903.125,21.352,0.959
1903,3,1903.208,21.477,1.008
1903,4,1903.292,21.711,0.561
1903,5,1903.375,22.123,0.862
1903,6,1903.458,22.000,0.410
1903,7,1903.542,21.368,0.361
1903,8,1903.625,21.964,0.300
1903,9,1903.708,19.769,1.133
1903,10,1903.792,21.437,0.723
1903,11,1903.875,21.792,0.322
1903,12,1903.958,20.751,0.643
1904,1,1904.042,20.516,0.524
1904,2,1904.125,20.251,0.439
1904,3,1904.208,20.088,1.119
1904,4,1904.292,20.525,0.919
1904,5,1904.375,20.767,0.518
1904,6,1904.458,21.270,0.861
1904,7,1904.542,20.552,1.213
1904,8,1904.625,20.878,0.955
1904,9,1904.708,19.680,1.508
1904,10,1904.792,20.785,0.441
1904,11,1904.875,21.189,0.509
1904,12,1904.958,20.155,0.648
1905,1,1905.042,20.893,1.136
1905,2,1905.125,20.929,0.379
1905,3,1905.208,20.356,0.314
1905,4,1905.292,20.752,0.843
1905,5,1905.375,20.933,0.530
1905,6,1905.458,22.831,1.513
1905,7,1905.542,20.767,0.406
1905,8,1905.625,21.585,0.538
1905,9,1905.708,21.963,0.571
1905,10,1905.792,21.899,0.487
1905,11,1905.875,20.736,1.454
1905,12,1905.958,21.011,0.881
1906,1,1906.042,21.846,0.393
1906,2,1906.125,20.691,0.793
1906,3,1906.208,21.055,0.737
1906,4,1906.292,21.034,1.595
1906,5,1906.375,21.080,0.813
1906,6,1906.458,21.218,0.849
1906,7,1906.542,21.128,0.423
1906,8,1906.625,20.825,0.434
1906,9,1906.708,20.790,0.370
1906,10,1906.792,20.593,0.351
