# Monthly average temperature data for Malaysia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1825,1,1825.042,25.502,1.557
1825,2,1825.125,25.265,1.055
1825,3,1825.208,25.449,1.378
1825,4,1825.292,26.247,1.679
1825,5,1825.375,25.913,1.030
1825,6,1825.458,26.279,1.056
1825,7,1825.542,26.057,1.818
1825,8,1825.625,25.382,2.044
1825,9,1825.708,25.114,1.688
1825,10,1825.792,25.175,1.499
1825,11,1825.875,25.437,1.866
1825,12,1825.958,25.036,1.243
1839,4,1839.292,25.503,1.239
1839,5,1839.375,25.209,0.802
1839,6,1839.458,25.547,0.752
1839,7,1839.542,26.052,1.030
1839,8,1839.625,25.786,1.676
1839,9,1839.708,25.049,1.054
1839,10,1839.792,25.188,1.711
1839,11,1839.875,24.323,0.944
1839,12,1839.958,24.432,1.483
1840,1,1840.042,25.947,1.377
1840,2,1840.125,25.111,0.855
1840,3,1840.208,25.013,1.822
1840,11,1840.875,25.018,2.144
1841,1,1841.042,24.710,1.383
1841,2,1841.125,25.564,1.780
1853,1,1853.042,25.239,1.140
1853,2,1853.125,25.123,1.507
1853,3,1853.208,25.363,0.887
1853,4,1853.292,25.690,0.757
1853,5,1853.375,25.874,0.799
1853,6,1853.458,25.912,0.906
1853,7,1853.542,26.176,0.969
1853,8,1853.625,26.052,0.830
1853,12,1853.958,25.601,0.879
1854,1,1854.042,25.452,0.776
1854,2,1854.125,24.945,0.710
1854,4,1854.292,25.379,0.955
1854,5,1854.375,25.427,1.158
1854,6,1854.458,25.742,0.681
1854,7,1854.542,26.529,0.940
1854,8,1854.625,25.850,0.767
1854,9,1854.708,25.451,0.683
1854,10,1854.792,25.747,1.417
1854,11,1854.875,25.321,1.195
1854,12,1854.958,25.475,2.358
1855,1,1855.042,26.092,1.123
1855,2,1855.125,25.447,1.909
1855,3,1855.208,25.469,0.805
1855,4,1855.292,26.101,1.067
1855,5,1855.375,26.045,0.676
1855,6,1855.458,25.712,0.924
1855,7,1855.542,25.754,0.682
1855,8,1855.625,25.837,0.735
1855,9,1855.708,25.482,1.050
1855,10,1855.792,24.526,1.320
1855,11,1855.875,25.136,0.659
1855,12,1855.958,24.715,1.372
1856,1,1856.042,26.061,0.845
1856,2,1856.125,25.384,1.208
1856,3,1856.208,25.507,1.051
1856,4,1856.292,25.436,0.649
1856,5,1856.375,25.365,0.624
1856,6,1856.458,26.470,1.452
1856,7,1856.542,25.909,1.009
1856,8,1856.625,25.601,1.200
1856,9,1856.708,25.179,0.811
1856,10,1856.792,24.880,0.884
1856,11,1856.875,25.040,0.713
1856,12,1856.958,25.145,1.315
1866,1,1866.042,26.082,1.175
1866,2,1866.125,25.306,1.339
1866,3,1866.208,25.527,1.404
1866,4,1866.292,25.767,1.066
1866,5,1866.375,25.745,0.929
1866,6,1866.458,25.899,0.831
1866,7,1866.542,26.307,0.675
1866,8,1866.625,26.108,0.854
1866,9,1866.708,25.986,0.813
1866,10,1866.792,25.350,0.698
1866,11,1866.875,25.569,0.705
1866,12,1866.958,25.443,0.766
1867,1,1867.042,25.372,1.071
1867,2,1867.125,25.408,1.258
1867,3,1867.208,25.570,0.644
1867,4,1867.292,25.786,0.789
1867,5,1867.375,25.936,0.567
1867,6,1867.458,26.034,0.698
1867,7,1867.542,26.273,0.942
1867,8,1867.625,25.946,0.634
1867,9,1867.708,25.932,0.616
1867,10,1867.792,25.792,0.861
1867,11,1867.875,25.900,1.159
1867,12,1867.958,25.250,1.044
1868,1,1868.042,25.472,1.024
1868,2,1868.125,25.389,1.459
1868,3,1868.208,25.416,1.370
1868,4,1868.292,25.776,0.924
1868,5,1868.375,25.820,0.780
1868,6,1868.458,26.290,0.560
1868,7,1868.542,26.314,0.547
1868,8,1868.625,26.222,0.469
1868,9,1868.708,25.958,0.640
1868,10,1868.792,26.208,1.142
1868,11,1868.875,25.534,0.574
1868,12,1868.958,25.713,1.401
1869,1,1869.042,25.506,1.552
1869,2,1869.125,26.123,1.350
1869,3,1869.208,25.830,1.237
1869,4,1869.292,25.677,0.583
1869,5,1869.375,25.960,0.704
1869,6,1869.458,26.262,0.661
1869,7,1869.542,26.429,0.598
1869,8,1869.625,25.938,1.182
1869,9,1869.708,26.096,0.647
