# Monthly average temperature data for Mali.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,9,1857.708,29.408,2.762
1858,3,1858.208,28.068,1.401
1858,4,1858.292,28.741,1.700
1858,5,1858.375,28.405,1.360
1858,6,1858.458,29.041,1.559
1858,7,1858.542,28.550,1.558
1858,8,1858.625,29.049,1.959
1858,9,1858.708,29.019,1.915
1858,11,1858.875,29.799,1.362
1858,12,1858.958,27.502,1.561
1859,1,1859.042,27.545,1.487
1859,3,1859.208,27.739,1.692
1859,4,1859.292,30.848,2.123
1859,5,1859.375,30.326,2.501
1859,6,1859.458,29.566,2.077
1859,9,1859.708,28.213,1.233
1860,1,1860.042,27.557,1.629
1860,2,1860.125,27.001,1.575
1860,3,1860.208,28.138,1.777
1860,5,1860.375,28.218,1.686
1860,6,1860.458,28.556,1.341
1860,7,1860.542,27.790,1.764
1860,8,1860.625,28.159,1.399
1860,9,1860.708,27.432,1.928
1860,10,1860.792,27.014,2.469
1860,11,1860.875,27.532,2.094
1873,7,1873.542,28.554,1.366
1873,8,1873.625,28.414,1.114
1873,9,1873.708,28.560,1.081
1873,10,1873.792,28.148,1.139
1873,12,1873.958,28.907,1.267
1874,1,1874.042,27.630,1.181
1874,2,1874.125,27.992,1.191
1874,3,1874.208,27.237,1.081
1874,4,1874.292,28.784,1.120
1874,5,1874.375,28.435,1.366
1874,7,1874.542,28.286,1.106
1874,8,1874.625,27.989,1.171
1874,9,1874.708,28.773,1.122
1874,10,1874.792,28.567,1.235
1874,11,1874.875,28.157,1.174
1874,12,1874.958,27.797,1.167
1875,1,1875.042,27.446,1.102
1875,2,1875.125,27.665,1.320
1875,3,1875.208,28.037,1.127
1875,4,1875.292,28.324,1.121
1875,5,1875.375,28.288,1.065
1875,6,1875.458,28.069,1.357
1875,7,1875.542,28.483,1.145
1875,8,1875.625,27.997,1.104
1875,9,1875.708,28.400,1.167
1875,10,1875.792,27.998,0.998
1875,11,1875.875,27.454,1.392
1875,12,1875.958,28.008,1.269
1876,1,1876.042,27.382,1.118
1876,2,1876.125,27.735,1.115
1876,3,1876.208,28.899,1.069
1876,4,1876.292,29.204,1.433
1876,5,1876.375,28.638,1.135
1876,6,1876.458,28.722,1.128
1876,7,1876.542,28.379,1.263
1876,8,1876.625,28.213,1.210
1876,9,1876.708,28.494,1.234
1876,10,1876.792,28.272,1.191
1876,11,1876.875,28.486,1.291
1876,12,1876.958,27.852,1.474
1877,1,1877.042,27.907,1.451
1877,2,1877.125,27.806,1.189
1877,3,1877.208,28.615,1.116
1877,4,1877.292,28.805,1.003
1877,5,1877.375,29.227,1.030
1877,6,1877.458,28.748,1.124
1877,7,1877.542,29.185,1.010
1877,8,1877.625,29.101,1.034
1877,9,1877.708,29.137,1.175
1877,10,1877.792,28.607,1.075
1877,11,1877.875,28.551,1.062
1877,12,1877.958,27.521,1.075
1878,1,1878.042,27.206,1.129
1878,2,1878.125,28.500,1.203
1878,3,1878.208,29.518,1.131
1878,4,1878.292,29.605,1.303
1878,5,1878.375,29.603,1.098
1878,6,1878.458,30.606,1.274
1878,7,1878.542,29.214,0.987
1878,8,1878.625,28.995,0.895
1878,9,1878.708,28.701,1.019
1878,10,1878.792,28.600,1.050
1878,11,1878.875,29.146,1.112
1878,12,1878.958,29.281,1.648
1879,1,1879.042,28.064,1.353
1879,2,1879.125,28.550,1.194
1879,3,1879.208,27.923,1.085
1879,4,1879.292,28.528,1.097
1879,5,1879.375,28.526,1.171
1879,6,1879.458,29.447,1.484
1879,7,1879.542,28.019,1.264
1879,8,1879.625,26.940,1.058
1879,9,1879.708,28.033,1.035
1879,10,1879.792,28.648,1.154
1879,11,1879.875,28.933,1.116
1879,12,1879.958,28.003,1.264
1880,1,1880.042,27.489,1.187
1880,2,1880.125,26.940,1.186
1880,3,1880.208,27.280,1.476
1880,4,1880.292,27.905,1.040
1880,5,1880.375,28.274,1.161
1880,6,1880.458,28.034,1.447
1880,7,1880.542,28.646,1.360
1880,8,1880.625,28.414,1.651
1880,9,1880.708,28.164,1.076
1880,10,1880.792,28.728,1.808
1880,11,1880.875,28.370,1.386
1880,12,1880.958,28.289,1.440
1881,1,1881.042,29.933,1.400
1881,2,1881.125,28.320,1.462
1881,3,1881.208,29.561,1.257
1881,4,1881.292,29.436,1.282
1881,5,1881.375,29.304,1.210
1881,7,1881.542,28.929,1.505
1881,9,1881.708,29.149,1.442
1881,10,1881.792,28.153,1.225
1881,11,1881.875,27.615,1.267
1881,12,1881.958,27.748,1.203
1882,1,1882.042,27.881,1.354
1882,2,1882.125,27.884,1.208
1882,3,1882.208,27.669,1.308
1882,4,1882.292,28.201,1.031
1882,5,1882.375,28.956,1.123
1882,6,1882.458,28.752,1.136
1882,7,1882.542,28.649,1.122
1882,8,1882.625,28.173,1.054
1882,9,1882.708,28.027,1.116
1882,10,1882.792,28.743,1.036
1882,11,1882.875,27.882,1.171
1882,12,1882.958,27.806,1.560
1883,1,1883.042,27.763,1.305
1883,2,1883.125,27.290,1.168
1883,3,1883.208,28.271,1.358
1883,4,1883.292,28.709,1.161
1883,5,1883.375,28.522,1.083
1883,6,1883.458,29.501,1.113
1883,10,1883.792,28.271,1.111
1883,11,1883.875,27.912,1.906
1884,2,1884.125,28.167,1.299
1884,3,1884.208,27.713,1.711
1884,4,1884.292,28.249,1.522
1884,5,1884.375,27.587,1.430
1884,8,1884.625,29.317,1.792
1886,1,1886.042,27.011,1.300
1886,2,1886.125,27.144,1.059
1886,3,1886.208,29.142,1.139
1886,4,1886.292,28.295,1.063
1886,5,1886.375,28.380,1.001
1886,6,1886.458,28.581,1.316
1886,7,1886.542,28.709,0.997
1886,8,1886.625,28.288,1.045
1886,9,1886.708,27.891,1.053
1886,10,1886.792,27.883,0.957
1886,11,1886.875,27.848,1.119
1886,12,1886.958,27.845,1.358
1887,1,1887.042,27.382,1.206
