# Monthly average temperature data for Malta.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1780,1,1780.042,18.000,4.445
1780,2,1780.125,17.244,5.340
1780,3,1780.208,19.093,2.379
1780,4,1780.292,20.424,1.709
1780,5,1780.375,20.941,2.775
1780,6,1780.458,18.937,5.865
1780,7,1780.542,18.793,4.408
1780,8,1780.625,17.062,5.929
1780,9,1780.708,16.300,2.974
1780,10,1780.792,20.015,1.683
1780,11,1780.875,18.196,1.677
1780,12,1780.958,16.740,2.942
1781,1,1781.042,17.647,5.278
1781,2,1781.125,17.608,6.977
1781,3,1781.208,18.367,1.613
1781,4,1781.292,18.494,3.306
1781,5,1781.375,18.800,3.016
1781,6,1781.458,16.923,1.933
1781,7,1781.542,18.733,1.907
1781,8,1781.625,18.840,1.608
1781,9,1781.708,17.605,3.941
1781,10,1781.792,17.356,1.508
1781,11,1781.875,19.537,2.515
1781,12,1781.958,18.715,4.821
1782,1,1782.042,16.772,2.818
1782,2,1782.125,15.395,5.010
1782,3,1782.208,17.027,5.220
1782,4,1782.292,17.983,2.269
1782,5,1782.375,17.978,2.076
1782,6,1782.458,19.148,1.966
1782,7,1782.542,19.483,2.222
1782,8,1782.625,20.196,2.086
1782,9,1782.708,18.282,2.097
1782,10,1782.792,17.530,4.008
1782,11,1782.875,16.173,3.589
1782,12,1782.958,17.464,3.834
1783,1,1783.042,16.941,3.152
1783,2,1783.125,19.821,2.184
1783,3,1783.208,18.169,1.810
1783,4,1783.292,18.452,2.016
1783,5,1783.375,18.653,4.039
1783,6,1783.458,18.424,4.110
1783,7,1783.542,17.965,1.964
1783,8,1783.625,18.102,1.845
1783,9,1783.708,17.326,3.913
1783,10,1783.792,18.237,4.465
1783,11,1783.875,16.185,5.078
1783,12,1783.958,17.490,1.834
1784,1,1784.042,17.619,6.669
1784,2,1784.125,15.955,6.571
1784,3,1784.208,18.152,3.424
1784,4,1784.292,17.235,2.170
1784,5,1784.375,18.785,1.644
1784,6,1784.458,18.807,2.619
1784,7,1784.542,19.381,2.822
1784,8,1784.625,18.849,3.450
1784,9,1784.708,18.250,3.770
1784,10,1784.792,16.689,1.562
1784,11,1784.875,16.724,3.954
1784,12,1784.958,17.074,2.473
1785,1,1785.042,18.014,1.955
1785,2,1785.125,16.844,4.929
1785,3,1785.208,14.063,4.216
1785,4,1785.292,16.566,3.293
1785,5,1785.375,17.968,1.569
1785,6,1785.458,19.022,3.925
1785,7,1785.542,18.325,2.272
1785,8,1785.625,18.746,1.641
1785,9,1785.708,19.169,1.737
1785,10,1785.792,18.149,4.492
1785,11,1785.875,18.442,1.629
1785,12,1785.958,18.144,1.887
1786,1,1786.042,16.803,2.341
1786,2,1786.125,17.462,3.091
1786,3,1786.208,18.956,3.153
1786,4,1786.292,19.050,1.981
1786,5,1786.375,18.844,2.829
1786,6,1786.458,18.202,2.854
1786,7,1786.542,18.559,1.758
1786,8,1786.625,17.701,1.737
1786,9,1786.708,18.312,1.833
1786,10,1786.792,16.929,2.568
1786,11,1786.875,17.440,2.321
1786,12,1786.958,16.216,2.918
1787,1,1787.042,18.157,6.193
1787,2,1787.125,17.707,3.992
1787,3,1787.208,17.953,2.701
1787,4,1787.292,17.566,2.689
1787,5,1787.375,17.013,1.876
1787,6,1787.458,19.357,2.511
1787,7,1787.542,18.192,3.241
1787,8,1787.625,18.686,1.676
1787,9,1787.708,17.245,2.226
1787,10,1787.792,18.199,1.522
1787,11,1787.875,18.166,3.098
1787,12,1787.958,19.203,1.907
1788,1,1788.042,17.767,3.653
1788,2,1788.125,18.976,3.609
1788,3,1788.208,19.879,4.058
1788,4,1788.292,18.605,4.490
1788,5,1788.375,18.271,1.889
1788,6,1788.458,19.103,1.615
1788,7,1788.542,20.677,2.980
1788,8,1788.625,18.252,2.115
1788,9,1788.708,18.349,2.791
1788,10,1788.792,18.638,3.095
1788,11,1788.875,17.863,2.840
1788,12,1788.958,15.083,4.249
1789,1,1789.042,17.685,3.786
1789,2,1789.125,17.904,1.894
1789,3,1789.208,17.334,5.430
1789,4,1789.292,18.791,2.541
1789,5,1789.375,19.922,4.209
1789,6,1789.458,17.422,1.575
1789,7,1789.542,18.607,2.386
1789,8,1789.625,17.991,1.575
1789,9,1789.708,18.550,1.612
1789,10,1789.792,18.187,2.692
1789,11,1789.875,17.021,3.828
1789,12,1789.958,16.007,3.110
1790,1,1790.042,17.776,1.457
1790,2,1790.125,18.626,4.104
1790,3,1790.208,17.784,3.109
1790,4,1790.292,17.001,1.642
1790,5,1790.375,18.150,3.749
1790,6,1790.458,18.850,1.670
1790,7,1790.542,17.933,1.665
1790,8,1790.625,18.942,1.377
1790,9,1790.708,18.185,1.755
1790,10,1790.792,19.711,1.864
1790,11,1790.875,18.462,1.627
1790,12,1790.958,17.861,4.789
1791,1,1791.042,19.968,4.427
1791,2,1791.125,18.024,2.729
1791,3,1791.208,19.113,3.019
1791,4,1791.292,19.566,2.076
1791,5,1791.375,17.905,1.458
1791,6,1791.458,17.713,2.887
1791,7,1791.542,17.779,2.189
1791,8,1791.625,19.220,1.935
1791,9,1791.708,17.503,1.875
1791,10,1791.792,17.823,1.286
1791,11,1791.875,19.661,2.428
1791,12,1791.958,18.329,1.783
1792,1,1792.042,18.788,4.220
1792,2,1792.125,18.574,2.992
1792,3,1792.208,18.658,2.280
1792,4,1792.292,19.077,1.852
1792,5,1792.375,18.703,1.867
1792,6,1792.458,19.510,1.280
1792,7,1792.542,18.076,1.810
1792,8,1792.625,16.720,1.325
1792,9,1792.708,17.896,2.048
1792,10,1792.792,18.639,1.797
1792,11,1792.875,17.583,2.818
1792,12,1792.958,17.287,1.926
1793,1,1793.042,16.415,2.636
1793,2,1793.125,18.021,1.780
1793,3,1793.208,18.232,1.856
1793,4,1793.292,17.483,3.141
1793,5,1793.375,17.000,1.156
1793,6,1793.458,16.905,2.593
1793,7,1793.542,17.999,1.148
1793,8,1793.625,17.975,1.395
1793,9,1793.708,19.478,2.981
1793,10,1793.792,18.269,2.589
1793,11,1793.875,16.959,2.952
1793,12,1793.958,18.499,2.907
1794,1,1794.042,18.821,1.923
1794,2,1794.125,17.883,4.010
1794,3,1794.208,18.377,1.517
1794,4,1794.292,20.079,2.767
1794,5,1794.375,18.561,1.998
1794,6,1794.458,16.606,3.204
1794,7,1794.542,18.048,4.920
1794,8,1794.625,18.080,2.268
1794,9,1794.708,18.346,1.457
1794,10,1794.792,17.928,1.300
1794,11,1794.875,18.051,1.853
1794,12,1794.958,17.168,3.559
1795,1,1795.042,17.071,2.800
1795,2,1795.125,19.317,2.725
1795,3,1795.208,19.318,1.699
1795,4,1795.292,19.220,3.848
1795,5,1795.375,19.430,1.840
1795,6,1795.458,17.850,2.343
1795,7,1795.542,17.906,2.071
1795,8,1795.625,18.525,2.004
1795,9,1795.708,17.103,1.802
1795,10,1795.792,19.481,2.882
1795,11,1795.875,17.294,3.224
1795,12,1795.958,18.003,2.984
1796,1,1796.042,19.191,2.835
1796,2,1796.125,18.573,3.743
1796,3,1796.208,16.920,2.406
1796,4,1796.292,17.235,2.246
1796,5,1796.375,18.589,1.270
1796,6,1796.458,18.039,3.058
1796,7,1796.542,18.275,2.313
1796,8,1796.625,18.660,4.038
1796,9,1796.708,18.760,3.645
1796,10,1796.792,19.863,1.896
1796,11,1796.875,18.290,2.760
1796,12,1796.958,18.311,4.220
1797,1,1797.042,18.686,5.619
1797,2,1797.125,18.653,4.175
1797,3,1797.208,17.077,5.246
1797,4,1797.292,18.632,4.971
1797,5,1797.375,18.623,3.492
1797,6,1797.458,17.857,3.037
1797,7,1797.542,18.062,1.444
1797,8,1797.625,19.191,3.734
1797,9,1797.708,18.680,3.445
1797,10,1797.792,18.793,1.860
1797,11,1797.875,18.014,2.306
1797,12,1797.958,18.326,2.941
1798,1,1798.042,18.555,1.718
1798,2,1798.125,18.527,1.568
1798,3,1798.208,19.425,2.503
1798,4,1798.292,17.997,2.013
1798,5,1798.375,17.796,1.252
1798,6,1798.458,17.757,1.692
1798,7,1798.542,19.006,1.734
1798,8,1798.625,18.415,1.963
1798,9,1798.708,18.310,1.884
1798,10,1798.792,17.705,2.344
1798,11,1798.875,19.966,1.339
1798,12,1798.958,17.968,1.425
1799,1,1799.042,16.303,1.913
1799,2,1799.125,19.017,1.922
1799,3,1799.208,18.567,3.703
1799,4,1799.292,19.430,2.851
1799,5,1799.375,18.437,1.601
1799,6,1799.458,17.999,2.200
1799,7,1799.542,18.610,1.877
1799,8,1799.625,18.865,2.122
1799,9,1799.708,18.705,2.308
1799,10,1799.792,19.990,1.637
1799,11,1799.875,17.951,1.325
1799,12,1799.958,17.817,3.256
1800,1,1800.042,19.785,1.797
1800,2,1800.125,20.301,3.653
1800,3,1800.208,18.114,1.944
1800,4,1800.292,21.082,1.168
1800,5,1800.375,18.840,1.250
1800,6,1800.458,17.769,1.339
1800,7,1800.542,18.396,2.129
1800,8,1800.625,17.781,1.802
1800,9,1800.708,17.661,1.378
1800,10,1800.792,18.539,1.922
1800,11,1800.875,18.029,2.088
1800,12,1800.958,18.225,1.504
1801,1,1801.042,18.358,2.083
1801,2,1801.125,18.776,3.428
1801,3,1801.208,19.802,1.282
1801,4,1801.292,19.103,1.420
1801,5,1801.375,19.053,2.115
1801,6,1801.458,17.957,2.525
1801,7,1801.542,19.677,2.333
1801,8,1801.625,17.456,1.789
1801,9,1801.708,18.160,1.570
1801,10,1801.792,19.747,4.433
1801,11,1801.875,19.267,1.606
1801,12,1801.958,19.634,1.659
1802,1,1802.042,18.501,3.553
1802,2,1802.125,18.196,3.873
1802,3,1802.208,18.862,2.737
1802,4,1802.292,18.048,3.077
1802,5,1802.375,17.945,2.599
1802,6,1802.458,20.618,3.006
1802,7,1802.542,18.777,1.961
1802,8,1802.625,19.009,2.599
1802,9,1802.708,18.626,1.100
1802,10,1802.792,19.568,1.777
1802,11,1802.875,19.512,1.864
1802,12,1802.958,19.426,1.391
1803,1,1803.042,19.633,2.832
1803,2,1803.125,15.545,3.098
1803,3,1803.208,17.772,3.045
1803,4,1803.292,20.636,1.882
1803,5,1803.375,17.467,2.423
1803,6,1803.458,19.030,1.173
1803,7,1803.542,18.505,2.096
1803,8,1803.625,19.081,2.597
1803,9,1803.708,18.632,1.892
1803,10,1803.792,18.241,3.433
1803,11,1803.875,19.052,2.007
1803,12,1803.958,18.374,2.100
1804,1,1804.042,18.435,2.083
1804,2,1804.125,16.859,1.965
1804,3,1804.208,18.368,1.257
1804,4,1804.292,19.490,1.715
1804,5,1804.375,18.980,1.932
1804,6,1804.458,19.477,2.004
1804,7,1804.542,19.582,2.004
1804,8,1804.625,18.450,2.324
1804,9,1804.708,18.322,1.726
1804,10,1804.792,18.843,1.001
1804,11,1804.875,19.513,2.302
1804,12,1804.958,19.392,2.269
1805,1,1805.042,19.204,2.056
1805,2,1805.125,18.518,1.053
1805,3,1805.208,17.832,1.555
1805,4,1805.292,17.261,1.669
1805,5,1805.375,17.245,1.604
1805,6,1805.458,19.620,1.578
1805,7,1805.542,18.023,1.901
1805,8,1805.625,18.374,2.218
1805,9,1805.708,17.513,1.829
1805,10,1805.792,18.234,1.683
1805,11,1805.875,16.007,3.546
1805,12,1805.958,17.207,2.385
1806,1,1806.042,17.629,2.856
1806,2,1806.125,18.772,2.438
1806,3,1806.208,18.685,1.711
1806,4,1806.292,18.183,2.068
1806,5,1806.375,19.007,1.198
1806,6,1806.458,18.442,1.466
1806,7,1806.542,18.338,1.955
1806,8,1806.625,17.730,1.563
1806,9,1806.708,17.419,2.388
1806,10,1806.792,18.226,1.910
1806,11,1806.875,18.082,2.430
1806,12,1806.958,18.877,2.808
1807,1,1807.042,16.616,3.490
1807,2,1807.125,17.552,1.843
1807,3,1807.208,17.799,2.190
1807,4,1807.292,16.780,2.439
1807,5,1807.375,18.634,1.771
1807,6,1807.458,18.672,2.608
1807,7,1807.542,19.349,1.334
1807,8,1807.625,18.961,2.076
1807,9,1807.708,20.365,1.846
1807,10,1807.792,19.625,1.115
1807,11,1807.875,20.061,1.299
1807,12,1807.958,17.958,1.182
1808,1,1808.042,17.202,7.214
1808,2,1808.125,16.032,2.129
1808,3,1808.208,16.392,2.918
1808,4,1808.292,17.076,1.976
1808,5,1808.375,17.619,2.975
1808,6,1808.458,17.398,2.239
1808,7,1808.542,18.831,2.257
1808,8,1808.625,17.889,1.205
1808,9,1808.708,18.275,2.333
1808,10,1808.792,16.657,3.318
1808,11,1808.875,17.454,1.603
1808,12,1808.958,15.865,2.547
1809,1,1809.042,18.300,5.144
1809,2,1809.125,17.523,3.106
1809,3,1809.208,17.859,3.782
1809,4,1809.292,17.669,3.769
1809,5,1809.375,17.314,3.087
1809,6,1809.458,18.558,1.740
1809,7,1809.542,18.459,2.343
1809,8,1809.625,17.806,2.416
1809,9,1809.708,16.987,2.114
1809,10,1809.792,16.562,4.258
1809,11,1809.875,16.186,3.362
1809,12,1809.958,16.930,1.838
1810,1,1810.042,17.417,2.894
1810,2,1810.125,17.237,3.237
1810,3,1810.208,20.413,2.720
1810,4,1810.292,18.365,2.312
1810,5,1810.375,18.327,2.800
1810,6,1810.458,16.554,2.367
1810,7,1810.542,17.178,3.085
1810,8,1810.625,17.459,1.992
1810,9,1810.708,17.290,2.171
1810,10,1810.792,17.444,3.183
1810,11,1810.875,17.796,4.838
1810,12,1810.958,17.478,1.251
1811,1,1811.042,17.287,1.374
1811,2,1811.125,17.681,2.568
1811,3,1811.208,17.213,5.083
1811,4,1811.292,18.360,1.402
1811,5,1811.375,18.413,2.514
1811,6,1811.458,19.082,2.484
1811,7,1811.542,18.561,3.111
1811,8,1811.625,18.006,3.086
1811,9,1811.708,17.929,3.417
1811,10,1811.792,19.184,3.879
1811,11,1811.875,17.806,2.143
1811,12,1811.958,17.520,3.280
1812,1,1812.042,15.911,6.056
1812,2,1812.125,17.625,4.751
1812,3,1812.208,17.500,3.242
1812,4,1812.292,17.517,5.309
1812,5,1812.375,17.341,1.882
1812,6,1812.458,17.478,1.301
1812,7,1812.542,16.882,1.521
1812,8,1812.625,18.059,2.125
1812,9,1812.708,16.695,4.737
1812,10,1812.792,17.649,1.944
1812,11,1812.875,18.032,4.391
1812,12,1812.958,17.043,4.883
1813,1,1813.042,15.655,4.070
1813,2,1813.125,16.694,2.202
1813,3,1813.208,16.291,2.869
1813,4,1813.292,18.052,4.019
1813,5,1813.375,19.194,6.932
1813,6,1813.458,17.674,2.283
1813,7,1813.542,16.872,1.728
1813,8,1813.625,16.581,1.449
1813,9,1813.708,16.905,3.861
1813,10,1813.792,19.283,1.871
1813,11,1813.875,18.110,2.847
1813,12,1813.958,17.111,3.273
1814,1,1814.042,18.697,3.944
1814,2,1814.125,14.663,2.635
1814,3,1814.208,16.548,4.629
1814,4,1814.292,18.172,2.158
1814,5,1814.375,16.199,3.453
1814,6,1814.458,17.132,1.540
1814,7,1814.542,16.579,3.203
1814,8,1814.625,16.972,2.420
1814,9,1814.708,15.442,2.117
1814,10,1814.792,17.484,3.385
