# Monthly average temperature data for Martinique.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.859,0.592
1824,2,1824.125,25.669,2.586
1824,3,1824.208,26.093,1.075
1824,4,1824.292,26.595,2.345
1824,5,1824.375,25.806,1.593
1824,7,1824.542,26.485,1.354
1824,8,1824.625,25.533,2.078
1824,9,1824.708,25.351,1.937
1824,10,1824.792,25.077,0.694
1824,11,1824.875,26.056,1.610
1824,12,1824.958,26.254,3.038
1825,1,1825.042,26.352,2.276
1825,2,1825.125,26.111,1.585
1825,3,1825.208,26.760,1.914
1825,4,1825.292,27.042,2.020
1825,5,1825.375,26.403,1.803
1825,6,1825.458,26.536,0.793
1825,7,1825.542,26.556,2.836
1825,8,1825.625,25.992,2.199
1825,9,1825.708,25.265,1.212
1825,10,1825.792,25.373,1.363
1825,11,1825.875,26.374,2.824
1825,12,1825.958,26.332,1.672
1826,2,1826.125,25.278,1.837
1826,3,1826.208,25.242,1.553
1826,4,1826.292,26.113,1.917
1826,5,1826.375,26.287,1.153
1826,7,1826.542,26.234,0.865
1826,8,1826.625,25.359,1.331
1826,9,1826.708,24.949,1.872
1826,10,1826.792,25.325,2.207
1826,11,1826.875,26.460,1.246
1826,12,1826.958,27.127,1.790
1827,1,1827.042,26.507,2.757
1827,2,1827.125,26.480,2.694
1827,3,1827.208,26.748,1.950
1827,4,1827.292,26.901,1.915
1827,5,1827.375,26.324,1.617
1827,7,1827.542,26.406,0.745
1827,8,1827.625,25.410,1.510
1827,9,1827.708,24.976,0.812
1827,10,1827.792,25.152,1.184
1827,11,1827.875,26.623,0.699
1827,12,1827.958,26.095,2.966
1828,1,1828.042,25.307,2.323
1828,2,1828.125,25.236,1.113
1828,3,1828.208,26.128,1.006
1828,4,1828.292,26.331,2.066
1828,5,1828.375,26.277,1.784
1828,6,1828.458,26.527,1.962
1828,7,1828.542,26.318,0.774
1828,8,1828.625,26.040,1.029
1828,9,1828.708,24.912,1.538
1828,11,1828.875,26.583,2.061
1828,12,1828.958,26.068,4.011
1829,1,1829.042,25.705,2.685
1829,2,1829.125,25.465,2.666
1829,3,1829.208,26.237,1.124
1829,4,1829.292,26.289,1.606
1829,5,1829.375,26.330,2.657
1829,7,1829.542,26.281,0.913
1829,8,1829.625,25.684,1.467
1829,9,1829.708,25.196,1.165
1829,11,1829.875,25.895,1.883
1829,12,1829.958,25.840,3.149
1845,1,1845.042,25.962,1.313
1845,2,1845.125,24.882,1.433
1845,3,1845.208,25.508,0.800
1845,4,1845.292,25.636,0.946
1845,5,1845.375,25.346,0.700
1845,6,1845.458,25.533,0.778
1845,7,1845.542,26.196,0.873
1845,8,1845.625,25.725,0.824
1845,9,1845.708,25.406,0.912
1846,1,1846.042,26.638,3.439
1846,2,1846.125,26.378,1.786
1846,3,1846.208,26.753,0.977
1846,4,1846.292,25.408,1.917
1846,5,1846.375,25.944,0.883
1846,6,1846.458,26.386,1.020
1846,7,1846.542,26.601,0.767
1846,8,1846.625,26.178,0.750
1846,9,1846.708,25.862,0.927
1846,10,1846.792,25.260,0.996
1846,11,1846.875,25.207,1.118
1846,12,1846.958,26.072,1.420
1847,1,1847.042,26.277,1.111
1847,2,1847.125,26.002,1.516
1847,3,1847.208,25.082,1.857
1847,4,1847.292,25.598,0.946
1847,5,1847.375,25.139,0.873
1847,6,1847.458,25.719,1.031
1847,7,1847.542,26.087,0.900
1847,8,1847.625,25.800,0.995
1847,9,1847.708,25.731,1.079
1847,10,1847.792,25.488,0.869
1847,11,1847.875,25.716,1.116
1847,12,1847.958,24.636,1.250
1848,1,1848.042,24.732,1.136
1848,2,1848.125,26.093,1.420
1848,3,1848.208,25.415,0.835
1848,4,1848.292,25.703,0.988
1848,5,1848.375,25.229,1.127
1848,6,1848.458,25.812,1.378
1848,7,1848.542,26.455,1.111
1848,8,1848.625,25.606,0.824
1848,9,1848.708,25.381,0.960
1848,10,1848.792,25.648,0.985
1848,11,1848.875,25.561,1.004
1848,12,1848.958,25.356,0.915
1849,1,1849.042,25.898,1.277
1849,2,1849.125,25.621,1.364
1849,3,1849.208,25.976,1.282
1849,4,1849.292,24.958,1.558
1849,5,1849.375,25.148,1.002
1849,6,1849.458,25.706,1.223
1849,7,1849.542,26.186,1.187
1849,8,1849.625,25.734,0.905
1849,9,1849.708,25.464,1.089
1849,10,1849.792,25.803,0.916
1849,11,1849.875,25.408,1.252
1849,12,1849.958,25.196,1.100
1850,1,1850.042,24.963,1.032
1850,2,1850.125,25.781,1.393
1850,3,1850.208,25.790,0.959
1850,4,1850.292,25.288,1.236
1850,5,1850.375,25.104,0.949
1850,6,1850.458,25.941,0.955
1850,7,1850.542,26.387,0.763
1850,8,1850.625,26.077,0.886
1850,9,1850.708,25.976,0.729
1850,10,1850.792,25.504,1.253
1850,11,1850.875,25.318,1.522
1850,12,1850.958,25.451,1.296
1851,1,1851.042,25.901,0.828
1851,2,1851.125,25.493,1.034
1851,3,1851.208,25.135,0.826
1851,4,1851.292,25.266,1.362
1851,5,1851.375,25.497,1.152
1851,6,1851.458,25.899,1.065
1851,7,1851.542,26.613,0.687
1851,8,1851.625,25.922,0.980
1851,9,1851.708,25.593,0.792
1851,10,1851.792,25.824,1.293
1851,11,1851.875,25.383,1.701
1851,12,1851.958,25.689,0.948
1852,1,1852.042,25.516,1.508
1852,2,1852.125,25.361,1.319
1852,3,1852.208,24.746,1.192
1852,4,1852.292,25.450,1.125
1852,5,1852.375,25.980,1.294
1852,6,1852.458,25.919,1.141
1852,7,1852.542,26.071,0.638
1852,8,1852.625,25.893,1.021
1852,9,1852.708,25.787,0.685
1852,10,1852.792,25.551,0.865
1852,11,1852.875,25.310,0.823
1852,12,1852.958,25.524,1.577
1853,1,1853.042,26.029,1.338
1853,2,1853.125,25.003,3.349
1853,3,1853.208,25.620,0.967
1853,4,1853.292,25.806,1.915
1853,5,1853.375,25.680,1.126
1853,6,1853.458,26.033,0.885
1853,7,1853.542,26.179,0.660
1853,8,1853.625,25.551,0.938
