# Monthly average temperature data for Mauritania.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,26.851,1.626
1849,2,1849.125,27.138,1.993
1849,3,1849.208,27.636,1.909
1849,4,1849.292,27.222,1.523
1849,5,1849.375,26.993,1.399
1849,6,1849.458,26.970,1.463
1849,7,1849.542,27.402,1.526
1849,8,1849.625,26.957,1.415
1849,9,1849.708,26.576,1.388
1849,10,1849.792,27.291,1.400
1849,11,1849.875,27.178,1.714
1849,12,1849.958,26.857,1.995
1850,1,1850.042,26.127,1.771
1850,2,1850.125,27.346,1.940
1850,3,1850.208,27.713,1.655
1850,4,1850.292,27.763,1.657
1850,5,1850.375,27.058,1.817
1850,6,1850.458,27.527,1.358
1850,7,1850.542,27.203,1.353
1850,8,1850.625,27.289,1.359
1850,9,1850.708,27.113,1.458
1850,10,1850.792,27.099,1.392
1850,11,1850.875,26.556,1.501
1850,12,1850.958,27.215,1.470
1851,1,1851.042,26.897,1.419
1851,2,1851.125,26.810,1.669
1851,3,1851.208,27.110,1.547
1851,4,1851.292,27.765,1.648
1851,5,1851.375,27.719,1.581
1851,6,1851.458,27.533,1.336
1851,7,1851.542,27.585,1.378
1851,8,1851.625,27.536,1.428
1851,9,1851.708,27.581,1.401
1851,10,1851.792,27.807,1.838
1851,11,1851.875,26.740,1.561
1851,12,1851.958,28.498,1.692
1857,9,1857.708,29.227,4.233
1858,3,1858.208,26.897,1.623
1858,4,1858.292,27.881,1.935
1858,5,1858.375,27.589,1.331
1858,6,1858.458,28.584,1.942
1858,7,1858.542,28.105,1.917
1858,8,1858.625,28.608,2.704
1858,9,1858.708,28.624,2.570
1858,11,1858.875,28.794,1.376
1858,12,1858.958,26.458,1.810
1859,1,1859.042,26.369,1.529
1859,3,1859.208,26.720,1.958
1859,4,1859.292,30.633,3.180
1859,5,1859.375,29.918,3.649
1859,6,1859.458,28.883,2.896
1859,9,1859.708,27.412,1.204
1860,1,1860.042,26.302,1.924
1860,2,1860.125,25.640,1.914
1860,3,1860.208,27.679,2.384
1860,5,1860.375,27.246,1.983
1860,6,1860.458,27.275,1.532
1860,7,1860.542,26.577,2.234
1860,8,1860.625,26.998,1.595
1860,9,1860.708,25.627,2.684
1860,10,1860.792,25.740,3.381
1860,11,1860.875,26.267,2.754
1862,1,1862.042,26.447,1.837
1862,2,1862.125,25.784,1.396
1862,3,1862.208,25.752,1.751
1862,4,1862.292,26.230,2.253
1862,6,1862.458,27.169,1.650
1862,7,1862.542,28.129,1.261
1862,8,1862.625,27.658,1.374
1862,9,1862.708,27.230,1.353
1862,10,1862.792,27.361,1.082
1862,12,1862.958,26.023,1.888
1865,1,1865.042,28.017,1.488
1865,2,1865.125,27.865,1.502
1865,3,1865.208,27.522,1.613
1865,4,1865.292,27.283,1.591
1865,5,1865.375,27.428,1.504
1865,6,1865.458,27.382,1.380
1865,7,1865.542,27.520,1.725
1865,8,1865.625,27.132,1.563
1865,9,1865.708,27.424,1.462
1865,10,1865.792,27.973,1.317
1865,11,1865.875,27.974,1.479
1865,12,1865.958,26.946,1.622
1866,1,1866.042,26.839,1.694
1866,2,1866.125,26.978,1.894
1866,3,1866.208,26.823,1.959
1866,5,1866.375,27.395,1.540
1866,6,1866.458,27.243,1.660
1868,1,1868.042,27.346,1.182
1868,2,1868.125,27.016,1.518
1868,3,1868.208,26.564,1.697
1868,4,1868.292,26.793,1.277
1868,6,1868.458,26.308,1.228
1868,7,1868.542,27.556,1.080
1868,8,1868.625,28.099,1.092
1868,9,1868.708,28.054,1.261
1868,10,1868.792,26.829,1.311
1868,11,1868.875,26.358,1.126
1868,12,1868.958,27.713,1.640
1869,1,1869.042,26.817,1.550
1869,2,1869.125,26.627,1.798
1869,5,1869.375,26.648,1.199
1869,6,1869.458,28.186,1.071
1869,7,1869.542,28.427,1.147
1869,8,1869.625,28.106,1.119
1869,9,1869.708,28.957,1.149
1869,10,1869.792,28.579,1.098
1869,11,1869.875,26.117,1.127
1869,12,1869.958,26.843,1.287
1870,1,1870.042,27.115,1.367
1870,2,1870.125,26.183,1.449
1870,4,1870.292,26.506,1.332
1870,5,1870.375,26.418,1.162
1870,6,1870.458,28.036,1.567
1870,7,1870.542,28.261,1.231
1870,8,1870.625,28.193,1.236
1870,9,1870.708,28.665,1.133
1870,10,1870.792,29.079,1.401
1870,11,1870.875,27.502,1.252
1870,12,1870.958,28.202,1.333
1873,7,1873.542,27.377,1.350
1873,8,1873.625,27.222,1.006
1873,9,1873.708,27.767,0.993
1873,10,1873.792,27.081,1.029
1873,11,1873.875,26.469,1.433
1873,12,1873.958,28.091,1.081
1874,1,1874.042,26.341,1.133
1874,2,1874.125,27.195,1.146
1874,3,1874.208,26.241,0.939
1874,4,1874.292,28.162,1.082
1874,5,1874.375,27.371,1.448
1874,6,1874.458,27.941,1.193
1874,7,1874.542,27.110,1.032
1874,8,1874.625,26.765,1.217
1874,9,1874.708,27.662,1.050
1874,10,1874.792,27.745,1.101
1874,11,1874.875,27.229,1.130
1874,12,1874.958,27.015,1.134
1875,1,1875.042,26.819,1.018
1875,2,1875.125,26.691,1.195
1875,3,1875.208,27.123,1.056
1875,4,1875.292,27.693,1.050
1875,5,1875.375,27.328,0.954
1875,6,1875.458,26.940,1.104
1875,7,1875.542,27.467,1.049
1875,8,1875.625,27.001,1.073
1875,9,1875.708,27.657,1.070
1875,10,1875.792,27.346,0.897
1875,11,1875.875,26.575,1.405
