# Monthly average temperature data for Mauritius.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1787,1,1787.042,23.797,6.489
1787,2,1787.125,23.402,3.579
1787,3,1787.208,21.974,3.494
1787,4,1787.292,21.991,2.886
1787,5,1787.375,22.755,2.244
1787,7,1787.542,22.487,3.490
1787,8,1787.625,23.095,1.153
1787,9,1787.708,22.449,2.825
1787,10,1787.792,22.822,1.946
1787,11,1787.875,24.204,4.742
1787,12,1787.958,23.382,3.466
1788,5,1788.375,21.731,2.017
1788,6,1788.458,23.330,1.272
1788,7,1788.542,24.438,3.675
1788,8,1788.625,23.106,2.487
1788,9,1788.708,23.059,2.819
1788,10,1788.792,22.036,3.818
1788,11,1788.875,23.995,2.307
1788,12,1788.958,21.740,5.908
1789,1,1789.042,22.815,3.340
1789,2,1789.125,22.791,1.474
1789,3,1789.208,24.008,5.439
1789,4,1789.292,23.840,3.627
1789,5,1789.375,23.802,4.553
1789,6,1789.458,22.698,1.346
1789,7,1789.542,23.701,2.464
1789,8,1789.625,22.719,1.809
1789,9,1789.708,22.804,1.897
1789,10,1789.792,23.120,2.150
1789,11,1789.875,22.771,3.586
1789,12,1789.958,22.465,3.553
1790,1,1790.042,23.808,1.895
1790,2,1790.125,23.812,3.049
1790,3,1790.208,22.706,2.941
1790,4,1790.292,22.740,2.068
1790,5,1790.375,23.060,4.611
1790,6,1790.458,23.560,1.175
1790,7,1790.542,23.459,2.213
1790,8,1790.625,21.823,2.174
1790,9,1790.708,22.800,1.680
1790,10,1790.792,22.215,1.673
1790,11,1790.875,21.904,1.352
1790,12,1790.958,23.052,5.460
1791,1,1791.042,24.030,4.565
1791,2,1791.125,23.384,3.687
1791,3,1791.208,22.463,3.757
1791,4,1791.292,22.949,2.350
1791,5,1791.375,23.328,1.741
1791,6,1791.458,23.801,2.404
1791,7,1791.542,23.468,2.208
1791,8,1791.625,23.698,1.792
1791,9,1791.708,24.098,2.944
1791,10,1791.792,23.466,2.778
1791,11,1791.875,23.398,3.558
1791,12,1791.958,22.715,2.407
1792,1,1792.042,22.870,4.359
1792,2,1792.125,23.901,3.764
1792,3,1792.208,23.061,1.707
1792,4,1792.292,22.572,1.738
1792,5,1792.375,22.983,2.540
1792,6,1792.458,25.279,1.816
1792,7,1792.542,24.822,3.104
1792,8,1792.625,23.192,2.947
1792,9,1792.708,23.620,1.823
1803,6,1803.458,22.716,2.303
1803,7,1803.542,23.462,2.037
1803,8,1803.625,23.218,3.391
1803,9,1803.708,23.417,1.463
1803,10,1803.792,22.919,4.739
1803,11,1803.875,23.558,2.004
1803,12,1803.958,24.702,4.480
1804,1,1804.042,24.681,5.543
1804,2,1804.125,24.510,3.719
1804,3,1804.208,24.338,4.503
1804,4,1804.292,24.702,1.288
1804,5,1804.375,24.260,2.085
1804,6,1804.458,23.277,1.804
1804,7,1804.542,23.344,2.810
1804,8,1804.625,23.309,2.274
1804,9,1804.708,23.084,3.187
1804,10,1804.792,22.744,1.674
1853,1,1853.042,22.200,1.339
1853,2,1853.125,22.959,2.297
1853,3,1853.208,22.549,1.509
1853,4,1853.292,22.695,0.716
1853,5,1853.375,23.084,0.727
1853,6,1853.458,23.471,0.985
1853,7,1853.542,23.369,0.996
1853,8,1853.625,23.338,0.668
1853,9,1853.708,23.159,0.601
1853,10,1853.792,22.661,1.060
1853,11,1853.875,22.673,1.534
1853,12,1853.958,22.951,0.949
1854,1,1854.042,22.902,2.306
1854,2,1854.125,22.582,1.064
1854,3,1854.208,22.489,0.725
1854,4,1854.292,22.828,1.051
1854,5,1854.375,23.201,0.518
1854,6,1854.458,23.284,1.177
1854,7,1854.542,22.939,1.584
1854,8,1854.625,23.062,1.049
1854,9,1854.708,22.891,0.568
1854,10,1854.792,23.180,2.157
1854,11,1854.875,23.176,1.146
