# Monthly average temperature data for Mayotte.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1787,1,1787.042,26.603,2.366
1787,2,1787.125,25.719,3.030
1787,3,1787.208,25.543,3.028
1787,4,1787.292,25.675,1.803
1787,5,1787.375,26.280,1.155
1787,7,1787.542,25.498,2.435
1787,8,1787.625,26.177,1.794
1787,9,1787.708,25.094,1.741
1787,10,1787.792,25.104,4.058
1787,11,1787.875,26.538,3.025
1787,12,1787.958,25.051,2.168
1788,5,1788.375,25.240,1.296
1788,6,1788.458,26.651,1.394
1788,7,1788.542,28.240,3.050
1788,8,1788.625,26.369,1.833
1788,9,1788.708,26.098,0.861
1788,10,1788.792,25.950,2.280
1788,11,1788.875,26.573,1.586
1788,12,1788.958,24.607,4.891
1789,1,1789.042,27.081,4.139
1789,2,1789.125,24.904,1.309
1789,3,1789.208,25.819,2.698
1789,4,1789.292,26.182,1.736
1789,5,1789.375,26.796,3.401
1789,6,1789.458,26.317,1.237
1789,7,1789.542,27.345,2.628
1789,8,1789.625,26.203,1.403
1789,9,1789.708,26.216,1.336
1789,10,1789.792,24.874,1.145
1789,11,1789.875,26.087,1.201
1789,12,1789.958,25.637,2.565
1790,1,1790.042,26.254,2.649
1790,2,1790.125,26.067,2.194
1790,3,1790.208,25.627,1.392
1790,4,1790.292,24.621,2.066
1790,5,1790.375,25.615,0.995
1790,6,1790.458,26.742,1.173
1790,7,1790.542,26.119,2.683
1790,8,1790.625,26.052,2.370
1790,9,1790.708,25.699,1.349
1790,10,1790.792,25.479,1.381
1790,11,1790.875,25.364,1.653
1790,12,1790.958,25.583,3.335
1791,1,1791.042,25.486,6.242
1791,2,1791.125,26.326,2.372
1791,3,1791.208,25.640,2.692
1791,4,1791.292,26.806,1.681
1791,5,1791.375,25.335,1.271
1791,6,1791.458,26.462,1.484
1791,7,1791.542,25.965,1.360
1791,8,1791.625,26.480,0.765
1791,9,1791.708,26.482,1.804
1791,10,1791.792,25.545,1.122
1791,11,1791.875,26.408,1.531
1791,12,1791.958,25.988,1.878
1792,1,1792.042,24.584,1.726
1792,2,1792.125,26.692,1.935
1792,3,1792.208,25.599,1.027
1792,4,1792.292,25.806,1.416
1792,5,1792.375,26.225,1.038
1792,6,1792.458,27.134,1.146
1792,7,1792.542,26.768,1.876
1792,8,1792.625,25.329,2.433
1792,9,1792.708,26.972,1.261
1803,6,1803.458,26.631,1.137
1803,7,1803.542,27.113,1.063
1803,8,1803.625,27.644,1.558
1803,9,1803.708,26.912,1.274
1803,10,1803.792,25.998,1.816
1803,11,1803.875,26.216,1.628
1803,12,1803.958,25.416,1.433
1804,1,1804.042,26.618,3.135
1804,2,1804.125,25.739,1.815
1804,3,1804.208,26.108,1.511
1804,4,1804.292,28.100,1.031
1804,5,1804.375,27.318,1.380
1804,6,1804.458,26.791,1.616
1804,7,1804.542,27.537,2.292
1804,8,1804.625,27.101,0.960
1804,9,1804.708,26.790,2.434
1804,10,1804.792,26.219,1.624
1850,1,1850.042,24.991,1.161
1850,2,1850.125,25.880,1.438
1850,3,1850.208,25.971,1.061
1850,4,1850.292,25.354,1.261
1850,5,1850.375,24.985,1.031
1850,6,1850.458,26.002,0.898
1850,7,1850.542,26.171,0.768
1850,8,1850.625,26.263,0.835
1850,9,1850.708,25.654,0.748
1850,10,1850.792,25.236,1.055
1850,11,1850.875,24.957,1.150
1853,1,1853.042,25.302,1.338
1853,2,1853.125,25.387,2.184
1853,3,1853.208,25.217,0.994
1853,4,1853.292,25.471,1.438
1853,5,1853.375,25.860,1.021
1853,6,1853.458,26.257,0.932
1853,7,1853.542,26.435,0.931
1853,8,1853.625,26.283,0.838
1853,9,1853.708,25.940,0.760
1853,10,1853.792,25.476,1.124
1853,11,1853.875,25.216,1.022
1853,12,1853.958,25.737,0.962
1854,1,1854.042,25.294,1.132
1854,2,1854.125,25.034,0.983
1854,3,1854.208,25.562,0.838
1854,4,1854.292,25.543,0.853
1854,5,1854.375,25.947,0.842
1854,6,1854.458,25.815,0.781
1854,7,1854.542,26.291,1.057
1854,8,1854.625,26.164,0.846
1854,9,1854.708,25.699,0.783
1854,10,1854.792,26.434,1.273
1854,11,1854.875,26.005,0.897
1854,12,1854.958,25.903,1.392
1855,1,1855.042,26.149,1.152
1855,2,1855.125,25.832,1.386
1855,3,1855.208,25.610,0.879
1855,4,1855.292,26.220,1.173
1855,5,1855.375,25.838,1.295
1855,6,1855.458,25.676,1.166
1855,7,1855.542,25.707,0.890
1855,8,1855.625,25.924,0.808
1855,9,1855.708,25.096,0.941
1855,10,1855.792,25.148,0.877
1855,11,1855.875,25.343,0.805
1855,12,1855.958,25.142,1.145
1856,1,1856.042,26.349,0.801
1856,2,1856.125,25.357,1.898
1856,3,1856.208,25.518,1.075
1856,4,1856.292,25.779,0.806
1856,5,1856.375,25.462,0.894
1856,6,1856.458,26.170,1.238
1856,7,1856.542,25.861,0.906
1856,8,1856.625,25.349,1.018
1856,9,1856.708,25.130,0.781
1856,10,1856.792,24.943,0.802
1856,11,1856.875,25.483,0.838
1856,12,1856.958,25.649,1.323
1857,1,1857.042,25.369,1.039
1857,2,1857.125,25.302,0.887
1857,3,1857.208,25.258,0.707
1857,4,1857.292,25.046,0.928
1857,5,1857.375,24.915,0.834
1857,6,1857.458,25.697,0.922
1857,7,1857.542,25.721,0.923
1857,8,1857.625,25.351,1.057
1857,9,1857.708,25.176,0.854
1857,10,1857.792,25.208,0.778
1857,11,1857.875,25.416,0.897
1857,12,1857.958,25.969,0.972
1858,1,1858.042,26.050,1.275
1858,2,1858.125,25.295,0.981
1858,3,1858.208,25.668,0.760
1858,4,1858.292,26.024,1.070
1858,5,1858.375,25.751,1.114
1858,6,1858.458,25.773,1.043
1858,7,1858.542,25.875,1.012
1858,8,1858.625,25.934,0.965
1858,9,1858.708,25.564,0.908
1858,10,1858.792,25.799,0.823
1858,11,1858.875,26.176,0.996
1858,12,1858.958,25.195,0.819
1859,1,1859.042,26.252,1.592
1859,2,1859.125,25.824,1.189
1859,3,1859.208,26.309,1.344
1859,4,1859.292,25.646,1.318
1859,5,1859.375,26.179,0.886
1859,6,1859.458,26.060,0.846
1859,7,1859.542,25.669,0.766
1859,8,1859.625,25.436,0.747
1859,9,1859.708,25.371,0.834
1859,10,1859.792,25.825,0.895
1859,11,1859.875,26.021,1.017
1859,12,1859.958,26.068,1.635
1860,1,1860.042,25.709,1.034
1860,2,1860.125,25.709,0.955
1860,3,1860.208,24.818,1.030
1860,4,1860.292,25.739,0.815
1860,5,1860.375,26.171,0.791
1860,6,1860.458,26.269,0.750
1860,7,1860.542,26.310,0.926
1860,8,1860.625,26.420,0.839
1860,9,1860.708,26.320,0.731
1860,10,1860.792,25.779,0.766
1860,11,1860.875,25.731,1.228
1861,1,1861.042,24.771,1.531
1861,2,1861.125,25.172,0.899
1861,3,1861.208,25.471,0.904
1861,4,1861.292,25.620,1.174
1861,5,1861.375,25.791,0.862
1861,6,1861.458,26.097,0.764
1861,7,1861.542,26.032,0.830
1861,8,1861.625,26.018,0.837
1861,9,1861.708,25.627,0.741
1861,10,1861.792,25.612,0.853
1861,11,1861.875,26.029,0.896
